name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,"126,388,000","125,426,000","124,684,000","123,944,000","122,789,000","121,541,000","124,549,000","122,925,000","120,744,000","119,423,000","117,928,000","126,360,000","129,997,000","95,129,000","76,959,000","75,742,000","75,127,000","73,914,000","73,098,000","74,396,000","73,112,000","71,945,000","70,222,000","69,631,000","90,013,000","89,096,000","33,000,000","32,730,000","33,433,000","33,449,000","31,984,000","31,549,000","30,643,000","30,633,000","29,343,000","28,021,000","27,741,000",,,,,,"23,913,000",,,,"22,558,000","22,420,000","22,896,000","22,476,000","22,573,000","21,682,000","21,849,000","22,017,000","20,132,000","20,019,000","19,415,000","20,021,000","19,638,000","18,893,000","18,509,000","18,044,000","17,617,000","17,504,000","17,696,000","16,803,000","15,291,000","14,527,000","14,539,000","14,556,000","14,942,000","14,311,000","14,166,000","13,701,000","13,446,000","13,730,000","13,526,000","13,595,000","13,357,000","13,477,000","14,173,000",,,,,,,,,,,,,,,,,,,,,,,,
			DepreciationIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28,021,000","27,741,000",,,,,,"23,913,000",,,,"22,558,000","22,420,000","22,268,000","21,818,000","21,959,000","21,108,000","21,288,000","21,489,000","19,613,000","19,515,000","18,930,000","19,421,000","19,176,000","18,404,000","18,049,000","17,592,000","17,181,000","17,098,000","17,233,000","16,333,000","14,827,000","14,023,000","13,915,000","13,855,000","14,252,000","13,647,000","13,509,000","13,044,000","12,916,000","13,094,000","12,997,000","12,990,000","12,737,000","12,658,000","13,459,000",,,,,,,,,,,,,,,,,,,,,,,,
			Amortization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"628,000","658,000","614,000","574,000","561,000","528,000","519,000","504,000","485,000","600,000","462,000","489,000","460,000","452,000","436,000","406,000","463,000","470,000","464,000","504,000","624,000","701,000","690,000","664,000","657,000","657,000","530,000","636,000","529,000","605,000","620,000","819,000","714,000",,,,,,,,,,,,,,,,,,,,,,,,
				AmortizationOfIntangiblesIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"628,000","658,000","614,000","574,000","561,000","528,000","519,000","504,000","485,000","600,000","462,000","489,000","460,000","452,000","436,000","406,000","463,000","470,000","464,000","504,000","624,000","701,000","690,000","664,000","657,000","657,000","530,000","636,000","529,000","605,000","620,000","819,000","714,000",,,,,,,,,,,,,,,,,,,,,,,,
	OtherTaxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-67,690,000","-66,787,000","-66,558,000","-65,091,000",,"-64,141,000","-61,524,000","-58,833,000","-57,421,000","-58,339,000","-57,073,000",,"-53,347,000","-51,611,000","-51,451,000","-51,049,000","-50,087,000","-47,429,000","-45,377,000","-42,787,000","-41,744,000","-45,506,000","-41,585,000","-39,753,000","-39,271,000",,,"-39,065,000","-38,358,000",,"-39,086,000",,,"-38,400,000","-38,600,000","-37,500,000","-37,600,000","-37,500,000","-36,700,000","-33,500,000","-32,500,000","-26,200,000","-22,100,000","-20,700,000","-18,600,000","-18,300,000","-18,100,000","-17,200,000","-17,300,000","-17,000,000","-17,000,000","-13,000,000","-12,800,000",,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,"13,295,000","10,781,000","10,695,000","8,947,000","7,040,000","6,771,000","6,956,000","6,699,000","6,938,000","7,118,000","7,507,000","16,187,000","15,781,000","15,406,000","16,038,000","11,670,000","9,160,000","9,098,000","8,865,000",,,,"-634,000",,,,,,,,,,,,,,"-58,000",,"101,758,000","99,314,000","100,699,000","104,992,000","38,543,000","77,482,000","99,732,000","88,314,000","85,075,000","86,305,000","86,587,000","27,613,000","79,589,000","77,849,000","78,481,000","75,752,000","74,720,000","76,358,000","73,722,000","69,076,000","67,106,000","74,434,000","66,542,000","63,684,000","62,930,000","23,567,000","23,967,000","62,928,000","61,749,000","20,844,000","61,115,000","20,259,000","32,534,000",,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"464,868,000","131,651,000","118,625,000","109,476,000","105,116,000","109,149,000","101,655,000","106,078,000","110,631,000","116,903,000","106,025,000","105,252,000","102,017,000","108,776,000","100,136,000","97,811,000","97,857,000","101,965,000","98,801,000","90,183,000","83,817,000","81,540,000","78,724,000","78,215,000","77,422,000","77,385,000","73,794,000","69,996,000","69,246,000","70,898,000","63,986,000","62,510,000","44,758,000","42,384,000","38,118,000","38,795,000","38,587,000","37,292,000","33,307,000","32,433,000","30,245,000","27,786,000","26,666,000","24,422,000","24,243,000","23,420,000","22,274,000","23,717,000","23,745,000","22,782,000","21,779,000","24,633,000","25,084,000","24,173,000","22,887,000","24,516,000","32,260,000","32,841,000","31,049,000","22,314,000","21,669,000","46,352,000","21,744,000","28,182,000","28,216,000","26,804,000","23,674,000","24,193,000","24,018,000","22,007,000","20,927,000","22,154,000","21,788,000","16,843,000","14,968,000","15,555,000","16,015,000","16,620,000","16,609,000","17,110,000","16,685,000","17,424,000","18,250,000","19,042,000","18,253,000","18,655,000","17,851,000","18,119,000","4,921,000","-190,899,000","89,300,000","83,200,000","92,900,000","-169,303,000","86,500,000","80,100,000","78,000,000","-91,915,000","51,100,000","48,300,000","43,900,000","-108,712,000","41,900,000","42,300,000","40,000,000","39,800,000","39,400,000","30,900,000","29,900,000","41,900,000","14,500,000","10,600,000","7,700,000"
NetNonOperatingInterestIncomeExpense,"-156,881,000","-39,108,000","-39,234,000","-38,867,000","-39,672,000","-40,952,000","-41,010,000","-42,118,000","-43,482,000","-43,698,000","-44,513,000","-45,936,000","-45,700,000","-44,454,000","-44,650,000","-43,585,000","-40,905,000","-47,378,000","-35,637,000","-37,831,000","-33,905,000","-32,964,000","-32,104,000","-31,977,000","-32,179,000","-30,833,000","-30,229,000","-30,404,000","-30,848,000","-31,636,000","-29,166,000","-30,416,000","-31,827,000","-30,434,000","-15,745,000","-16,051,000","-16,473,000","-19,238,000","-14,609,000","-14,158,000","-14,242,000","-14,880,000","-15,379,000","-14,035,000","-13,755,000","-14,295,000","-13,381,000","-13,907,000","-13,576,000","-13,946,000","-14,210,000","-14,404,000","-14,149,000","-15,656,000","-14,889,000","-15,029,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,,,,,,,,,,,,,,,,,,,"4,303,000","650,000","2,679,000","565,000","64,000","62,000","32,000","-9,000","-179,000","29,000","-157,000","-258,000","85,000","921,000","160,000","402,000","16,000","23,000","47,000","87,000","89,000","112,000","108,000","117,000","108,000","114,000","235,000","219,000","217,000","86,000","315,000","76,000","161,000","68,000","80,000","170,000","115,000","116,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"156,881,000","39,108,000","39,234,000","38,867,000","39,672,000","40,952,000","41,010,000","42,118,000","43,482,000","43,698,000","44,513,000","45,936,000","45,700,000","44,454,000","44,650,000","43,585,000","40,905,000","39,746,000","39,940,000","38,481,000","36,584,000","33,529,000","32,168,000","32,039,000","32,211,000","33,543,000","29,342,000","29,528,000","29,931,000","30,374,000","28,251,000","30,163,000","30,676,000","30,200,000","14,941,000","15,271,000","15,716,000","15,773,000","14,698,000","14,270,000","14,350,000","14,997,000","15,487,000","14,149,000","13,990,000","14,514,000","13,598,000","13,993,000","13,891,000","14,022,000","14,371,000","14,472,000","14,229,000","15,826,000","15,004,000","15,145,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
