name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014
BasicEPS,,"0.46","0.42","0.48","0.27","3.55","0.62","0.34","0.07","0.52","0.56","0.47","0.44","6.26","0.65","0.84","0.75","0.97","0.77","0.69","0.58","0.65","0.66","0.69","0.49",,"0.57","0.659","0.59",
DilutedEPS,,"0.45","0.42","0.48","0.27","3.37","0.61","0.33","0.07","0.52","0.56","0.46","0.43","6.17","0.64","0.83","0.74","0.95","0.76","0.68","0.57","0.64","0.65","0.69","0.48",,"0.57","0.659","0.59",
BasicAverageShares,,"359,300,000","358,900,000","339,400,000","338,600,000","338,000,000","337,600,000","337,300,000","336,800,000","336,400,000","336,100,000","335,600,000","335,100,000","334,600,000","349,900,000","349,200,000","348,600,000","348,100,000","347,700,000","347,200,000","347,000,000","346,200,000","346,000,000","345,200,000","344,300,000",,"345,200,000","345,200,000","345,200,000",
DilutedAverageShares,,"362,900,000","362,200,000","342,400,000","341,700,000","360,700,000","340,800,000","339,700,000","340,000,000","340,100,000","339,900,000","339,700,000","339,500,000","339,300,000","355,300,000","355,000,000","354,400,000","353,900,000","352,900,000","352,200,000","351,500,000","349,700,000","349,200,000","345,200,000","347,400,000",,"345,200,000","345,200,000","345,200,000",
TotalOperatingIncomeAsReported,"812,800,000","203,100,000","200,800,000","211,300,000","197,600,000","-81,700,000","310,400,000","191,100,000","119,600,000","295,200,000","242,100,000","249,500,000","217,300,000","136,300,000","321,400,000","382,400,000","338,200,000","355,800,000","355,900,000","348,300,000","294,900,000","337,700,000","323,200,000","322,100,000","263,000,000","338,100,000","301,800,000","335,700,000","294,100,000","319,000,000"
TotalExpenses,"4,441,900,000","1,173,200,000","1,098,700,000","1,108,400,000","1,061,600,000","-385,600,000","1,591,900,000","1,380,100,000","1,508,600,000","1,707,200,000","1,617,900,000","1,615,200,000","1,375,600,000","879,600,000","1,518,700,000","1,473,600,000","1,402,500,000","1,450,900,000","1,329,400,000","1,280,500,000","1,240,300,000","1,289,400,000","1,244,200,000","1,233,000,000","1,211,700,000","1,223,300,000","1,222,800,000","1,229,200,000","1,219,400,000","1,368,400,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"608,400,000","166,500,000","150,800,000","180,900,000","110,200,000","1,215,600,000","225,800,000","130,000,000","41,900,000","192,800,000","207,100,000","174,600,000","164,400,000","2,112,300,000","245,300,000","295,000,000","261,200,000","336,900,000","267,800,000","240,100,000","199,700,000","224,500,000","226,900,000","238,900,000","182,000,000","236,100,000","196,600,000","227,400,000","203,700,000","228,900,000"
NormalizedIncome,"630,526,000","165,671,670.429","151,100,000","159,198,000","156,773,900","174,515,000","225,800,000","130,300,000","104,569,000","179,094,684.796","170,961,600","175,300,000","164,000,000","116,800,000","245,300,000","295,000,000","261,200,000","336,900,000","256,034,300","240,100,000","199,700,000","224,500,000","226,900,000","238,900,000","182,000,000","236,100,000","196,600,000","227,400,000","203,700,000","228,900,000"
InterestExpense,"103,200,000",,,,"27,700,000","17,800,000","43,900,000","43,200,000",,,,,,"26,700,000","24,400,000","25,300,000","24,600,000","17,800,000","22,900,000","22,700,000","22,600,000","22,900,000","23,400,000","2,700,000",,,,"0",,
NetInterestIncome,"-103,200,000","-25,200,000","-25,100,000","-25,200,000","-27,700,000","-17,800,000","-43,900,000","-43,200,000","-43,600,000","-47,500,000","-47,000,000","-44,400,000","-25,300,000","-22,700,000","-24,400,000","-25,300,000","-24,600,000","-17,800,000","-22,900,000","-22,700,000","-22,600,000","-22,900,000","-23,400,000","-2,700,000",,,,"0",,
