name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006
TotalRevenue,"31,405,000,000","8,104,000,000","8,122,000,000","7,594,000,000","7,585,000,000","7,444,000,000","7,446,000,000","6,651,000,000","7,153,000,000","7,713,000,000","7,642,000,000","7,699,000,000","6,751,000,000","7,499,000,000","7,504,000,000","7,726,000,000","6,896,000,000","8,294,000,000","7,473,000,000","6,917,000,000","6,064,000,000","6,971,000,000","6,982,000,000","6,649,000,000","6,083,000,000","6,392,000,000","6,927,000,000","6,859,000,000","6,616,000,000","7,197,000,000","7,856,000,000","7,797,000,000","6,917,000,000","7,789,000,000","7,927,000,000","7,917,000,000","7,584,000,000","7,889,000,000","7,920,000,000","8,120,000,000","7,448,000,000","7,671,000,000","8,362,000,000","8,273,000,000","6,791,000,000","7,037,000,000","6,614,000,000","7,061,000,000","6,496,000,000","6,717,000,000","6,587,000,000","6,134,000,000","5,597,000,000","5,713,000,000","6,953,000,000","6,709,000,000","6,330,000,000","5,498,000,000","5,916,000,000","5,835,000,000","5,549,000,000","12,065,000,000","12,065,000,000","12,065,000,000","12,065,000,000"
	OperatingRevenue,"82,223,000,000","20,830,000,000","21,617,000,000","20,421,000,000","19,355,000,000","19,531,000,000","20,444,000,000","17,819,000,000","18,253,000,000","19,849,000,000","20,380,000,000","19,987,000,000","17,705,000,000","19,858,000,000","20,439,000,000","21,100,000,000","18,426,000,000","21,585,000,000","20,638,000,000","19,319,000,000","16,556,000,000","19,189,000,000","19,935,000,000","19,041,000,000","16,788,000,000","18,371,000,000","19,422,000,000","18,763,000,000","17,352,000,000","19,941,000,000","21,335,000,000","21,051,000,000","17,779,000,000","20,390,000,000","20,629,000,000","20,483,000,000","18,527,000,000","19,742,000,000","19,592,000,000","20,037,000,000","18,022,000,000","18,876,000,000","20,706,000,000","20,234,000,000","16,530,000,000","17,807,000,000","16,936,000,000","17,383,000,000","15,587,000,000","17,008,000,000","16,573,000,000","15,213,000,000","13,286,000,000","13,973,000,000","17,365,000,000","16,703,000,000","15,599,000,000","13,648,000,000","14,232,000,000","13,948,000,000","13,268,000,000","12,065,000,000","12,065,000,000","12,065,000,000","12,065,000,000"
	ExciseTaxes,"50,818,000,000","12,726,000,000","13,495,000,000","12,827,000,000","11,770,000,000","12,087,000,000","12,998,000,000","11,168,000,000","11,100,000,000","12,136,000,000","12,738,000,000","12,288,000,000","10,954,000,000","12,359,000,000","12,935,000,000","13,374,000,000","11,530,000,000","13,291,000,000","13,165,000,000","12,402,000,000","10,492,000,000","12,218,000,000","12,953,000,000","12,392,000,000","10,705,000,000","11,979,000,000","12,495,000,000","11,904,000,000","10,736,000,000","12,744,000,000","13,479,000,000","13,254,000,000","10,862,000,000","12,601,000,000","12,702,000,000","12,566,000,000","10,943,000,000","11,853,000,000","11,672,000,000","11,917,000,000","10,574,000,000","11,205,000,000","12,344,000,000","11,961,000,000","9,739,000,000","10,770,000,000","10,322,000,000","10,322,000,000","9,091,000,000","10,291,000,000","9,986,000,000","9,079,000,000","7,689,000,000","8,260,000,000","10,412,000,000","9,994,000,000","9,269,000,000","8,150,000,000","8,316,000,000","8,113,000,000","7,719,000,000",,,,
CostOfRevenue,"10,030,000,000","2,807,000,000","2,596,000,000","2,353,000,000","2,274,000,000","2,572,000,000","2,416,000,000","2,179,000,000","2,402,000,000","2,778,000,000","2,605,000,000","2,665,000,000","2,465,000,000","2,781,000,000","2,618,000,000","2,744,000,000","2,615,000,000","3,001,000,000","2,735,000,000","2,519,000,000","2,177,000,000","2,499,000,000","2,432,000,000","2,364,000,000","2,096,000,000","2,375,000,000","2,383,000,000","2,378,000,000","2,229,000,000","2,632,000,000","2,734,000,000","2,696,000,000","2,374,000,000","2,602,000,000","2,618,000,000","2,701,000,000","2,489,000,000","2,681,000,000","2,584,000,000","2,666,000,000","2,442,000,000","2,692,000,000","2,847,000,000","2,844,000,000","2,295,000,000","2,501,000,000","2,290,000,000","2,550,000,000","2,372,000,000","2,546,000,000","2,320,000,000","2,185,000,000","1,971,000,000","2,086,000,000","2,481,000,000","2,462,000,000","2,299,000,000","2,126,000,000","2,229,000,000","2,244,000,000","2,121,000,000",,,,
GrossProfit,"21,375,000,000","5,297,000,000","5,526,000,000","5,241,000,000","5,311,000,000","4,872,000,000","5,030,000,000","4,472,000,000","4,751,000,000","4,935,000,000","5,037,000,000","5,034,000,000","4,286,000,000","4,718,000,000","4,886,000,000","4,982,000,000","4,281,000,000","5,293,000,000","4,738,000,000","4,398,000,000","3,887,000,000","4,472,000,000","4,550,000,000","4,285,000,000","3,987,000,000","4,017,000,000","4,544,000,000","4,481,000,000","4,387,000,000","4,565,000,000","5,122,000,000","5,101,000,000","4,543,000,000","5,187,000,000","5,309,000,000","5,216,000,000","5,095,000,000","5,208,000,000","5,336,000,000","5,454,000,000","5,006,000,000","4,979,000,000","5,515,000,000","5,429,000,000","4,496,000,000","4,536,000,000","4,324,000,000","4,511,000,000","4,124,000,000","4,171,000,000","4,267,000,000","3,949,000,000","3,626,000,000","3,627,000,000","4,472,000,000","4,247,000,000","4,031,000,000","3,372,000,000","3,687,000,000","3,591,000,000","3,428,000,000",,,,
OperatingExpense,"8,515,000,000","2,383,000,000","2,098,000,000","2,139,000,000","1,895,000,000","1,996,000,000","1,810,000,000","1,763,000,000","1,985,000,000","2,457,000,000","2,269,000,000","1,867,000,000","2,257,000,000","2,038,000,000","1,737,000,000","1,895,000,000","1,861,000,000","1,975,000,000","1,670,000,000","1,677,000,000","1,491,000,000","1,860,000,000","1,573,000,000","1,532,000,000","1,514,000,000","2,048,000,000","1,585,000,000","1,589,000,000","1,516,000,000","2,001,000,000","1,786,000,000","1,738,000,000","1,569,000,000","1,683,000,000","1,716,000,000","1,879,000,000","1,705,000,000","1,959,000,000","1,679,000,000","1,842,000,000","1,595,000,000","1,994,000,000","1,795,000,000","1,716,000,000","1,473,000,000","1,766,000,000","1,468,000,000","1,605,000,000","1,409,000,000","1,704,000,000","1,416,000,000","1,519,000,000","1,305,000,000","1,692,000,000","1,569,000,000","1,591,000,000","1,193,000,000","1,339,000,000","1,177,000,000","1,298,000,000","1,235,000,000",,,,
	SellingGeneralAndAdministration,"8,419,000,000","2,342,000,000","2,080,000,000","2,120,000,000","1,877,000,000","1,978,000,000","1,792,000,000","1,744,000,000","1,967,000,000","2,441,000,000","2,254,000,000","1,851,000,000","2,238,000,000","2,019,000,000","1,717,000,000","1,874,000,000","1,839,000,000","1,952,000,000","1,649,000,000","1,655,000,000","1,469,000,000","1,842,000,000","1,554,000,000","1,513,000,000","1,496,000,000","2,028,000,000","1,566,000,000","1,568,000,000","1,494,000,000","1,975,000,000","1,763,000,000","1,716,000,000","1,547,000,000","1,661,000,000","1,693,000,000","1,855,000,000","1,681,000,000","1,935,000,000","1,655,000,000","1,817,000,000","1,571,000,000","1,969,000,000","1,770,000,000","1,692,000,000","1,449,000,000","1,743,000,000","1,446,000,000","1,582,000,000","1,389,000,000","1,684,000,000","1,398,000,000","1,498,000,000","1,290,000,000","1,677,000,000","1,556,000,000","1,584,000,000","1,184,000,000","1,329,000,000","1,171,000,000","1,292,000,000","1,229,000,000",,,,
		GeneralAndAdministrativeExpense,"115,000,000","33,000,000","27,000,000","27,000,000","28,000,000","29,000,000","23,000,000","22,000,000","23,000,000","28,000,000","20,000,000","20,000,000","21,000,000","22,000,000","7,000,000","6,000,000","6,000,000","1,952,000,000","1,649,000,000","1,655,000,000","1,469,000,000","1,842,000,000","1,554,000,000","1,513,000,000","1,496,000,000","2,028,000,000","1,566,000,000","1,568,000,000","1,494,000,000","1,975,000,000","1,763,000,000","1,716,000,000","1,547,000,000","1,661,000,000","1,693,000,000","1,855,000,000","1,681,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,"115,000,000","33,000,000","27,000,000","27,000,000","28,000,000","29,000,000","23,000,000","22,000,000","23,000,000","28,000,000","20,000,000","20,000,000","21,000,000","22,000,000","7,000,000","6,000,000","6,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,,,,"2,093,000,000","1,849,000,000","1,949,000,000","1,769,000,000","1,722,000,000","1,944,000,000","2,413,000,000","2,234,000,000","1,831,000,000","2,217,000,000","1,997,000,000","1,710,000,000","1,868,000,000","1,833,000,000","1,952,000,000","1,649,000,000","1,655,000,000","1,469,000,000","1,842,000,000","1,554,000,000","1,513,000,000","1,496,000,000","2,028,000,000","1,566,000,000","1,568,000,000","1,494,000,000","1,975,000,000","1,763,000,000","1,716,000,000","1,547,000,000","1,661,000,000","1,693,000,000","1,855,000,000","1,681,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
