name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,11/30/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001
BasicEPS,,,"1.34","1.34","1.89",,"0.86","1.45","1.05",,"0.99","1.38","1.54",,"1.6","1.59","1.37",,"2.8","1.07","1.21",,"1.07","1.11","1.26",,"1.024","0.818","1.407","0.92","0.82","1.043","0.96","0.791","0.82","0.836","0.756","0.608","0.744","0.6","0.58","0.67",,"0.2","0.81","0.61",,"0.444","0.42","0.6",,"0.58","0.52","0.43",,"0.35","0.65","0.67",,"0.88","1.14","0.96",,"0.93","0.77","1.02",,"0.75","0.83","0.69",,"0.96","0.38","0.6",,"0.67","0.62","0.47",,"-0.46","0.34","-0.1",,"0.32"
DilutedEPS,,,"1.32","1.32","1.87",,"0.85","1.45","1.04",,"0.98","1.37","1.53",,"1.59","1.58","1.36",,"2.76","1.06","1.19",,"1.06","1.1","1.25",,"1.01","0.81","1.39","0.91","0.77","1.03","0.95","0.78","0.82","0.82","0.75","0.608","0.74","0.6","0.573","0.66",,"0.2","0.8","0.6",,"0.44","0.42","0.59",,"0.57","0.52","0.43",,"0.35","0.64","0.67",,"0.87","1.12","0.95",,"0.92","0.76","1.01",,"0.74","0.82","0.68",,"0.95","0.37","0.6",,"0.67","0.62","0.47",,"-0.46","0.34","-0.1",,"0.32"
BasicAverageShares,,,"266,100,000","269,000,000","272,500,000",,"274,500,000","274,000,000","273,388,576",,"279,000,000","279,000,000","278,700,000",,"284,900,000","286,400,000","289,400,000",,"289,300,000","288,900,000","288,300,000",,"288,100,000","289,900,000","291,500,000",,"293,500,000","294,700,000","294,400,000","293,900,000","293,600,000","293,800,000","295,800,000","295,200,000","298,600,000","293,900,000","293,900,000","293,300,000","293,800,000","297,500,000","301,900,000","300,900,000",,"311,900,000","320,000,000","321,300,000",,"320,300,000","320,100,000","319,800,000",,"319,100,000","289,900,000","260,000,000",,"259,500,000","259,100,000","260,000,000",,"263,977,273","266,491,228","267,812,500",,"269,892,473","273,376,623","280,098,039",,"280,000,000","287,831,325","297,826,087",,"311,250,000","315,000,000","322,666,667",,"322,835,821","326,129,032","331,276,596",,"344,347,826","353,529,412","349,000,000",,"361,875,000"
DilutedAverageShares,,,"266,100,000","269,000,000","272,500,000",,"274,500,000","274,000,000","273,388,576",,"281,400,000","281,200,000","280,900,000",,"287,800,000","289,200,000","292,900,000",,"293,100,000","292,700,000","292,400,000",,"291,400,000","292,600,000","294,300,000",,"298,500,000","298,400,000","298,500,000","298,300,000","298,200,000","298,300,000","299,500,000","299,300,000","298,600,000","298,600,000","297,200,000","297,100,000","297,300,000","297,500,000","301,900,000","304,700,000",,"314,800,000","323,200,000","324,700,000",,"323,181,818","322,900,000","322,100,000",,"321,500,000","291,400,000","260,500,000",,"261,000,000","261,200,000","260,000,000",,"267,011,494","271,250,000","270,631,579",,"272,826,087","276,973,684","282,871,287",,"283,783,784","291,341,463","302,205,882",,"314,526,316","323,513,514","322,666,667",,"322,835,821","326,129,032","331,276,596",,"352,000,000","353,529,412","349,000,000",,"361,875,000"
TotalExpenses,"12,179,100,000","3,482,100,000","2,995,600,000","3,106,800,000","2,594,600,000","3,173,500,000","3,035,600,000","2,616,000,000","4,223,100,000","3,675,900,000","4,112,700,000","3,522,300,000","3,217,900,000","3,527,700,000","3,779,000,000","2,719,500,000","2,426,600,000","2,922,900,000","3,470,000,000","2,812,700,000","2,635,400,000","3,132,500,000","2,447,300,000","2,625,800,000","2,596,800,000","2,498,000,000","2,871,700,000","2,964,700,000","2,199,200,000","2,590,800,000","2,090,500,000","2,199,200,000","2,102,200,000","2,362,700,000",,"1,919,300,000","1,945,000,000","1,938,500,000","2,030,000,000","2,523,300,000","1,883,600,000","1,818,800,000","1,865,400,000","1,950,600,000","1,969,700,000","1,936,300,000","2,108,800,000","2,125,000,000","2,075,800,000","2,007,700,000","2,062,900,000","2,022,000,000","1,959,900,000","2,058,500,000","2,339,700,000","2,401,700,000","2,452,200,000","2,288,700,000","2,594,500,000","2,518,000,000","2,419,100,000","2,326,700,000","2,264,400,000","2,107,400,000","2,151,900,000","2,018,100,000","2,169,800,000","1,932,000,000","1,917,500,000","1,864,100,000","1,963,300,000","1,853,300,000","1,816,600,000","1,991,700,000","2,266,700,000","1,981,900,000","2,127,300,000","2,074,600,000","2,140,800,000","1,950,900,000","2,226,000,000","1,916,400,000","2,031,600,000","2,307,900,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"1,710,600,000","471,800,000","359,900,000","361,800,000","517,100,000","472,600,000","236,000,000","398,300,000","288,900,000","300,900,000","277,100,000","386,300,000","429,900,000","236,500,000","456,300,000","456,600,000","397,100,000","841,800,000","810,200,000","309,500,000","348,900,000","318,000,000","308,200,000","322,300,000","368,000,000","253,600,000","300,400,000","257,600,000","422,400,000","278,700,000","248,900,000","314,600,000","301,900,000","241,700,000",,"253,900,000","230,600,000","186,500,000","226,900,000","187,900,000","181,400,000","209,700,000","172,300,000","71,900,000","266,300,000","204,500,000","207,600,000","150,400,000","142,300,000","199,000,000","150,200,000","192,900,000","158,600,000","121,000,000","800,000","98,300,000","176,600,000","182,400,000","42,400,000","240,500,000","312,100,000","265,300,000","292,400,000","259,200,000","218,800,000","293,900,000","255,200,000","219,400,000","238,900,000","205,500,000","213,500,000","298,800,000","119,700,000","199,300,000","173,300,000","218,500,000","202,200,000","155,700,000","215,400,000","-158,400,000","120,200,000","246,000,000","18,600,000","115,800,000"
NormalizedIncome,"1,710,600,000","471,800,000","359,900,000","361,800,000","517,100,000","472,600,000","236,000,000","398,300,000","288,900,000","300,900,000","277,100,000","386,300,000","429,900,000","236,500,000","456,300,000","456,600,000","397,100,000","841,800,000","810,200,000","309,500,000","348,900,000","318,000,000","308,200,000","322,300,000","368,000,000","253,600,000","300,400,000","257,600,000","422,400,000","278,700,000","248,900,000","314,600,000","301,900,000","241,700,000",,"253,900,000","230,600,000","186,500,000","226,900,000","188,680,000","181,400,000","209,700,000","172,300,000","71,900,000","266,300,000","204,500,000","207,600,000","150,400,000","142,300,000","199,000,000","150,200,000","192,900,000","158,600,000","121,000,000","800,000","98,300,000","176,600,000","182,400,000","22,200,000","240,500,000","312,100,000","265,300,000","261,800,000","259,200,000","218,800,000","293,900,000","244,100,000","219,300,000","223,800,000","205,500,000","215,600,000","194,600,000","128,900,000","199,300,000","162,800,000","206,100,000","202,600,000","156,400,000","217,200,000","42,600,000","120,200,000","246,000,000","18,600,000","115,800,000"
InterestExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,"41,300,000","37,500,000","32,600,000","33,000,000","33,000,000","33,100,000",,"35,400,000",,"34,900,000","36,100,000","36,000,000","39,900,000","31,200,000","1,300,000","31,100,000",,"1,600,000",,,,"30,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetInterestIncome,,,,,,,,,,,,,,,,,,,,,,,,,,,"-41,300,000","-37,500,000","-32,600,000","-33,000,000","-33,000,000","-33,100,000",,"-35,400,000",,"-34,900,000","-36,100,000","-36,000,000","-39,900,000","-31,200,000","-1,300,000","-31,100,000",,"-1,600,000",,,,"-30,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBIT,,,,,,,,,,,,,,,,,,,,,,,,,,,"422,600,000","461,800,000","440,600,000","430,000,000","501,000,000","458,500,000",,"424,700,000",,"387,800,000","395,500,000","340,400,000","345,400,000","191,500,000","236,300,000","317,300,000",,"139,800,000",,,,"321,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ReconciledDepreciation,"275,300,000",,,,,,,,,"63,000,000","59,600,000","53,200,000","51,000,000","53,200,000","50,700,000","50,600,000","50,600,000","50,900,000","49,300,000","47,400,000","48,100,000","47,000,000","46,400,000","47,400,000","45,800,000","43,700,000","66,000,000","41,700,000","41,600,000","46,700,000","41,300,000","41,000,000","40,500,000","39,400,000",,"39,300,000","40,300,000","34,900,000","32,100,000","41,000,000","31,400,000","36,800,000","28,400,000","28,100,000","27,900,000","31,400,000","-178,100,000","133,600,000","106,500,000","102,700,000","-36,300,000","69,800,000","-13,400,000","118,400,000","-173,000,000","121,800,000","93,100,000","103,100,000","107,000,000","163,100,000","104,300,000","113,100,000","77,700,000","80,600,000","162,800,000","23,400,000","-151,500,000","78,300,000","86,400,000","88,400,000","87,200,000","87,500,000","24,100,000","122,800,000","136,000,000","183,900,000","239,100,000","135,800,000","317,000,000","-24,100,000","212,000,000","110,500,000","249,800,000",
NetIncomeFromContinuingOperationNetMinorityInterest,"1,710,600,000","471,800,000","359,900,000","361,800,000","517,100,000","472,600,000","236,000,000","398,300,000","288,900,000","300,900,000","277,100,000","386,300,000","429,900,000","236,500,000","456,300,000","456,600,000","397,100,000","841,800,000","810,200,000","309,500,000","348,900,000","318,000,000","308,200,000","322,300,000","368,000,000","253,600,000","300,400,000","257,600,000","422,400,000","278,700,000","248,900,000","314,600,000","301,900,000","241,700,000",,"253,900,000","230,600,000","186,500,000","226,900,000","187,900,000","181,400,000","209,700,000","172,300,000","71,900,000","266,300,000","204,500,000","207,600,000","150,400,000","142,300,000","199,000,000","150,200,000","192,900,000","158,600,000","121,000,000","800,000","98,300,000","176,600,000","182,400,000","22,200,000","240,500,000","312,100,000","265,300,000","261,800,000","259,200,000","218,800,000","293,900,000","244,100,000","219,300,000","223,800,000","205,500,000","215,600,000","194,600,000","128,900,000","199,300,000","162,800,000","206,100,000","202,600,000","156,400,000","217,200,000","42,600,000","120,200,000","246,000,000","18,600,000","115,800,000"
TotalUnusualItemsExcludingGoodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TotalUnusualItems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TaxRateForCalcs,"0.16","0.17","0.15","0.14","0.16","0.169","0.14","0.17","0.13","0.151","0.18","0.13","0.14","0.046","0.19","0.11","0.12","0.4","0.3","0.14","0.15","0.113","0.12","0.18","0.16","0.164","0.18","0.1","0.06","0.116","0.36","0.22","0.14","0.192",,"0.19","0.11","0.17","0.134","0.35","0.217","0.21","0.112","0.35","0.221","0.213","0.173","0.075","0.086","0.206","0.086","0.178","0.171","0.058","0.35","0.35","0.143","0.14","0.35","0.275","0.243","0.206","0.2","0.218","0.262","0.213","0.114","0.234","0.21","0.267","0.217","0.173","0.21","0.249","0.4","0.275","0.289","0.296","0.4","0.053","0.219","0.31","0.4","0.221"
TaxEffectOfUnusualItems,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","0","0","-420,000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
