name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000
OperatingIncome,"1,218,620,000","315,120,000","282,670,000","371,172,000","249,659,000","371,267,000","317,101,000","188,389,000","177,482,000","276,523,000","261,460,000","256,221,000","151,383,000","222,673,000","195,959,000","217,508,000","142,202,000","179,375,000","169,790,000","203,350,000","116,345,000","159,816,000","159,616,000","200,674,000","103,803,000","145,762,000","125,457,000","166,664,000","111,698,000","176,000,000","175,504,000","218,754,000","120,369,000","172,471,000","151,749,000","169,886,000","79,926,000","149,759,000","160,062,000","204,006,000","90,333,000","200,089,000","147,334,000","131,591,000","74,753,000","184,649,000","166,637,000","202,043,000","83,348,000","292,016,000","236,883,000","199,152,000","57,959,000","236,419,000","214,363,000","238,503,000","172,732,000","313,302,000","214,157,000","241,567,000","138,324,000","198,898,000","120,972,000","134,576,000","100,113,000","98,191,000","85,156,000","89,070,000","65,752,000","79,754,000","77,117,000","64,208,000","49,589,000","62,665,000","51,954,000","60,115,000","52,266,000","53,031,000","40,042,000","49,087,000","35,280,000","31,679,000","30,760,000","38,484,000","30,363,000","-130,786,000","86,693,000","86,693,000","86,693,000"
NetNonOperatingInterestIncomeExpense,"28,573,000","7,005,000","6,897,000","7,018,000","7,652,000","6,744,000","7,777,000","10,455,000","12,026,000","13,069,000","12,309,000","13,735,000","13,704,000","14,837,000","11,089,000","10,995,000","10,227,000","9,994,000","9,207,000","9,281,000","8,444,000","9,297,000","8,226,000","8,455,000","7,428,000","7,358,000","6,851,000","7,420,000","8,024,000","6,803,000","9,344,000","9,670,000","9,768,000","9,759,000","8,435,000","8,179,000","8,898,000","8,830,000","7,987,000","8,620,000","9,671,000","9,494,000","8,464,000","7,639,000","7,214,000","5,369,000","5,695,000","5,791,000","6,879,000","6,873,000","6,360,000","5,190,000","5,097,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"28,573,000","7,005,000","6,897,000","7,018,000","7,652,000","6,744,000","7,777,000","10,455,000","12,026,000","13,069,000","12,309,000","13,735,000","13,704,000","14,837,000","11,089,000","10,995,000","10,227,000","9,994,000","9,207,000","9,281,000","8,444,000","9,297,000","8,226,000","8,455,000","7,428,000","7,358,000","6,851,000","7,420,000","8,024,000","6,803,000","9,344,000","9,670,000","9,768,000","9,759,000","8,435,000","8,179,000","8,898,000","8,830,000","7,987,000","8,620,000","9,671,000","9,494,000","8,464,000","7,639,000","7,214,000","6,615,000","5,695,000","5,791,000","6,879,000","6,873,000","6,360,000","5,190,000","5,097,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-40,397,000","-13,287,000","-14,181,000","-6,131,000","-6,797,000","13,455,000","11,839,000","-1,252,000","-11,873,000","-2,180,000","-16,002,000","5,822,000","1,178,000","-5,638,000","-5,721,000","7,565,000","1,551,000","-8,878,000","7,059,000","15,424,000","-37,097,000","-556,000","-18,077,000","-5,328,000","-3,684,000","-577,000","32,583,000","-526,000","-43,526,000","17,094,000","-12,186,000","-19,704,000","12,330,000","22,309,000","616,000","28,520,000","-7,190,000","-3,680,000","-5,422,000","-5,190,000","-448,000","-24,456,000","19,238,000","-12,158,000","14,959,000","-33,594,000","38,584,000","-43,425,000","-44,704,000","-6,681,000","13,436,000","-4,501,000","-3,132,000","-40,170,000","-11,721,000","68,004,000","1,384,000","24,682,000","-3,056,000","-5,748,000","13,256,000","-9,754,000","14,944,000","2,791,000","-3,841,000","-9,050,000","36,248,000","-1,464,000","-10,841,000","-25,268,000","4,411,000","3,627,000","-7,607,000","4,445,000","-8,983,000","-2,640,000","-818,000",,"9,573,000","-8,911,000","-662,000","4,096,000","246,000","8,397,000","-980,000",,,,
	GainOnSaleOfSecurity,"-45,263,000","-14,642,000","-15,014,000","-7,326,000","-8,281,000","12,627,000","10,113,000","-4,493,000","-15,423,000","-4,231,000","-16,296,000","3,413,000","314,000","-4,211,000","-6,868,000","2,647,000","816,000","-8,771,000","8,579,000","15,110,000","-37,497,000","-1,648,000","-19,421,000","-5,743,000","-4,839,000","-9,288,000","30,573,000","-487,000","-44,264,000","15,967,000","-12,703,000","-20,378,000","12,814,000","17,258,000","-822,000","27,451,000","-8,348,000","-3,898,000","-6,364,000","-7,771,000","-1,989,000","-24,522,000","14,893,000","-14,611,000","12,140,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"942,000","2,581,000","1,541,000","66,000","4,345,000","2,453,000","2,819,000","-31,212,000","38,584,000","-43,425,000","-44,704,000","-9,422,000","13,436,000","-4,501,000","-3,132,000","-91,054,000","-11,721,000","68,004,000","1,384,000","24,682,000","-3,056,000","-5,748,000","13,256,000","-9,754,000","14,944,000","2,791,000","-3,841,000","-9,050,000","36,248,000","-1,464,000","-10,841,000","-25,268,000","4,411,000","3,627,000","-7,607,000","4,445,000","-8,983,000","-2,640,000","-818,000",,"9,573,000","-8,911,000","-662,000","4,096,000","246,000","8,397,000","-980,000",,,,
	OtherNonOperatingIncomeExpenses,"4,866,000","1,355,000","833,000","1,195,000","1,484,000","828,000","1,726,000","3,241,000","3,550,000","2,051,000","294,000","2,409,000","864,000","-1,427,000","1,147,000","4,918,000","735,000","-107,000","-1,520,000","314,000","400,000","1,092,000","1,344,000","415,000","1,155,000","8,711,000","2,010,000","-39,000","738,000","1,127,000","517,000","674,000","-484,000","5,051,000","1,438,000","1,069,000","1,158,000","219,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"1,206,796,000","308,838,000","275,386,000","372,059,000","250,514,000","391,466,000","336,717,000","197,592,000","177,635,000","287,412,000","257,767,000","275,778,000","166,265,000","231,872,000","201,327,000","236,068,000","153,980,000","180,491,000","186,056,000","228,055,000","87,692,000","168,557,000","149,765,000","203,801,000","107,547,000","152,543,000","164,891,000","173,558,000","76,196,000","199,897,000","172,662,000","208,720,000","142,467,000","204,539,000","160,800,000","206,585,000","81,634,000","154,909,000","162,627,000","207,436,000","99,556,000","185,127,000","175,036,000","127,072,000","96,926,000","156,424,000","210,916,000","164,409,000","45,523,000","292,208,000","256,679,000","199,841,000","59,924,000","204,347,000","211,412,000","316,163,000","182,443,000","348,103,000","222,626,000","246,637,000","160,907,000","199,550,000","145,536,000","145,900,000","103,569,000","95,610,000","126,127,000","29,052,000","58,810,000","57,589,000","83,910,000","69,845,000","43,868,000","69,095,000","44,694,000","59,058,000","53,096,000","54,513,000","50,764,000","41,586,000","35,872,000","37,565,000","33,502,000","49,066,000","31,901,000",,,,
TaxProvision,"124,596,000","22,702,000","16,347,000","55,062,000","30,485,000","57,918,000","23,300,000","13,412,000","16,455,000","-73,379,000","29,901,000","52,122,000","26,092,000","41,722,000","17,113,000","45,726,000","24,606,000","41,711,000","38,643,000","57,105,000","-150,120,000","31,952,000","24,711,000","42,737,000","19,455,000","20,160,000","45,592,000","35,805,000","9,403,000","-10,348,000","319,496,000","26,737,000","23,649,000","40,954,000","-26,869,000","34,094,000","-7,032,000","25,615,000","22,279,000","21,532,000","12,698,000","19,571,000","24,655,000","17,595,000","1,444,000","23,517,000","-68,636,000","29,593,000","8,194,000","13,800,000","41,546,000","37,970,000","11,386,000","46,614,000","40,168,000","60,071,000","34,664,000","40,836,000","29,119,000","32,260,000","21,047,000","19,205,000","22,558,000","22,614,000","16,053,000","8,476,000","23,637,000","17,858,000","11,409,000","9,988,000","16,782,000","13,530,000","9,212,000","14,510,000","9,386,000","11,812,000","11,602,000","9,050,000","12,336,000","9,440,000","9,111,000","9,521,000","8,501,000","12,463,000","8,102,000",,,,
NetIncomeCommonStockholders,"1,082,200,000","286,136,000","259,039,000","316,997,000","220,029,000","333,548,000","313,417,000","184,180,000","161,180,000","360,791,000","227,866,000","223,656,000","140,173,000","190,150,000","184,214,000","190,342,000","129,374,000","138,780,000","147,413,000","170,950,000","237,812,000","136,605,000","125,054,000","161,064,000","88,092,000","132,383,000","119,299,000","137,753,000","66,793,000","210,245,000","-146,834,000","181,983,000","118,818,000","163,585,000","187,669,000","172,491,000","88,666,000","129,294,000","140,348,000","185,904,000","86,858,000","165,556,000","150,381,000","109,477,000","95,482,000","132,907,000","279,552,000","134,816,000","37,329,000","278,408,000","215,133,000","161,871,000","48,538,000","157,733,000","171,244,000","256,092,000","147,779,000","307,267,000","193,507,000","214,377,000","139,860,000","180,345,000","122,978,000","123,286,000","87,516,000","87,134,000","102,490,000","74,194,000","47,401,000","47,601,000","67,128,000","56,315,000","34,656,000","54,585,000","35,308,000","47,246,000","41,494,000","45,463,000","38,428,000","32,146,000","26,761,000","28,045,000","25,001,000","36,603,000","23,799,000","27,611,000","26,017,000","26,017,000","26,017,000"
