name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008
				AmortizationOfIntangiblesIncomeStatement,"49,886,000","17,649,000","12,206,000","11,052,000","8,979,000","8,940,000","7,892,000","7,667,000","7,781,000","8,645,000","7,406,000","7,251,000","5,342,000","5,320,000","5,678,000","5,482,000","5,632,000","7,307,000","7,242,000","7,129,000","7,183,000","7,428,000","9,511,000","8,217,000","7,797,000","6,131,000","6,285,000","5,980,000","5,195,000","5,303,000","5,277,000","5,099,000","5,345,000","6,286,000","7,003,000","6,345,000","6,185,000","8,965,000","12,389,000","12,288,000","12,225,000","12,450,000","11,987,000","11,856,000","11,727,000","13,063,000","13,063,000","12,921,000","12,761,000","13,097,000","13,097,000","12,954,000","12,812,000","11,998,000","11,998,000"
OperatingIncome,"742,601,000","196,946,000","173,579,000","182,952,000","189,124,000","171,054,000","155,637,000","89,553,000","62,862,000","104,508,000","105,556,000","90,926,000","71,173,000","108,848,000","106,519,000","85,467,000","56,347,000","94,073,000","72,859,000","52,287,000","31,845,000","77,231,000","56,340,000","44,082,000","26,964,000","68,003,000","67,867,000","39,467,000","44,911,000","79,115,000","70,794,000","73,283,000","65,306,000","91,218,000","87,289,000","76,433,000","96,525,000","67,780,000","59,124,000","37,158,000","59,493,000","35,860,000","44,178,000","21,800,000","11,143,000","26,208,000","29,770,000","18,854,000","15,464,000","29,322,000","30,588,000","24,786,000","13,816,000","23,173,000","22,531,000"
NetNonOperatingInterestIncomeExpense,"-32,953,000","-9,529,000","-7,980,000","-7,721,000","-7,723,000","-7,910,000","-8,096,000","-7,932,000","-9,053,000","-10,116,000","-10,704,000","-10,452,000","-10,272,000","-10,017,000","-9,824,000","-11,002,000","-10,113,000","-10,314,000","-10,672,000","-10,893,000","-10,788,000","-10,854,000","-14,256,000","-11,380,000","-11,035,000","-10,602,000","-12,591,000","-10,763,000","-11,268,000","-11,804,000","-12,294,000","4,586,000","-11,689,000","-12,003,000","-12,494,000","-14,263,000","-15,675,000","-16,667,000","-16,927,000","-9,865,000","-5,655,000","-5,862,000","-5,870,000","-5,911,000","-6,001,000","-6,410,000","-6,540,000","-5,720,000","-8,492,000","-17,210,000","-17,204,000","-18,482,000","-17,966,000","-26,556,000","-27,023,000"
	InterestIncomeNonOperating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,000","29,000","19,000","26,000","25,000","23,000",,,,,,,,,,,
	InterestExpenseNonOperating,"32,953,000","9,529,000","7,980,000","7,721,000","7,723,000","7,910,000","8,096,000","7,932,000","9,053,000","10,116,000","10,704,000","10,452,000","10,272,000","10,017,000","9,824,000","11,002,000","10,113,000","10,314,000","10,672,000","10,893,000","10,788,000","10,854,000","11,299,000","11,380,000","11,035,000","10,602,000","10,210,000","10,763,000","11,268,000","11,804,000","12,294,000","11,428,000","11,689,000","12,003,000","12,494,000","14,263,000","15,675,000","16,613,000","16,933,000","9,894,000","5,674,000","5,888,000","5,895,000","5,934,000","6,001,000","6,645,000","6,540,000","5,720,000","8,492,000","17,210,000","17,204,000","18,482,000","17,966,000","26,556,000","27,023,000"
	TotalOtherFinanceCost,,,,,,,,,,,,,,,,,,,,,,"0","2,957,000",,,"0","2,381,000",,,"0",,"-16,014,000",,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-18,122,000","-20,839,000","-235,000","-960,000","3,912,000","842,000","-256,000","444,000","-954,000","-11,033,000","109,000","59,000","-147,000","-2,148,000","-101,000","-1,852,000","-1,048,000","-661,000","-1,556,000","-1,535,000","43,000","-316,000","-558,000","162,000","2,000","-41,847,000","-2,022,000","-5,232,000","-2,940,000","-457,000","-3,638,000","4,553,000","607,000","-757,000","-750,000","-15,381,000","-1,426,000","-1,431,000","-330,000","-11,594,000","-4,734,000","25,000","-803,000","-513,000","-205,000","-1,115,000","-154,000","-223,000","-4,422,000","-149,000","1,044,000","4,800,000","10,049,000","-524,751,000","-28,000"
	GainOnSaleOfSecurity,"1,415,000","403,000","165,000","244,000","603,000","261,000","301,000","660,000","960,000","878,000","523,000","452,000","914,000","798,000","382,000","367,000","346,000","241,000","14,000","38,000","5,000","8,000",,"4,000","32,000","12,000","39,000","35,000","37,000","11,000","38,000","42,000","39,000","26,000","23,000","25,000","17,000","25,000",,,,,,,,,"62,000","36,000","74,000","116,000","129,000","694,000","1,266,000","-978,000",
	SpecialIncomeCharges,"-22,296,000","-21,465,000","0","-831,000",,"0",,,,"-926,000","0","0",,"0","0","-1,358,000","-11,000","-405,000","-51,000","-136,000","-185,000","-662,000","-577,000","0","-417,000","-41,729,000","-153,000","-3,427,000","-1,368,000","-248,000","-2,232,000","4,877,000","0","-27,000","-656,000","-13,497,000","-1,839,000","1,288,000","-330,000","-11,594,000","-4,734,000","25,000","-803,000","-513,000","-205,000","-943,000","-216,000","-259,000","-4,496,000","-265,000","915,000","4,106,000","8,783,000","-523,773,000","-1,606,000"
		RestructuringAndMergernAcquisition,"21,465,000","12,668,000",,,,,,,,,,,,,,"26,000","11,000","405,000","51,000","136,000","185,000","88,000","577,000","0","417,000","1,042,000","153,000","0",,"0","396,000","-4,877,000",,"27,000","656,000",,,"1,062,000",,,,,,,,,,,,,,,,,
