name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,03/31/2010,12/31/2009,09/30/2009
	InterestIncomeNonOperating,"9,000,000","1,000,000","1,000,000","5,000,000","2,000,000","2,000,000","3,000,000","4,000,000","3,000,000","3,000,000","5,000,000","5,000,000","6,000,000","5,000,000","14,000,000","15,000,000","11,000,000","9,000,000","5,000,000","4,000,000","6,000,000","4,000,000","4,000,000","4,000,000","5,000,000","7,000,000","8,000,000","7,000,000","11,000,000","7,000,000","13,000,000","7,000,000","6,000,000","3,000,000","5,000,000","5,000,000","2,000,000","5,000,000","4,000,000","2,000,000","4,000,000",,,"13,000,000","8,000,000","9,000,000","4,000,000","2,000,000","3,000,000","4,000,000"
	InterestExpenseNonOperating,"519,000,000","153,000,000","126,000,000","130,000,000","110,000,000","190,000,000","122,000,000","125,000,000","89,000,000","88,000,000","86,000,000","81,000,000","92,000,000","88,000,000","90,000,000","91,000,000","91,000,000","95,000,000","94,000,000","95,000,000","207,000,000","85,000,000","72,000,000","83,000,000","82,000,000","77,000,000","85,000,000","79,000,000","69,000,000","72,000,000","92,000,000","96,000,000","92,000,000","87,000,000","81,000,000","70,000,000","71,000,000","74,000,000","71,000,000","411,000,000","99,000,000","549,000,000","155,000,000","177,000,000","163,000,000","231,000,000","182,000,000","411,000,000","416,000,000","445,000,000"
	TotalOtherFinanceCost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"164,000,000",,,,,,
OtherIncomeExpense,"-101,000,000","-517,000,000","92,000,000","162,000,000","162,000,000","191,000,000","-497,000,000","65,000,000",,"39,000,000","62,000,000","74,000,000","89,000,000","85,000,000","106,000,000","84,000,000","120,000,000","87,000,000","195,000,000","107,000,000","111,000,000","85,000,000","100,000,000","114,000,000","179,000,000","77,000,000","103,000,000","94,000,000","90,000,000","82,000,000","67,000,000","74,000,000","72,000,000","27,000,000","62,000,000","34,000,000","65,000,000","40,000,000","25,000,000","34,000,000","50,000,000","31,000,000","62,000,000","90,000,000","13,000,000","-539,000,000","-81,000,000","62,000,000","-1,086,000,000","-961,000,000"
	EarningsFromEquityInterest,"461,000,000","72,000,000","104,000,000","148,000,000","137,000,000","133,000,000","62,000,000","61,000,000","0","46,000,000","51,000,000","64,000,000","64,000,000","36,000,000","89,000,000","68,000,000","96,000,000","81,000,000","81,000,000","78,000,000","81,000,000","78,000,000","81,000,000","117,000,000","91,000,000","87,000,000","93,000,000","90,000,000","69,000,000","64,000,000","64,000,000","68,000,000","61,000,000","40,000,000","61,000,000","43,000,000","59,000,000","38,000,000","32,000,000","27,000,000","46,000,000","33,000,000","52,000,000","73,000,000","58,000,000","30,000,000","29,000,000","55,000,000","-15,000,000","-168,000,000"
	SpecialIncomeCharges,"-624,000,000","-624,000,000","0",,,"0","-582,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,"0","-7,000,000","7,000,000","4,000,000","-2,000,000","10,000,000","17,000,000","-45,000,000","-569,000,000","-110,000,000","7,000,000","-1,071,000,000","-793,000,000"
		RestructuringAndMergernAcquisition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,"0",,,,,,"28,000,000",,,,,,
		ImpairmentOfCapitalAssets,"624,000,000","624,000,000","0",,,"0","582,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-45,000,000",,,,,,
	OtherNonOperatingIncomeExpenses,"62,000,000","35,000,000","-12,000,000","14,000,000","25,000,000","58,000,000","23,000,000","4,000,000",,"-7,000,000","11,000,000","10,000,000","25,000,000","49,000,000","17,000,000","16,000,000","24,000,000","6,000,000","114,000,000","29,000,000","30,000,000","7,000,000","19,000,000","-3,000,000","88,000,000","-10,000,000","10,000,000","4,000,000","21,000,000","18,000,000","3,000,000","6,000,000","11,000,000","-12,000,000","1,000,000","-9,000,000","6,000,000","2,000,000",,,,,,,,,,,,
