name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003
DilutedAverageShares,,"290,950,000","294,885,000","301,467,000","303,765,000","304,514,000","304,566,000","304,190,000","306,757,000","307,303,000","307,960,000","312,719,000","316,018,000",,"319,402,000","314,012,000","311,347,000","311,106,000","310,779,000","310,396,000","310,300,000","310,120,000","310,036,000","308,898,000","308,369,000","308,028,000","307,728,000","307,247,000","306,961,000","306,601,000","306,206,000","305,837,000","305,514,000","305,199,000","304,685,000","303,657,000","302,937,000","302,075,000","301,172,000","300,152,000","299,342,000",,"296,804,000","296,262,000","295,840,000",,"291,596,000","290,992,000","290,248,000",,"288,094,000","287,000,000","285,578,000",,"282,380,000","280,602,000","279,364,000",,"230,224,000","224,988,000","224,008,000",,"223,640,000","222,824,000","221,868,000",,"190,712,000","187,088,000","181,536,000",,"182,500,680","178,091,400","180,317,248",,"127,955,382","140,980,808","140,980,808"
TotalOperatingIncomeAsReported,"1,474,372,000","280,096,000","378,154,000","444,674,000","371,448,000","267,273,000","296,002,000","180,453,000","241,849,000","206,768,000","231,364,000","236,111,000","222,400,000","164,146,000","234,733,000","256,794,000","226,568,000","167,954,000","199,099,000","244,573,000","235,692,000","131,544,000","202,998,000","243,184,000","185,672,000","151,671,000","166,745,000","200,285,000","185,926,000","146,250,000","156,188,000","173,596,000","173,834,000","133,819,000","123,395,000","131,378,000","141,588,000","104,344,000","91,434,000","108,567,000","133,608,000","90,138,000","85,488,000","78,486,000","107,371,000","73,132,000","65,207,000","69,609,000","89,929,000","59,725,000","56,045,000","55,396,000","61,378,000","27,816,000","49,958,000","58,414,000","61,508,000","43,162,000","25,591,000","26,642,000","27,262,000","18,358,000","17,865,000","20,598,000","20,345,000","13,271,000","11,465,000","13,810,000","14,396,000","7,919,728","7,975,347","9,150,230","9,861,700","5,134,326","6,561,503",,
TotalExpenses,"11,593,793,000","2,901,277,000","2,915,110,000","2,985,968,000","2,791,438,000","2,671,426,000","2,731,690,000","2,418,435,000","2,752,365,000","2,784,543,000","2,911,081,000","2,970,188,000","2,859,573,000","2,799,509,000","2,881,031,000","2,758,079,000","2,490,142,000","2,292,600,000","2,261,779,000","2,211,317,000","2,104,223,000","1,688,029,000","2,175,420,000","2,198,429,000","1,720,993,000","1,590,466,000","1,660,409,000","1,636,122,000","1,581,498,000","1,535,891,000","1,561,242,000","1,529,635,000","1,448,622,000","1,180,088,000","1,172,493,000","1,116,690,000","1,052,904,000","963,378,000","925,157,000","895,769,000","897,922,000","847,237,000","695,500,000","678,821,000","679,231,000","600,856,000","542,191,000","514,782,000","513,507,000","495,536,000","437,915,000","437,103,000","455,808,000","440,618,000","438,343,000","422,829,000","429,226,000","371,184,000","217,904,000","206,636,000","208,056,000","186,188,000","179,794,000","174,439,000","171,794,000","130,651,000","122,175,000","122,213,000","119,411,000","105,839,918","98,070,010","95,727,973","90,211,067","79,094,134","76,910,959",,
NetIncomeFromContinuingAndDiscontinuedOperation,"1,090,873,000","236,281,000","284,055,000","304,624,000","265,913,000","181,012,000","193,483,000","118,792,000","145,136,000","140,388,000","152,263,000","150,561,000","98,048,000","36,049,000","134,102,000","157,007,000","152,960,000","124,171,000","122,381,000","150,914,000","136,278,000","86,331,000","122,688,000","140,737,000","107,732,000","95,060,000","101,346,000","119,722,000","107,095,000","80,469,000","91,515,000","104,882,000","104,653,000","77,864,000","73,445,000","75,722,000","84,592,000","62,188,000","54,048,000","63,998,000","80,991,000","56,145,000","49,231,000","46,706,000","58,182,000","41,328,000","35,901,000","37,906,000","53,936,000","37,205,000","29,155,000","28,857,000","32,304,000","12,964,000","25,068,000","30,989,000","30,878,000","21,532,000","14,559,000","14,016,000","15,794,000","10,190,000","10,458,000","11,662,000","12,084,000","8,256,000","6,603,000","7,627,000","8,401,000","5,032,714","4,562,517","5,342,742","5,634,914","2,997,829","3,518,773","4,029,580","4,029,580"
NormalizedIncome,"1,125,110,004","241,055,586.039","286,585,332","325,286,532","271,735,300","189,871,048.277","207,617,344","138,899,205","159,837,176","153,490,237.898","155,312,832","180,689,146","111,410,570","67,969,391.676","139,201,394","168,218,550","156,012,662","134,332,646.406","125,079,057","150,544,816","142,744,408","76,619,638.595","128,433,396","146,657,160","122,805,588","99,777,024.704","104,372,058","120,804,613","111,279,760","81,717,419.588","93,887,040","108,776,660","107,058,700","79,690,825.395","74,931,844","79,930,750","85,558,210","63,358,783.924","54,264,836.016","65,393,701.4","79,973,688.751","57,249,660.108","51,404,674.961","46,940,109.112","61,394,309.163","41,380,263.519","35,869,591.629","37,998,051.892","51,932,155.662","33,967,307.826","30,658,455.455","28,946,995.039","32,761,817.007","13,717,349.62","26,509,117.395","32,646,119.792","31,421,000","21,471,301.484","14,272,930.137","13,998,450","15,403,026.55","10,005,546.58","10,305,056.409","11,585,569.305","11,600,400","8,239,319.964","6,386,400","7,580,200","8,303,800","4,762,988.964","4,633,140.191","5,307,120","5,582,697.8","2,994,340.398","3,548,949.4","4,029,580","4,029,580"
InterestIncome,"22,807,000","6,096,000",,,,"5,026,000",,,,"15,845,000",,,,,,,,"9,961,000",,,,"-2,519,000",,,,,,,,,,,,"140,000",,,,"742,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InterestExpense,"72,727,000","16,949,000","15,427,000","16,172,000","24,179,000","20,027,000","25,182,000","25,616,000","25,931,000","34,555,000","31,976,000","35,884,000","36,089,000","38,730,000","40,860,000","38,272,000","28,515,000","27,834,000","25,222,000","24,596,000","23,988,000","20,231,000","27,059,000","26,381,000","14,592,000","13,610,000","14,722,000","14,622,000","14,906,000","16,402,000","16,394,000","15,628,000","16,118,000","14,897,000","15,200,000","12,492,000","8,595,000","8,742,000","7,964,000","7,356,000","7,367,000","8,380,000","4,847,000","4,671,000","6,409,000","8,148,000","7,186,000","7,155,000","7,276,000","9,170,000","7,780,000","7,725,000","7,580,000",,,,,,,,,,,,,,,,,,,,,,,,
NetInterestIncome,"-49,920,000","5,858,000","-15,427,000","-16,172,000","-24,179,000","-13,263,000","-25,182,000","-25,616,000","-25,931,000","-1,800,000","-31,976,000","-35,884,000","-36,089,000","-32,231,000","-40,860,000","-38,272,000","-28,515,000","-10,299,000","-25,222,000","-24,596,000","-23,988,000","-17,984,000","-27,059,000","-26,381,000","-14,592,000","-10,893,000","-14,722,000","-14,622,000","-14,906,000","-15,367,000","-16,394,000","-15,628,000","-16,118,000","-12,767,000","-15,200,000","-12,492,000","-8,595,000","-4,456,000","-7,964,000","-7,356,000","-7,367,000","-6,520,000","-4,847,000","-4,671,000","-6,409,000","-6,699,000","-7,186,000","-7,155,000","-7,276,000","-7,817,000","-7,780,000","-7,725,000","-7,580,000",,,,,,,,,,,,,,,,,,,,,,,,
EBIT,"1,471,857,000","287,733,000","381,042,000","425,421,000","377,661,000","266,894,000","293,510,000","207,888,000","232,720,000","224,128,000","237,303,000","241,844,000","226,251,000","162,299,000","241,692,000","256,367,000","229,450,000","178,029,000","203,119,000","250,381,000","236,738,000","137,169,000","206,277,000","241,845,000","180,253,000","153,022,000","169,673,000","200,188,000","184,007,000","146,115,000","156,194,000","175,293,000","174,828,000","133,473,000","124,245,000","128,930,000","140,363,000","105,361,000","91,216,000","108,555,000","133,855,000","92,598,000","84,865,000","80,483,000","102,132,000","74,572,000","65,481,000","69,747,000","90,090,000","65,676,000","56,068,000","55,502,000","61,418,000","29,682,000","52,358,000","61,563,000","62,682,000","43,550,000","25,591,000","26,642,000","27,262,000","18,358,000","17,865,000","20,598,000","20,345,000","13,271,000","11,465,000","13,810,000","14,396,000","7,919,755","7,975,347","9,150,230","9,861,700","5,134,326","6,561,503","80,136,537","80,136,537"
EBITDA,"1,755,860,000"
ReconciledCostOfRevenue,"7,742,058,000","1,910,360,000","1,946,864,000","2,013,558,000","1,871,276,000","1,777,573,000","1,841,470,000","1,608,136,000","1,781,175,000","1,807,100,000","1,941,079,000","1,995,666,000","1,886,834,000","1,835,763,000","1,920,408,000","1,863,597,000","1,662,185,000","1,518,883,000","1,505,899,000","1,491,045,000","1,410,802,000","1,037,609,000","1,496,946,000","1,523,559,000","1,159,561,000","1,050,090,000","1,116,862,000","1,112,863,000","1,073,217,000","1,018,365,000","1,055,357,000","1,036,953,000","972,758,000","769,540,000","778,848,000","740,539,000","692,705,000","621,335,000","605,589,000","582,764,000","583,030,000","546,675,000","448,379,000","436,324,000","441,915,000","385,580,000","345,368,000","322,546,000","319,475,000","302,104,000","268,739,000","268,403,000","284,201,000","271,810,000","274,103,000","264,015,000","267,977,000","229,086,000","134,929,000","128,056,000","128,086,000","112,848,000","108,072,000","106,921,000","103,728,000","76,390,000","70,696,000","71,531,000","71,171,000","61,264,254","57,361,745","55,437,060","53,077,136","45,330,854","44,431,543",,
ReconciledDepreciation,"284,003,000","71,313,000","70,350,000","70,743,000","71,597,000","78,861,000","76,327,000","72,930,000","71,379,000","84,167,000","77,878,000","76,154,000","76,207,000","83,100,000","81,473,000","68,438,000","61,066,000","63,695,000","59,902,000","56,002,000","50,604,000","55,716,000","59,488,000","57,716,000","33,166,000","33,504,000","32,974,000","31,045,000","30,669,000","34,790,000","31,754,000","31,047,000","27,846,000","24,595,000","22,157,000","20,671,000","19,040,000","18,591,000","18,128,000","17,189,000","16,257,000","16,197,000","13,511,000","12,871,000","11,926,000","11,039,000","10,378,000","10,031,000","9,980,000","10,131,000","9,342,000","9,298,000","9,291,000","9,423,000","8,196,000","7,927,000","7,875,000","7,085,000","3,877,000","3,603,000","3,453,000","3,171,000","3,286,000","2,893,000","2,736,000","2,485,000","2,060,000","2,063,000","1,966,000","1,854,552","1,795,464","1,716,612","1,505,230","1,375,593","1,325,306",,
NetIncomeFromContinuingOperationNetMinorityInterest,"1,090,225,000","235,633,000","284,055,000","304,624,000","265,913,000","180,469,000","193,483,000","118,515,000","146,051,000","139,948,000","151,482,000","150,163,000","98,048,000","40,446,000","134,102,000","157,007,000","152,960,000","126,386,000","122,381,000","150,914,000","140,809,000","78,479,000","122,688,000","140,737,000","107,732,000","95,060,000","101,346,000","119,722,000","107,095,000","80,469,000","91,515,000","104,882,000","104,653,000","77,864,000","73,445,000","75,722,000","84,592,000","62,188,000","54,048,000","63,998,000","80,991,000","56,145,000","49,231,000","46,706,000","58,182,000","41,328,000","35,901,000","37,906,000","51,983,000","36,523,000","30,141,000","28,857,000","32,304,000","12,964,000","25,068,000","30,989,000","30,878,000","21,532,000","14,559,000","14,016,000","15,794,000","10,190,000","10,458,000","11,662,000","12,084,000","8,256,000","6,603,000","7,627,000","8,401,000","5,032,714","4,562,517","5,342,742","5,634,914","2,997,829","3,518,773","4,029,580","4,029,580"
TotalUnusualItemsExcludingGoodwill,"-45,661,000","-6,378,000","-3,347,000","-28,036,000","-7,900,000","-13,028,000","-19,992,000","-27,435,000","-19,472,000","-18,421,000","-5,328,000","-41,874,000","-18,330,000","-38,386,000","-6,614,000","-15,550,000","-4,054,000","-9,877,000","-4,009,000","556,000","-2,928,000","2,748,000","-8,412,000","-9,080,000","-23,119,000","-6,782,000","-4,578,000","-1,663,000","-6,488,000","-1,990,000","-3,594,000","-5,901,000","-3,645,000","-2,782,000","-2,206,000","-6,475,000","-1,505,000","-1,819,000","-334,000","-2,207,000","1,609,000","-1,657,000","-3,533,000","-380,000","-5,285,000","-84,000","51,000","-152,000","81,000","3,954,000","-829,000","-149,000","-763,000","-1,156,000","-2,401,000","-2,698,000","-905,000","95,000","468,000","27,000","648,000","307,000","238,000","127,000","806,000","27,000","361,000","78,000","162,000","425,631","-116,828","59,370","87,027","5,759","-50,294",,
TotalUnusualItems,"-45,661,000","-6,378,000","-3,347,000","-28,036,000","-7,900,000","-13,028,000","-19,992,000","-27,435,000","-19,472,000","-18,421,000","-5,328,000","-41,874,000","-18,330,000","-38,386,000","-6,614,000","-15,550,000","-4,054,000","-9,877,000","-4,009,000","556,000","-2,928,000","2,748,000","-8,412,000","-9,080,000","-23,119,000","-6,782,000","-4,578,000","-1,663,000","-6,488,000","-1,990,000","-3,594,000","-5,901,000","-3,645,000","-2,782,000","-2,206,000","-6,475,000","-1,505,000","-1,819,000","-334,000","-2,207,000","1,609,000","-1,657,000","-3,533,000","-380,000","-5,285,000","-84,000","51,000","-152,000","81,000","3,954,000","-829,000","-149,000","-763,000","-1,156,000","-2,401,000","-2,698,000","-905,000","95,000","468,000","27,000","648,000","307,000","238,000","127,000","806,000","27,000","361,000","78,000","162,000","425,631","-116,828","59,370","87,027","5,759","-50,294",,
NormalizedEBITDA,"1,801,521,000","365,424,000","454,739,000","524,200,000","457,158,000","358,783,000","389,829,000","308,253,000","323,571,000","326,716,000","320,509,000","359,872,000","320,788,000","283,785,000","329,779,000","340,355,000","294,570,000","251,601,000","267,030,000","305,827,000","290,270,000","190,137,000","274,177,000","308,641,000","236,538,000","193,308,000","207,225,000","232,896,000","221,164,000","182,895,000","191,542,000","212,241,000","206,319,000","160,850,000","148,608,000","156,076,000","160,908,000","125,771,000","109,678,000","127,951,000","148,503,000","110,452,000","101,909,000","93,734,000","119,343,000","85,695,000","75,808,000","79,930,000","99,989,000","71,853,000","66,239,000","64,949,000","71,472,000","40,261,000","62,955,000","72,188,000","71,462,000","50,540,000","29,000,000","30,218,000","30,067,000","21,222,000","20,913,000","23,364,000","22,275,000","15,729,000","13,164,000","15,795,000","16,200,000","9,348,676","9,887,639","10,807,472","11,279,903","6,504,160","7,937,103","80,136,537","80,136,537"
TaxRateForCalcs,"0.236","0.15","0.244","0.263","0.263","0.278","0.293","0.257","0.292","0.265","0.281","0.271","0.271","0.283","0.229","0.279","0.247","0.195","0.327","0.336","0.339","0.323","0.317","0.348","0.348","0.304","0.339","0.349","0.355","0.373","0.34","0.34","0.34","0.343","0.326","0.35","0.358","0.356","0.351","0.368","0.368","0.333","0.385","0.384","0.392","0.378","0.384","0.394","0.372","0.354","0.376","0.396","0.4","0.348","0.4","0.386","0.4","0.361","0.389","0.35","0.397","0.399","0.357","0.398","0.4","0.382","0.4","0.4","0.4","0.366","0.395","0.4","0.4","0.394","0.4","0.4","0.4"
TaxEffectOfUnusualItems,"-10,775,996","-955,413.961","-816,668","-7,373,468","-2,077,700","-3,625,951.723","-5,857,656","-7,050,795","-5,685,824","-4,878,762.102","-1,497,168","-11,347,854","-4,967,430","-10,862,608.324","-1,514,606","-4,338,450","-1,001,338","-1,930,353.594","-1,310,943","186,816","-992,592","888,638.595","-2,666,604","-3,159,840","-8,045,412","-2,064,975.296","-1,551,942","-580,387","-2,303,240","-741,580.412","-1,221,960","-2,006,340","-1,239,300","-955,174.605","-719,156","-2,266,250","-538,790","-648,216.076","-117,163.984","-811,298.6","591,688.751","-552,339.892","-1,359,325.039","-145,890.888","-2,072,690.837","-31,736.481","19,591.629","-59,948.108","30,155.662","1,398,307.826","-311,544.545","-59,004.961","-305,182.993","-402,650.38","-959,882.605","-1,040,880.208","-362,000","34,301.484","181,930.137","9,450","257,026.55","122,546.58","85,056.409","50,569.305","322,400","10,319.964","144,400","31,200","64,800","155,905.964","-46,204.809","23,748","34,810.8","2,270.398","-20,117.6","0","0"
