name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006
TotalRevenue,"25,477,000,000","7,059,000,000","6,559,000,000","6,130,000,000","5,729,000,000","5,687,000,000","5,101,000,000","4,837,000,000","5,854,000,000","6,054,000,000","6,137,000,000","5,840,000,000","5,494,000,000","5,506,000,000","5,434,000,000","5,240,000,000","5,073,000,000","4,862,000,000","4,855,000,000","4,565,000,000","4,477,000,000","4,461,000,000","4,261,000,000","3,630,000,000","3,626,000,000","3,565,000,000","3,571,000,000","3,518,000,000","3,409,000,000","3,382,000,000","3,229,000,000","3,155,000,000","3,163,000,000","3,155,000,000","2,973,000,000","3,001,000,000","2,958,000,000","2,846,000,000","2,731,000,000","2,565,000,000","2,578,000,000","2,547,000,000","2,383,000,000","2,322,000,000","2,245,000,000","2,238,000,000","2,117,000,000","2,029,000,000","1,959,000,000","1,960,000,000","1,879,000,000","1,646,000,000","1,647,000,000","1,739,000,000","1,709,000,000","1,613,000,000","1,453,000,000","1,488,000,000","991,045,000","941,000,000","813,000,000","845,000,000","744,707,000","735,990,000"
	OperatingRevenue,"32,617,000,000","8,981,000,000","8,456,000,000","7,851,000,000","7,329,000,000","7,161,000,000","6,438,000,000","6,036,000,000","7,167,000,000","7,437,000,000","7,485,000,000","7,044,000,000","6,645,000,000","6,663,000,000","6,680,000,000","6,385,000,000","6,132,000,000","5,959,000,000","5,975,000,000","5,503,000,000","5,305,000,000","5,299,000,000","5,036,000,000","4,260,000,000","4,217,000,000","4,155,000,000","4,157,000,000","3,989,000,000","3,881,000,000","3,891,000,000","3,785,000,000","3,598,000,000","3,567,000,000","3,574,000,000","3,470,000,000","3,343,000,000","3,350,000,000","3,220,000,000","4,182,000,000","2,565,000,000","2,578,000,000","2,547,000,000","2,383,000,000","2,322,000,000","2,245,000,000","2,238,000,000","2,117,000,000","2,029,000,000","1,959,000,000","1,960,000,000","1,879,000,000","1,646,000,000","1,647,000,000","1,739,000,000","1,709,000,000","1,613,000,000","1,453,000,000","1,488,000,000","1,216,029,000","941,000,000","460,000,000","451,000,000","744,707,000","735,990,000"
CostOfRevenue,"5,131,000,000","1,315,000,000","1,239,000,000","1,284,000,000","1,293,000,000","1,154,000,000","1,113,000,000","1,113,000,000","1,123,000,000","1,163,000,000","1,064,000,000","1,056,000,000","1,065,000,000","980,000,000","1,003,000,000","1,021,000,000","993,000,000","839,000,000","822,000,000","856,000,000","854,000,000","716,000,000","851,000,000","632,000,000","654,000,000","627,000,000","655,000,000","683,000,000","592,000,000","623,000,000","624,000,000","590,000,000","566,000,000","602,000,000","621,000,000","610,000,000","605,000,000","564,000,000","582,000,000","537,000,000","534,000,000","487,000,000","494,000,000","454,000,000","431,000,000","437,000,000","472,000,000","388,000,000","408,000,000","379,000,000","445,000,000","359,000,000","364,000,000","368,000,000","411,000,000","394,000,000","367,000,000","416,000,000",,,,,,
GrossProfit,"20,346,000,000","5,744,000,000","5,320,000,000","4,846,000,000","4,436,000,000","4,533,000,000","3,988,000,000","3,724,000,000","4,731,000,000","4,891,000,000","5,073,000,000","4,784,000,000","4,429,000,000","4,526,000,000","4,431,000,000","4,219,000,000","4,080,000,000","4,023,000,000","4,033,000,000","3,709,000,000","3,623,000,000","3,745,000,000","3,410,000,000","2,998,000,000","2,972,000,000","2,938,000,000","2,916,000,000","2,835,000,000","2,817,000,000","2,759,000,000","2,605,000,000","2,565,000,000","2,597,000,000","2,553,000,000","2,352,000,000","2,391,000,000","2,353,000,000","2,282,000,000","2,149,000,000","2,028,000,000","2,044,000,000","2,060,000,000","1,889,000,000","1,868,000,000","1,814,000,000","1,801,000,000","1,645,000,000","1,641,000,000","1,551,000,000","1,581,000,000","1,434,000,000","1,287,000,000","1,283,000,000","1,371,000,000","1,298,000,000","1,219,000,000","1,086,000,000","1,072,000,000",,,,,,
OperatingExpense,"3,460,000,000","820,000,000","1,004,000,000","784,000,000","852,000,000","688,000,000","844,000,000","724,000,000","799,000,000","875,000,000","968,000,000","875,000,000","766,000,000","802,000,000","1,018,000,000","734,000,000","744,000,000","696,000,000","819,000,000","685,000,000","813,000,000","630,000,000","784,000,000","693,000,000","537,000,000","542,000,000","622,000,000","573,000,000","533,000,000","521,000,000","600,000,000","545,000,000","549,000,000","476,000,000","601,000,000","564,000,000","492,000,000","479,000,000","625,000,000","537,000,000","438,000,000","442,000,000","520,000,000","523,000,000","431,000,000","435,000,000","577,000,000","504,000,000","427,000,000","407,000,000","564,000,000","464,000,000","402,000,000","405,000,000","271,000,000","571,000,000","737,000,000","386,000,000","-385,937,000","607,000,000","542,000,000","536,000,000","567,120,000","532,664,000"
	SellingGeneralAndAdministration,"2,655,000,000","622,000,000","802,000,000","580,000,000","651,000,000","491,000,000","648,000,000","527,000,000","607,000,000","693,000,000","796,000,000","710,000,000","606,000,000","643,000,000","855,000,000","582,000,000","591,000,000","551,000,000","672,000,000","553,000,000","682,000,000","484,000,000","643,000,000","573,000,000","416,000,000","422,000,000","503,000,000","443,000,000","408,000,000","401,000,000","488,000,000","436,000,000","442,000,000","369,000,000","495,000,000","463,000,000","394,000,000","387,000,000","536,000,000","453,000,000","358,000,000","362,000,000","449,000,000","449,000,000","355,000,000","368,000,000","458,000,000","441,000,000","365,000,000","345,000,000","503,000,000","407,000,000","346,000,000","353,000,000","554,000,000","464,000,000","386,000,000","386,000,000","854,396,000","50,000,000","151,000,000","168,000,000","164,226,000","161,216,000"
		GeneralAndAdministrativeExpense,"1,444,000,000","342,000,000","345,000,000","312,000,000","445,000,000","286,000,000","360,000,000","353,000,000","372,000,000","419,000,000","490,000,000","428,000,000","365,000,000","367,000,000","591,000,000","342,000,000","330,000,000","328,000,000","382,000,000","332,000,000","489,000,000","266,000,000","343,000,000","384,000,000","230,000,000","228,000,000","250,000,000","219,000,000","218,000,000","196,000,000","247,000,000","208,000,000","197,000,000","183,000,000","259,000,000","211,000,000","199,000,000","194,000,000","265,000,000","211,000,000","188,000,000","172,000,000","210,000,000","198,000,000","172,000,000","171,000,000","225,000,000","164,000,000","127,000,000","129,000,000","220,000,000","178,000,000","150,000,000","143,000,000","234,000,000","193,000,000","171,000,000","176,000,000","679,840,000","50,000,000","46,000,000","54,000,000","17,399,000","28,931,000"
			SalariesAndWages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"192,151,000","184,000,000","174,000,000","171,000,000","166,528,000","175,089,000"
			OtherGandA,"1,444,000,000","342,000,000","345,000,000","312,000,000","445,000,000","286,000,000","360,000,000","353,000,000","372,000,000","419,000,000","490,000,000","428,000,000","365,000,000","367,000,000","591,000,000","342,000,000","330,000,000","328,000,000","382,000,000","332,000,000","489,000,000","266,000,000","343,000,000","384,000,000","230,000,000","228,000,000","250,000,000","219,000,000","218,000,000","196,000,000","247,000,000","208,000,000","197,000,000","183,000,000","259,000,000","211,000,000","199,000,000","194,000,000","265,000,000","211,000,000","188,000,000","172,000,000","210,000,000","198,000,000","172,000,000","171,000,000","225,000,000","164,000,000","127,000,000","129,000,000","220,000,000","178,000,000","150,000,000","143,000,000","234,000,000","193,000,000","171,000,000","176,000,000","1,209,070,000","-134,000,000","-128,000,000","-117,000,000","-149,129,000","-146,158,000"
		SellingAndMarketingExpense,"1,211,000,000","280,000,000","457,000,000","268,000,000","206,000,000","205,000,000","288,000,000","174,000,000","235,000,000","274,000,000","306,000,000","282,000,000","241,000,000","276,000,000","264,000,000","240,000,000","261,000,000","223,000,000","290,000,000","221,000,000","193,000,000","218,000,000","300,000,000","189,000,000","186,000,000","194,000,000","253,000,000","224,000,000","190,000,000","205,000,000","241,000,000","228,000,000","245,000,000","186,000,000","236,000,000","252,000,000","195,000,000","193,000,000","271,000,000","242,000,000","170,000,000","190,000,000","239,000,000","251,000,000","183,000,000","197,000,000","233,000,000","277,000,000","238,000,000","216,000,000","283,000,000","229,000,000","196,000,000","210,000,000","320,000,000","271,000,000","215,000,000","210,000,000","174,556,000",,"105,000,000","114,000,000","146,827,000","132,285,000"
