name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010
TotalRevenue,"7,656,100,000","1,962,700,000","1,986,300,000","1,936,100,000","1,771,000,000","1,659,700,000","1,652,100,000","1,375,800,000","1,402,700,000","1,470,500,000","1,459,000,000","1,507,200,000","1,327,900,000","1,420,700,000","1,380,800,000","1,429,000,000","1,254,600,000","1,382,500,000","1,348,600,000","1,365,400,000","1,186,800,000","1,301,600,000","1,279,000,000","1,297,800,000","1,106,500,000","1,224,700,000","1,238,800,000","1,165,100,000","950,800,000","940,300,000","1,097,700,000","1,142,200,000","966,200,000","1,101,900,000","1,125,100,000","1,040,400,000","890,000,000","947,900,000","909,100,000","935,300,000","798,800,000","876,100,000","848,000,000","889,700,000","714,800,000","843,700,000","813,100,000","878,000,000","698,700,000"
	OperatingRevenue,"7,656,100,000","1,962,700,000","1,986,300,000","1,936,100,000","1,771,000,000","1,659,700,000","1,652,100,000","1,375,800,000","1,402,700,000","1,470,500,000","1,459,000,000","1,507,200,000","1,327,900,000","1,420,700,000","1,380,800,000","1,429,000,000","1,254,600,000","1,382,500,000","1,348,600,000","1,365,400,000","1,186,800,000","1,301,600,000","1,279,000,000","1,297,800,000","1,106,500,000","1,224,700,000","1,238,800,000","1,165,100,000","950,800,000","940,300,000","1,097,700,000","1,142,200,000","966,200,000","1,101,900,000","1,125,100,000","1,040,400,000","890,000,000","947,900,000","909,100,000","935,300,000","798,800,000","876,100,000","848,000,000","889,700,000","714,800,000","843,700,000","813,100,000","878,000,000","698,700,000"
CostOfRevenue,"4,909,100,000","1,271,900,000","1,280,000,000","1,230,300,000","1,126,900,000","1,052,000,000","1,071,500,000","892,900,000","909,500,000","938,700,000","934,800,000","969,600,000","869,100,000","918,900,000","886,900,000","904,900,000","815,000,000","889,500,000","841,600,000","849,900,000","769,800,000","827,500,000","801,000,000","823,100,000","728,700,000","804,600,000","804,300,000","754,700,000","633,900,000","623,200,000","719,400,000","741,800,000","651,500,000","725,200,000","740,200,000","663,400,000","589,800,000","644,400,000","606,800,000","617,900,000","552,000,000","649,600,000","576,900,000","598,400,000","506,000,000","577,900,000","541,200,000","583,500,000","479,800,000"
GrossProfit,"2,747,000,000","690,800,000","706,300,000","705,800,000","644,100,000","607,700,000","580,600,000","482,900,000","493,200,000","531,800,000","524,200,000","537,600,000","458,800,000","501,800,000","493,900,000","524,100,000","439,600,000","493,000,000","507,000,000","515,500,000","417,000,000","474,100,000","478,000,000","474,700,000","377,800,000","420,100,000","434,500,000","410,400,000","316,900,000","317,100,000","378,300,000","400,400,000","314,700,000","376,700,000","384,900,000","377,000,000","300,200,000","303,500,000","302,300,000","317,400,000","246,800,000","226,500,000","271,100,000","291,300,000","208,800,000","265,800,000","271,900,000","294,500,000","218,900,000"
OperatingExpense,"1,634,000,000","419,200,000","416,100,000","410,600,000","388,100,000","373,800,000","338,800,000","286,500,000","324,200,000","355,700,000","321,200,000","330,700,000","322,000,000","312,900,000","314,000,000","324,700,000","319,400,000","325,200,000","304,800,000","299,800,000","296,700,000","306,200,000","291,800,000","283,300,000","276,700,000","275,800,000","272,400,000","276,100,000","244,900,000","247,400,000","241,800,000","263,000,000","250,300,000","279,800,000","263,600,000","270,200,000","242,700,000","279,800,000","238,600,000","245,100,000","224,500,000","266,300,000","220,600,000","225,700,000","203,800,000","223,600,000","206,500,000","218,800,000","206,400,000"
	SellingGeneralAndAdministration,"1,569,900,000","403,600,000","400,200,000","394,600,000","371,500,000","362,900,000","328,300,000","276,200,000","313,900,000","344,300,000","311,300,000","320,600,000","312,000,000","302,100,000","305,100,000","316,500,000","311,200,000","317,100,000","297,300,000","291,800,000","288,600,000","298,500,000","284,500,000","276,700,000","270,200,000","269,500,000","265,700,000","271,000,000","241,400,000","243,900,000","238,300,000","259,000,000","246,300,000","275,700,000","259,600,000","267,700,000","240,100,000","277,300,000","236,200,000","242,300,000","221,100,000","262,900,000","217,100,000","221,900,000","200,100,000","219,900,000","202,800,000","214,600,000","202,300,000"
		GeneralAndAdministrativeExpense,"1,569,900,000"
			SalariesAndWages,"-9,100,000"
			OtherGandA,"1,579,000,000"
	DepreciationAmortizationDepletionIncomeStatement,"64,100,000","15,600,000","15,900,000","16,000,000","16,600,000","10,900,000","10,500,000","10,300,000","10,300,000","11,400,000","9,900,000","10,100,000","10,000,000","10,800,000","8,900,000","8,200,000","8,200,000","8,100,000","7,500,000","8,000,000","8,100,000","7,700,000","7,300,000","6,600,000","6,500,000","6,300,000","6,700,000","5,100,000","3,500,000","3,500,000","3,500,000","4,000,000","4,000,000","4,100,000","4,000,000","2,500,000","2,600,000","2,500,000","2,400,000","2,800,000","3,400,000","3,400,000","3,500,000","3,800,000","3,700,000","3,700,000","3,700,000","4,200,000","4,100,000"
		DepreciationAndAmortizationInIncomeStatement,"64,100,000","15,600,000","15,900,000","16,000,000","16,600,000","10,900,000","10,500,000","10,300,000","10,300,000","11,400,000","9,900,000","10,100,000","10,000,000","10,800,000","8,900,000","8,200,000","8,200,000","8,100,000","7,500,000","8,000,000","8,100,000","7,700,000","7,300,000","6,600,000","6,500,000","6,300,000","6,700,000","5,100,000","3,500,000","3,500,000","3,500,000","4,000,000","4,000,000","4,100,000","4,000,000","2,500,000","2,600,000","2,500,000","2,400,000","2,800,000","3,400,000","3,400,000","3,500,000","3,800,000","3,700,000","3,700,000","3,700,000","4,200,000","4,100,000"
			Amortization,"64,100,000","15,600,000","15,900,000","16,000,000","16,600,000","10,900,000","10,500,000","10,300,000","10,300,000","11,400,000","9,900,000","10,100,000","10,000,000","10,800,000","8,900,000","8,200,000","8,200,000","8,100,000","7,500,000","8,000,000","8,100,000","7,700,000","7,300,000","6,600,000","6,500,000","6,300,000","6,700,000","5,100,000","3,500,000","3,500,000","3,500,000","4,000,000","4,000,000","4,100,000","4,000,000","2,500,000","2,600,000","2,500,000","2,400,000","2,800,000","3,400,000","3,400,000","3,500,000","3,800,000","3,700,000","3,700,000","3,700,000","4,200,000","4,100,000"
				AmortizationOfIntangiblesIncomeStatement,"64,100,000","15,600,000","15,900,000","16,000,000","16,600,000","10,900,000","10,500,000","10,300,000","10,300,000","11,400,000","9,900,000","10,100,000","10,000,000","10,800,000","8,900,000","8,200,000","8,200,000","8,100,000","7,500,000","8,000,000","8,100,000","7,700,000","7,300,000","6,600,000","6,500,000","6,300,000","6,700,000","5,100,000","3,500,000","3,500,000","3,500,000","4,000,000","4,000,000","4,100,000","4,000,000","2,500,000","2,600,000","2,500,000","2,400,000","2,800,000","3,400,000","3,400,000","3,500,000","3,800,000","3,700,000","3,700,000","3,700,000","4,200,000","4,100,000"
