name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002
	GainOnSaleOfSecurity,"11,360,000","4,803,000","1,176,000","972,000","4,409,000","1,219,000","4,675,000","-3,294,000","-15,660,000","3,686,000","-2,101,000","-3,304,000","-1,509,000","-4,466,000","-54,000",,,"0","-2,000","-283,000","-771,000","2,126,000","1,168,000","-1,036,000","-1,825,000","1,710,000","-1,287,000","-1,114,000","-4,609,000","-2,942,000","2,360,000","-4,653,000","842,000","1,104,000","-3,525,000","13,512,000","3,144,000","-3,939,000",,"2,646,000","2,284,000",,"4,118,000","3,135,000","4,230,000","4,749,000","-352,000","-1,675,000","-3,602,000","-1,270,000","-5,344,000","3,261,000","1,095,000","-36,604,000","-3,588,000","23,919,000","-15,212,000",,,,,,,,"6,345,000",,,,,,,,,,,,,,
	EarningsFromEquityInterest,,,,,,,,,,,,,,,,,,,"0","0","0","0",,"0","16,000","1,755,000","-2,000","-127,000","197,000","176,000","567,000","298,000","308,000","206,000","288,000","391,000","200,000","175,000","190,000","256,000","465,000","230,000","376,000","264,000","602,000","183,000","112,000","115,000","391,000","197,000","-38,000","-33,000","-5,000","-48,000","430,000","163,000","808,000","326,000","428,000","512,000","455,000","709,000","488,000","511,000","575,000","617,000","463,000","251,000",,,,,,,,,,,
	SpecialIncomeCharges,"-52,822,000","-50,762,000","-738,000","0","-1,322,000","-23,754,000","-13,044,000","-7,186,000","-28,072,000","-2,607,000","-20,412,000","-6,930,000","-2,774,000","-31,611,000","-19,028,000","-8,791,000","-464,279,000","-3,381,000","-49,067,000","-29,452,000","-3,036,000","-23,456,000","-18,514,000","-11,331,000","-1,521,000","-6,572,000","-6,958,000","-4,311,000","-118,698,000","1,024,000","-5,213,000","-4,354,000","-11,463,000","-17,424,000","-2,613,000","-32,190,000","-5,346,000","-41,574,000","-18,414,000","-1,081,000","-4,060,000","16,503,000","-85,000","784,000","917,000","48,000","-65,356,000","-2,721,000","264,000","-3,796,000","-3,000","12,165,000","10,559,000","20,784,000","-2,805,000","0","0","-13,124,000","-29,303,000","2,334,000","-632,000","-60,891,000","879,894,000","-15,158,000","-5,000,000",,"-6,052,000","-48,000","-53,000","-96,499,000","-781,000","-26,148,000","8,000","1,075,000","-580,000","-258,000","-234,000","530,000","-139,000"
		RestructuringAndMergernAcquisition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,028,000",,,,,,,,,,,,,,,
		OtherSpecialCharges,"52,822,000","50,762,000","738,000",,"1,322,000","23,754,000","13,044,000","7,186,000","28,072,000","2,607,000","20,412,000","6,930,000","2,774,000","31,611,000","19,028,000","8,791,000","464,279,000","3,381,000","49,067,000","29,452,000","3,036,000","23,456,000","18,514,000","11,331,000","1,521,000","-836,000","6,958,000","4,311,000","118,698,000","-7,999,000","5,213,000","4,354,000","11,463,000","10,066,000","2,613,000","32,190,000","5,346,000","4,091,000",,,,,,,,,,,"-264,000",,"3,000","-12,165,000","-10,559,000","-20,784,000","2,805,000",,,,,,,,,"-1,870,000",,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"-23,926,000","19,967,000","-27,085,000","-98,000","-16,710,000","15,541,000","412,000","2,233,000","10,335,000","18,505,000","-8,703,000","11,715,000","-6,358,000","-5,113,000","11,216,000","-957,000","-78,551,000","8,413,000","-43,612,000","-24,257,000","-21,953,000","84,600,000","-21,319,000","6,520,000","-5,486,000","38,081,000","14,179,000","198,000","1,133,000","223,000","-801,000","693,000","-297,000","471,000","1,123,000","2,097,000","1,165,000","2,076,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"-1,011,516,000","-258,302,000","-244,828,000","-172,700,000","-335,686,000","-309,723,000","-424,168,000","-653,931,000","-374,453,000","139,949,000","46,610,000","140,243,000","161,416,000","142,797,000","215,888,000","195,578,000","-248,523,000","209,939,000","105,512,000","109,403,000","135,415,000","133,549,000","-19,211,000","86,549,000","109,710,000","122,372,000","87,079,000","90,501,000","-10,705,000","136,150,000","257,894,000","259,166,000","305,652,000","284,151,000","241,530,000","193,840,000","267,002,000","182,608,000","157,545,000","194,553,000","198,292,000","227,109,000","189,455,000","160,562,000","228,441,000","176,312,000","6,965,000","90,838,000","62,928,000","-9,381,000","24,381,000","45,026,000","-17,920,000","-60,858,000","34,264,000","133,872,000","42,005,000","87,701,000","54,123,000","103,435,000","81,974,000","-5,628,000","836,053,000","-19,761,000","-11,434,000",,,,,,,,,,,"-12,677,000","-9,006,000",,
TaxProvision,"474,000","-1,871,000","1,155,000","697,000","493,000","568,000","407,365,000","80,938,000","75,800,000","157,419,000","19,727,000","-1,991,000","1,685,000","-372,713,000","-3,884,000","-9,702,000","-111,045,000","-334,025,000","-457,000","2,607,000","2,890,000","6,983,000","120,000","-2,893,000","3,918,000","-4,866,000","-3,906,000","13,298,000","3,197,000","-12,043,000","4,888,000","764,000","2,609,000","-6,335,000","-7,281,000","1,124,000","-5,142,000","16,782,000","-7,626,000","-4,740,000","-117,000","-31,153,000","4,270,000","5,231,000","2,106,000","4,438,000","9,019,000","1,921,000","5,069,000","-22,613,000","-9,829,000","19,547,000","15,894,000","98,776,000","-16,866,000","-138,121,000","-4,712,000","22,248,000","9,383,000","13,885,000","23,569,000","49,795,000","120,397,000","309,000",,,,,,,,,,,,,,,
NetIncomeCommonStockholders,"-755,786,000","-177,190,000","-166,249,000","-131,369,000","-280,978,000","-269,502,000","-758,142,000","-637,564,000","-402,037,000","-72,942,000","-3,496,000","94,551,000","104,872,000","464,866,000","156,115,000","155,756,000","-204,307,000","491,682,000","79,767,000","74,916,000","100,816,000","113,800,000","-17,437,000","70,391,000","75,221,000","109,665,000","73,766,000","56,460,000","-44,601,000","109,346,000","191,406,000","203,906,000","226,896,000","213,884,000","182,020,000","129,785,000","202,963,000","111,373,000","112,035,000","138,064,000","140,564,000","190,473,000","127,063,000","122,031,000","173,804,000","114,242,000","-33,508,000","52,405,000","26,988,000","-5,221,000","34,210,000","25,479,000","-33,814,000","-159,634,000","51,130,000","271,993,000","46,717,000","65,453,000","44,740,000","89,550,000","58,405,000","-55,423,000","715,656,000","-20,070,000","-11,434,000","-3,857,000","-14,190,000","-35,162,000","-37,627,000","-127,714,000","-22,706,000","-41,919,000","-13,248,000","-12,367,000","-14,843,000","-12,677,000","-9,006,000","-10,743,000","-8,194,000"
	NetIncome,"-755,786,000","-177,190,000","-166,249,000","-131,369,000","-280,978,000","-269,502,000","-758,142,000","-637,564,000","-402,037,000","-72,942,000","-3,496,000","94,551,000","104,872,000","464,866,000","156,115,000","155,756,000","-204,307,000","491,682,000","79,767,000","74,916,000","100,816,000","113,800,000","-17,437,000","70,391,000","75,221,000","109,665,000","73,766,000","56,460,000","-44,601,000","109,346,000","191,406,000","203,906,000","226,896,000","213,884,000","182,020,000","129,785,000","202,963,000","111,373,000","112,035,000","138,064,000","140,564,000","190,473,000","127,063,000","122,031,000","173,804,000","114,242,000","-33,508,000","52,405,000","26,988,000","-5,221,000","34,210,000","25,479,000","-33,814,000","-159,634,000","51,130,000","271,993,000","46,717,000","65,453,000","44,740,000","89,550,000","58,405,000","-55,423,000","715,656,000","-20,070,000","-11,434,000","-3,857,000","-14,190,000","-35,162,000","-37,627,000","-127,714,000","-22,706,000","-41,919,000","-13,248,000","-12,367,000","-14,843,000","-12,677,000","-9,006,000","-10,743,000","-8,194,000"
