name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004
	ResearchAndDevelopment,"1,074,000,000","274,000,000","277,000,000","276,000,000","247,000,000","223,000,000","224,000,000","255,000,000","308,000,000","459,000,000","440,000,000","435,000,000","429,000,000","417,000,000","404,000,000","400,000,000","396,000,000","372,156,000","350,061,000","342,530,000","322,040,000","324,098,000","301,446,000","317,921,000","293,283,000","250,570,000","202,703,000","186,516,000","190,455,000","181,350,000","172,754,000","169,075,000","162,975,000","155,039,000","143,816,000","140,682,000","138,283,000","134,344,000","125,617,000","116,026,000","108,911,000","50,777,000","116,877,000","110,161,000","103,184,000","94,939,000","93,297,000","87,420,000","86,791,000","85,518,000","78,637,000","77,881,000","77,672,000","52,426,000","51,480,000","52,744,000","52,302,000","51,268,000","47,452,000","41,511,000",,"35,505,000","36,034,000","33,288,000",,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"814,000,000","199,000,000","201,000,000","205,000,000","209,000,000","212,000,000","220,000,000","232,000,000","229,000,000","44,000,000","50,000,000","52,000,000","52,000,000","68,000,000","71,000,000","72,000,000","72,000,000","71,479,000","71,011,000","66,279,000","66,676,000","65,881,000","77,080,000","84,181,000","89,999,000","80,343,000","31,400,000","26,880,000","25,042,000","24,340,000","18,519,000","18,264,000","18,492,000","21,810,000","18,514,000","18,837,000","12,570,000","10,178,000","9,474,000","8,631,000","3,422,000","-1,031,000","7,959,000","7,046,000","7,951,000","11,625,000","8,126,000","8,344,000","9,028,000","9,722,000","9,588,000","9,302,000","9,069,000","16,898,000","15,827,000","18,660,000","18,051,000","18,257,000","18,613,000","19,503,000","21,196,000","23,966,000","27,280,000","30,747,000","38,411,000","-44,494,000","34,885,000","35,268,000","32,097,000","104,841,000","79,349,000"
		DepreciationAndAmortizationInIncomeStatement,"814,000,000","199,000,000","201,000,000","205,000,000","209,000,000","212,000,000","220,000,000","232,000,000","229,000,000","44,000,000","50,000,000","52,000,000","52,000,000","68,000,000","71,000,000","72,000,000","72,000,000","71,479,000","71,011,000","66,279,000","66,676,000","65,881,000","77,080,000","84,181,000","89,999,000","80,343,000","31,400,000","26,880,000","25,042,000","24,340,000","18,519,000","18,264,000","18,492,000","21,810,000","18,514,000","18,837,000","12,570,000","10,178,000","9,474,000","8,631,000","3,422,000","-1,031,000","7,959,000","7,046,000","7,951,000","11,625,000","8,126,000","8,344,000","9,028,000","9,722,000","9,588,000","9,302,000","9,069,000","16,898,000","15,827,000","18,660,000","18,051,000","18,257,000","18,613,000","19,503,000","21,196,000","23,966,000","27,280,000","30,747,000","38,411,000","-44,494,000","34,885,000","35,268,000","32,097,000","104,841,000","79,349,000"
			DepreciationIncomeStatement,"715,000,000","177,000,000","177,000,000","179,000,000","182,000,000","180,000,000","183,000,000","191,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			Amortization,"99,000,000","22,000,000","24,000,000","26,000,000","27,000,000","32,000,000","37,000,000","41,000,000",,"44,000,000","50,000,000","52,000,000","52,000,000","68,000,000","71,000,000","72,000,000","72,000,000","71,479,000","71,011,000","66,279,000","66,676,000","65,881,000","77,080,000","84,181,000","89,999,000","80,343,000","31,400,000","26,880,000","25,042,000","24,340,000","18,519,000","18,264,000","18,492,000","21,810,000","18,514,000","18,837,000","12,570,000","10,178,000","9,474,000","8,631,000","3,422,000","-1,031,000","7,959,000","7,046,000","7,951,000","11,625,000","8,126,000","8,344,000","9,028,000","9,722,000","9,588,000","9,302,000","9,069,000","16,898,000","15,827,000","18,660,000","18,051,000","18,257,000","18,613,000","19,503,000","21,196,000","23,966,000","27,280,000","30,747,000","38,411,000","-44,494,000","34,885,000","35,268,000","32,097,000","73,278,000","79,349,000"
				AmortizationOfIntangiblesIncomeStatement,"99,000,000","22,000,000","24,000,000","26,000,000","27,000,000","32,000,000","37,000,000","41,000,000",,"44,000,000","50,000,000","52,000,000","52,000,000","68,000,000","71,000,000","72,000,000","72,000,000","71,479,000","71,011,000","66,279,000","66,676,000","65,881,000","77,080,000","84,181,000","89,999,000","80,343,000","31,400,000","26,880,000","25,042,000","24,340,000","18,519,000","18,264,000","18,492,000","21,810,000","18,514,000","18,837,000","12,570,000","10,178,000","9,474,000","8,631,000","3,422,000","-1,031,000","7,959,000","7,046,000","7,951,000","11,625,000","8,126,000","8,344,000","9,028,000","9,722,000","9,588,000","9,302,000","9,069,000","16,898,000","15,827,000","18,660,000","18,051,000","18,257,000","18,613,000","19,503,000","21,196,000","23,966,000","27,280,000","30,747,000","38,411,000","-44,494,000","34,885,000","35,268,000","32,097,000","73,278,000","79,349,000"
	OtherTaxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",,"-6,553,000","0","74,211,000",,,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-276,000",,,,,,,,,,,,,,,,,,,,,"0","47,000,000",,,,,,,,
OperatingIncome,"262,000,000","184,000,000","546,000,000","-127,000,000","-341,000,000","-437,000,000","22,000,000","-758,000,000","-354,000,000","177,000,000","622,000,000","273,000,000","-111,000,000","178,000,000","594,000,000","173,000,000","-162,000,000","117,079,000","484,212,000","115,877,000","-49,880,000","189,557,000","415,122,000","39,839,000","-70,578,000","54,271,000","302,127,000","101,248,000","-43,796,000","123,032,000","300,724,000","160,636,000","541,000","141,952,000","245,565,000","100,532,000","22,402,000","118,535,000","227,090,000","154,441,000","48,683,000","-146,746,000","290,045,000","226,969,000","109,341,000","154,789,000","276,804,000","193,690,000","112,174,000","146,422,000","236,755,000","120,740,000","101,665,000","106,922,000","199,586,000","170,541,000","89,998,000","128,338,000","179,772,000","153,625,000","67,334,000","99,540,000","89,292,000","136,255,000","26,242,000","85,709,000","148,639,000","96,379,000","66,325,000","70,013,000","80,261,000"
NetNonOperatingInterestIncomeExpense,"-342,000,000","-80,000,000","-84,000,000","-82,000,000","-96,000,000","-100,000,000","-110,000,000","-92,000,000","-40,000,000","-39,000,000","-23,000,000","-22,000,000","-30,000,000","-31,000,000","-13,000,000","-35,000,000","-40,000,000","-42,786,000","-34,672,000","-33,399,000","-36,718,000","-37,498,000","-37,547,000","-37,984,000","-40,393,000","-34,135,000","-29,094,000","-23,822,000","-22,449,000","-21,874,000","-17,483,000","-15,438,000","-16,006,000","-17,073,000","-15,324,000","-14,351,000","-15,831,000","-16,484,000","-14,342,000","-14,917,000","-15,649,000","9,177,000","-26,156,000","-25,682,000","-27,839,000","-29,996,000","-24,539,000","-18,988,000","-20,608,000","-19,638,000","-20,027,000","-19,388,000","-18,974,000",,,,,,,,,,,,,,,,,,
