name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,11/30/2012,08/31/2012,05/31/2012,02/29/2012,11/30/2011,08/31/2011,05/31/2011,02/28/2011,11/30/2010,08/31/2010,05/31/2010,02/28/2010,11/30/2009,08/31/2009,05/31/2009,02/28/2009,11/30/2008,08/31/2008,05/31/2008,02/29/2008,11/30/2007,08/31/2007,05/31/2007,02/28/2007,11/30/2006,08/31/2006,05/31/2006
	OtherunderPreferredStockDividend,"29,000,000","5,000,000","6,000,000","10,000,000","8,000,000","4,000,000","5,000,000","1,000,000","1,000,000","3,000,000","6,000,000","6,000,000","5,000,000","6,000,000","6,000,000","6,000,000","4,000,000","19,000,000","4,000,000","4,000,000","4,000,000","4,000,000","5,000,000","4,000,000","4,000,000","3,000,000","4,000,000","3,000,000","4,000,000","3,000,000","5,000,000","4,000,000","4,000,000","5,000,000","5,000,000","4,000,000","5,000,000","9,000,000","4,487,000","5,916,000","5,046,000","6,582,000","5,456,000","7,046,000","6,931,000","5,464,000","3,317,000","2,423,000",,,,,,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"5,351,000,000","1,062,000,000","1,055,000,000","1,688,000,000","1,546,000,000","795,000,000","751,000,000","-369,000,000","-78,000,000","705,000,000","749,000,000","747,000,000","705,000,000","681,000,000","699,000,000","663,000,000","646,000,000","359,000,000","589,000,000","532,000,000","551,000,000","550,000,000","625,000,000","602,000,000","562,000,000","488,000,000","599,000,000","586,000,000","573,000,000","392,000,000","630,000,000","630,000,000","618,000,000","588,000,000","579,000,000","588,000,000","659,000,000","530,000,000","541,230,000","620,770,000","531,545,000","624,424,000","507,123,000","641,772,000","593,488,000","459,428,000","346,325,000","258,194,000","184,590,000","-122,233,000","333,903,000","559,387,000","209,246,000","120,394,000","432,335,000","180,053,000","234,148,000","81,214,000","-56,484,000","202,240,000","209,242,000","233,632,000","186,522,000","241,393,000","343,278,000"
BasicEPS,,"3.64","3.54","5.56","5.04","2.59","2.45","-1.2","-0.25","2.25","2.36","2.32","2.15","2.04","2.05","1.91","1.82","0.99","1.59","1.41","1.43","1.4","1.56","1.47","1.35","1.15","1.38","1.33","1.28","0.87","1.37","1.35","1.31","1.24","1.2","1.2","1.33","1.06",,"1.21","1.01","1.18","0.95","1.18","1.09","0.84",,"0.47","0.34","-0.22",,"1.09","0.43","0.25",,"0.38","0.49","0.17",,"0.42","0.44","0.44",,"0.51","0.72"
DilutedEPS,,"3.64","3.54","5.55","5.04","2.59","2.45","-1.2","-0.25","2.25","2.36","2.32","2.15","2.03","2.05","1.91","1.82","0.99","1.59","1.4","1.43","1.4","1.56","1.47","1.35","1.14","1.38","1.33","1.28","0.87","1.37","1.35","1.31","1.23","1.2","1.2","1.33","1.06",,"1.21","1","1.18","0.95","1.18","1.09","0.84",,"0.47","0.33","-0.22",,"1.07","0.43","0.25",,"0.37","0.48","0.17",,"0.42","0.44","0.42",,"0.51","0.72"
BasicAverageShares,,"291,000,000","298,000,000","304,000,000","307,000,000","307,000,000","306,000,000","306,000,000","308,000,000","312,000,000","317,000,000","322,000,000","328,000,000","335,000,000","341,000,000","348,000,000","355,000,000","362,000,000","371,000,000","379,000,000","386,000,000","392,000,000","402,000,000","410,000,000","417,000,000","426,000,000","433,000,000","441,000,000","448,000,000","452,000,000","460,000,000","466,000,000","471,000,000","475,000,000","482,000,000","489,000,000","496,000,000","500,000,000",,"513,000,000","528,000,000","530,000,000","532,000,000","544,000,000","546,000,000","545,000,000",,"544,314,000","543,875,000","555,604,545",,"513,098,000","481,636,000","480,497,000",,"473,823,684","477,853,061","477,729,412",,"481,523,810","475,550,000","504,593,000",,"473,319,608","476,775,000"
DilutedAverageShares,,"292,000,000","298,000,000","304,000,000","307,000,000","307,000,000","306,000,000","306,000,000","308,000,000","313,000,000","317,000,000","323,000,000","328,000,000","335,000,000","342,000,000","348,000,000","355,000,000","362,000,000","371,000,000","379,000,000","386,000,000","393,000,000","402,000,000","411,000,000","417,000,000","426,000,000","434,000,000","442,000,000","448,000,000","453,000,000","461,000,000","467,000,000","472,000,000","477,000,000","484,000,000","490,000,000","497,000,000","502,000,000",,"514,000,000","529,000,000","531,000,000","533,000,000","545,000,000","546,000,000","546,000,000",,"547,082,000","552,060,000","555,604,545",,"520,579,000","484,965,000","485,043,000",,"486,629,730","487,808,333","477,729,412",,"481,523,810","528,956,000","528,956,000",,"473,319,608","476,775,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"5,449,000,000","1,067,000,000","1,091,000,000","1,698,000,000","1,593,000,000","799,000,000","771,000,000","-368,000,000","-61,000,000","708,000,000","770,000,000","753,000,000","726,000,000","687,000,000","720,000,000","669,000,000","666,000,000","387,000,000","602,000,000","546,000,000","564,000,000","563,000,000","639,000,000","616,000,000","575,000,000","500,000,000","612,000,000","599,000,000","586,000,000","404,000,000","644,000,000","644,000,000","631,000,000","602,000,000","593,000,000","602,000,000","673,000,000","539,000,000","550,717,000","626,686,000","536,591,000","631,006,000","512,579,000","648,818,000","600,419,000","464,892,000","349,642,000","260,617,000","258,067,000","-103,538,000","352,537,000","577,454,000","225,800,000","120,394,000","432,335,000","180,053,000","234,148,000","81,214,000","-56,484,000","202,240,000","209,242,000","233,632,000","186,522,000","241,393,000","343,278,000"
NormalizedIncome,"5,522,245,000","1,027,016,899.339","1,130,678,000","1,768,288,000","1,593,000,000","799,000,000","771,000,000","-368,000,000","-61,000,000","708,000,000","770,000,000","753,000,000","726,000,000","687,000,000","720,000,000","669,000,000","666,000,000","387,000,000","602,000,000","546,000,000","564,000,000","563,000,000","639,000,000","616,000,000","575,000,000","500,000,000","612,000,000","599,000,000","586,000,000","404,000,000","644,000,000","644,000,000","631,000,000","602,000,000","593,000,000","602,000,000","673,000,000","539,000,000","550,717,000","626,686,000","536,591,000","631,006,000","512,579,000","648,818,000","600,419,000","464,892,000","349,642,000","260,617,000","258,067,000","-103,538,000","352,537,000","577,454,000","225,800,000","-171,141,176.442","443,641,000","178,900,000","201,543,000","238,829,000","-56,484,000","202,240,000","209,242,000","233,632,000","186,522,000","241,393,000","343,278,000"
InterestIncome,"10,651,000,000","2,742,000,000","2,674,000,000","2,589,000,000","2,646,000,000","2,760,000,000","2,681,000,000","2,672,000,000","2,982,000,000","3,039,000,000","3,040,000,000","2,977,000,000","2,937,000,000","2,907,000,000","2,781,000,000","2,636,000,000","2,569,000,000","2,556,000,000","2,476,000,000","2,338,000,000","2,278,000,000","2,258,000,000","2,184,000,000","2,090,000,000","2,084,000,000","2,061,000,000","2,008,000,000","1,947,000,000","1,929,000,000","1,974,000,000","1,926,000,000","1,863,000,000","1,833,000,000","1,842,000,000","1,787,000,000","1,727,000,000","1,708,000,000","1,740,000,000","1,705,854,000","1,694,969,000","1,655,618,000","1,646,559,000","1,619,805,000","1,599,092,000","1,573,278,000","1,552,964,000","1,499,347,000","1,535,939,000","1,551,782,000","1,559,150,000","3,954,078,000","833,217,000","857,984,000","815,793,000","4,589,272,000","681,692,000","612,063,000","662,802,000","4,721,239,000","755,610,000","703,365,000","680,305,000","4,331,125,000","642,748,000","607,181,000"
InterestExpense,"1,134,000,000","259,000,000","269,000,000","290,000,000","316,000,000","383,000,000","416,000,000","482,000,000","584,000,000","615,000,000","638,000,000","645,000,000","632,000,000","605,000,000","558,000,000","507,000,000","469,000,000","436,000,000","426,000,000","400,000,000","386,000,000","366,000,000","359,000,000","339,000,000","334,000,000","329,000,000","323,000,000","311,000,000","300,000,000","302,000,000","288,000,000","274,000,000","270,000,000","273,000,000","278,000,000","297,000,000","298,000,000","312,000,000","311,891,000","325,310,000","340,539,000","353,260,000","359,792,000","362,053,000","379,979,000","382,728,000","375,506,000","389,137,000","404,621,000","413,724,000","711,294,000","304,401,000","320,005,000","312,720,000","1,398,587,000","305,643,000","313,248,000","339,441,000","1,994,107,000","361,469,000","336,253,000","283,959,000","1,641,067,000","250,440,000","217,336,000"
NetInterestIncome,"9,517,000,000","2,483,000,000","2,405,000,000","2,299,000,000","2,330,000,000","2,377,000,000","2,265,000,000","2,190,000,000","2,398,000,000","2,424,000,000","2,402,000,000","2,332,000,000","2,305,000,000","2,302,000,000","2,223,000,000","2,129,000,000","2,100,000,000","2,120,000,000","2,050,000,000","1,938,000,000","1,892,000,000","1,892,000,000","1,825,000,000","1,751,000,000","1,750,000,000","1,732,000,000","1,685,000,000","1,636,000,000","1,629,000,000","1,672,000,000","1,638,000,000","1,589,000,000","1,563,000,000","1,569,000,000","1,509,000,000","1,430,000,000","1,410,000,000","1,428,000,000","1,393,963,000","1,369,659,000","1,315,079,000","1,293,299,000","1,260,013,000","1,237,039,000","1,193,299,000","1,170,236,000","1,123,841,000","1,146,802,000","1,147,161,000","1,145,426,000","3,242,784,000","528,816,000","537,979,000","503,073,000","3,190,685,000","376,049,000","298,815,000","323,361,000","2,727,132,000","394,141,000","367,112,000","396,346,000","2,690,058,000","392,308,000","389,845,000"
ReconciledDepreciation,"531,000,000","144,000,000","139,000,000","129,000,000","119,000,000","123,000,000","116,000,000","123,000,000","123,000,000","121,000,000","113,000,000","103,000,000","99,000,000","109,000,000","110,000,000","109,000,000","107,000,000","104,000,000","101,000,000","95,000,000","93,000,000","89,000,000","86,000,000","92,000,000","84,000,000","100,000,000","98,000,000","98,000,000","95,000,000","95,000,000","93,000,000","91,000,000","90,000,000","87,000,000","84,000,000","95,000,000","68,000,000",,"298,996,000","-4,430,000","-12,056,000","-15,510,000","-10,855,000","40,437,000","-10,515,000","1,006,000","45,928,000","42,326,000","41,325,000","42,426,000","141,065,000","18,622,000","17,727,000","26,078,000","58,278,000","66,048,000","52,078,000","54,994,000","79,869,000","62,123,000","58,789,000","56,350,000","144,724,000","24,832,000",
NetIncomeFromContinuingOperationNetMinorityInterest,"5,449,000,000","1,067,000,000","1,091,000,000","1,698,000,000","1,593,000,000","799,000,000","771,000,000","-368,000,000","-61,000,000","708,000,000","770,000,000","753,000,000","726,000,000","687,000,000","720,000,000","669,000,000","666,000,000","387,000,000","602,000,000","546,000,000","564,000,000","563,000,000","639,000,000","616,000,000","575,000,000","500,000,000","612,000,000","599,000,000","586,000,000","404,000,000","644,000,000","644,000,000","631,000,000","602,000,000","593,000,000","602,000,000","673,000,000","539,000,000","550,717,000","626,686,000","536,591,000","631,006,000","512,579,000","648,818,000","600,419,000","464,892,000","349,642,000","260,617,000","258,067,000","-103,538,000","352,537,000","577,454,000","225,800,000","120,394,000","443,641,000","178,900,000","201,543,000","238,829,000","-56,484,000","202,240,000","209,242,000","233,632,000","186,522,000","241,393,000","343,278,000"
TotalUnusualItemsExcludingGoodwill,"-95,000,000","51,000,000","-51,000,000","-92,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"474,841,000",,,,,,,,,,,
TotalUnusualItems,"-95,000,000","51,000,000","-51,000,000","-92,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"474,841,000",,,,,,,,,,,
TaxRateForCalcs,"0.229","0.216","0.222","0.236","0.234","0.213","0.196","0.202","0.22","0.234","0.225","0.238","0.219","0.234","0.255","0.237","0.222","0.4","0.333","0.371","0.35","0.362","0.335","0.314","0.371","0.365","0.372","0.364","0.355","0.377","0.362","0.366","0.383","0.358","0.373","0.386","0.377","0.361","0.36","0.381","0.381","0.378","0.373","0.38","0.352","0.354","0.4","0.397","0.389","0.393","0.382","0.386","0.35","0.386","0.335","0.347","0.382","0.389","0.358","0.386","0.371","0.371","0.4","0.343","0.369"
TaxEffectOfUnusualItems,"-21,755,000","11,016,899.339","-11,322,000","-21,712,000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","183,305,823.558","0","0","0","0","0","0","0","0","0","0","0"
