name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997
	OtherunderPreferredStockDividend,"7,000,000","1,000,000","2,000,000","3,000,000","1,000,000","3,000,000","2,000,000","1,000,000",,,,,"1,000,000","1,000,000","1,000,000","0","1,000,000","1,000,000","1,000,000","0","1,000,000","0","2,000,000","1,000,000","0","0","2,000,000","1,000,000","0","0","1,000,000","0","1,000,000","590,000","1,484,000","562,000","365,000","600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"1,988,000,000","389,000,000","503,000,000","631,000,000","468,000,000","576,000,000","566,000,000","184,000,000","99,000,000","250,000,000","215,000,000","226,000,000","163,000,000","126,000,000","212,000,000","219,000,000","176,000,000","253,000,000","160,000,000","193,000,000","163,000,000","155,000,000","190,000,000","194,000,000","102,000,000","188,000,000","340,000,000","117,000,000","61,000,000","190,000,000","128,000,000","133,000,000","103,000,000","142,020,000","403,659,000","164,906,000","135,414,000","53,310,000","163,082,000","177,705,000","159,118,000","189,437,000","171,848,000","163,143,000","-53,861,000","165,756,000","198,075,000","194,615,000","162,448,000","181,590,000","192,219,000","188,200,000","175,656,000","169,813,000","110,742,000","161,328,000","139,607,000","-5,251,000","97,965,000","141,332,000","105,893,000","149,286,000","160,522,000","131,977,000","144,636,000","130,329,000","135,248,000","149,089,000","131,611,000","126,073,000","130,144,000","126,829,000","116,149,000","108,245,000","120,024,000","120,412,000","88,036,000","81,697,000","86,617,000","87,151,000","66,689,000","50,938,000","50,122,000","25,495,000","35,748,000","25,363,000","28,712,000","30,168,000","17,809,000","-14,500,000","-9,400,000","13,100,000","7,400,000","5,400,000","6,100,000","8,900,000","6,600,000","-37,400,000","3,000,000","8,100,000","4,000,000"
BasicEPS,,"3.19","4.11","5.05","3.52","4.28","4.2","1.38","0.74","1.88","1.59","1.67","1.22","0.93","1.56","1.6","1.3","1.86","1.18","1.4","1.19","1.11","1.37","1.38","0.71","1.31","2.37","0.82","0.42","1.3","0.89","0.92","0.72","0.97","2.7","1.07","0.86","0.35","1.02","1.12","1",,"1.08","1.03","0.87",,"1.14","1.08","0.9",,"1.03","1.01","0.88",,"0.57","0.83","0.72",,"0.51","0.74","0.55",,"0.81","0.67","0.73",,"0.67","0.74","0.65",,"0.645","0.615","0.565",,"0.575","0.575","0.44",,"0.445","0.45","0.35",,"0.27","0.14","0.195",,"0.16","0.17","0.1",,"-0.065","0.11","0.063",,"0.05","0.075","0.055",,"0.025","0.07","0.035"
DilutedEPS,,"3.12","4.02","4.96","3.46","4.21","4.14","1.36","0.73","1.86","1.56","1.66","1.2","0.92","1.53","1.57","1.27","1.82","1.15","1.37","1.16","1.09","1.34","1.37","0.7","1.29","2.35","0.81","0.42","1.29","0.88","0.92","0.71","0.97","2.68","1.07","0.85","0.34","1.01","1.11","0.99",,"1.07","1.02","0.86",,"1.13","1.07","0.89",,"1.02","1","0.88",,"0.56","0.82","0.71",,"0.5","0.73","0.54",,"0.8","0.66","0.72",,"0.66","0.72","0.64",,"0.63","0.6","0.55",,"0.56","0.56","0.43",,"0.435","0.435","0.335",,"0.255","0.13","0.185",,"0.15","0.16","0.098",,"-0.065","0.108","0.06",,"0.05","0.073","0.055",,"0.025","0.07","0.035"
BasicAverageShares,,"122,000,000","123,000,000","125,000,000","133,000,000","135,000,000","135,000,000","134,000,000","134,000,000","134,000,000","135,000,000","135,000,000","134,000,000","136,000,000","136,000,000","136,000,000","136,000,000","136,000,000","137,000,000","137,000,000","137,000,000","138,000,000","139,000,000","140,000,000","143,000,000","143,000,000","144,000,000","144,000,000","144,000,000","145,000,000","145,000,000","144,000,000","144,000,000","146,000,000","149,600,000","152,700,000","158,100,000","158,700,000","158,800,000","158,500,000","158,300,000",,"157,800,000","157,600,000","161,500,000",,"173,200,000","178,900,000","180,200,000",,"185,100,000","185,266,000","189,370,000",,"194,971,000","194,527,000","194,143,000",,"193,377,000","192,651,000","193,379,000",,"197,164,000","198,013,000","198,395,000",,"202,681,000","202,597,000","201,718,000",,"202,488,000","206,018,000","206,284,000",,"209,574,000","210,098,000","200,074,000",,"193,800,000","192,786,000","190,844,000",,"186,764,000","185,132,000","183,780,000",,"179,888,000","178,308,000","176,524,000",,"144,615,385","119,090,909","118,400,000",,"122,000,000","118,666,667","120,000,000",,"120,000,000","115,714,286","114,285,714"
DilutedAverageShares,,"125,000,000","125,000,000","127,000,000","135,000,000","137,000,000","137,000,000","136,000,000","135,000,000","136,000,000","137,000,000","136,000,000","136,000,000","137,000,000","139,000,000","139,000,000","139,000,000","139,000,000","140,000,000","140,000,000","141,000,000","141,000,000","142,000,000","142,000,000","144,000,000","144,000,000","145,000,000","145,000,000","146,000,000","146,000,000","145,000,000","145,000,000","145,000,000","146,000,000","150,900,000","154,100,000","159,400,000","160,100,000","160,700,000","159,800,000","159,700,000",,"159,000,000","159,400,000","163,200,000",,"174,300,000","180,800,000","182,400,000",,"187,200,000","187,003,000","190,698,000",,"197,190,000","196,119,000","195,783,000",,"195,589,000","194,476,000","195,263,000",,"200,129,000","200,586,000","201,034,000",,"206,126,000","206,554,000","206,142,000",,"206,544,000","210,794,000","211,484,000",,"214,556,000","215,354,000","204,910,000",,"199,424,000","200,594,000","198,614,000",,"196,092,000","194,608,000","193,240,000",,"191,540,000","187,924,000","182,464,000",,"144,615,385","121,860,465","123,333,333",,"122,000,000","122,758,621","120,000,000",,"120,000,000","115,714,286","114,285,714"
TotalOperatingIncomeAsReported,"2,381,000,000","536,000,000","652,000,000","533,000,000","660,000,000","795,000,000","718,000,000","283,000,000","175,000,000","363,000,000","313,000,000","307,000,000","248,000,000","220,000,000","304,000,000","305,000,000","272,000,000","269,000,000","298,000,000","319,000,000","279,000,000","276,000,000","322,000,000","422,000,000","257,000,000","239,000,000","631,000,000","301,000,000","228,000,000","257,000,000","256,000,000","262,000,000","208,000,000","269,808,000","689,477,000","288,721,000","226,994,000","257,731,000","308,733,000","334,748,000","299,585,000","325,181,000","322,053,000","316,854,000","30,960,000","294,212,000","336,867,000","365,894,000","298,562,000","330,393,000","348,280,000","359,375,000","321,063,000","317,057,000","316,935,000","308,123,000","280,261,000","312,065,000","305,992,000","272,409,000","200,870,000","279,102,000","292,861,000","262,625,000","244,541,000","233,849,000","243,196,000","261,200,000","229,913,000","230,839,000","231,700,000","230,019,000","208,879,000","195,985,000","217,523,000","218,681,000","163,478,000","145,288,000","159,029,000","159,666,000","128,466,000","103,084,000","105,135,000","113,585,000","89,586,000","76,485,000","82,789,000","91,876,000","66,667,000","52,900,000","44,900,000","31,500,000","22,700,000","21,400,000","21,500,000","27,400,000","24,100,000","9,100,000","18,600,000","28,000,000","18,800,000"
TotalExpenses,"8,407,000,000","2,208,000,000","2,122,000,000","2,017,000,000","2,060,000,000","2,207,000,000","2,068,000,000","1,544,000,000","1,647,000,000","1,563,000,000","1,643,000,000","1,646,000,000","1,643,000,000","1,615,000,000","1,585,000,000","1,614,000,000","1,612,000,000","1,667,000,000","1,633,000,000","1,624,000,000","1,620,000,000","1,585,000,000","1,563,000,000","1,602,000,000","1,606,000,000","1,610,000,000","1,583,000,000","1,624,000,000","1,611,000,000","1,626,000,000","1,648,000,000","1,640,000,000","1,538,000,000","1,486,527,000","1,571,801,000","1,527,019,000","1,559,653,000","1,430,126,000","1,542,706,000","1,572,062,000","1,636,871,000","1,554,126,000","1,584,352,000","1,586,347,000","1,790,617,000","1,529,828,000","1,527,788,000","1,508,833,000","1,506,941,000","1,517,880,000","1,548,866,000","1,542,443,000","1,486,943,000","1,483,249,000","1,509,668,000","1,529,778,000","1,504,376,000","1,458,408,000","1,461,078,000","1,368,747,000","1,325,338,000","1,270,168,000","1,290,341,000","1,321,710,000","1,310,867,000","1,201,027,000","1,128,625,000","1,116,329,000","1,089,572,000","1,052,449,000","1,058,197,000","1,067,655,000","1,046,863,000","1,008,020,000","1,003,698,000","1,001,254,000","929,319,000","888,477,000","899,685,000","909,144,000","818,296,000","807,356,000","798,054,000","818,004,000","792,967,000","759,849,000","767,447,000","785,237,000","790,812,000","761,600,000","569,900,000","362,500,000","359,100,000","341,900,000","339,200,000","339,300,000","343,800,000","356,300,000","355,000,000","373,500,000","369,300,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"1,995,000,000","390,000,000","505,000,000","631,000,000","469,000,000","579,000,000","568,000,000","185,000,000","99,000,000","253,000,000","215,000,000","226,000,000","164,000,000","127,000,000","213,000,000","219,000,000","177,000,000","254,000,000","161,000,000","193,000,000","164,000,000","155,000,000","192,000,000","195,000,000","102,000,000","188,000,000","342,000,000","118,000,000","61,000,000","190,000,000","129,000,000","133,000,000","104,000,000","142,610,000","405,143,000","165,468,000","135,779,000","55,816,000","163,082,000","177,705,000","159,118,000","189,437,000","171,848,000","163,143,000","-53,861,000","165,756,000","198,075,000","194,615,000","162,448,000","181,590,000","192,219,000","188,200,000","175,656,000","169,813,000","110,742,000","161,328,000","139,607,000","-5,251,000","97,965,000","141,332,000","105,893,000","149,286,000","160,522,000","131,977,000","144,636,000","130,329,000","135,248,000","149,089,000","131,611,000","126,073,000","130,144,000","126,829,000","116,149,000","108,245,000","120,024,000","120,412,000","88,036,000","81,697,000","86,617,000","87,151,000","66,689,000","50,938,000","50,122,000","47,104,000","35,748,000","28,259,000","28,712,000","30,168,000","17,809,000","-14,500,000","-7,300,000","13,100,000","7,400,000","5,400,000","6,100,000","8,900,000","6,600,000","-37,400,000","3,000,000","8,100,000","4,000,000"
NormalizedIncome,"1,995,000,000","390,000,000","505,000,000","631,000,000","469,000,000","579,000,000","568,000,000","185,000,000","99,000,000","253,000,000","215,000,000","206,000,000","164,000,000","127,000,000","213,000,000","219,000,000","177,000,000","254,000,000","161,000,000","193,000,000","164,000,000","155,000,000","192,000,000","124,200,000","102,000,000","188,000,000","342,000,000","118,000,000","61,000,000","185,000,000","129,000,000","133,000,000","104,000,000","143,194,895.981","105,926,612","152,665,000","115,491,000","130,438,000","161,500,476.821","178,543,746.824","155,875,643.151","187,413,172.368","173,819,320.762","163,864,271.494","-54,922,200","164,705,267.295","196,327,194.664","221,798,851.537","158,778,569.326","188,939,677.832","190,165,823.656","193,715,716.705","178,997,789.949","175,698,379.668","167,027,458.063","160,858,601.996","141,321,385.178","155,111,318.871","150,761,305.076","141,501,146.357","106,296,142.583","141,571,275.141","165,258,158.441","139,588,600","150,585,000","135,143,471.785","143,409,800","149,415,400","131,284,600","125,825,132.591","130,057,000","127,562,800","115,413,400","108,225,200","118,891,200","116,809,000","86,219,200","76,875,400","84,118,000","83,755,000","66,320,600","48,468,400","48,659,800","49,843,000","35,926,800","32,312,600","27,030,200","30,299,400","17,552,200","17,618,279.57","11,600,000","14,300,000","8,180,000","8,100,000","6,760,000","8,960,000","7,320,000","-223,505.976","4,200,000","8,820,000","3,820,000"
