name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009
EBIT,"-2,428,395,000","-620,383,000","-684,386,000","-579,603,000","-544,023,000","-618,204,000","-541,463,000","-609,829,000","-1,818,238,000","192,098,000","521,975,000","312,297,000","157,862,000","218,879,000","550,374,000","305,074,000","165,387,000","178,479,000","473,558,000","269,462,000","116,919,000","158,529,000","408,281,000","216,265,000","134,087,000","106,843,000","305,099,000","213,666,000","30,210,000","32,284,000","238,064,000","148,263,000","73,477,000","61,665,000","207,454,000","95,818,000","30,156,000","48,712,000","175,384,000","87,006,000","46,444,000","43,361,000","162,709,000","76,202,000","34,812,000","16,545,000","137,575,000","55,839,000","20,282,000","-995,000","113,431,000","46,020,000","12,918,000"
EBITDA,"-1,669,791,000"
ReconciledCostOfRevenue,"1,550,278,000","703,045,000","424,518,000","235,352,000","187,363,000","195,484,000","181,812,000","296,724,000","997,262,000","886,778,000","990,953,000","957,938,000","826,678,000","815,852,000","927,332,000","863,191,000","764,789,000","750,991,000","835,358,000","748,358,000","717,410,000","691,856,000","781,211,000","702,928,000","661,090,000","653,007,000","714,376,000","650,702,000","619,143,000","511,311,000","503,006,000","462,735,000","437,842,000","409,715,000","448,002,000","414,467,000","355,957,000","337,875,000","387,455,000","381,149,000","345,354,000","336,709,000","387,998,000","377,362,000","338,743,000","350,404,000","369,099,000","316,634,000","289,439,000","296,691,000","339,901,000","325,611,000","310,250,000"
ReconciledDepreciation,"758,604,000","197,632,000","188,527,000","188,637,000","183,808,000","174,411,000","185,833,000","184,180,000","195,195,000","164,605,000","156,026,000","156,757,000","169,714,000","146,818,000","145,312,000","140,296,000","134,546,000","135,527,000","137,339,000","127,025,000","121,593,000","118,269,000","115,098,000","107,582,000","104,686,000","122,474,000","113,144,000","110,184,000","104,533,000","91,571,000","72,078,000","71,520,000","69,708,000","64,968,000","64,197,000","60,466,000","55,480,000","55,356,000","55,039,000","53,272,000","52,470,000","51,522,000","55,719,000","52,055,000","51,753,000","52,999,000","52,676,000","43,656,000","42,582,000","43,443,000","43,142,000","45,132,000","37,984,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"-4,506,587,000","-1,572,721,000","-845,885,000","-717,789,000","-1,370,192,000","-738,933,000","-677,366,000","-715,243,000","-1,880,972,000","121,297,000","450,584,000","240,190,000","118,157,000","154,634,000","470,378,000","226,676,000","103,155,000","98,797,000","400,692,000","198,473,000","61,910,000","72,232,000","342,378,000","145,246,000","73,229,000","38,312,000","251,787,000","158,494,000","-21,456,000","-25,609,000","201,078,000","111,616,000","51,267,000","36,092,000","170,858,000","-8,841,000","-96,395,000","3,048,000","128,188,000","36,031,000","3,284,000","-3,172,000","110,198,000","29,176,000","-10,625,000","-39,312,000","93,001,000","-14,940,000","-16,132,000","-39,000,000","85,625,000","15,419,000","5,189,000"
TotalUnusualItemsExcludingGoodwill,"0","0","0","0","0","-27,800,000","0","0","-1,607,797,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2,070,000","3,010,000",,"-2,623,000","-344,000","2,432,000","-1,204,000","1,624,000","-33,769,000","-603,000","-584,000","-2,125,000","-4,253,000","17,335,000"
TotalUnusualItems,"0","0","0","0","0","-27,800,000","0","0","-1,607,797,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2,070,000","3,010,000",,"-2,623,000","-344,000","2,432,000","-1,204,000","1,624,000","-33,769,000","-603,000","-584,000","-2,125,000","-4,253,000","17,335,000"
NormalizedEBITDA,"-1,669,791,000","-422,751,000","-495,859,000","-390,966,000","-360,215,000","-415,993,000","-355,630,000","-425,649,000","-12,244,000","356,703,000","678,190,000","469,054,000","327,603,000","365,697,000","695,686,000","445,778,000","299,933,000","314,006,000","610,897,000","396,487,000","238,512,000","276,798,000","523,379,000","323,847,000","238,773,000","229,317,000","418,243,000","323,850,000","134,743,000","123,855,000","310,142,000","219,783,000","143,185,000","126,633,000","271,651,000","156,284,000","85,636,000","104,068,000","230,423,000","142,348,000","95,904,000","94,883,000","221,051,000","128,601,000","84,133,000","70,748,000","188,627,000","133,264,000","63,467,000","43,032,000","158,698,000","95,405,000","33,567,000"
TaxRateForCalcs,"0.27","0.27","0.27","0.27","0.27","0.27","0.006","0.013","0.003","0.27","0.024","0.025","0.27","0.27","0.022","0.023","0.024","0.4","0.016","0.033","0.032","0.4","0.015","0.018","0.015","0.4","0.014","0.017","0.4","0.35","0.012","0.027","0.35","0.017","0.044","0.35","0","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35"
TaxEffectOfUnusualItems,"0","0","0","0","0","-7,506,000","0","0","-5,259,230.68","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-724,500","1,053,500","0","-918,050","-120,400","851,200","-421,400","568,400","-11,819,150","-211,050","-204,400","-743,750","-1,488,550","6,067,250"
