name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,08/31/2020,06/30/2020,05/31/2020,03/31/2020,12/31/2019,09/30/2019,08/31/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,08/31/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,05/31/2003
InterestExpense,"191,806,000","60,984,000","45,523,000","45,877,000","39,422,000","54,364,000","38,605,000","38,605,000","39,727,000","39,727,000","39,470,000","48,146,000","33,752,000","33,752,000","33,866,000","35,054,000","45,956,000","33,976,000","33,976,000","36,127,000","30,286,000","39,158,000","33,141,000","24,611,000","25,631,000","33,536,000","25,180,000","25,206,000","26,146,000","40,395,000","19,979,000","19,010,000","20,153,000","26,730,000","19,974,000","19,851,000","20,326,000","27,154,000","20,347,000","20,426,000","20,945,000","27,797,000","20,683,000","20,717,000","32,250,000","28,150,000","20,984,000","21,044,000","21,457,000","28,865,000","22,021,000","21,770,000","24,153,000","33,315,000","24,631,000","26,030,000","26,968,000",,,,,,,,,,,,,,,,,,,,,,,
NetInterestIncome,"-191,461,000","-60,777,000","-45,475,000","-45,809,000","-39,400,000","-54,479,000","-38,408,000","-38,408,000","-39,087,000","-39,087,000","-38,538,000","-46,681,000","-32,784,000","-32,784,000","-32,944,000","-34,361,000","-45,073,000","-33,184,000","-33,184,000","-34,948,000","-29,806,000","-38,695,000","-32,529,000","-24,335,000","-25,520,000","-33,407,000","-25,097,000","-25,009,000","-25,870,000","-40,285,000","-19,915,000","-18,953,000","-20,071,000","-26,667,000","-19,952,000","-19,824,000","-20,295,000","-27,091,000","-20,323,000","-20,396,000","-20,903,000","-27,733,000","-20,649,000","-20,665,000","-32,096,000","-28,067,000","-20,924,000","-20,970,000","-21,377,000","-28,767,000","-21,954,000","-21,722,000","-24,123,000","-33,313,000","-24,528,000","-25,919,000","-26,501,000",,,,,,,,,,,,,,,,,,,,,,,
EBIT,"817,511,000","257,153,000","180,328,000","190,970,000","189,060,000","243,929,000","162,378,000","162,378,000","164,223,000","164,223,000","156,766,000","205,416,000","143,997,000","143,997,000","139,845,000","144,197,000","180,519,000","133,224,000","133,224,000","127,324,000","133,956,000","175,714,000","117,692,000","113,143,000","116,145,000","150,846,000","100,994,000","103,898,000","98,988,000","138,522,000","80,607,000","92,288,000","94,335,000","102,945,000","76,963,000","81,390,000","84,206,000","97,733,000","66,800,000","73,871,000","75,567,000","88,103,000","61,652,000","65,830,000","67,049,000","76,216,000","55,914,000","62,120,000","65,192,000","66,721,000","49,229,000","56,090,000","63,715,000","71,712,000","54,843,000","53,353,000","66,559,000","54,637,000","40,237,000","53,552,000","49,350,000","56,118,000","43,761,000","43,299,000","50,732,000","63,194,000","50,713,000","46,399,000","53,891,000","56,646,000","45,384,000","46,580,000","50,495,000","60,208,000","28,378,000","39,321,000","43,471,000","54,975,000","22,403,000","39,139,000"
EBITDA,"890,434,000"
ReconciledCostOfRevenue,"2,669,131,000","837,012,000","612,790,000","624,782,000","594,547,000","821,303,000","605,738,000","605,738,000","562,932,000","562,932,000","532,945,000","703,064,000","504,561,000","504,561,000","494,976,000","513,674,000","668,180,000","490,686,000","490,686,000","485,816,000","485,506,000","610,657,000","445,164,000","435,766,000","430,401,000","564,701,000","392,774,000","375,503,000","371,959,000","509,744,000","342,742,000","335,950,000","344,961,000","453,385,000","313,054,000","315,818,000","316,810,000","394,000,000","283,416,000","288,022,000","287,811,000","378,975,000","266,670,000","261,517,000","269,938,000","356,890,000","272,967,000","274,239,000","277,580,000","343,863,000","253,235,000","262,069,000","273,137,000","333,833,000","219,564,000","230,673,000","233,011,000","319,421,000","244,868,000","246,588,000","250,977,000","333,953,000","253,390,000","248,422,000","248,251,000","319,562,000","240,890,000","238,976,000","253,359,000","340,035,000","251,064,000","258,555,000","276,655,000","362,842,000","245,696,000","246,635,000","237,643,000","320,521,000","221,348,000","218,423,000"
ReconciledDepreciation,"72,923,000","22,704,000","16,578,000","17,176,000","16,465,000","20,922,000","15,327,000","15,327,000","14,757,000",,"14,032,000","18,948,000","13,132,000",,"14,060,000","13,790,000","17,895,000","12,460,000",,"12,241,000","11,069,000","14,315,000","10,281,000","10,275,000","9,498,000","12,680,000","8,704,000","8,535,000","8,221,000","9,739,000","7,667,000","7,681,000","7,347,000","15,764,000","6,947,000","6,656,000","6,421,000","8,303,000","6,073,000","5,776,000","5,631,000","7,319,000","5,411,000","5,225,000","5,216,000","6,964,000","6,010,000","5,462,000","5,606,000","7,627,000","5,431,000","5,491,000","5,503,000","7,281,000","5,506,000","5,490,000","5,787,000","2,326,000","8,610,000","8,115,000","9,326,000","13,275,000","8,831,000","30,218,000","17,464,000","10,688,000","8,404,000","8,090,000","8,464,000","11,138,000","8,161,000","7,971,000","8,165,000","11,550,000",,,"6,945,000","9,829,000",,
NetIncomeFromContinuingOperationNetMinorityInterest,"510,467,000","155,685,000","120,402,000","116,619,000","117,761,000","151,897,000","99,129,000","99,129,000","118,668,000","118,668,000","121,602,000","129,327,000","86,373,000","86,373,000","92,359,000","92,650,000","111,642,000","84,095,000","84,095,000","77,408,000","88,827,000","93,327,000","56,368,000","65,741,000","62,469,000","72,733,000","47,232,000","49,261,000","45,451,000","62,759,000","37,832,000","45,909,000","46,289,000","48,033,000","35,618,000","38,462,000","40,474,000","44,663,000","30,632,000","33,270,000","34,420,000","37,578,000","25,976,000","28,095,000","20,742,000","30,911,000","22,091,000","25,248,000","27,111,000","24,173,000","16,600,000","22,625,000","24,519,000","23,618,000","17,829,000","14,527,000","23,770,000","11,026,000","10,096,000","18,730,000","14,119,000","16,177,000","10,991,000","2,317,000","8,398,000","31,045,000","24,524,000","24,506,000","26,152,000","39,107,000","20,816,000","23,401,000","24,958,000","27,017,000","979,000","15,882,000","18,408,000","21,328,000","-18,038,000","17,486,000"
TotalUnusualItemsExcludingGoodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","-765,000","938,000","1,493,000","6,144,000","7,873,000","14,290,000","12,938,000","21,174,000",,,,,"0",,,"-13,294,000",,,,,,,,,"-1,081,000","-9,751,000",,,,,
TotalUnusualItems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","-765,000","938,000","1,493,000","6,144,000","7,873,000","14,290,000","12,938,000","21,174,000",,,,,"0",,,"-13,294,000",,,,,,,,,"-1,081,000","-9,751,000",,,,,
NormalizedEBITDA,"890,434,000","279,857,000","196,906,000","208,146,000","205,525,000","264,851,000","177,705,000","177,705,000","178,980,000","164,223,000","170,798,000","224,364,000","157,129,000","143,997,000","153,905,000","157,987,000","198,414,000","145,684,000","133,224,000","139,565,000","145,025,000","190,029,000","127,973,000","123,418,000","125,643,000","163,526,000","109,698,000","112,433,000","107,209,000","148,261,000","88,274,000","99,969,000","101,682,000","118,709,000","83,910,000","88,046,000","90,627,000","106,036,000","72,873,000","79,647,000","81,198,000","95,422,000","67,063,000","71,055,000","72,265,000","83,180,000","61,924,000","67,582,000","70,798,000","74,348,000","54,660,000","61,581,000","63,074,000","71,120,000","46,059,000","45,905,000","51,172,000","56,963,000","48,847,000","61,667,000","58,676,000","69,393,000","52,592,000","73,517,000","81,490,000","73,882,000","59,117,000","54,489,000","62,355,000","67,784,000","53,545,000","54,551,000","58,660,000","72,839,000","38,129,000","39,321,000","50,416,000","64,804,000","22,403,000","39,139,000"
TaxRateForCalcs,"0.184","0.206","0.107","0.196","0.213","0.199","0.199","0.199","0.047","0.047","0.27","0.178","0.217","0.217","0.129","0.151","0.17","0.153","0.153","0.151","0.143","0.317","0.333","0.257","0.31","0.38","0.377","0.374","0.376","0.36","0.376","0.373","0.376","0.37","0.375","0.375","0.366","0.367","0.341","0.377","0.37","0.377","0.366","0.377","0.4","0.357","0.368","0.385","0.38","0.361","0.39","0.341","0.38","0.385","0.35","0.35","0.4","0.318","0.307","0.346","0.4","0.248","0.398","0.35","0.38","0.341","0.346","0.271","0.38","0.382","0.384","0.352","0.377","0.378","0.378","0.377","0.378","0.375","0.375","0.38"
TaxEffectOfUnusualItems,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2,336,186.037","3,030,316.613","5,001,500","4,528,300","8,461,363.795","0","0","0","0","0","0","0","-5,051,621.853","0","0","0","0","0","0","0","0","-408,080.551","-3,682,195.804","0","0","0","0","0"
