name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,11/30/1992,08/31/1992,05/31/1992,02/29/1992,11/30/1991,08/31/1991,05/31/1991,02/28/1991,11/30/1990,08/31/1990,05/31/1990,02/28/1990
		NetIncomeIncludingNoncontrollingInterests,"2,934,000,000","-13,000,000","1,531,000,000","588,000,000","828,000,000","-274,000,000","1,340,000,000","1,828,000,000","473,000,000","512,000,000","689,000,000","940,000,000","566,000,000","355,000,000","644,000,000","193,000,000","491,000,000","184,000,000","499,000,000","650,000,000","1,115,000,000","-401,000,000","450,000,000","311,000,000","234,000,000","101,000,000","314,000,000","431,000,000","430,000,000","145,000,000","290,000,000","344,000,000","368,000,000","-30,000,000","368,000,000","420,000,000","473,000,000","192,000,000","426,000,000","356,000,000","248,000,000","198,777,000","444,760,000","460,287,000","315,176,000","107,325,000","393,221,000","340,076,000","258,768,000","250,659,000","301,519,000","281,780,000","205,717,000","174,080,000","183,008,000","209,896,000","80,170,000","243,219,000","302,378,000","216,846,000","71,241,000","155,021,000","159,198,000","89,489,000","83,715,000","64,607,000","49,944,000","84,137,000","109,795,000","47,126,000","84,303,000","80,753,000","67,830,000","66,309,000","62,119,000","69,276,000","31,230,000","-1,705,000","52,331,000","45,359,000","46,770,000","35,171,000","30,000,000","25,000,000","27,000,000","27,000,000","23,000,000","19,000,000","21,000,000","-416,000,000","22,000,000","28,000,000","-16,000,000","57,000,000","-30,000,000","52,000,000","50,000,000","48,000,000","44,000,000","42,000,000","39,000,000","22,000,000","32,000,000","-95,000,000","53,000,000","49,000,000","43,000,000","45,000,000","53,000,000","48,000,000","42,000,000","54,000,000","32,000,000","29,000,000","23,000,000","19,000,000","18,000,000","64,000,000","-114,300,000","75,000,000","86,000,000","76,000,000","88,600,000","88,800,000","88,800,000","75,000,000","85,100,000","85,300,000","75,900,000"
			NetIncomeContinuousOperations,"2,934,000,000","-13,000,000","1,531,000,000","588,000,000","828,000,000","-274,000,000","1,340,000,000","1,828,000,000","473,000,000","512,000,000","689,000,000","940,000,000","566,000,000","355,000,000","644,000,000","193,000,000","491,000,000","184,000,000","499,000,000","650,000,000","1,115,000,000","-401,000,000","450,000,000","311,000,000","234,000,000","101,000,000","314,000,000","431,000,000","430,000,000","145,000,000","290,000,000","344,000,000","368,000,000","-30,000,000","368,000,000","420,000,000","473,000,000","192,000,000","426,000,000","356,000,000","248,000,000","198,777,000","444,760,000","460,287,000","315,176,000","107,325,000","393,221,000","340,076,000","258,768,000","250,659,000","301,519,000","281,780,000","205,717,000","174,080,000","183,008,000","209,896,000","80,170,000","243,219,000","302,378,000","216,846,000","71,241,000","155,021,000","159,198,000","89,489,000","83,715,000","64,607,000","49,944,000","84,137,000","109,795,000","47,126,000","84,303,000","80,753,000","67,830,000","66,309,000","62,119,000","69,276,000","31,230,000","-1,705,000","52,331,000","45,359,000","46,770,000","35,171,000","30,000,000","25,000,000","27,000,000","27,000,000","23,000,000","19,000,000","21,000,000","-416,000,000","22,000,000","28,000,000","-16,000,000","57,000,000","-30,000,000","52,000,000","50,000,000","48,000,000","44,000,000","42,000,000","39,000,000","22,000,000","32,000,000","-95,000,000","53,000,000","49,000,000","43,000,000","45,000,000","53,000,000","48,000,000","42,000,000","54,000,000","32,000,000","29,000,000","23,000,000","19,000,000","18,000,000","58,000,000","-35,000,000","75,000,000","86,000,000","76,000,000","88,600,000","88,800,000","88,800,000","75,000,000","85,100,000","85,300,000","75,900,000"
			NetIncomeDiscontinuousOperations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,000,000",,,,,,,,,,,
			NetIncomeFromTaxLossCarryforward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,
		MinorityInterests,"-1,000,000","-1,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"2,933,000,000","-14,000,000","1,531,000,000","588,000,000","828,000,000","-274,000,000","1,340,000,000","1,828,000,000","473,000,000","512,000,000","689,000,000","940,000,000","566,000,000","355,000,000","644,000,000","193,000,000","491,000,000","184,000,000","499,000,000","650,000,000","1,115,000,000","-401,000,000","450,000,000","311,000,000","234,000,000","101,000,000","314,000,000","431,000,000","430,000,000","145,000,000","290,000,000","344,000,000","368,000,000","-30,000,000","368,000,000","420,000,000","473,000,000","192,000,000","426,000,000","356,000,000","248,000,000","198,777,000","444,760,000","460,287,000","315,176,000","107,325,000","393,221,000","340,076,000","258,768,000","250,659,000","301,519,000","281,780,000","205,717,000","174,080,000","183,008,000","209,896,000","80,170,000","243,219,000","302,378,000","216,846,000","71,241,000","155,021,000","159,198,000","89,489,000","83,715,000","64,607,000","49,944,000","84,137,000","109,795,000","47,126,000","84,303,000","80,753,000","67,830,000","66,309,000","62,119,000","69,276,000","31,230,000","-1,705,000","52,331,000","45,359,000","46,770,000","35,171,000","30,000,000","25,000,000","27,000,000","27,000,000","23,000,000","19,000,000","21,000,000","-416,000,000","22,000,000","28,000,000","-16,000,000","57,000,000","-30,000,000","52,000,000","50,000,000","48,000,000","44,000,000","42,000,000","39,000,000","22,000,000","32,000,000","-95,000,000","53,000,000","49,000,000","43,000,000","45,000,000","53,000,000","48,000,000","42,000,000","54,000,000","32,000,000","29,000,000","23,000,000","19,000,000","18,000,000","64,000,000","-114,300,000","75,000,000","86,000,000","76,000,000","88,600,000","88,800,000","88,800,000","75,000,000","85,100,000","85,300,000","75,900,000"
BasicEPS,,"-0.11","11.91","4.57","6.42","-2.07","10.12","13.83","3.58","3.87","5.16","6.96","4.18","2.6","4.68","1.4","3.56","1.3","3.46","4.49","7.54","-2.68","3.01","2.08","1.57","0.68","2.11","2.88","2.86","0.96","1.87","2.22","2.37","-0.19","2.34","2.66","2.97","1.21","2.65","2.19","1.51","1.22","2.71","2.76","1.88",,"2.35","2.02","1.54",,"1.8","1.68","1.23",,"1.1","1.26","0.48",,"1.81","1.3","0.43",,"0.97","0.55","0.51",,"0.31","0.52","0.68",,"0.53","0.5","0.42",,"0.39","0.44","0.2",,"0.32","0.28","0.28",,"0.18","0.15","0.16",,"0.14","0.11","0.13",,"0.13","0.17","-0.1",,"-0.18","0.31","0.3",,"0.27","0.25","0.24",,"0.2","-0.58","0.32",,"0.27","0.28","0.32",,"0.27","0.33","0.2",,"0.15","0.12","0.11","0.4",,"0.48","0.54","0.48",,"0.57","0.56","0.72",,"0.84","0.75"
DilutedEPS,,"-0.11","11.84","4.55","6.39","-2.07","10.05","13.75","3.56","3.84","5.14","6.94","4.16","2.58","4.65","1.39","3.53","1.29","3.44","4.46","7.49","-2.68","2.98","2.06","1.56","0.67","2.09","2.85","2.82","0.94","1.85","2.19","2.35","-0.19","2.31","2.63","2.95","1.19","2.62","2.16","1.49","1.2","2.67","2.71","1.86",,"2.32","2","1.52",,"1.78","1.67","1.22",,"1.09","1.24","0.47",,"1.78","1.28","0.42",,"0.95","0.53","0.5",,"0.3","0.51","0.67",,"0.52","0.5","0.41",,"0.38","0.43","0.19",,"0.31","0.27","0.28",,"0.18","0.15","0.16",,"0.14","0.11","0.13",,"0.13","0.17","-0.1",,"-0.18","0.31","0.3",,"0.27","0.25","0.24",,"0.2","-0.58","0.32",,"0.27","0.28","0.32",,"0.27","0.33","0.2",,"0.15","0.12","0.11","0.4",,"0.48","0.54","0.48",,"0.57","0.56","0.72",,"0.84","0.75"
BasicAverageShares,,"128,612,000","128,518,000","128,692,000","128,931,000","132,094,000","132,318,000","132,248,000","132,135,000","132,453,000","133,321,000","135,063,000","135,383,000","136,570,000","137,709,000","137,763,000","137,903,000","141,333,000","144,215,000","144,600,000","147,824,000","149,536,000","149,417,000","149,386,000","149,161,000","148,970,000","148,889,000","149,473,000","150,490,000","151,732,000","154,502,000","155,423,000","155,091,000","155,933,000","157,187,000","157,975,000","158,917,000","158,764,000","160,639,000","162,816,000","163,717,000","163,238,000","164,121,000","167,021,000","167,271,000",,"167,574,000","168,472,000","168,200,000",,"167,404,000","167,301,000","167,043,000",,"166,647,000","167,146,000","167,020,833",,"167,059,669","166,804,615","165,676,744",,"164,121,649","162,707,273","164,147,059",,"161,109,677","161,801,923","161,463,235",,"159,062,264","161,506,000","161,500,000",,"159,279,487","157,445,455","156,150,000",,"163,534,375","161,996,429","167,035,714",,"166,666,667","166,666,667","168,750,000",,"164,285,714","172,727,273","161,538,462",,"167,570,888","167,575,863","167,559,428",,"167,023,422","166,600,047","164,857,526",,"163,705,000","163,158,000","162,801,000",,"162,579,000","162,455,000","162,379,000",,"162,334,000","162,255,000","162,040,000",,"161,053,000","160,836,000","160,482,000",,"153,333,333","158,333,333","163,636,364","160,000,000",,"156,250,000","159,259,259","158,333,333",,"155,789,474","158,571,429","104,166,667",,"101,547,619","101,200,000"
DilutedAverageShares,,"128,612,000","129,255,000","129,387,000","129,551,000","132,094,000","133,196,000","133,023,000","132,811,000","133,342,000","134,025,000","135,579,000","135,962,000","137,529,000","138,678,000","138,576,000","138,830,000","142,474,000","145,360,000","145,634,000","148,872,000","149,536,000","150,904,000","150,806,000","150,554,000","150,606,000","150,466,000","151,148,000","152,349,000","153,572,000","156,230,000","157,046,000","156,647,000","155,933,000","158,907,000","159,521,000","160,403,000","160,682,000","162,418,000","164,639,000","166,088,000","165,632,000","166,580,000","169,560,000","169,534,000",,"169,582,000","170,229,000","170,080,000",,"169,246,000","168,669,000","168,658,000",,"167,897,248","168,997,000","170,574,468",,"169,875,281","169,410,938","169,621,429",,"167,576,842","168,847,170","167,430,000",,"166,480,000","164,974,510","163,873,134",,"162,121,154","161,506,000","165,439,024",,"163,471,053","161,106,977","164,368,421",,"168,809,677","167,996,296","167,035,714",,"166,666,667","166,666,667","168,750,000",,"164,285,714","172,727,273","161,538,462",,"168,029,847","168,153,387","167,559,428",,"167,023,422","169,117,894","167,189,456",,"163,705,000","163,158,000","162,801,000",,"162,579,000","162,455,000","162,379,000",,"162,334,000","162,255,000","162,040,000",,"161,053,000","160,836,000","160,482,000",,"153,333,333","158,333,333","163,636,364","160,000,000",,"156,250,000","159,259,259","158,333,333",,"155,789,474","158,571,429","104,166,667",,"101,547,619","101,200,000"
