name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994
AverageDilutionEarnings,"2,148,000","669,000","172,000","914,000","336,000","809,000","354,000","402,000","439,000","12,000","11,000","447,000","11,000","-1,711,000","566,000","738,000","441,000","679,000","683,000","478,000","663,000","585,000","882,000","526,000","642,000","340,000","476,000","454,000","538,000","674,000","375,000","263,000","241,000","405,000","-8,000","67,000","147,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"1,004,347,000","335,221,000","78,926,000","447,965,000","142,235,000","341,140,000","147,715,000","170,840,000","167,983,000","169,351,000","278,973,000","168,293,000","169,865,000","382,862,000","192,497,000","254,673,000","141,654,000","237,583,000","238,259,000","165,235,000","235,886,000","242,246,000","356,402,000","197,454,000","237,941,000","155,438,000","206,151,000","172,333,000","208,153,000","142,647,000","241,109,000","158,095,000","141,748,000","252,220,000","-10,707,000","36,226,000","75,435,000","122,385,000","86,844,000","156,909,000","57,758,000","323,085,000","44,824,000","43,373,000","30,341,000","27,027,000","24,654,000","51,125,000","72,523,000","32,394,000","58,154,000","17,674,000","47,425,000","-1,806,000","231,406,000","125,159,000","46,275,000","129,645,000","126,594,000","48,877,000","44,345,000","47,102,000","42,901,000","67,794,000","111,902,000","94,554,000","96,953,000","54,736,000","67,435,000","111,894,000","43,191,000","32,859,000","23,102,000","98,108,000","55,212,000","74,042,000","33,700,000","63,033,000","24,685,000","32,315,000","35,690,000","56,486,000","79,229,000","39,131,000","41,654,000","44,336,000","48,550,000","40,712,000","37,227,000","64,297,000","34,200,000","24,300,000","9,900,000","22,160,000","23,700,000","13,700,000","9,000,000","9,361,000","8,200,000","7,200,000","6,700,000","2,762,000","5,800,000","3,600,000","3,200,000","3,100,000","2,100,000","4,400,000","1,900,000","2,400,000","2,300,000","2,400,000","400,000"
BasicEPS,,"2.4","0.57","3.21","1.02","2.44","1.05","1.21","1.19","1.2","2","1.21","1.23","2.79","1.39","1.84","1.03","1.72","1.73","1.2","1.72","1.76","2.6","1.44","1.73","1.13","1.54","1.3","1.57","1.08","1.83","1.22","1.09","1.95","-0.08","0.28","0.63","1.19","0.89","1.64","0.61",,"0.49","0.5","0.35",,"0.29","0.61","0.89",,"0.72","0.22","0.6",,"3.01","1.63","0.6",,"1.6","0.62","0.57",,"0.58","0.91","1.52",,"1.32","0.75","0.93",,"0.6","0.46","0.33",,"0.8","1.1","0.5",,"0.36","0.47","0.52",,"1.16","0.58","0.62",,"0.72","0.61","0.56",,"0.52","0.37","0.15",,"0.37","0.35","0.34",,"0.36","0.33","0.33",,"0.31","0.2","0.19",,"0.18","0.38","0.17",,"0.2","0.21","0.03"
DilutedEPS,,"2.4","0.56","3.21","1.02","2.44","1.05","1.21","1.19","1.2","2","1.21","1.23","2.79","1.39","1.84","1.03","1.72","1.72","1.2","1.72","1.76","2.59","1.44","1.73","1.13","1.53","1.29","1.56","1.08","1.83","1.21","1.09","1.95","-0.08","0.28","0.63","1.19","0.89","1.63","0.6",,"0.49","0.49","0.35",,"0.29","0.61","0.88",,"0.72","0.22","0.59",,"2.98","1.61","0.6",,"1.58","0.61","0.56",,"0.57","0.9","1.49",,"1.3","0.74","0.92",,"0.6","0.46","0.32",,"0.79","1.08","0.49",,"0.35","0.46","0.51",,"1.14","0.57","0.61",,"0.71","0.6","0.55",,"0.52","0.37","0.15",,"0.37","0.34","0.34",,"0.36","0.33","0.33",,"0.31","0.2","0.19",,"0.18","0.38","0.17",,"0.2","0.21","0.03"
BasicAverageShares,,"139,790,984","139,670,482","139,655,102","139,609,404","139,601,172","140,597,502","140,772,364","140,734,522","139,761,996","139,691,534","139,473,842","138,738,917","138,322,285","138,247,503","138,234,894","138,183,976","138,110,099","138,104,883","137,971,632","137,448,610","137,341,078","137,333,785","137,277,401","137,149,999","136,981,717","133,973,114","132,319,255","132,219,579","132,119,949","131,529,503","130,065,698","129,288,771","129,225,745","129,208,839","129,179,471","119,680,510","102,401,254","97,044,603","95,308,163","95,274,494",,"91,388,357","86,746,992","86,168,732",,"84,968,804","83,517,908","81,897,566",,"80,132,409","79,662,223","78,752,744",,"76,879,070","76,753,951","77,125,000",,"79,121,250","78,833,871","77,798,246",,"73,967,241","74,498,901","73,619,737",,"73,449,242","72,981,333","72,510,753",,"71,985,000","71,432,609","70,006,061",,"69,015,000","67,310,909","67,400,000",,"68,569,444","68,755,319","68,634,615",,"68,300,862","67,467,241","67,183,871",,"67,430,556","66,740,984","66,476,786",,"65,769,231","65,675,676","66,000,000",,"64,054,054","26,470,588","26,470,588",,"22,777,778","21,818,182","20,303,030",,"18,709,677","13,227,000","11,558,000",,"11,666,667","11,578,947","11,176,471",,"11,500,000","11,428,571","13,333,333"
DilutedAverageShares,,"139,928,816","139,737,725","139,655,102","139,609,404","139,632,368","140,603,722","140,772,364","140,777,873","139,968,027","139,852,674","139,618,231","138,832,201","138,463,943","138,323,064","138,234,894","138,183,976","138,245,981","138,307,046","138,173,151","137,531,242","137,519,045","137,505,054","137,437,733","137,383,044","137,349,671","134,709,460","133,086,439","133,175,773","132,677,639","131,905,995","130,248,321","129,629,557","129,611,467","129,620,138","129,595,399","120,111,128","102,863,336","97,546,569","95,992,825","95,653,779",,"92,340,368","87,597,981","86,997,530",,"85,768,696","84,245,105","82,310,670",,"80,609,277","80,042,294","79,792,281",,"77,653,020","77,578,617","77,125,000",,"80,122,785","80,126,230","79,187,500",,"75,264,912","75,326,667","75,102,013",,"74,579,231","73,967,568","73,298,913",,"71,985,000","71,432,609","72,193,750",,"69,888,608","68,557,407","68,775,510",,"70,528,571","70,250,000","69,980,392",,"69,499,123","68,650,877","68,285,246",,"68,380,282","67,853,333","67,685,455",,"65,769,231","65,675,676","66,000,000",,"64,054,054","26,470,588","26,470,588",,"22,777,778","21,818,182","20,303,030",,"18,709,677","13,227,000","11,558,000",,"11,666,667","11,578,947","11,176,471",,"11,500,000","11,428,571","13,333,333"
TotalExpenses,"1,682,149,000","424,564,000","432,140,000","415,335,000","410,109,000","404,426,000","402,176,000","389,925,000","394,250,000","374,358,000","376,051,000","376,769,000","360,529,000","366,003,000","364,591,000","362,882,000","364,643,000","350,772,000","343,933,000","335,639,000","329,801,000","319,892,000","320,784,000","314,490,000","305,313,000","290,281,000","296,758,000","288,237,000","287,290,000","277,338,000","273,334,000","264,113,000","258,630,000","246,588,000","310,888,000","339,545,000","226,802,000","169,435,000","170,919,000","167,345,000","163,136,000","157,204,000","162,901,000","163,791,000","161,503,000","160,550,000","154,759,000","150,580,000","153,193,000","167,138,000","150,975,000","148,226,000","146,735,000","159,214,000","143,141,000","138,935,000","137,031,000","141,993,000","132,930,000","128,108,000","126,318,000","121,774,000","116,613,000","116,253,000","111,516,000","114,055,000","112,274,000","110,755,000","111,548,000","106,735,000","111,712,000","107,265,000","105,074,000","236,155,000","102,725,000","100,495,000","100,051,000","224,747,000","101,062,000","95,477,000","93,087,000","91,049,000","91,162,000","89,647,000","87,532,000","84,850,000","82,506,000","80,955,000","76,934,000","527,616,000","-74,300,000","-69,800,000","-70,500,000","343,891,000","-67,000,000","-39,600,000","-24,000,000","133,223,000","-17,100,000","-15,900,000","-13,600,000","93,137,000","-12,400,000","-9,800,000","-8,900,000","-8,500,000","-7,800,000","-7,200,000","-7,000,000","-8,100,000","-5,100,000","-4,200,000","-700,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"1,004,299,000","335,209,000","78,914,000","447,953,000","142,223,000","341,128,000","147,703,000","170,828,000","167,971,000","167,650,000","279,677,000","168,281,000","170,366,000","385,734,000","192,486,000","254,662,000","141,643,000","237,573,000","238,248,000","165,225,000","235,875,000","242,235,000","356,392,000","197,444,000","237,931,000","155,428,000","206,142,000","172,324,000","208,144,000","142,638,000","241,100,000","158,086,000","141,739,000","252,212,000","-10,715,000","36,218,000","75,427,000","122,357,000","86,844,000","156,909,000","57,758,000","323,085,000","44,824,000","43,373,000","30,341,000","27,027,000","24,654,000","51,125,000","72,523,000","32,394,000","58,154,000","17,674,000","47,101,000","2,123,000","233,581,000","127,334,000","48,450,000","131,820,000","128,769,000","51,052,000","46,520,000","49,277,000","45,076,000","69,969,000","114,077,000","96,729,000","99,128,000","56,911,000","69,610,000","114,069,000","45,366,000","35,034,000","20,730,000","100,283,000","57,387,000","76,468,000","37,388,000","66,842,000","28,711,000","37,346,000","40,721,000","68,624,000","86,668,000","48,518,000","51,599,000","54,281,000","58,494,000","50,657,000","47,172,000","74,276,000","44,100,000","34,200,000","19,800,000","31,734,000","31,500,000","18,200,000","13,000,000","12,041,000","10,600,000","8,500,000","7,800,000","7,537,000","5,800,000","4,100,000","3,200,000","3,100,000","2,100,000","4,400,000","1,900,000","2,400,000","2,300,000","2,400,000","400,000"
NormalizedIncome,"425,155,827.622","123,542,862.667","96,499,023.782","115,183,428.274","103,268,010","157,243,920","125,344,560","144,443,610","152,544,355.801","171,007,456.07","155,462,638.262","150,657,000","156,639,966.52","221,235,800","167,378,784.214","150,645,701.085","142,829,000","152,415,984.503","211,421,702.913","145,896,786.181","159,982,437.547","158,797,349.862","147,267,911.467","168,481,284.123","187,768,802.357","150,761,800","176,049,600","152,035,000","169,754,200","122,276,100","241,363,900","120,050,600","104,024,750","91,568,500","41,724,000","4,466,200","28,549,000","53,185,750","86,844,000","60,526,000","57,603,350","50,852,000","46,850,400","35,789,000","30,341,000","25,153,000","26,886,000","28,952,000","20,237,000","-17,229,350","30,195,350","30,870,300","47,048,000","12,112,350","48,177,000","49,384,000","46,730,000","103,645,250","49,677,000","50,513,000","45,811,500","49,458,400","44,470,000","37,906,000","38,988,400","29,747,000","25,824,000","28,854,000","31,111,000","22,236,000","22,153,000","22,051,000","19,546,000","21,388,000","41,534,000","20,594,000","20,368,000","17,193,000","27,616,000","37,346,000","40,721,000","5,772,000","86,668,000","48,518,000","48,658,400","54,281,000","58,494,000","50,657,000","47,172,000","74,276,000","39,960,000","34,140,000","26,640,000","27,764,000","31,500,000","18,200,000","13,000,000","12,041,000","10,600,000","8,500,000","7,800,000","7,537,000","5,800,000","4,100,000","3,200,000","3,100,000","2,100,000","4,400,000","1,900,000","2,400,000","2,300,000","2,400,000","400,000"
InterestExpense,"220,415,000","55,711,000","55,987,000","56,104,000","52,613,000","51,589,000","53,249,000","53,399,000","55,914,000","54,190,000","51,493,000","50,010,000","47,892,000","55,179,000","54,097,000","56,585,000","55,113,000","52,523,000","47,741,000","50,102,000","49,295,000","49,648,000","47,871,000","46,581,000","43,410,000","42,217,000","43,234,000","44,590,000","45,573,000","47,987,000","46,376,000","43,722,000","42,533,000","44,630,000","43,945,000","43,169,000","38,174,000","36,117,000",,,"33,626,000",,,"45,855,000","44,271,000",,,"41,458,000","42,541,000","42,487,000","41,208,000","37,385,000","29,157,000","29,256,000","28,364,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
