name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016
TotalRevenue,"4,972,000,000","1,285,000,000","1,283,000,000","1,195,000,000","1,209,000,000","1,238,000,000","1,134,000,000","1,253,000,000","3,209,000,000","3,401,000,000","3,559,000,000","3,691,000,000","3,541,000,000","3,472,000,000","3,524,000,000","3,573,000,000","3,445,000,000","3,271,000,000","3,236,000,000","3,261,000,000","3,192,000,000","2,967,000,000","3,138,000,000","3,234,000,000","3,055,000,000"
	OperatingRevenue,"4,972,000,000","1,285,000,000","1,283,000,000","1,195,000,000","1,209,000,000","1,238,000,000","1,134,000,000","1,253,000,000","3,209,000,000","3,401,000,000","3,559,000,000","3,691,000,000","3,541,000,000","3,472,000,000","3,524,000,000","3,573,000,000","3,445,000,000","3,271,000,000","3,236,000,000","3,261,000,000","3,192,000,000","2,967,000,000","3,138,000,000","3,234,000,000","3,055,000,000"
CostOfRevenue,"3,596,000,000","938,000,000","928,000,000","857,000,000","873,000,000","872,000,000","900,000,000","923,000,000","2,476,000,000","2,670,000,000","2,800,000,000","2,939,000,000","2,818,000,000","2,845,000,000","2,881,000,000","2,903,000,000","2,768,000,000","2,656,000,000","2,626,000,000","2,583,000,000","2,492,000,000","2,375,000,000","2,503,000,000","2,533,000,000","2,400,000,000"
GrossProfit,"1,376,000,000","347,000,000","355,000,000","338,000,000","336,000,000","366,000,000","234,000,000","330,000,000","733,000,000","731,000,000","759,000,000","752,000,000","723,000,000","627,000,000","643,000,000","670,000,000","677,000,000","615,000,000","610,000,000","678,000,000","700,000,000","592,000,000","635,000,000","701,000,000","655,000,000"
OperatingExpense,"546,000,000","135,000,000","141,000,000","130,000,000","140,000,000","71,000,000","146,000,000","158,000,000","313,000,000","325,000,000","314,000,000","336,000,000","337,000,000","315,000,000","300,000,000","331,000,000","337,000,000","320,000,000","320,000,000","371,000,000","382,000,000","441,000,000","395,000,000","404,000,000","369,000,000"
	SellingGeneralAndAdministration,"259,000,000","64,000,000","69,000,000","59,000,000","67,000,000","0","73,000,000","81,000,000","169,000,000","181,000,000","167,000,000","178,000,000","178,000,000","140,000,000","134,000,000","158,000,000","172,000,000","151,000,000","155,000,000","204,000,000","221,000,000","269,000,000","229,000,000","239,000,000","205,000,000"
		GeneralAndAdministrativeExpense,"259,000,000","64,000,000","69,000,000","59,000,000","67,000,000","0","73,000,000","81,000,000","169,000,000","181,000,000","167,000,000",,"178,000,000","140,000,000","134,000,000","158,000,000","172,000,000","151,000,000","155,000,000","204,000,000","221,000,000","269,000,000","229,000,000","239,000,000","205,000,000"
			SalariesAndWages,"8,000,000","3,000,000","-1,000,000","4,000,000","2,000,000","-58,000,000","7,000,000","7,000,000",,,,,,,,,,,,,,,,,
			OtherGandA,"251,000,000","61,000,000","70,000,000","55,000,000","65,000,000","58,000,000","66,000,000","74,000,000","169,000,000","181,000,000","167,000,000",,"178,000,000","140,000,000","134,000,000","158,000,000","172,000,000","151,000,000","155,000,000","204,000,000","221,000,000","269,000,000","229,000,000","239,000,000","205,000,000"
	ResearchAndDevelopment,"17,000,000","4,000,000","4,000,000","4,000,000","5,000,000","4,000,000","5,000,000","4,000,000","15,000,000","15,000,000","16,000,000","17,000,000","22,000,000","26,000,000","25,000,000","29,000,000","23,000,000","28,000,000","25,000,000","30,000,000","28,000,000","39,000,000","30,000,000","32,000,000","31,000,000"
