name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"47,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"378,000","38,416,000","1,371,000","1,362,000","469,000","395,000","398,000","396,000","396,000","403,000","404,000","305,000","306,000","304,000","321,000","321,000","321,000","320,000","321,000","321,000","321,000","-117,000","800,000","300,000","300,000","700,000","300,000","400,000","400,000",,,"400,000","400,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"378,000","38,416,000","1,371,000","1,362,000","469,000","395,000","398,000","396,000","396,000","403,000","404,000","305,000","306,000","304,000","321,000","321,000","321,000","320,000","321,000","321,000","321,000","-117,000","800,000","300,000","300,000","700,000","300,000","400,000","400,000",,,"400,000","400,000"
			Amortization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"378,000","38,416,000","1,371,000","1,362,000","469,000","395,000","398,000","396,000","396,000","403,000","404,000","305,000","306,000","304,000","321,000","321,000","321,000","320,000","321,000","321,000","321,000",,,,,,,,,,,,
				AmortizationOfIntangiblesIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"378,000","38,416,000","1,371,000","1,362,000","469,000","395,000","398,000","396,000","396,000","403,000","404,000","305,000","306,000","304,000","321,000","321,000","321,000","320,000","321,000","321,000","321,000",,,,,,,,,,,,
		DepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"47,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"3,336,000,000","712,000,000","827,000,000","972,000,000","825,000,000","650,000,000","787,000,000","755,000,000","635,000,000","482,000,000","271,000,000","358,000,000","627,000,000","694,000,000","265,000,000","434,000,000","595,000,000","221,000,000","257,000,000","339,000,000","493,000,000","425,000,000","294,000,000","232,000,000","461,000,000","249,000,000","196,000,000","332,000,000","542,000,000","438,000,000","8,000,000","310,000,000","427,000,000","285,000,000","70,000,000","430,000,000","587,000,000","484,000,000","227,000,000","227,000,000","513,000,000","25,000,000","165,000,000","470,000,000","693,000,000","-70,000,000","55,000,000","300,000,000","511,000,000","-29,000,000","8,000,000","233,000,000","194,000,000","-115,000,000","-133,000,000","80,135,000","54,533,000","404,534,000","-9,545,000","30,092,000","-29,114,000","173,120,000","-37,410,000","-32,786,000","-26,115,000","84,067,000","-26,547,000","-13,448,000","-2,899,000","137,079,000","34,658,000","15,733,000","4,643,000","111,961,000","-16,933,000","5,146,000","-14,444,000","66,761,000","11,334,000","31,196,000","16,862,000","61,801,000","3,144,000","-1,235,000","2,015,000","34,754,000","9,536,000","-6,498,000","-66,141,000","38,241,000","3,675,000","-5,758,000","9,796,000","26,328,000","-2,358,000","-5,621,000","520,000","16,628,000","3,315,000","-8,323,000","6,054,000","6,210,000","1,769,000","-4,226,000","4,607,000","1,573,000","2,366,000","-6,014,000","-757,000","900,000","-1,000,000","-2,300,000","-2,200,000","500,000","500,000","-1,000,000","-15,600,000","5,500,000","-700,000","100,000"
NetNonOperatingInterestIncomeExpense,"-103,000,000","-26,000,000","-26,000,000","-26,000,000","-27,000,000","-26,000,000","-26,000,000","-21,000,000","-7,000,000","-4,000,000","-3,000,000","-4,000,000","-3,000,000","-4,000,000","-13,000,000","-26,000,000","-28,000,000","-25,000,000","-37,000,000","-46,000,000","-40,000,000","-33,000,000","-63,000,000","-65,000,000","-52,000,000","-47,000,000","-51,000,000","-50,000,000","-50,000,000","-52,000,000","-51,000,000","-50,000,000","-51,000,000","-52,000,000","-4,000,000",,,,,,,,,,,,,,,"-2,000,000","3,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"5,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","2,000,000","16,000,000","18,000,000","20,000,000","19,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,000,000","4,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"108,000,000","27,000,000","27,000,000","27,000,000","28,000,000","27,000,000","27,000,000","23,000,000","23,000,000","22,000,000","23,000,000","23,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,000,000","1,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
