name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009
TotalRevenue,"11,063,000,000","3,039,000,000","2,861,000,000","2,596,000,000","2,567,000,000","2,507,000,000","2,267,000,000","1,817,000,000","2,021,000,000","2,301,000,000","2,265,000,000","2,217,000,000","2,094,000,000","2,403,000,000","2,445,000,000","2,290,000,000","2,269,000,000","2,456,000,000","2,387,000,000","2,202,000,000","2,211,000,000","2,440,000,000","2,469,000,000","2,365,000,000","2,224,000,000","1,606,000,000","1,522,000,000","1,506,000,000","1,467,000,000","1,537,000,000","1,515,000,000","1,349,000,000","1,246,000,000","1,293,000,000","1,249,000,000","1,188,000,000","1,085,000,000","1,116,000,000","1,170,000,000","1,094,000,000","978,000,000","931,000,000","1,060,000,000","1,121,000,000","1,082,000,000","823,000,000","1,213,000,000","1,201,000,000","1,165,000,000","1,161,000,000","1,077,000,000","903,000,000","702,000,000"
	OperatingRevenue,"11,063,000,000","3,039,000,000","2,861,000,000","2,596,000,000","2,567,000,000","2,507,000,000","2,267,000,000","1,817,000,000","2,021,000,000","2,301,000,000","2,265,000,000","2,217,000,000","2,094,000,000","2,403,000,000","2,445,000,000","2,290,000,000","2,269,000,000","2,456,000,000","2,387,000,000","2,202,000,000","2,211,000,000","2,440,000,000","2,469,000,000","2,365,000,000","2,224,000,000","1,606,000,000","1,522,000,000","1,506,000,000","1,467,000,000","1,537,000,000","1,515,000,000","1,349,000,000","1,246,000,000","1,293,000,000","1,249,000,000","1,188,000,000","1,085,000,000","1,116,000,000","1,170,000,000","1,094,000,000","978,000,000","931,000,000","1,060,000,000","1,121,000,000","1,082,000,000","823,000,000","1,213,000,000","1,201,000,000","1,165,000,000","1,161,000,000","1,077,000,000","903,000,000","702,000,000"
CostOfRevenue,"4,996,000,000","1,332,000,000","1,278,000,000","1,174,000,000","1,212,000,000","1,219,000,000","1,177,000,000","957,000,000","1,024,000,000","1,092,000,000","1,079,000,000","1,066,000,000","1,022,000,000","1,160,000,000","1,189,000,000","1,110,000,000","1,097,000,000","1,214,000,000","1,172,000,000","1,119,000,000","1,132,000,000","1,251,000,000","1,285,000,000","1,266,000,000","1,627,000,000","987,000,000","782,000,000","782,000,000","763,000,000","833,000,000","802,000,000","711,000,000","661,000,000","704,000,000","679,000,000","653,000,000","602,000,000","626,000,000","634,000,000","556,000,000","554,000,000","542,000,000","572,000,000","598,000,000","576,000,000","407,000,000","706,000,000","729,000,000","737,000,000","768,000,000","755,000,000","717,000,000","634,000,000"
GrossProfit,"6,067,000,000","1,707,000,000","1,583,000,000","1,422,000,000","1,355,000,000","1,288,000,000","1,090,000,000","860,000,000","997,000,000","1,209,000,000","1,186,000,000","1,151,000,000","1,072,000,000","1,243,000,000","1,256,000,000","1,180,000,000","1,172,000,000","1,242,000,000","1,215,000,000","1,083,000,000","1,079,000,000","1,189,000,000","1,184,000,000","1,099,000,000","597,000,000","619,000,000","740,000,000","724,000,000","704,000,000","704,000,000","713,000,000","638,000,000","585,000,000","589,000,000","570,000,000","535,000,000","483,000,000","490,000,000","536,000,000","538,000,000","424,000,000","389,000,000","488,000,000","523,000,000","506,000,000","416,000,000","507,000,000","472,000,000","428,000,000","393,000,000","322,000,000","186,000,000","68,000,000"
OperatingExpense,"3,484,000,000","900,000,000","872,000,000","849,000,000","863,000,000","829,000,000","1,059,000,000","1,004,000,000","1,039,000,000","1,014,000,000","975,000,000","993,000,000","1,020,000,000","1,018,000,000","1,047,000,000","1,043,000,000","1,034,000,000","1,030,000,000","1,047,000,000","1,017,000,000","998,000,000","1,017,000,000","1,010,000,000","1,135,000,000","1,066,000,000","864,000,000","369,000,000","393,000,000","409,000,000","396,000,000","407,000,000","396,000,000","402,000,000","392,000,000","402,000,000","366,000,000","375,000,000","459,000,000","389,000,000","382,000,000","370,000,000","386,000,000","379,000,000","390,000,000","398,000,000","350,000,000","377,000,000","379,000,000","428,000,000","523,000,000","451,000,000","403,000,000","415,000,000"
	SellingGeneralAndAdministration,"956,000,000","257,000,000","243,000,000","234,000,000","222,000,000","221,000,000","203,000,000","222,000,000","233,000,000","225,000,000","221,000,000","230,000,000","248,000,000","251,000,000","252,000,000","242,000,000","248,000,000","269,000,000","292,000,000","263,000,000","266,000,000","292,000,000","270,000,000","283,000,000","296,000,000","323,000,000","191,000,000","198,000,000","210,000,000","198,000,000","211,000,000","216,000,000","213,000,000","224,000,000","239,000,000","211,000,000","222,000,000","288,000,000","236,000,000","231,000,000","222,000,000","236,000,000","219,000,000","229,000,000","234,000,000","238,000,000","230,000,000","241,000,000","257,000,000","316,000,000","242,000,000","223,000,000","234,000,000"
		GeneralAndAdministrativeExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"163,000,000","145,000,000","156,000,000","169,000,000","169,000,000","165,000,000","176,000,000","191,000,000","241,000,000","160,000,000","164,000,000","173,000,000"
			OtherGandA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"163,000,000","145,000,000","156,000,000","169,000,000","169,000,000","165,000,000","176,000,000","191,000,000","241,000,000","160,000,000","164,000,000","173,000,000"
		SellingAndMarketingExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"73,000,000","74,000,000","73,000,000","65,000,000","69,000,000","65,000,000","65,000,000","66,000,000","75,000,000","82,000,000","59,000,000","61,000,000"
	ResearchAndDevelopment,"1,936,000,000","507,000,000","492,000,000","476,000,000","461,000,000","460,000,000","438,000,000","402,000,000","425,000,000","424,000,000","396,000,000","408,000,000","415,000,000","403,000,000","433,000,000","438,000,000","426,000,000","414,000,000","392,000,000","381,000,000","367,000,000","362,000,000","379,000,000","416,000,000","403,000,000","318,000,000","178,000,000","195,000,000","199,000,000","198,000,000","196,000,000","180,000,000","189,000,000","168,000,000","163,000,000","155,000,000","153,000,000","171,000,000","153,000,000","156,000,000","148,000,000","151,000,000","165,000,000","165,000,000","154,000,000","128,000,000","149,000,000","137,000,000","154,000,000","230,000,000","172,000,000","188,000,000","187,000,000"
