name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,03/31/1987
TotalRevenue,"12,731,105,000","3,319,284,000","3,017,926,000","3,601,559,000","2,792,336,000","2,878,265,000","2,606,572,000","3,176,327,000","1,959,188,000","2,191,785,000","1,984,144,000","2,353,782,000","1,822,220,000","2,133,271,000","1,881,625,000","2,213,249,000","1,682,901,000","1,952,838,000","1,721,704,000","2,017,762,000","1,564,078,000","1,916,542,000","1,542,706,000","1,852,534,000","1,467,797,000","1,646,610,000","1,475,645,000","1,772,900,000","1,331,352,000","1,584,254,000","1,359,950,000","1,583,831,000","1,183,680,000","1,415,089,000","1,208,090,000","1,455,767,000","1,085,838,000","1,286,166,000","1,065,638,000","1,291,899,000","1,020,417,000","1,240,028,000","977,776,000","1,178,363,000","836,576,000","1,032,649,000","829,114,000","1,065,656,000","710,917,000","862,532,000","747,730,000","946,504,000","650,171,000","799,496,000","733,918,000","898,327,000","576,208,000","723,252,000","629,199,000","790,929,000","559,832,000","629,898,000","559,222,000","714,944,000","465,547,000","597,934,000","479,607,000","613,235,000","377,203,000","455,986,000","426,384,000","525,919,000","330,554,000","388,530,000","361,204,000","449,391,000","273,760,000","327,917,000","296,215,000","392,048,000","193,810,000","220,357,000","199,435,000","267,490,000","162,517,000","203,736,000","175,478,000","232,341,000","147,482,000","188,100,000","160,200,000","214,100,000","125,600,000","158,400,000","140,600,000","196,100,000","105,600,000","134,800,000","118,400,000","159,500,000","96,400,000","116,100,000","105,000,000","146,700,000","81,200,000","100,500,000","88,300,000","123,600,000","71,500,000","84,400,000","74,900,000","108,300,000","62,400,000","69,800,000","69,800,000","69,800,000","69,800,000","96,400,000"
	OperatingRevenue,"12,731,105,000","3,319,284,000","3,017,926,000","3,601,559,000","2,792,336,000","2,878,265,000","2,606,572,000","3,176,327,000","1,959,188,000","2,191,785,000","1,984,144,000","2,353,782,000","1,822,220,000","2,133,271,000","1,881,625,000","2,213,249,000","1,682,901,000","1,952,838,000","1,721,704,000","2,017,762,000","1,564,078,000","1,916,542,000","1,542,706,000","1,852,534,000","1,467,797,000","1,646,610,000","1,475,645,000","1,772,900,000","1,331,352,000","1,584,254,000","1,359,950,000","1,583,831,000","1,183,680,000","1,415,089,000","1,208,090,000","1,455,767,000","1,085,838,000","1,286,166,000","1,065,638,000","1,291,899,000","1,020,417,000","1,240,028,000","977,776,000","1,178,363,000","836,576,000","1,032,649,000","829,114,000","1,065,656,000","710,917,000","862,532,000","747,730,000","946,504,000","650,171,000","799,496,000","733,918,000","898,327,000","576,208,000","723,252,000","629,199,000","790,929,000","559,832,000","629,898,000","559,222,000","714,944,000","465,547,000","597,934,000","479,607,000","613,235,000","377,203,000","455,986,000","426,384,000","525,919,000","330,554,000","388,530,000","361,204,000","449,391,000","273,760,000","327,917,000","296,215,000","392,048,000","193,810,000","220,357,000","199,435,000","267,490,000","162,517,000","203,736,000","175,478,000","232,341,000","147,482,000","188,100,000","160,200,000","214,100,000","125,600,000","158,400,000","140,600,000","196,100,000","105,600,000","134,800,000","118,400,000","159,500,000","96,400,000","116,100,000","105,000,000","146,700,000","81,200,000","100,500,000","88,300,000","123,600,000","71,500,000","84,400,000","74,900,000","108,300,000","62,400,000","69,800,000","69,800,000","69,800,000","69,800,000","96,400,000"
CostOfRevenue,"8,253,952,000","2,198,706,000","1,932,616,000","2,314,074,000","1,808,556,000","1,882,735,000","1,658,615,000","2,019,514,000","1,297,939,000","1,449,984,000","1,289,904,000","1,533,037,000","1,207,236,000","1,416,938,000","1,228,493,000","1,443,835,000","1,119,252,000","1,284,240,000","1,121,248,000","1,313,054,000","1,045,875,000","1,270,280,000","1,007,432,000","1,203,312,000","973,353,000","1,085,609,000","963,397,000","1,147,580,000","886,747,000","1,044,659,000","895,881,000","1,033,299,000","787,461,000","935,377,000","792,424,000","949,627,000","733,747,000","861,544,000","708,467,000","840,438,000","687,617,000","836,862,000","650,173,000","775,866,000","562,970,000","695,810,000","549,975,000","706,853,000","482,033,000","576,847,000","501,692,000","644,306,000","449,135,000","568,222,000","509,312,000","618,850,000","399,304,000","487,795,000","430,552,000","540,505,000","391,652,000","424,631,000","382,882,000","487,559,000","323,263,000","407,115,000","332,702,000","423,479,000","265,132,000","310,587,000","306,808,000","365,376,000","231,385,000","265,952,000","251,971,000","313,099,000","192,963,000","230,119,000","212,196,000","283,657,000","141,831,000","159,873,000","145,463,000","195,697,000","120,422,000","147,635,000","130,361,000","170,756,000","109,878,000","136,100,000","118,600,000","158,700,000","93,500,000","115,900,000","104,200,000","146,800,000","79,100,000","98,800,000","88,200,000","118,200,000","72,300,000","85,000,000","77,900,000","108,900,000","60,600,000","74,000,000","65,400,000","92,100,000","53,700,000","61,300,000","54,300,000","79,500,000","46,600,000",,,,,"72,300,000"
GrossProfit,"4,477,153,000","1,120,578,000","1,085,310,000","1,287,485,000","983,780,000","995,530,000","947,957,000","1,156,813,000","661,249,000","741,801,000","694,240,000","820,745,000","614,984,000","716,333,000","653,132,000","769,414,000","563,649,000","668,598,000","600,456,000","704,708,000","518,203,000","646,262,000","535,274,000","649,222,000","494,444,000","561,001,000","512,248,000","625,320,000","444,605,000","539,595,000","464,069,000","550,532,000","396,219,000","479,712,000","415,666,000","506,140,000","352,091,000","424,622,000","357,171,000","451,461,000","332,800,000","403,166,000","327,603,000","402,497,000","273,606,000","336,839,000","279,139,000","358,803,000","228,884,000","285,685,000","246,038,000","302,198,000","201,036,000","231,274,000","224,606,000","279,477,000","176,904,000","235,457,000","198,647,000","250,424,000","168,180,000","205,267,000","176,340,000","227,385,000","142,284,000","190,819,000","146,905,000","189,756,000","112,071,000","145,399,000","119,576,000","160,543,000","99,169,000","122,578,000","109,233,000","136,292,000","80,797,000","97,798,000","84,019,000","108,391,000","51,979,000","60,484,000","53,972,000","71,793,000","42,095,000","56,101,000","45,117,000","61,585,000","37,604,000","52,000,000","41,600,000","55,400,000","32,100,000","42,500,000","36,400,000","49,300,000","26,500,000","36,000,000","30,200,000","41,300,000","24,100,000","31,100,000","27,100,000","37,800,000","20,600,000","26,500,000","22,900,000","31,500,000","17,800,000","23,100,000","20,600,000","28,800,000","15,800,000",,,,,"24,100,000"
OperatingExpense,"3,170,455,000","827,524,000","788,085,000","801,602,000","753,244,000","742,090,000","695,780,000","709,067,000","548,711,000","551,363,000","532,423,000","533,188,000","511,576,000","535,951,000","499,984,000","495,956,000","468,900,000","484,756,000","452,203,000","446,783,000","421,841,000","451,646,000","393,254,000","399,973,000","386,249,000","387,713,000","373,040,000","380,155,000","351,758,000","361,894,000","342,056,000","339,503,000","317,490,000","332,634,000","313,996,000","308,161,000","284,168,000","299,846,000","279,392,000","281,617,000","268,407,000","291,621,000","259,474,000","258,234,000","244,840,000","258,215,000","228,281,000","236,481,000","214,464,000","226,328,000","210,241,000","213,904,000","199,851,000","204,665,000","192,119,000","202,351,000","177,557,000","185,173,000","168,978,000","179,316,000","159,200,000","157,023,000","147,237,000","158,454,000","140,543,000","141,372,000","117,966,000","133,448,000","110,321,000","112,811,000","106,916,000","110,720,000","92,694,000","94,035,000","89,240,000","92,106,000","76,592,000","69,394,000","70,707,000","79,266,000","57,380,000","48,460,000","49,039,000","48,338,000","43,660,000","44,461,000","41,498,000","42,523,000","37,942,000","40,000,000","36,000,000","37,800,000","33,300,000","32,800,000","32,000,000","33,000,000","28,200,000","27,900,000","27,100,000","29,100,000","25,100,000","23,900,000","22,700,000","24,100,000","21,500,000","19,900,000","18,700,000","19,600,000","17,900,000","17,900,000","16,300,000","17,700,000","15,600,000",,,,,"25,100,000"
	SellingGeneralAndAdministration,"2,900,297,000","752,097,000","718,261,000","736,749,000","693,190,000","683,600,000","641,129,000","656,520,000","497,275,000","499,969,000","482,604,000","484,190,000","465,809,000","489,983,000","454,998,000","452,346,000","426,113,000","441,623,000","410,276,000","405,736,000","382,114,000","411,984,000","357,592,000","365,916,000","352,672,000","354,888,000","342,891,000","349,842,000","321,476,000","331,780,000","312,669,000","311,589,000","290,270,000","305,665,000","287,859,000","283,941,000","261,469,000","277,251,000","257,184,000","259,184,000","246,668,000","267,959,000","239,883,000","239,405,000","226,575,000","239,731,000","210,779,000","219,324,000","197,810,000","208,827,000","193,820,000","197,769,000","183,650,000","188,659,000","176,774,000","187,343,000","163,185,000","171,379,000","156,078,000","166,959,000","147,187,000","145,651,000","136,520,000","147,874,000","130,920,000","131,956,000","109,073,000","125,383,000","102,675,000","103,811,000","100,647,000","104,606,000","86,891,000","88,646,000","84,075,000","87,356,000","72,138,000","65,044,000","66,150,000","74,809,000","54,287,000","45,560,000","46,223,000","45,507,000","40,953,000","41,789,000","38,908,000","40,078,000","35,760,000","37,900,000","34,100,000","35,900,000","31,900,000","31,500,000","30,600,000","31,700,000","26,900,000","26,700,000","25,900,000","28,000,000","24,100,000","23,000,000","21,800,000","23,200,000","20,800,000","19,200,000","18,100,000","19,000,000","17,300,000","17,500,000","15,800,000","17,200,000","15,200,000",,,,,"24,100,000"
	DepreciationAmortizationDepletionIncomeStatement,"270,158,000","75,427,000","69,824,000","64,853,000","60,054,000","58,490,000","54,651,000","52,547,000","51,436,000","51,394,000","49,819,000","48,998,000","45,767,000","45,968,000","44,986,000","43,610,000","42,787,000","43,133,000","41,927,000","41,047,000","39,727,000","39,662,000","35,662,000","34,057,000","33,577,000","32,825,000","30,149,000","30,313,000","30,282,000","30,114,000","29,387,000","27,914,000","27,220,000","26,969,000","26,137,000","24,220,000","22,699,000","22,595,000","22,208,000","22,433,000","21,739,000","23,662,000","19,591,000","18,829,000","18,265,000","18,484,000","17,502,000","17,157,000","16,654,000","17,501,000","16,421,000","16,135,000","16,201,000","16,006,000","15,345,000","15,008,000","14,372,000","13,794,000","12,900,000","12,357,000","12,013,000","11,372,000","10,717,000","10,580,000","9,623,000","9,416,000","8,893,000","8,065,000","7,646,000","9,000,000","6,269,000","6,114,000","5,803,000","5,389,000","5,165,000","4,750,000","4,454,000","4,350,000","4,557,000","4,457,000","3,093,000","2,900,000","2,816,000","2,831,000","2,707,000","2,672,000","2,590,000","2,445,000","2,182,000","2,100,000","1,900,000","1,900,000","1,400,000","1,300,000","1,400,000","1,300,000","1,300,000","1,200,000","1,200,000","1,100,000","1,000,000","900,000","900,000","900,000","700,000","700,000","600,000","600,000","600,000","400,000","500,000","500,000","400,000",,,,,"1,000,000"
		DepreciationAndAmortizationInIncomeStatement,"270,158,000","75,427,000","69,824,000","64,853,000","60,054,000","58,490,000","54,651,000","52,547,000","51,436,000","51,394,000","49,819,000","48,998,000","45,767,000","45,968,000","44,986,000","43,610,000","42,787,000","43,133,000","41,927,000","41,047,000","39,727,000","39,662,000","35,662,000","34,057,000","33,577,000","32,825,000","30,149,000","30,313,000","30,282,000","30,114,000","29,387,000","27,914,000","27,220,000","26,969,000","26,137,000","24,220,000","22,699,000","22,595,000","22,208,000","22,433,000","21,739,000","23,662,000","19,591,000","18,829,000","18,265,000","18,484,000","17,502,000","17,157,000","16,654,000","17,501,000","16,421,000","16,135,000","16,201,000","16,006,000","15,345,000","15,008,000","14,372,000","13,794,000","12,900,000","12,357,000","12,013,000","11,372,000","10,717,000","10,580,000","9,623,000","9,416,000","8,893,000","8,065,000","7,646,000","9,000,000","6,269,000","6,114,000","5,803,000","5,389,000","5,165,000","4,750,000","4,454,000","4,350,000","4,557,000","4,457,000","3,093,000","2,900,000","2,816,000","2,831,000","2,707,000","2,672,000","2,590,000","2,445,000","2,182,000","2,100,000","1,900,000","1,900,000","1,400,000","1,300,000","1,400,000","1,300,000","1,300,000","1,200,000","1,200,000","1,100,000","1,000,000","900,000","900,000","900,000","700,000","700,000","600,000","600,000","600,000","400,000","500,000","500,000","400,000",,,,,"1,000,000"
OperatingIncome,"1,306,698,000","293,054,000","297,225,000","485,883,000","230,536,000","253,440,000","252,177,000","447,746,000","112,538,000","190,438,000","161,817,000","287,557,000","103,408,000","180,382,000","153,148,000","273,458,000","94,749,000","183,842,000","148,253,000","257,925,000","96,362,000","194,616,000","142,020,000","249,249,000","108,195,000","173,288,000","139,208,000","245,165,000","92,847,000","177,701,000","122,013,000","211,029,000","78,729,000","147,078,000","101,670,000","197,979,000","67,923,000","124,776,000","77,779,000","169,844,000","64,393,000","111,545,000","68,129,000","144,263,000","28,766,000","78,624,000","50,858,000","122,322,000","14,420,000","59,357,000","35,797,000","88,294,000","1,185,000","26,609,000","32,487,000","77,126,000","-653,000","50,284,000","29,669,000","71,108,000","8,980,000","48,244,000","29,103,000","68,931,000","1,741,000","49,447,000","28,939,000","56,308,000","1,750,000","32,588,000","12,660,000","49,823,000","6,475,000","28,543,000","19,993,000","44,186,000","4,205,000","28,404,000","13,312,000","29,125,000","-5,401,000","12,024,000","4,933,000","23,455,000","-1,565,000","11,640,000","3,619,000","19,062,000","-338,000","12,000,000","5,600,000","17,600,000","-1,200,000","9,700,000","4,400,000","16,300,000","-1,700,000","8,100,000","3,100,000","12,200,000","-1,000,000","7,200,000","4,400,000","13,700,000","-900,000","6,600,000","4,200,000","11,900,000","-100,000","5,200,000","4,300,000","11,100,000","200,000","-194,200,000","69,800,000","69,800,000","69,800,000","-1,000,000"
NetNonOperatingInterestIncomeExpense,"-26,610,000","-6,542,000","-6,146,000","-6,701,000","-7,221,000","-8,086,000","-7,208,000","-8,438,000","-5,049,000","-4,837,000","-4,900,000","-5,176,000","-4,930,000","-4,446,000","-4,460,000","-4,978,000","-4,468,000","-4,238,000","-3,752,000","-3,092,000","-2,777,000","-1,665,000","-1,110,000","-1,910,000","-1,125,000","-411,000","-782,000","-832,000","-866,000","-618,000","-505,000","-308,000","-454,000","528,000","-350,000","-556,000","-179,000","-200,000","-241,000","-31,000","-583,000","-1,036,000","-591,000","-217,000","-243,000","-687,000","-38,000","-241,000","-318,000","-505,000","-461,000","-264,000","-414,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
