name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994
BasicEPS,,,"1.05","1.27","1.2",,"0.96","0.86","0.14",,"0.737","0.677","0.727",,"0.916","0.936","0.787",,"0.637","0.09","0.807",,"0.657","0.877","0.837",,"0.418","0.697","0.757",,"0.319","0.458","0.379",,"0.687","-0.02","0.478",,"-0.349","0.498","0.807",,"0.717","0.747","1.235",,"0.548","0.568","0.518",,"0.179","0.139","0.697",,"0.199","0.747","0.578",,"0.448","0.498","0.349",,"0.309","0.379","0.329",,"0.458","1.883","0.697",,"0.219","0.179","-0.09",,"0.07","0.269","0.12",,"-0.349","0.08","-0.199",,"0.01","0","-0.349",,"-0.279","-0.279","-0.398",,"-0.279","-0.199","-1.046",,"-0.169","-0.159","-0.169",,"-0.349","-0.199","-0.199",,"-0.09","-0.08","-0.03",,"-0.01","-0.01","-0.01",,"-0.01"
DilutedEPS,,,"0.88","1.06","0.99",,"0.86","0.78","0.13",,"0.657","0.598","0.647",,"0.817","0.827","0.697",,"0.568","0.09","0.757",,"0.637","0.877","0.837",,"0.418","0.697","0.757",,"0.309","0.458","0.379",,"0.677","-0.02","0.468",,"-0.349","0.498","0.797",,"0.707","0.747","1.215",,"0.548","0.568","0.518",,"0.179","0.139","0.697",,"0.199","0.727","0.568",,"0.438","0.498","0.349",,"0.309","0.379","0.329",,"0.458","1.783","0.687",,"0.219","0.179","-0.09",,"0.07","0.259","0.119",,"-0.349","0.07","-0.199",,"0.006","0","-0.349",,"-0.279","-0.279","-0.398",,"-0.279","-0.199","-1.046",,"-0.169","-0.159","-0.169",,"-0.349","-0.199","-0.199",,"-0.09","-0.08","-0.03",,"-0.01","-0.01","-0.01",,"-0.01"
BasicAverageShares,,,"528,229,000","527,690,000","526,570,000",,"525,532,000","524,292,000","523,152,000",,"479,380,150","471,509,197","469,800,478",,"469,415,966","469,270,393","468,484,302",,"468,080,715","467,858,843","467,249,446",,"466,762,531","466,638,042","466,208,352",,"465,018,674","464,756,643","463,914,331",,"462,573,056","461,678,539","460,231,850",,"459,182,724","457,250,124","455,031,399",,"452,822,713","452,069,752","449,054,896",,"447,894,333","447,338,145","445,110,385",,"447,421,473","449,754,648","448,495,697",,"448,587,057","448,515,776","448,638,258",,"451,199,329","451,499,510","450,574,874",,"449,262,714","448,982,612","448,039,905",,"446,655,461","446,352,268","445,678,619",,"453,515,437","454,582,634","457,387,665",,"456,350,587","469,780,399","480,809,772",,"486,337,509","485,280,352","482,997,374",,"482,618,886","482,301,638","481,624,977",,"480,821,819","477,646,332","476,436,574",,"474,880,455","473,416,699","467,606,852",,"457,203,942","390,471,519","362,955,312",,"361,525,690","360,915,290","359,903,310",,"333,776,567","334,146,020","328,668,480",,"324,925,762","324,733,004","324,283,235",,"220,868,560","220,868,560","220,868,560",,"160,631,680"
DilutedAverageShares,,,"636,440,000","635,976,000","633,760,000",,"583,957,000","582,619,000","581,381,000",,"537,861,125","530,067,476","528,296,512",,"528,071,628","527,925,051","527,382,919",,"527,319,671","468,778,459","516,474,020",,"494,915,241","467,478,346","467,055,684",,"466,536,643","466,469,378","465,878,053",,"465,030,721","464,433,372","463,182,453",,"462,533,902","457,250,124","457,993,046",,"452,822,713","454,865,747","451,656,126",,"449,498,641","449,062,928","450,622,059",,"448,094,118","450,640,130","449,296,848",,"449,197,457","449,187,418","449,801,834",,"461,858,245","462,672,447","462,034,940",,"458,345,431","458,083,401","457,005,161",,"448,158,371","454,914,941","447,372,280",,"485,702,010","486,815,389","489,975,817",,"459,610,406","473,370,517","480,809,772",,"490,649,466","490,313,143","488,589,365",,"482,618,886","546,278,225","481,624,977",,"488,513,065","486,001,187","476,436,574",,"474,880,455","473,416,699","467,606,852",,"457,203,942","390,471,519","362,955,312",,"361,525,690","360,915,290","359,903,310",,"333,776,567","334,146,020","328,668,480",,"324,925,762","324,733,004","324,283,235",,"220,868,560","220,868,560","220,868,560",,"160,631,680"
TotalOperatingIncomeAsReported,"3,203,035,000","714,016,000","717,705,000","906,738,000","864,576,000","989,639,000","811,248,000","637,650,000","144,078,000","522,952,000","468,892,000","430,732,000","456,300,000","482,752,000","562,703,000","572,660,000","529,506,000","259,291,000","449,051,000","252,103,000","607,320,000","540,822,000","496,320,000","613,825,000","560,142,000","-127,174,000","441,720,000","533,987,000","483,863,000","534,900,000","388,509,000","454,744,000","446,298,000","477,832,000","397,421,000","20,673,000","452,253,000","454,101,000","-273,029,000","468,352,000","572,411,000","601,980,000","624,839,000","717,782,000","983,353,000","503,382,000","454,657,000","525,810,000","456,979,000","354,945,000","194,663,000","262,759,000","574,563,000","512,464,000","417,840,000","620,708,000","505,168,000","395,038,000","396,514,000","441,654,000","340,198,000","311,724,000","281,810,000","349,641,000","274,196,000","251,736,000","291,884,000","333,394,000","290,234,000","202,198,000","194,924,000","184,017,000","122,166,000","145,322,000","160,485,000","222,993,000","178,748,000","83,772,000","95,869,000","48,730,000","95,279,000","88,100,000","75,472,000","63,913,000","-15,183,000","-113,736,000","-82,082,000","-86,231,000","-142,017,000","-160,965,000","-79,455,000","-50,989,000","-55,682,000","-70,132,000","-15,350,000","-16,244,000","-21,165,000","-47,929,000","-88,725,000","-43,021,000","-44,596,000","-65,761,000","-20,898,000","-14,057,000","-8,629,000","-8,300,000","300,000","800,000","-700,000",,
TotalExpenses,"14,678,071,000","3,732,642,000","3,731,930,000","3,580,222,000","3,633,277,000","3,567,726,000","3,720,343,000","2,549,440,000","2,716,893,000","2,717,913,000","2,699,471,000","2,780,580,000","2,730,844,000","2,824,077,000","2,832,438,000","2,888,185,000","2,928,981,000","3,078,719,000","3,134,403,000","3,095,834,000","3,073,041,000","3,183,358,000","3,249,791,000","3,223,211,000","3,227,093,000","3,266,950,000","3,291,845,000","3,298,438,000","3,240,365,000","3,146,819,000","3,290,842,000","3,233,375,000","3,147,900,000","2,664,099,000","3,204,156,000","3,147,885,000","3,102,971,000","3,135,409,000","3,065,919,000","2,987,154,000","2,887,925,000","2,580,784,000","2,977,812,000","2,848,651,000","2,581,455,000","4,283,234,000","2,661,974,000","2,612,523,000","819,397,000","2,575,348,000","2,565,554,000","2,444,537,000","2,330,758,000","2,408,558,000","2,518,941,000","2,294,282,000","2,339,226,000","2,496,017,000","2,397,813,000","2,318,354,000","2,304,787,000","2,287,001,000","2,189,556,000","2,109,048,000","2,015,510,000","1,926,058,000","1,836,337,000","1,762,092,000","1,733,766,000","1,728,896,000","1,667,689,000","1,593,696,000","1,041,331,000","55,996,000","1,291,810,000","1,191,574,000","1,180,300,000","551,254,000","1,126,980,000","1,119,954,000","1,009,189,000","1,062,330,000","947,034,000","902,359,000","877,113,000","919,134,000","780,054,000","732,360,000","707,738,000","677,068,000","506,951,000","400,867,000","365,046,000","357,114,000","250,757,000","262,082,000","235,604,000","243,441,000","213,551,000","143,843,000","116,619,000","105,143,000","77,936,000","87,581,000","50,096,000","48,900,000","43,300,000","38,500,000","41,100,000",,
NetIncomeFromContinuingAndDiscontinuedOperation,"2,410,642,000","552,329,000","557,042,000","671,047,000","630,224,000","732,632,000","504,599,000","452,343,000","73,099,000","389,404,000","353,304,000","317,043,000","339,761,000","337,080,000","431,734,000","438,717,000","367,560,000","1,385,483,000","297,375,000","40,116,000","375,715,000","342,673,000","307,426,000","410,464,000","389,290,000","-125,295,000","196,479,000","324,423,000","351,485,000","409,930,000","145,519,000","213,313,000","175,931,000","288,038,000","314,908,000","-11,052,000","215,598,000","209,106,000","-158,461,000","225,732,000","360,310,000","312,654,000","319,099,000","334,760,000","549,394,000","251,828,000","244,964,000","256,990,000","230,947,000","178,879,000","80,562,000","63,420,000","312,684,000","216,584,000","91,895,000","335,885,000","258,583,000","175,035,000","199,680,000","224,199,000","157,140,000","152,596,000","139,616,000","168,779,000","147,281,000","132,625,000","208,864,000","855,527,000","317,524,000","70,078,000","102,261,000","85,316,000","-42,886,000","2,680,000","35,116,000","128,793,000","57,917,000","-715,555,000","-167,949,000","45,840,000","-38,608,000","-42,871,000","3,095,000","2,249,000","-167,041,000","-172,328,000","-130,893,000","-132,860,000","-185,130,000","-219,986,000","-124,401,000","-76,129,000","-103,332,000","-113,308,000","-51,971,000","-45,717,000","-49,886,000","-71,013,000","-115,157,000","-63,789,000","-62,866,000","-48,693,000","-22,500,000","-22,554,000","-7,221,000","-7,100,000","-400,000","-1,800,000","-2,200,000","-1,900,000","-1,600,000"
NormalizedIncome,"2,425,691,412","549,516,861.952","563,892,640","677,060,458","634,923,684","739,977,224.305","512,770,943","452,318,680","318,274,680","389,900,694.053","352,309,272","316,403,606","337,769,463","337,982,305.09","408,402,986","423,954,795","395,799,218","1,439,715,800","271,922,172","216,040,800","374,231,384","340,694,656.725","305,465,822","381,417,808","347,360,520","320,209,349.731","178,907,868","237,708,783","253,168,424","419,691,050","182,410,008","208,003,990","176,861,852","215,860,829.05","226,820,773","210,895,050","208,581,774","225,120,196.104","270,945,900","230,251,116.122","288,331,662.087","316,623,459.282","306,099,408.695","363,049,300","329,742,904.077","293,266,267.736","289,934,069.295","278,381,418.08","247,583,688.832","183,017,858.101","186,724,527.197","219,900,350","310,069,678.434","245,268,500","160,830,750","343,182,033.715","262,885,075.198","217,682,800","203,372,005.809","234,326,938.054","158,283,543.009","166,703,157.24","139,671,365.201","185,464,777.01","331,196,886.941","136,860,302.116","201,825,557.759","836,815,400","437,115,986.11","70,331,687.631","103,681,968.616","96,556,412.583","354,746,653.011","816,569,200","20,349,608.476","106,852,802.546","35,439,528.686","-330,097,600","-62,894,400","48,582,201.162","-18,074,800","-15,149,800","7,424,143.302","6,914,426.643","-106,601,800","-161,814,200","-123,295,200","-117,804,081.792","-176,398,800","-210,854,600","-123,432,600","-85,533,400","-103,326,000","-113,329,968.784","-52,067,854.637","-45,289,200","-49,820,000","-70,353,000","-115,113,200","-52,996,200","-54,980,800","-26,494,973.583","-22,557,774.275","-22,477,753.417","-7,210,780.47","-9,208,910.891","-3,040,000","-3,807,692.308","-4,400,000","-1,900,000","-1,600,000"
InterestIncome,"11,338,000","3,875,000","2,207,000","3,286,000","1,970,000","1,294,000","8,425,000","5,578,000","14,216,000","11,270,000","32,301,000","18,476,000","15,167,000","14,298,000","10,525,000","10,619,000","9,317,000","7,027,000","7,240,000","12,447,000","14,292,000","10,838,000","7,385,000","8,988,000","3,953,000","4,140,000","3,273,000","3,616,000","8,494,000","15,356,000","14,109,000","18,212,000","14,164,000","27,534,000","39,994,000","43,843,000","37,494,000","37,925,000","34,304,000","20,204,000","7,089,000","10,940,000","8,527,000","8,601,000","6,286,000","6,802,000","6,265,000","6,314,000","5,777,000","6,397,000","7,591,000","11,262,000","4,784,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InterestExpense,"16,174,000","4,273,000","4,203,000","3,825,000","3,873,000","-7,348,000",,"11,494,000","15,606,000","6,089,000","6,027,000","5,650,000","5,921,000","3,771,000","5,413,000","2,865,000","2,957,000","3,363,000","4,370,000","26,269,000","29,170,000","29,288,000","19,666,000","3,371,000","667,000","42,112,000","142,834,000","152,751,000","156,313,000","139,041,000","143,405,000","152,769,000","175,994,000","179,255,000","189,474,000","214,870,000","161,386,000","145,747,000","143,818,000","109,301,000","138,013,000","138,566,000","155,601,000","143,564,000","120,179,000","118,521,000","108,619,000","114,690,000","112,947,000","114,499,000","98,857,000","91,132,000","83,937,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
