name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009
TotalRevenue,"2,833,736,000","802,255,000","755,477,000","667,381,000","608,623,000","617,333,000","585,283,000","525,146,000","661,093,000","698,881,000","681,048,000","647,094,000","621,825,000","643,422,000","619,586,000","584,985,000","585,500,000","609,991,000","577,877,000","541,237,000","520,433,000","514,953,000","484,426,000","417,905,000","414,262,000","430,601,000","451,493,000","404,605,000","416,166,000","376,697,000","295,283,000","273,502,000","253,908,000","255,501,000","225,150,000","220,869,000","193,651,000","202,617,000","186,932,000","171,820,000","146,165,000","140,160,000","134,213,000","134,213,000","111,005,000","106,547,000","111,655,000","111,437,000","104,202,000","97,312,000","100,575,000","88,110,000","68,076,000"
	OperatingRevenue,"2,833,736,000","802,255,000","755,477,000","667,381,000","608,623,000","617,333,000","585,283,000","525,146,000","661,093,000","698,881,000","681,048,000","647,094,000","621,825,000","643,422,000","619,586,000","584,985,000","585,500,000","609,991,000","577,877,000","541,237,000","520,433,000","514,953,000","484,426,000","417,905,000","414,262,000","430,601,000","451,493,000","404,605,000","416,166,000","376,697,000","295,283,000","273,502,000","253,908,000","255,501,000","225,150,000","220,869,000","193,651,000","202,617,000","186,932,000","171,820,000","146,165,000","140,160,000","134,213,000","134,213,000","111,005,000","106,547,000","111,655,000","111,437,000","104,202,000","97,312,000","100,575,000","88,110,000","68,076,000"
CostOfRevenue,"559,819,000","171,533,000","149,564,000","122,294,000","116,428,000","121,514,000","119,856,000","121,290,000","233,703,000","146,081,000","135,016,000","120,458,000","129,114,000","131,609,000","128,400,000","111,201,000","116,485,000","113,184,000","111,283,000","103,322,000","101,824,000","98,676,000","96,233,000","80,691,000","79,814,000","84,194,000","90,959,000","74,564,000","81,356,000","56,185,000","41,451,000","38,845,000","36,856,000","38,604,000","33,473,000","32,010,000","29,943,000","-8,689,000","43,498,000","44,665,000","35,972,000","40,625,000","34,225,000","34,656,000","26,209,000","118,737,000","31,475,000","31,572,000","0","0","0","0","0"
GrossProfit,"2,273,917,000","630,722,000","605,913,000","545,087,000","492,195,000","495,819,000","465,427,000","403,856,000","427,390,000","552,800,000","546,032,000","526,636,000","492,711,000","511,813,000","491,186,000","473,784,000","469,015,000","496,807,000","466,594,000","437,915,000","418,609,000","416,277,000","388,193,000","337,214,000","334,448,000","346,407,000","360,534,000","330,041,000","334,810,000","320,512,000","253,832,000","234,657,000","217,052,000","216,897,000","191,677,000","188,859,000","163,708,000","211,306,000","143,434,000","127,155,000","110,193,000","99,535,000","99,988,000","99,557,000","84,796,000","-12,190,000","80,180,000","79,865,000","104,202,000","97,312,000","100,575,000","88,110,000","68,076,000"
OperatingExpense,"1,031,361,000","290,430,000","267,226,000","247,475,000","226,230,000","201,880,000","200,895,000","191,045,000","226,407,000","232,004,000","216,891,000","229,319,000","208,535,000","227,076,000","210,096,000","209,001,000","208,928,000","256,795,000","233,957,000","221,872,000","223,541,000","200,302,000","197,138,000","166,046,000","158,493,000","200,258,000","172,074,000","160,890,000","171,036,000","147,890,000","109,625,000","100,173,000","102,916,000","110,847,000","80,422,000","79,785,000","69,455,000","118,135,000","57,600,000","45,707,000","45,718,000","45,303,000","38,265,000","39,665,000","34,309,000","-35,964,000","31,118,000","29,308,000","57,102,000","56,113,000","52,707,000","54,183,000","45,025,000"
	SellingGeneralAndAdministration,"747,948,000","216,282,000","192,989,000","178,233,000","160,444,000","138,698,000","137,630,000","129,113,000","161,969,000","161,491,000","149,840,000","158,640,000","142,045,000","151,121,000","142,829,000","140,391,000","137,426,000","190,954,000","164,790,000","157,145,000","158,655,000","138,894,000","140,298,000","117,841,000","122,380,000","156,482,000","123,548,000","112,063,000","122,954,000","139,591,000","83,911,000","75,744,000","78,498,000","86,689,000","62,362,000","63,895,000","54,826,000","103,019,000","44,009,000","34,098,000","33,998,000","35,379,000","29,213,000","31,077,000","25,702,000","-44,471,000","22,193,000","21,049,000","49,048,000","47,980,000","45,027,000","47,117,000","39,536,000"
		GeneralAndAdministrativeExpense,"485,830,000","140,675,000","121,785,000","115,008,000","108,362,000","90,961,000","90,868,000","86,739,000","106,110,000","109,592,000","98,050,000","106,784,000","92,784,000","104,454,000","98,023,000","96,382,000","90,315,000","112,648,000","92,043,000","87,569,000","95,434,000","74,541,000","77,904,000","63,586,000","67,594,000","100,938,000","64,439,000","63,041,000","69,297,000","83,659,000","40,947,000","37,896,000","43,461,000","50,509,000","31,559,000","30,954,000","29,261,000","31,256,000","31,219,000","23,824,000","23,823,000","25,047,000","19,729,000","22,074,000","17,915,000","-54,047,000","13,555,000","13,381,000","42,199,000","38,871,000","37,286,000","39,621,000","33,303,000"
			OtherGandA,"485,830,000","140,675,000","121,785,000","115,008,000","108,362,000","90,961,000","90,868,000","86,739,000","106,110,000","109,592,000","98,050,000","106,784,000","92,784,000","104,454,000","98,023,000","96,382,000","90,315,000","112,648,000","92,043,000","87,569,000","95,434,000","74,541,000","77,904,000","63,586,000","67,594,000","100,938,000","64,439,000","63,041,000","69,297,000","83,659,000","40,947,000","37,896,000","43,461,000","50,509,000","31,559,000","30,954,000","29,261,000","31,256,000","31,219,000","23,824,000","23,823,000","25,047,000","19,729,000","22,074,000","17,915,000","-54,047,000","13,555,000","13,381,000","42,199,000","38,871,000","37,286,000","39,621,000","33,303,000"
		SellingAndMarketingExpense,"262,118,000","75,607,000","71,204,000","63,225,000","52,082,000","47,737,000","46,762,000","42,374,000","55,859,000","51,899,000","51,790,000","51,856,000","49,261,000","46,667,000","44,806,000","44,009,000","47,111,000","78,306,000","72,747,000","69,576,000","63,221,000","64,353,000","62,394,000","54,255,000","54,786,000","55,544,000","59,109,000","49,022,000","53,657,000","55,932,000","42,964,000","37,848,000","35,037,000","36,180,000","30,803,000","32,941,000","25,565,000","71,763,000","12,790,000","10,274,000","10,175,000","10,332,000","9,484,000","9,003,000","7,787,000","9,576,000","8,638,000","7,668,000","6,849,000","9,109,000","7,741,000","7,496,000","6,233,000"
	DepreciationAmortizationDepletionIncomeStatement,"284,197,000","75,013,000","74,237,000","69,218,000","65,729,000","64,685,000","63,479,000","62,162,000","64,476,000","68,510,000","67,347,000","70,908,000","67,445,000","67,230,000","67,267,000","68,610,000","71,502,000","65,829,000","69,156,000","64,709,000","64,866,000","61,408,000","57,084,000","48,436,000","36,328,000","48,018,000","48,526,000","48,827,000","48,082,000","37,800,000","25,714,000","24,429,000","24,418,000","24,158,000","18,060,000","15,890,000","14,629,000","15,116,000","13,591,000","11,609,000","11,720,000","9,924,000","9,052,000","8,588,000","8,607,000","8,507,000","8,925,000","8,259,000","8,054,000","8,133,000","7,680,000","7,066,000","5,489,000"
