name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004
		SellingAndMarketingExpense,"9,059,000","2,906,000","1,821,000","3,128,000","1,204,000","2,307,000","1,148,000","1,810,000","2,675,000","3,087,000","2,506,000","3,667,000","2,299,000","3,534,000","2,980,000","3,535,000","2,065,000","3,005,000","2,089,000","2,782,000","1,886,000","3,192,000","2,140,000","1,824,000","1,778,000","1,888,000","1,304,000","1,764,000","1,192,000","1,429,000","1,331,000","1,800,000","1,209,000","1,131,000","1,195,000","1,432,000","985,000","1,224,000","1,067,000","1,732,000","1,447,000","1,380,000","1,280,000","1,248,000","974,000","1,009,000","679,000","759,000","628,000","878,000","651,000","708,000","645,000","869,000","646,000","683,000","583,000","541,000","481,000","530,000","353,000","576,000","338,000","477,000","378,000","797,000","503,000","589,000","693,000","637,183","630,939","571,518","625,000"
	DepreciationAmortizationDepletionIncomeStatement,"53,447,000","14,607,000","13,964,000","13,097,000","11,779,000","10,592,000","9,032,000","8,305,000","8,067,000","7,730,000","6,700,000","6,345,000","6,082,000","5,848,000","6,173,000","5,790,000","5,269,000","5,208,000","4,583,000","4,790,000","4,693,000","4,292,000","4,325,000","4,540,000","4,681,000","4,685,000","4,642,000","4,603,000","4,612,000","4,425,000","4,482,000","4,351,000","4,121,000","3,972,000","3,460,000","4,504,000","2,569,000","2,337,000","2,081,000","1,961,000","1,854,000","1,793,000","1,799,000","1,627,000","1,562,000","1,552,000","1,560,000","1,622,000","1,616,000","1,666,000","1,654,000","1,679,000","1,791,000","1,789,000","2,494,000","1,816,000","1,780,000","1,694,000","1,686,000","1,879,000","1,911,000","1,703,000","1,703,000","1,637,000","1,685,000","1,339,000","1,175,000","1,084,000","1,008,000",,,,"746,000"
		DepreciationAndAmortizationInIncomeStatement,"53,447,000","14,607,000","13,964,000","13,097,000","11,779,000","10,592,000","9,032,000","8,305,000","8,067,000","7,730,000","6,700,000","6,345,000","6,082,000","5,848,000","6,173,000","5,790,000","5,269,000","5,208,000","4,583,000","4,790,000","4,693,000","4,292,000","4,325,000","4,540,000","4,681,000","4,685,000","4,642,000","4,603,000","4,612,000","4,425,000","4,482,000","4,351,000","4,121,000","3,972,000","3,460,000","4,504,000","2,569,000","2,337,000","2,081,000","1,961,000","1,854,000","1,793,000","1,799,000","1,627,000","1,562,000","1,552,000","1,560,000","1,622,000","1,616,000","1,666,000","1,654,000","1,679,000","1,791,000","1,789,000","2,494,000","1,816,000","1,780,000","1,694,000","1,686,000","1,879,000","1,911,000","1,703,000","1,703,000","1,637,000","1,685,000","1,339,000","1,175,000","1,084,000","1,008,000",,,,"746,000"
	OtherTaxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-19,975,000","-19,276,000","-18,555,000","-19,265,000","-19,296,000","-18,491,000","-18,544,000","-18,736,000","-18,941,000","-17,250,000","-17,347,000","-16,467,000","-15,935,000","-14,595,051","-14,628,649","-15,069,850",
	OtherOperatingExpenses,"16,074,000","3,739,000","3,269,000","4,372,000","4,694,000","4,997,000","4,838,000","5,713,000","5,510,000","3,345,000","2,782,000","2,610,000","2,577,000","2,257,000","1,760,000","2,012,000","1,725,000","1,477,000","1,476,000","1,517,000","1,327,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,662,000","16,884,000","37,587,000","40,299,000","33,462,000","34,801,000","35,147,000","40,721,000","32,866,000","33,513,000","35,819,000","25,746,000","33,016,000","31,261,000","30,169,000",,,,"14,793,000"
OperatingIncome,"337,235,000","72,581,000","74,003,000","87,177,000","103,474,000","91,697,000","87,807,000","104,135,000","91,089,000","60,851,000","65,965,000","60,877,000","63,189,000","53,965,000","46,412,000","53,417,000","61,341,000","49,371,000","47,217,000","49,573,000","55,607,000","50,327,000","46,354,000","50,551,000","44,370,000","36,986,000","35,353,000","37,059,000","38,502,000","33,489,000","28,268,000","29,071,000","27,708,000","24,799,000","26,388,000","31,511,000","24,313,000","21,529,000","21,209,000","21,200,000","22,748,000","18,866,000","22,296,000","19,905,000","17,666,000","14,445,000","13,524,000","11,856,000","11,085,000","11,039,000","8,543,000","5,736,000","4,731,000","3,012,000","2,098,000","4,759,000","2,964,000","3,100,000","3,643,000","6,039,000","4,469,000","3,589,000","2,230,000","1,386,000","1,399,000","1,632,000","1,741,000","2,815,000","5,373,000","-55,931,648","24,415,881","24,896,450","3,008,000"
NetNonOperatingInterestIncomeExpense,"-842,000","-166,000","-314,000","-171,000","-191,000","-96,000","-1,046,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"842,000","166,000","314,000","171,000","191,000","96,000","1,046,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-2,470,000","-840,000","805,000","-953,000","-1,482,000","-1,312,000","1,204,000","268,000","613,000","1,106,000","1,373,000","2,032,000","2,031,000","2,101,000","1,385,000","-207,000","-328,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	GainOnSaleOfSecurity,"401,000","79,000","108,000","107,000","107,000","119,000","344,000","714,000","1,269,000","1,767,000","2,211,000","2,096,000","1,989,000","1,926,000","1,635,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"-2,871,000","-919,000","697,000","-1,060,000","-1,589,000","-1,431,000","860,000","-446,000","-656,000","-661,000","-838,000","-64,000","42,000","175,000","-250,000","-207,000","-328,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"333,923,000","71,575,000","74,494,000","86,053,000","101,801,000","90,289,000","87,965,000","104,403,000","91,702,000","61,957,000","67,338,000","62,909,000","65,220,000","56,066,000","47,797,000","53,210,000","61,013,000","49,371,000","47,217,000","49,573,000","55,607,000","50,327,000","46,354,000","50,551,000","44,370,000","36,986,000","35,353,000","37,059,000","38,502,000","33,489,000","28,268,000","29,071,000","27,708,000","24,799,000","26,388,000","31,511,000","24,313,000","21,529,000","21,209,000","21,200,000","22,748,000","18,866,000","22,296,000","19,905,000","17,666,000","14,445,000","13,524,000","11,856,000","11,085,000","11,039,000","8,543,000","5,736,000","4,731,000","3,012,000","2,098,000","4,759,000","2,964,000","3,100,000","3,643,000","6,039,000","4,469,000","3,589,000","2,230,000","1,386,000","1,399,000","1,632,000","1,741,000","2,815,000","5,373,000","5,078,234","4,079,255","3,633,211","3,008,000"
TaxProvision,"76,035,000","19,390,000","16,536,000","18,765,000","21,344,000","17,358,000","20,189,000","20,549,000","16,886,000","11,684,000","13,336,000","14,804,000","12,698,000","10,235,000","9,203,000","12,723,000","13,073,000","15,898,000","13,087,000","11,550,000","13,144,000","17,162,000","15,436,000","17,425,000","15,407,000","12,495,000","12,638,000","12,821,000","13,909,000","11,853,000","10,764,000","10,880,000","10,233,000","9,329,000","8,129,000","12,168,000","8,987,000","1,064,000","7,727,000","8,571,000","9,255,000","7,323,000","8,852,000","7,968,000","6,886,000","5,498,000","4,913,000","4,687,000","4,384,000","5,603,000","3,903,000","2,549,000","1,892,000","1,076,000","579,000","1,911,000","1,368,000","1,192,000","1,233,000","2,487,000","2,019,000","1,351,000","933,000","586,000","313,000","-458,000","570,000","991,000","2,316,000","2,477,773","-14,602,591","-19,822,404","92,000"
NetIncomeCommonStockholders,"257,888,000","52,185,000","57,958,000","67,288,000","80,457,000","72,931,000","67,776,000","83,854,000","74,816,000","50,273,000","54,002,000","48,105,000","52,522,000","45,831,000","38,594,000","40,487,000","47,940,000","33,473,000","34,130,000","38,023,000","42,463,000","33,165,000","30,918,000","33,126,000","28,963,000","24,491,000","22,715,000","24,238,000","24,593,000","21,636,000","17,504,000","18,191,000","17,475,000","23,133,000","18,213,000","19,343,000","15,326,000","20,465,000","13,482,000","12,629,000","13,493,000","11,543,000","13,444,000","11,937,000","10,780,000","8,947,000","8,611,000","7,169,000","6,701,000","5,436,000","4,640,000","3,187,000","2,839,000","1,936,000","1,519,000","2,848,000","1,596,000","1,908,000","2,410,000","3,552,000","2,450,000","2,238,000","1,297,000","800,000","1,086,000","2,090,000","1,171,000","1,824,000","3,057,000","2,600,461","18,681,846","23,455,615","2,916,000"
	NetIncome,"257,888,000","52,185,000","57,958,000","67,288,000","80,457,000","72,931,000","67,776,000","83,854,000","74,816,000","50,273,000","54,002,000","48,105,000","52,522,000","45,831,000","38,594,000","40,487,000","47,940,000","33,473,000","34,130,000","38,023,000","42,463,000","33,165,000","30,918,000","33,126,000","28,963,000","24,491,000","22,715,000","24,238,000","24,593,000","21,636,000","17,504,000","18,191,000","17,475,000","23,133,000","18,213,000","19,343,000","15,326,000","20,465,000","13,482,000","12,629,000","13,493,000","11,543,000","13,444,000","11,937,000","10,780,000","8,947,000","8,611,000","7,169,000","6,701,000","5,436,000","4,640,000","3,187,000","2,839,000","1,936,000","1,519,000","2,848,000","1,596,000","1,908,000","2,410,000","3,552,000","2,450,000","2,238,000","1,297,000","800,000","1,086,000","2,090,000","1,171,000","1,824,000","3,057,000","2,600,461","18,681,846","23,455,615","2,916,000"
		NetIncomeIncludingNoncontrollingInterests,"257,888,000","52,185,000","57,958,000","67,288,000","80,457,000","72,931,000","67,776,000","83,854,000","74,816,000","50,273,000","54,002,000","48,105,000","52,522,000","45,831,000","38,594,000","40,487,000","47,940,000","33,473,000","34,130,000","38,023,000","42,463,000","33,165,000","30,918,000","33,126,000","28,963,000","24,491,000","22,715,000","24,238,000","24,593,000","21,636,000","17,504,000","18,191,000","17,475,000","23,133,000","18,213,000","19,343,000","15,326,000","20,465,000","13,482,000","12,629,000","13,493,000","11,543,000","13,444,000","11,937,000","10,780,000","8,947,000","8,611,000","7,169,000","6,701,000","5,436,000","4,640,000","3,187,000","2,839,000","1,936,000","1,519,000","2,848,000","1,596,000","1,908,000","2,410,000","3,552,000","2,450,000","2,238,000","1,297,000","800,000","1,086,000","2,090,000","1,171,000","1,824,000","3,057,000","2,600,461","18,681,846","23,455,615","2,916,000"
