name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997
PretaxIncome,"2,746,000,000","991,000,000","1,336,000,000","500,000,000","-81,000,000","-73,000,000","-16,000,000","-538,000,000","365,000,000","448,000,000","303,000,000","-216,000,000","453,000,000","411,000,000","529,000,000","82,000,000","228,000,000","62,000,000","-34,000,000","354,000,000","-73,000,000","-84,000,000","-56,000,000","-411,000,000","-408,000,000","-972,000,000","1,003,000,000","-340,000,000","-111,000,000","666,000,000","647,000,000","92,000,000","202,000,000","-1,430,531,000","156,780,000","543,503,000","168,529,000","-412,072,000","-4,565,000","-96,640,000","327,966,000","-209,201,000","571,616,000","411,980,000","-117,989,000","-79,976,000","190,153,000","257,226,000","421,080,000","-22,419,000","-15,480,000","-139,243,000","-12,076,000","-84,751,000","12,348,000","283,791,000","215,067,000","104,817,000","153,967,000","51,189,000","46,214,000","52,549,000","120,596,000","116,093,000","19,750,000","238,450,000","147,070,000","205,519,000","136,520,000","153,344,000","104,443,000","121,461,000","99,965,000","87,932,000","91,918,000","79,815,000","71,111,000",,,,,,,,,,,,,,,,,,,,,,,,
TaxProvision,"628,000,000","228,000,000","291,000,000","120,000,000","-11,000,000","-43,000,000","4,000,000","-99,000,000","76,000,000","104,000,000","72,000,000","-47,000,000","103,000,000","88,000,000","118,000,000","19,000,000","50,000,000","-603,000,000","-11,000,000","121,000,000","-31,000,000","-41,000,000","-78,000,000","-143,000,000","-141,000,000","-350,000,000","355,000,000","-123,000,000","-37,000,000","237,000,000","236,000,000","34,000,000","53,000,000","-521,366,000","58,233,000","192,029,000","59,329,000","-156,151,000","8,386,000","-45,086,000","117,703,000","-85,372,000","185,471,000","144,696,000","-47,151,000","-59,511,000","76,661,000","94,693,000","160,474,000","-437,000","-5,206,000","-44,398,000","-1,263,000","-22,280,000","14,895,000","125,758,000","87,267,000","20,464,000","60,948,000","16,284,000","15,919,000","25,472,000","40,270,000","50,207,000","20,717,000","98,006,000","42,483,000","101,983,000","51,863,000","51,296,000","23,527,000","51,759,000","39,777,000","30,558,000","-99,895,000","2,630,000","2,304,000",,,,,,,,,,,,,,,,,,,,,,,,
NetIncomeCommonStockholders,"2,113,000,000","762,000,000","1,042,000,000","379,000,000","-70,000,000","-30,000,000","-20,000,000","-439,000,000","288,000,000","343,000,000","230,000,000","-169,000,000","348,000,000","321,000,000","409,000,000","66,000,000","177,000,000","666,000,000","-23,000,000","233,000,000","-42,000,000","-43,000,000","22,000,000","-268,000,000","-267,000,000","-629,000,000","648,000,000","-218,000,000","-78,000,000","431,000,000","374,000,000","1,000,000","123,000,000","-1,360,866,000","89,886,000","332,679,000","99,393,000","25,805,000","19,224,000","-70,392,000","214,619,000","-111,146,000","351,464,000","245,577,000","348,594,000","80,342,000","112,036,000","167,576,000","245,254,000","56,660,000","-7,165,000","-91,592,000","-14,606,000","-65,467,000","-3,038,000","158,829,000","129,740,000","204,728,000","101,927,000","36,480,000","30,997,000","27,686,000","80,799,000","88,399,000","543,207,000","140,779,000","123,573,000","185,559,000","84,657,000","102,048,000","80,916,000","69,702,000","60,188,000","57,374,000","191,813,000","77,185,000","84,220,000","18,420,000","-890,000","11,142,000","-1,959,000","-20,863,000","24,602,000","28,338,000","67,919,000","84,184,000","69,288,000","-16,061,000","14,770,000","8,200,000","46,400,000","-74,600,000","-2,500,000","-642,800,000","-43,900,000","-32,800,000","-26,800,000","-904,200,000","-12,500,000","12,900,000","13,000,000"
	NetIncome,"2,118,000,000","763,000,000","1,045,000,000","380,000,000","-70,000,000","-30,000,000","-20,000,000","-439,000,000","289,000,000","344,000,000","231,000,000","-169,000,000","350,000,000","323,000,000","411,000,000","66,000,000","178,000,000","665,000,000","-23,000,000","233,000,000","-42,000,000","-43,000,000","22,000,000","-268,000,000","-267,000,000","-629,000,000","648,000,000","-218,000,000","-78,000,000","431,000,000","374,000,000","1,000,000","123,000,000","-1,367,465,000","91,125,000","337,263,000","100,663,000","28,834,000","19,224,000","-70,392,000","214,619,000","-111,146,000","351,464,000","245,577,000","348,594,000","80,342,000","112,036,000","167,576,000","245,254,000","56,660,000","-7,165,000","-91,592,000","-14,606,000","-65,467,000","-3,038,000","158,829,000","129,740,000","204,728,000","101,927,000","36,480,000","30,997,000","27,686,000","80,799,000","88,399,000","543,207,000","140,779,000","123,573,000","185,559,000","84,657,000","102,048,000","80,916,000","69,702,000","60,188,000","57,374,000","191,813,000","77,185,000","84,220,000","18,420,000","-890,000","11,142,000","-1,959,000","-20,863,000","24,602,000","28,338,000","67,919,000","84,184,000","69,288,000","-16,061,000","14,770,000","8,200,000","46,400,000","-74,600,000","-2,500,000","-642,800,000","-43,900,000","-32,800,000","-26,800,000","-904,200,000","-12,500,000","12,900,000","13,000,000"
		NetIncomeIncludingNoncontrollingInterests,"2,118,000,000","763,000,000","1,045,000,000","380,000,000","-70,000,000","-30,000,000","-20,000,000","-439,000,000","289,000,000","344,000,000","231,000,000","-169,000,000","350,000,000","323,000,000","411,000,000","63,000,000","178,000,000","665,000,000","-23,000,000","233,000,000","-42,000,000","-43,000,000","22,000,000","-268,000,000","-267,000,000","-629,000,000","648,000,000","-218,000,000","-78,000,000","431,000,000","374,000,000","1,000,000","123,000,000","-1,358,305,000","98,547,000","351,474,000","108,735,000","39,702,000","21,699,000","-39,537,000","220,958,000","-113,188,000","385,598,000","265,700,000","343,804,000","82,126,000","114,574,000","188,689,000","260,606,000","54,230,000","1,833,000","-92,114,000","-10,813,000","-80,855,000","5,384,000","165,056,000","129,740,000","204,728,000","101,927,000","36,480,000","30,997,000","27,686,000","80,799,000","88,399,000","543,207,000","140,779,000","123,573,000","185,559,000","84,657,000","102,048,000","80,916,000","69,702,000","60,188,000","57,374,000","191,813,000","77,185,000","84,220,000","18,420,000","-890,000","11,142,000","-1,959,000","-20,863,000","24,602,000","28,338,000","67,919,000","84,184,000","69,288,000","-16,061,000","14,770,000","8,200,000","46,400,000","-74,600,000","-2,500,000","-642,800,000","-43,900,000","-32,800,000","-26,800,000","-904,200,000","-12,500,000","12,900,000","13,000,000"
			NetIncomeContinuousOperations,"2,118,000,000","763,000,000","1,045,000,000","380,000,000","-70,000,000","-30,000,000","-20,000,000","-439,000,000","289,000,000","344,000,000","231,000,000","-169,000,000","350,000,000","323,000,000","411,000,000","63,000,000","178,000,000","665,000,000","-23,000,000","233,000,000","-42,000,000","-43,000,000","22,000,000","-268,000,000","-267,000,000","-622,000,000","648,000,000","-217,000,000","-74,000,000","429,000,000","411,000,000","58,000,000","149,000,000","-909,165,000","98,547,000","351,474,000","109,200,000","-255,921,000","-12,951,000","-51,554,000","210,263,000","-123,829,000","386,145,000","267,284,000","-70,838,000","-20,465,000","113,492,000","162,533,000","260,606,000","-21,982,000","-10,274,000","-94,845,000","-10,813,000","-62,471,000","-2,547,000","158,033,000","127,800,000","84,353,000","93,019,000","34,905,000","30,295,000","27,077,000","80,326,000","65,886,000","-967,000","140,444,000","104,587,000","103,536,000","84,657,000","102,048,000","80,916,000","69,702,000","60,188,000","57,374,000","191,813,000","77,185,000","68,807,000","18,422,000","18,611,000","13,985,000","-1,959,000","-15,736,000","23,228,000","28,338,000","67,919,000","84,184,000","69,288,000","-3,743,000","14,770,000","8,200,000","46,400,000","-74,600,000","-2,500,000","-642,800,000","-43,900,000","-32,800,000","-26,800,000","-892,300,000","-11,000,000","13,000,000","13,000,000"
			NetIncomeDiscontinuousOperations,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","-1,000,000",,"-1,000,000","-4,000,000","2,000,000","-37,000,000","-57,000,000","-26,000,000","-449,140,000","0","0","-465,000","295,623,000","34,650,000","12,017,000","10,695,000","10,641,000","-547,000","-1,584,000","414,642,000","102,591,000","1,082,000","26,156,000","0","76,212,000","12,107,000","2,731,000","0","-2,996,000","-491,000","796,000","1,940,000","120,375,000","8,908,000","1,575,000","702,000","609,000","473,000","22,513,000","544,174,000","335,000","18,986,000","82,023,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			NetIncomeExtraordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,"15,413,000",,"-19,501,000",,,,"1,374,000",,,,,,,,,,,,,,,,,,
			NetIncomeFromTaxLossCarryforward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2,000",,"-2,843,000",,"-5,127,000",,,,"0",,"-12,318,000",,,,,,,,,,"-11,900,000","-1,500,000","-100,000",
		MinorityInterests,,,,,,,,,,"0","0","0",,"0","0","3,000,000",,,,,,,,,,,,,,"0","0","0","0","-9,160,000","-7,422,000","-14,211,000","-8,072,000","-10,868,000","-2,475,000","-30,855,000","-6,339,000","2,042,000","-34,134,000","-20,123,000","4,790,000","-1,784,000","-2,538,000","-21,113,000","-15,352,000","2,430,000","-8,998,000","522,000","-3,793,000",,"-8,422,000","-6,227,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
