name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989
TotalRevenue,"5,541,352,000","1,425,044,000","1,410,557,000","1,461,934,000","1,243,816,000","1,196,283,000","1,246,362,000","1,093,896,000","1,062,097,000","1,017,206,000","1,133,577,000","1,104,045,000","945,991,000","924,230,000","1,016,160,000","1,015,873,000","850,921,000","810,355,000","909,476,000","907,068,000","742,146,000","753,765,000","787,954,000","827,488,000","680,186,000","645,433,000","756,619,000","693,722,000","626,791,000","605,566,000","635,972,000","687,199,000","536,129,000","540,849,000","590,422,000","630,934,000","484,223,000","471,517,000","541,940,000","592,640,000","454,605,000","409,957,000","474,709,000","462,145,000","356,419,000","318,665,000","381,466,000","365,701,000","238,110,000","290,914,000","307,929,000","300,250,000","244,206,000","254,372,000","284,986,000","282,244,000","212,178,000","246,639,000","247,211,000","244,763,000","165,853,000","151,344,000","178,647,000","156,037,000","119,746,258","98,009,719","105,421,454","85,440,555","60,014,272","50,337,332","52,641,477","46,063,543","31,298,783","26,565,622","33,291,088","28,409,138","22,086,348","20,203,924","26,985,256","26,264,788","18,592,394","21,615,775","26,180,069","25,715,071","18,768,796","18,386,308","22,701,624","22,666,775","15,978,002","17,400,000","20,500,000","19,100,000","15,200,000","12,100,000","16,600,000","14,000,000","11,300,000","11,000,000","13,400,000","11,500,000","7,100,000","7,000,000","10,800,000","10,400,000","7,400,000","6,900,000","12,100,000","9,600,000","5,400,000","5,700,000","8,600,000","8,600,000","6,000,000","5,900,000","6,900,000","6,400,000","4,500,000","5,400,000","4,200,000","100,000","100,000","300,000","100,000","100,000","100,000","100,000","0","100,000","100,000","100,000"
	OperatingRevenue,"5,541,352,000","1,425,044,000","1,410,557,000","1,461,934,000","1,243,816,000","1,196,283,000","1,246,362,000","1,093,896,000","1,062,097,000","1,017,206,000","1,133,577,000","1,104,045,000","945,991,000","924,230,000","1,016,160,000","1,015,873,000","850,921,000","810,355,000","909,476,000","907,068,000","742,146,000","753,765,000","787,954,000","827,488,000","680,186,000","645,433,000","756,619,000","693,722,000","626,791,000","605,566,000","635,972,000","687,199,000","536,129,000","540,849,000","590,422,000","630,934,000","484,223,000","471,517,000","541,940,000","592,640,000","454,605,000","409,957,000","474,709,000","462,145,000","356,419,000","318,665,000","381,466,000","365,701,000","238,110,000","290,914,000","307,929,000","300,250,000","244,206,000","254,372,000","284,986,000","282,244,000","212,178,000","246,639,000","247,211,000","244,763,000","165,853,000","151,344,000","178,647,000","156,037,000","119,746,258","98,009,719","105,421,454","85,440,555","60,014,272","50,337,332","52,641,477","46,063,543","31,298,783","26,565,622","33,291,088","28,409,138","22,086,348","20,203,924","26,985,256","26,264,788","18,592,394","21,615,775","26,180,069","25,715,071","18,768,796","18,386,308","22,701,624","22,666,775","15,978,002","17,400,000","20,500,000","19,100,000","15,200,000","12,100,000","16,600,000","14,000,000","11,300,000","11,000,000","13,400,000","11,500,000","7,100,000","7,000,000","10,800,000","10,400,000","7,400,000","6,900,000","12,100,000","9,600,000","5,400,000","5,700,000","8,600,000","8,600,000","6,000,000","5,900,000","6,900,000","6,400,000","4,500,000","5,400,000","4,200,000","100,000","100,000","300,000","100,000","100,000","100,000","100,000","0","100,000","100,000","100,000"
CostOfRevenue,"2,432,839,000","657,464,000","621,399,000","625,096,000","528,881,000","505,598,000","509,831,000","434,427,000","424,901,000","406,438,000","460,575,000","442,762,000","372,459,000","372,028,000","408,501,000","395,615,000","335,664,000","306,745,000","339,767,000","323,571,000","261,272,000","255,652,000","284,979,000","309,674,000","257,088,000","242,072,000","291,143,000","299,214,000","257,834,000","273,783,000","294,052,000","307,911,000","249,311,000","263,688,000","282,952,000","294,672,000","232,184,000","227,629,000","268,348,000","285,632,000","213,436,000","195,713,000","224,402,000","217,924,000","170,882,000","154,255,000","183,540,000","172,351,000","113,556,000","135,638,000","142,897,000","138,421,000","114,027,000","115,947,000","135,550,000","136,031,000","107,459,000","120,897,000","118,829,000","116,510,000","80,216,000","70,922,000","86,463,000","75,047,000","56,748,386","46,066,784","50,077,785","40,513,477","29,684,954","25,346,905","28,832,269","25,304,614","17,390,962","15,825,832","20,004,236","16,960,573","13,786,527","13,282,000","17,307,405","16,430,951","11,782,313","12,361,447","14,537,011","14,038,278","10,420,817","10,067,365","11,626,741","11,909,617","8,728,292","9,700,000","11,000,000","10,200,000","7,700,000","6,000,000","8,600,000","7,000,000","5,600,000","6,100,000","7,900,000","6,700,000","4,200,000","4,200,000","6,400,000","6,300,000","4,500,000","4,700,000","7,800,000","6,000,000","3,100,000","3,100,000","4,800,000","4,600,000","3,300,000","3,800,000","3,700,000","3,600,000","2,400,000","2,600,000","2,500,000",,,,,,,,,,,
GrossProfit,"3,108,513,000","767,580,000","789,158,000","836,838,000","714,935,000","690,685,000","736,531,000","659,469,000","637,196,000","610,768,000","673,002,000","661,283,000","573,532,000","552,202,000","607,659,000","620,258,000","515,257,000","503,610,000","569,709,000","583,497,000","480,874,000","498,113,000","502,975,000","517,814,000","423,098,000","403,361,000","465,476,000","394,508,000","368,957,000","331,783,000","341,920,000","379,288,000","286,818,000","277,161,000","307,470,000","336,262,000","252,039,000","243,888,000","273,592,000","307,008,000","241,169,000","214,244,000","250,307,000","244,221,000","185,537,000","164,410,000","197,926,000","193,350,000","124,554,000","155,276,000","165,032,000","161,829,000","130,179,000","138,425,000","149,436,000","146,213,000","104,719,000","125,742,000","128,382,000","128,253,000","85,637,000","80,422,000","92,184,000","80,990,000","62,997,872","51,942,935","55,343,669","44,927,078","30,329,318","24,990,427","23,809,208","20,758,929","13,907,821","10,739,790","13,286,852","11,448,565","8,299,821","6,921,924","9,677,851","9,833,837","6,810,081","9,254,328","11,643,058","11,676,793","8,347,979","8,318,943","11,074,883","10,757,158","7,249,710","7,700,000","9,500,000","8,900,000","7,500,000","6,100,000","8,000,000","7,000,000","5,700,000","4,900,000","5,500,000","4,800,000","2,900,000","2,800,000","4,400,000","4,100,000","2,900,000","2,200,000","4,300,000","3,600,000","2,300,000","2,600,000","3,800,000","4,000,000","2,700,000","2,100,000","3,200,000","2,800,000","2,100,000","2,800,000","1,700,000",,,,,,,,,,,
OperatingExpense,"1,311,046,000","354,700,000","344,694,000","310,863,000","300,789,000","288,384,000","277,930,000","252,205,000","272,208,000","293,723,000","277,559,000","282,293,000","262,071,000","245,691,000","268,086,000","262,637,000","235,342,000","236,498,000","252,337,000","233,456,000","216,612,000","246,385,000","212,600,000","229,291,000","168,385,000","174,913,000","174,038,000","189,839,000","361,328,000","138,862,000","152,013,000","163,475,000","137,955,000","142,405,000","156,041,000","156,835,000","144,733,000","130,007,000","132,907,000","137,235,000","114,884,000","110,847,000","118,217,000","111,739,000","97,082,000","84,613,000","90,371,000","83,674,000","73,769,000","69,442,000","72,117,000","69,046,000","64,402,000","177,643,000","67,644,000","68,023,000","61,891,000","61,468,000","55,002,000","66,830,000","53,727,000","44,766,000","49,842,000","35,238,000","28,168,833","22,153,528","21,768,414","19,572,240","15,605,818","13,077,709","13,884,377","12,354,763","10,263,334","8,877,020","9,758,463","8,110,847","7,202,603","6,773,055","7,491,723","7,641,342","6,044,640","8,612,233","9,453,704","9,701,472","744,087","7,722,079","8,755,350","7,941,094","6,081,821","6,500,000","7,300,000","6,600,000","5,900,000","4,900,000","6,200,000","5,400,000","4,400,000","4,800,000","4,800,000","4,000,000","2,800,000","2,900,000","4,100,000","3,600,000","2,800,000","2,800,000","4,300,000","3,600,000","2,700,000","3,900,000","4,300,000","3,700,000","2,400,000","2,100,000","2,800,000","2,200,000","1,800,000","2,400,000","1,500,000","200,000",,,,,,,,,,
	SellingGeneralAndAdministration,,,,,,,,,,,,,,,,,,,"252,337,000",,,,,,,,,,,,,,,"142,405,000",,,,,"132,907,000","137,235,000","114,884,000",,"118,217,000","111,739,000","97,082,000",,,,,,,,,,"67,644,000","68,023,000","61,891,000","61,468,000","55,002,000","66,830,000","53,727,000","44,766,000","49,842,000","35,238,000","28,168,833","22,127,620","21,752,406","19,558,402","15,591,572","13,063,306","13,865,099","12,335,494","10,243,238","8,851,711","9,743,117","8,100,030","7,192,187","6,757,584","7,478,308","7,628,446","6,031,864","8,483,770","9,323,880","9,575,503","7,383,006","7,491,816","8,576,155","7,793,226","5,953,412","6,300,000","7,100,000","6,500,000","5,800,000","4,800,000","6,000,000","5,300,000","4,300,000","4,600,000","4,700,000","3,800,000","2,700,000","2,800,000","3,900,000","3,500,000","2,600,000","2,700,000","4,100,000","3,400,000","2,500,000","3,700,000","4,100,000","3,600,000","2,400,000","2,000,000","2,600,000","2,100,000","1,600,000","2,100,000","1,500,000","200,000",,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25,908","16,008","13,838","14,246","14,403","19,278","19,269","20,096","25,309","15,346","10,817","10,416","15,471","13,415","12,896","12,776","128,463","129,824","125,969","220,886","230,263","179,195","147,868","128,409","200,000","200,000","100,000","100,000","100,000","200,000","100,000","100,000","200,000","100,000","200,000","100,000","100,000","200,000","100,000","200,000","100,000","200,000","200,000","200,000","200,000","200,000","100,000",,"100,000","200,000","100,000","200,000",,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25,908","16,008","13,838","14,246","14,403","19,278","19,269","20,096","25,309","15,346","10,817","10,416","15,471","13,415","12,896","12,776","128,463","129,824","125,969","220,886","230,263","179,195","147,868","128,409","200,000","200,000","100,000","100,000","100,000","200,000","100,000","100,000","200,000","100,000","200,000","100,000","100,000","200,000","100,000","200,000","100,000","200,000","200,000","200,000","200,000","200,000","100,000",,"100,000","200,000","100,000","200,000",,,,,,,,,,,,,
			DepreciationIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"97,654",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			Amortization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25,908","16,008","13,838","14,246","14,403","19,278","19,269","20,096","25,309","15,346","10,817","10,416","15,471","13,415","12,896","12,776","128,463","129,824","125,969","123,232",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
