name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998
NetInterestIncome,"-544,000,000","-128,000,000","-126,000,000","-159,000,000","-131,000,000","-132,000,000","-161,000,000","-132,000,000","-118,000,000","-132,000,000","-120,000,000","-119,000,000","-115,000,000","-122,000,000","-111,000,000","-112,000,000","-107,000,000","-118,000,000","-109,000,000","-104,000,000","-109,000,000","-143,000,000","-87,000,000","-40,000,000","-37,000,000","-35,000,000","-32,000,000","-33,000,000","-34,000,000","-40,000,000","-28,000,000","-29,000,000","-33,000,000","-153,000,000","-31,000,000","-32,000,000","-31,000,000","-42,000,000","-32,000,000","-38,000,000","-37,000,000","-46,000,000","-32,000,000","-35,000,000","-43,000,000","-54,000,000","-38,000,000","-42,000,000","-41,000,000","-56,000,000","-42,000,000","-43,000,000","-53,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBIT,"2,218,000,000","535,000,000","577,000,000","566,000,000","540,000,000","484,000,000","477,000,000","389,000,000","213,000,000","529,000,000","420,000,000","496,000,000","414,000,000","561,000,000","645,000,000","469,000,000","616,000,000","1,210,000,000","633,000,000","415,000,000","456,000,000","-84,000,000","654,000,000","491,000,000","564,000,000","441,000,000","603,000,000","371,000,000","506,000,000","-43,000,000","550,000,000","479,000,000","571,000,000","584,000,000","355,000,000","393,000,000","489,000,000","514,000,000","675,000,000","477,000,000","648,000,000","516,000,000","496,000,000","425,000,000","406,000,000","448,000,000","550,000,000","424,000,000","367,000,000","382,000,000","474,000,000","398,000,000","355,000,000","378,000,000","410,000,000","315,000,000","422,000,000","342,000,000","400,000,000","319,000,000","320,000,000","363,000,000","345,000,000","325,000,000","292,000,000","293,000,000","322,000,000","274,000,000","264,000,000","346,000,000","291,000,000","275,000,000","243,000,000","353,000,000","269,000,000","220,000,000","217,000,000","280,000,000","258,000,000","241,000,000","226,000,000","244,000,000","231,000,000","215,000,000","176,000,000","238,000,000","215,000,000","218,000,000","192,000,000","252,000,000","236,000,000","220,000,000","202,000,000","220,000,000","220,000,000","189,000,000","139,000,000"
EBITDA,"2,382,000,000"
ReconciledCostOfRevenue,"3,418,000,000","1,017,000,000","827,000,000","816,000,000","758,000,000","925,000,000","725,000,000","649,000,000","666,000,000","868,000,000","660,000,000","639,000,000","616,000,000","811,000,000","727,000,000","735,000,000","757,000,000","807,000,000","778,000,000","802,000,000","804,000,000","-2,594,000,000","2,318,000,000","2,196,000,000","1,780,000,000","2,981,000,000","2,494,000,000","2,295,000,000","1,831,000,000","3,090,000,000","2,504,000,000","2,364,000,000","1,884,000,000","3,131,000,000","2,534,000,000","2,198,000,000","1,796,000,000","3,115,000,000","2,575,000,000","2,365,000,000","1,930,000,000","3,085,000,000","2,401,000,000","2,078,000,000","1,691,000,000","2,632,000,000","2,041,000,000","1,878,000,000","1,679,000,000","2,533,000,000","2,036,000,000","1,828,000,000","1,610,000,000","2,617,000,000","2,124,000,000","2,025,000,000","1,253,000,000","2,506,000,000","1,890,000,000","1,773,000,000","1,140,000,000","3,741,000,000","1,176,000,000","1,119,000,000","1,058,000,000","2,215,000,000","1,698,000,000","1,130,000,000","1,065,000,000","1,484,000,000","1,143,000,000","1,083,000,000","1,011,000,000","1,400,000,000","1,025,000,000","994,000,000","922,000,000","1,253,000,000","967,000,000","887,000,000","808,000,000","1,132,000,000","845,000,000","735,000,000","696,000,000","1,000,000,000","766,000,000","755,000,000","732,000,000","1,088,000,000","850,000,000","883,000,000","845,000,000","1,250,000,000","972,000,000","965,000,000","947,000,000"
ReconciledDepreciation,"164,000,000","47,000,000","39,000,000","39,000,000","39,000,000","46,000,000","47,000,000","26,000,000","27,000,000","28,000,000","30,000,000","28,000,000","26,000,000","34,000,000","32,000,000","34,000,000","37,000,000","58,000,000","60,000,000","65,000,000","70,000,000","-180,000,000","175,000,000","178,000,000","136,000,000","242,000,000","179,000,000","187,000,000","139,000,000","238,000,000","181,000,000","180,000,000","140,000,000","248,000,000","173,000,000","170,000,000","130,000,000","216,000,000","150,000,000","141,000,000","138,000,000","202,000,000","157,000,000","146,000,000","123,000,000","206,000,000","127,000,000","137,000,000","119,000,000","195,000,000","139,000,000","129,000,000","117,000,000","167,000,000","139,000,000","130,000,000","120,000,000","180,000,000","129,000,000","121,000,000","112,000,000","160,000,000","109,000,000","111,000,000","99,000,000","150,000,000","111,000,000","111,000,000","97,000,000","146,000,000","107,000,000","100,000,000","95,000,000","128,000,000","92,000,000","94,000,000","87,000,000","126,000,000","86,000,000","80,000,000","78,000,000","111,000,000","85,000,000","85,000,000","73,000,000","109,000,000","82,000,000","81,000,000","82,000,000","121,000,000","82,000,000","88,000,000","95,000,000","119,000,000","97,000,000","97,000,000","104,000,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"1,575,000,000","330,000,000","528,000,000","391,000,000","326,000,000","332,000,000","283,000,000","206,000,000","83,000,000","488,000,000","255,000,000","289,000,000","262,000,000","334,000,000","454,000,000","321,000,000","433,000,000","436,000,000","418,000,000","206,000,000","280,000,000","-358,000,000","622,000,000","339,000,000","391,000,000","275,000,000","421,000,000","235,000,000","362,000,000","-86,000,000","404,000,000","334,000,000","399,000,000","321,000,000","152,000,000","281,000,000","337,000,000","337,000,000","471,000,000","331,000,000","458,000,000","356,000,000","383,000,000","316,000,000","264,000,000","274,000,000","357,000,000","286,000,000","241,000,000","216,000,000","334,000,000","303,000,000","218,000,000","204,000,000","282,000,000","224,000,000","254,000,000","231,000,000","270,000,000","214,000,000","194,000,000","232,000,000","230,000,000","192,000,000","170,000,000","200,000,000","214,000,000","187,000,000","161,000,000","235,000,000","185,000,000","169,000,000","142,000,000","214,000,000","164,000,000","122,000,000","118,000,000","172,000,000","147,000,000","140,000,000","124,000,000","164,000,000","124,000,000","116,000,000","88,000,000","128,000,000","59,000,000","106,000,000","120,000,000","145,000,000","197,000,000","179,000,000","106,000,000","151,000,000","128,000,000","112,000,000","54,000,000"
TotalUnusualItemsExcludingGoodwill,"119,000,000","34,000,000","52,000,000","12,000,000","21,000,000","11,000,000","15,000,000","101,000,000","-173,000,000","-2,000,000","-51,000,000","29,000,000","-10,000,000","72,000,000","196,000,000","52,000,000","222,000,000","745,000,000","200,000,000","18,000,000","110,000,000","76,000,000","15,000,000","34,000,000","-5,000,000","-11,000,000","-17,000,000","-93,000,000","1,000,000","-476,000,000","14,000,000","-18,000,000","-11,000,000","-7,000,000","-268,000,000","20,000,000","14,000,000","18,000,000","-7,000,000","7,000,000","104,000,000","20,000,000","-88,000,000","-22,000,000","-67,000,000","8,000,000","-6,000,000","0","-4,000,000",,"-5,000,000","-22,000,000","-4,000,000","-133,000,000","10,000,000","4,000,000","92,000,000","-10,000,000","1,000,000","3,000,000","17,000,000","2,000,000","12,000,000","9,000,000","-6,000,000","16,000,000","29,000,000","25,000,000","14,000,000","-18,000,000","13,000,000","-6,000,000","12,000,000","66,000,000","-3,000,000","-41,000,000","-3,000,000","13,000,000","-2,000,000","1,000,000","7,000,000","-17,000,000","15,000,000","27,000,000",,"28,000,000","-83,000,000","2,000,000","50,000,000","26,000,000","141,000,000","129,000,000","34,000,000","99,000,000","59,000,000","73,000,000","29,000,000"
TotalUnusualItems,"119,000,000","34,000,000","52,000,000","12,000,000","21,000,000","11,000,000","15,000,000","101,000,000","-173,000,000","-2,000,000","-51,000,000","29,000,000","-10,000,000","72,000,000","196,000,000","52,000,000","222,000,000","745,000,000","200,000,000","18,000,000","110,000,000","76,000,000","15,000,000","34,000,000","-5,000,000","-11,000,000","-17,000,000","-93,000,000","1,000,000","-476,000,000","14,000,000","-18,000,000","-11,000,000","-7,000,000","-268,000,000","20,000,000","14,000,000","18,000,000","-7,000,000","7,000,000","104,000,000","20,000,000","-88,000,000","-22,000,000","-67,000,000","8,000,000","-6,000,000","0","-4,000,000",,"-5,000,000","-22,000,000","-4,000,000","-133,000,000","10,000,000","4,000,000","92,000,000","-10,000,000","1,000,000","3,000,000","17,000,000","2,000,000","12,000,000","9,000,000","-6,000,000","16,000,000","29,000,000","25,000,000","14,000,000","-18,000,000","13,000,000","-6,000,000","12,000,000","66,000,000","-3,000,000","-41,000,000","-3,000,000","13,000,000","-2,000,000","1,000,000","7,000,000","-17,000,000","15,000,000","27,000,000",,"28,000,000","-83,000,000","2,000,000","50,000,000","26,000,000","141,000,000","129,000,000","34,000,000","99,000,000","59,000,000","73,000,000","29,000,000"
NormalizedEBITDA,"2,263,000,000","548,000,000","564,000,000","593,000,000","558,000,000","519,000,000","509,000,000","314,000,000","413,000,000","559,000,000","501,000,000","495,000,000","450,000,000","523,000,000","481,000,000","451,000,000","431,000,000","523,000,000","493,000,000","462,000,000","416,000,000","-160,000,000","814,000,000","635,000,000","705,000,000","694,000,000","799,000,000","651,000,000","644,000,000","671,000,000","717,000,000","677,000,000","722,000,000","839,000,000","796,000,000","543,000,000","605,000,000","712,000,000","832,000,000","611,000,000","682,000,000","698,000,000","741,000,000","593,000,000","596,000,000","646,000,000","683,000,000","561,000,000","490,000,000","577,000,000","618,000,000","549,000,000","476,000,000","678,000,000","539,000,000","441,000,000","450,000,000","532,000,000","528,000,000","437,000,000","415,000,000","521,000,000","442,000,000","427,000,000","397,000,000","427,000,000","404,000,000","360,000,000","347,000,000","510,000,000","385,000,000","381,000,000","326,000,000","415,000,000","364,000,000","355,000,000","307,000,000","393,000,000","346,000,000","320,000,000","297,000,000","372,000,000","301,000,000","273,000,000","249,000,000","319,000,000","380,000,000","297,000,000","224,000,000","347,000,000","177,000,000","179,000,000","263,000,000","240,000,000","258,000,000","213,000,000","214,000,000"
TaxRateForCalcs,"0.059","0.189","0.27","0.04","0.202","0.057","0.105","0.198","0.125","0.27","0.151","0.233","0.123","0.239","0.151","0.099","0.15","0.4","0.202","0.338","0.194","0.4","0.116","0.258","0.25","0.323","0.253","0.304","0.234","0.35","0.227","0.249","0.259","0.246","0.35","0.227","0.264","0.274","0.252","0.234","0.242","0.226","0.147","0.161","0.254","0.282","0.275","0.237","0.241","0.317","0.206","0.128","0.265","0.287","0.217","0.148","0.315","0.163","0.256","0.213","0.307","0.171","0.258","0.292","0.312","0.206","0.272","0.234","0.318","0.249","0.294","0.23","0.317","0.294","0.287","0.315","0.326","0.298","0.31","0.327","0.354","0.265","0.364","0.348","0.358","0.393","0.366","0.4","0.4","0.344","0.4","0.399","0.4","0.384","0.4","0.4","0.4"
TaxEffectOfUnusualItems,"7,021,000","6,432,432.432","14,040,000","480,000","4,242,000","625,000","1,575,000","19,998,000","-21,625,000","-540,000","-7,701,000","6,757,000","-1,230,000","17,220,956.72","29,596,000","5,148,000","33,300,000","298,000,000","40,400,000","6,084,000","21,340,000","30,400,000","1,740,000","8,772,000","-1,250,000","-3,549,261.084","-4,301,000","-28,272,000","234,000","-166,600,000","3,178,000","-4,482,000","-2,849,000","-1,724,880.383","-93,800,000","4,540,000","3,696,000","4,937,365.011","-1,763,693.271","1,641,379.31","25,144,736.842","4,511,930.586","-12,929,824.561","-3,552,083.333","-17,030,726.257","2,259,067.358","-1,648,221.344","0","-965,944.272","0","-1,028,037.383","-2,820,512.821","-1,060,402.685","-38,132,867.133","2,166,666.667","593,155.894","29,013,477.089","-1,630,434.783","256,198.347","639,705.882","5,221,428.571","342,857.143","3,096,774.194","2,623,616.236","-1,870,445.344","3,301,587.302","7,891,156.463","5,840,163.934","4,449,152.542","-4,485,623.003","3,820,610.687","-1,379,310.345","3,807,692.308","19,386,138.614","-860,869.565","-12,898,876.404","-977,142.857","3,873,469.388","-619,718.31","326,923.077","2,479,166.667","-4,497,757.848","5,461,538.462","9,404,494.382","0","11,014,218.009","-30,344,086.022","800,000","20,000,000","8,941,176.471","56,400,000","51,513,422.819","13,600,000","37,983,673.469","23,600,000","29,200,000","11,600,000"
