name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005
BasicAverageShares,,"97,000,000","96,900,000","96,700,000","96,300,000",,"95,800,000","93,800,000","91,800,000","91,600,000","91,300,000","91,100,000","90,300,000","88,700,000","88,500,000","88,200,000","87,300,000","86,900,000","86,700,000","86,400,000","85,200,000","84,600,000","84,100,000","83,600,000","82,100,000","81,400,000","80,500,000","79,600,000","77,800,000","76,800,000","75,800,000","75,000,000","73,300,000",,"71,400,000","70,900,000","69,800,000",,"69,052,000","68,635,000","67,790,000",,"67,397,000","65,096,000","62,179,000",,"58,200,000","57,554,000","51,291,000",,"45,919,000","45,832,000","39,569,000",,"29,627,000","29,387,000","29,228,000",,"28,324,661","28,298,731","28,223,454",,"28,068,427","27,080,115","25,556,603",,"25,354,432","22,140,149","2,577,644"
DilutedAverageShares,,"97,000,000","100,500,000","99,600,000","99,400,000",,"99,500,000","97,000,000","94,100,000","92,800,000","92,500,000","91,100,000","90,300,000","88,700,000","90,300,000","89,400,000","87,300,000","86,900,000","86,700,000","87,400,000","85,200,000","84,600,000","84,100,000","83,600,000","82,100,000","85,000,000","80,500,000","79,600,000","77,800,000","81,700,000","76,100,000","75,300,000","73,300,000",,"71,400,000","70,900,000","69,800,000",,"69,052,000","68,635,000","67,790,000",,"67,397,000","65,096,000","62,179,000",,"58,200,000","57,554,000","51,291,000",,"45,919,000","45,832,000","39,569,000",,"29,627,000","29,387,000","29,228,000",,"28,324,661","28,298,731","28,223,454",,"28,068,427","27,080,115","25,556,603",,"25,354,432","22,140,149","2,577,644"
TotalOperatingIncomeAsReported,"265,800,000","600,000","118,300,000","101,000,000","45,900,000","104,000,000","94,100,000","67,800,000","33,600,000","101,500,000","56,000,000","-800,000","-14,400,000","-164,600,000","13,900,000","-4,900,000","-30,700,000","12,000,000","-500,000","-13,600,000","-40,400,000","-6,100,000","-18,500,000","-20,100,000","-19,200,000","1,600,000","-42,400,000","-3,600,000","-12,700,000","1,600,000","-5,000,000","-5,800,000","-12,300,000","-2,300,000","-5,800,000","-9,900,000","-10,900,000","-8,332,000","-17,322,000","-14,649,000","-15,397,000","-12,276,000","-13,308,000","-7,389,000","-11,870,000","-9,886,000","-13,062,000","-11,268,000","-11,074,000","-9,462,000","-11,579,000","-13,455,000","-11,337,000","-12,738,000","-13,990,000","-13,455,000","-12,644,000","-12,177,000","-11,503,000","-11,540,000","-11,456,000","-11,757,243","-14,255,580","-11,905,244","-11,401,970","-12,604,523","-6,861,053","-6,842,226","-6,121,672"
TotalExpenses,"2,182,700,000","697,600,000","531,900,000","494,100,000","459,100,000","464,900,000","406,800,000","384,000,000","371,500,000","361,300,000","340,300,000","337,200,000","294,900,000","502,600,000","252,800,000","247,400,000","215,100,000","209,000,000","185,100,000","184,200,000","182,700,000","177,300,000","167,100,000","157,400,000","135,400,000","129,200,000","147,600,000","96,800,000","85,500,000","82,700,000","74,000,000","64,600,000","59,400,000","54,000,000","48,700,000","45,700,000","40,500,000","41,598,000","40,411,000","38,099,000","35,492,000","34,697,000","31,562,000","28,806,000","26,044,000","25,522,000","24,726,000","23,054,000","20,619,000","19,933,000","18,838,000","20,206,000","16,549,000","16,811,000","15,910,000","15,437,000","14,506,000","13,705,000","12,727,000","12,403,000","12,468,000","12,592,160","15,096,600","12,384,322","11,416,745","12,604,523","6,861,053","6,842,226","6,121,672"
NetIncomeFromContinuingAndDiscontinuedOperation,"154,700,000","-19,400,000","70,900,000","62,900,000","40,300,000","355,200,000","72,200,000","46,300,000","19,900,000","92,700,000","45,800,000","-10,500,000","-26,900,000","-179,700,000","46,600,000","30,200,000","-24,200,000","-9,400,000","-2,000,000","2,900,000","-41,700,000","-7,400,000","-18,800,000","-20,200,000","-19,200,000","1,500,000","-42,500,000","-3,700,000","-12,900,000","1,300,000","-5,200,000","-6,000,000","-12,500,000","-2,600,000","-6,000,000","-10,100,000","-11,100,000","-8,482,000","-17,263,000","-14,691,000","-14,064,000","-12,251,000","-13,278,000","-7,367,000","-11,850,000","-9,812,000","-13,398,000","-11,687,000","-20,273,000","-11,529,000","-13,523,000","-15,330,000","-13,142,000","-13,450,000","-14,688,000","-14,074,000","-12,972,000","-12,229,000","-11,384,000","-11,336,000","-10,929,000","-11,073,643","-13,437,771","-11,168,820","-10,919,057","-12,067,626","-6,329,621","-6,384,248","-5,985,935"
NormalizedIncome,"155,912,000","-18,889,000","71,525,358.324","62,900,000","40,300,000","355,200,000","72,680,692.41","50,242,000","19,900,000","92,700,000","45,800,000","-10,500,000","-26,900,000","-179,700,000","46,600,000","30,200,000","-24,200,000","-9,400,000","-2,000,000","2,900,000","-41,700,000","-7,400,000","-18,800,000","-20,200,000","-19,200,000","1,500,000","-42,500,000","-3,700,000","-12,900,000","1,300,000","-5,200,000","-6,000,000","-12,500,000","-2,600,000","-6,000,000","-10,100,000","-11,100,000","-8,482,000","-17,263,000","-14,691,000","-14,064,000","-12,251,650","-13,278,000","-7,367,000","-11,850,000","-9,851,000","-13,195,200","-11,527,750","-15,118,500","-11,529,000","-13,523,000","-15,330,000","-13,142,000","-13,450,000","-14,688,000","-14,074,000","-12,972,000","-12,229,000","-11,384,000","-11,336,000","-10,929,000","-11,073,643","-13,437,771","-11,168,820","-10,919,057","-12,067,626","-6,329,621","-6,384,248","-5,985,935"
InterestIncome,,,,"900,000","100,000","1,900,000","5,900,000","4,100,000","4,200,000","8,100,000","4,900,000","6,500,000","6,900,000","-3,800,000","2,500,000","2,200,000","1,500,000","1,400,000","1,200,000","500,000","200,000","100,000","100,000","100,000","100,000",,,,,,,,,"0","0","0","0","35,000","17,000","23,000","25,000","25,000","31,000","25,000","26,000","22,000","20,000","23,000","30,000","31,000","93,000","107,000","123,000",,,,,,,,,,,,,,,,
InterestExpense,"102,000,000","26,900,000","25,100,000","25,200,000","24,800,000","24,600,000","24,400,000","20,300,000","15,400,000","15,300,000","15,100,000","15,000,000","14,900,000","8,200,000","4,900,000","4,800,000","4,800,000","4,700,000","4,500,000","3,100,000","500,000","300,000","200,000","100,000","100,000","0","100,000","100,000","200,000","200,000","200,000","200,000","200,000","300,000","200,000","200,000","200,000","198,000","1,000","1,000","0","1,000","1,000","3,000","6,000","8,000","44,000","197,000","1,299,000","2,098,000","2,037,000","1,982,000","1,928,000",,,,,,,,,,,,,,,,
NetInterestIncome,"-102,000,000","-26,900,000","-25,100,000","-24,300,000","-24,700,000","-22,700,000","-18,500,000","-16,200,000","-11,200,000","-7,200,000","-10,200,000","-8,500,000","-8,000,000","-12,000,000","-2,400,000","-2,600,000","-3,300,000","-3,300,000","-3,300,000","-2,600,000","-300,000","-200,000","-100,000","0","0","0","-100,000","-100,000","-200,000","-200,000","-200,000","-200,000","-200,000","-300,000","-200,000","-200,000","-200,000","-163,000","16,000","22,000","25,000","24,000","30,000","22,000","20,000","14,000","-24,000","-174,000","-1,269,000","-2,067,000","-1,944,000","-1,875,000","-1,805,000",,,,,,,,,,,,,,,,
EBIT,"275,900,000","12,200,000","115,800,000","101,900,000","46,000,000","105,900,000","99,500,000","66,500,000","37,800,000","109,600,000","60,900,000","5,700,000","-11,700,000","-168,700,000","49,700,000","34,400,000","-19,200,000","13,300,000","2,000,000","-11,300,000","-39,800,000","-6,700,000","-18,400,000","-20,000,000","-19,100,000","1,600,000","-42,400,000","-3,600,000","-12,700,000","1,600,000","-5,000,000","-5,800,000","-12,300,000","-2,300,000","-5,800,000","-9,900,000","-10,900,000","-8,297,000","-17,305,000","-14,626,000","-15,372,000","-12,276,000","-13,308,000","-7,389,000","-11,870,000","-9,886,000","-13,062,000","-11,268,000","-11,074,000","-9,462,000","-11,579,000","-13,455,000","-11,337,000","-12,738,000","-13,990,000","-13,455,000","-12,644,000","-12,177,000","-11,503,000","-11,540,000","-11,456,000","-11,757,243","-14,255,580","-11,905,244","-11,401,970","-12,604,523","-6,861,053","-6,842,226","-6,121,672"
EBITDA,"377,900,000"
ReconciledCostOfRevenue,"768,000,000","225,600,000","203,300,000","178,000,000","161,100,000","169,800,000","160,500,000","167,700,000","148,600,000","153,500,000","149,400,000","129,900,000","111,700,000","115,200,000","98,100,000","88,900,000","65,500,000","67,500,000","57,600,000","53,100,000","48,200,000","54,500,000","47,500,000","51,800,000","41,100,000","39,600,000","30,500,000","27,200,000","26,300,000","24,900,000","21,800,000","18,900,000","17,300,000","17,600,000","15,300,000","13,900,000","13,100,000","15,698,000","14,687,000","12,207,000","10,708,000","11,728,000","10,090,000","9,546,000","9,058,000","8,647,000","8,188,000","7,267,000","6,086,000","6,364,000","6,394,000","7,799,000","5,475,000","4,891,000","3,840,000","3,393,000","3,242,000","3,655,000","3,113,000","2,906,000","3,062,000","3,398,514","3,388,675","2,090,544","2,081,220",,,,
ReconciledDepreciation,"102,000,000","32,100,000","25,500,000","23,500,000","20,900,000","20,400,000","18,400,000","15,300,000","13,000,000","14,300,000","12,900,000","11,600,000","9,900,000","8,600,000","7,800,000","6,700,000","6,000,000","4,200,000","4,300,000","3,900,000","3,700,000","3,600,000","4,100,000","3,900,000","3,400,000","3,100,000","2,700,000","2,600,000","2,400,000","2,400,000","2,200,000","1,900,000","1,900,000","1,900,000","1,700,000","1,600,000","1,800,000","1,751,000","2,199,000","1,468,000","1,182,000","1,063,000","998,000","892,000","806,000","721,000","628,000","588,000","500,000","470,000","589,000","662,000","652,000","902,000","848,000","838,000","994,000","1,143,000","773,000","790,000","626,000","1,071,791","599,121","-741,471","1,768,471","399,639","-673,949","610,588","728,729"
NetIncomeFromContinuingOperationNetMinorityInterest,"154,700,000","-19,400,000","70,900,000","62,900,000","40,300,000","355,200,000","72,200,000","46,300,000","19,900,000","92,700,000","45,800,000","-10,500,000","-26,900,000","-179,700,000","46,600,000","30,200,000","-24,200,000","-9,400,000","-2,000,000","2,900,000","-41,700,000","-7,400,000","-18,800,000","-20,200,000","-19,200,000","1,500,000","-42,500,000","-3,700,000","-12,900,000","1,300,000","-5,200,000","-6,000,000","-12,500,000","-2,600,000","-6,000,000","-10,100,000","-11,100,000","-8,482,000","-17,263,000","-14,691,000","-14,064,000","-12,251,000","-13,278,000","-7,367,000","-11,850,000","-9,812,000","-13,398,000","-11,687,000","-20,273,000","-11,529,000","-13,523,000","-15,330,000","-13,142,000","-13,450,000","-14,688,000","-14,074,000","-12,972,000","-12,229,000","-11,384,000","-11,336,000","-10,929,000","-11,073,643","-13,437,771","-11,168,820","-10,919,057","-12,067,626","-6,329,621","-6,384,248","-5,985,935"
TotalUnusualItemsExcludingGoodwill,"-1,500,000","-700,000","-800,000","0",,"0","-500,000","-5,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,000","0","0","0","60,000","-312,000","-245,000","-7,930,000",,,,,,,,,,,,,,,,,,,,
TotalUnusualItems,"-1,500,000","-700,000","-800,000","0",,"0","-500,000","-5,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,000","0","0","0","60,000","-312,000","-245,000","-7,930,000",,,,,,,,,,,,,,,,,,,,
NormalizedEBITDA,"379,400,000","45,000,000","142,100,000","125,400,000","66,900,000","126,300,000","118,400,000","87,200,000","50,800,000","123,900,000","73,800,000","17,300,000","-1,800,000","-160,100,000","57,500,000","41,100,000","-13,200,000","17,500,000","6,300,000","-7,400,000","-36,100,000","-3,100,000","-14,300,000","-16,100,000","-15,700,000","4,700,000","-39,700,000","-1,000,000","-10,300,000","4,000,000","-2,800,000","-3,900,000","-10,400,000","-400,000","-4,100,000","-8,300,000","-9,100,000","-6,546,000","-15,106,000","-13,158,000","-14,190,000","-11,214,000","-12,310,000","-6,497,000","-11,064,000","-9,225,000","-12,122,000","-10,435,000","-2,644,000","-8,992,000","-10,990,000","-12,793,000","-10,685,000","-11,836,000","-13,142,000","-12,617,000","-11,650,000","-11,034,000","-10,730,000","-10,750,000","-10,830,000","-10,685,452","-13,656,459","-11,905,244","-9,633,499","-12,204,884","-6,861,053","-6,231,638","-5,392,943"
TaxRateForCalcs,"0.192","0.27","0.218","0.18","0.27","0.27","0.039","0.27","0.112","0.017","0","0.27","0.27","0.27","0.27","0.27","0.27","0.4","0.2","0.4","0.4","0.4","0.4","0.4","0","0.4","0","0","0","0.35","0","0","0","0","0","0","0","0.002","0.002","0.35","0.085","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4"
TaxEffectOfUnusualItems,"-288,000","-189,000","-174,641.676","0","0","0","-19,307.59","-1,458,000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","350","0","0","0","21,000","-109,200","-85,750","-2,775,500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
