name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001
TotalRevenue,"4,689,700,000","1,147,300,000","1,109,900,000","1,179,200,000","1,253,300,000","1,098,500,000","1,080,700,000","1,182,300,000","1,522,100,000","1,138,400,000","1,277,300,000","1,272,700,000","1,179,600,000","1,236,600,000","904,200,000","1,059,600,000","1,109,000,000","900,000,000","890,800,000","924,600,000","929,300,000","912,900,000","841,700,000","906,400,000","934,200,000","813,800,000","850,300,000","820,000,000","842,700,000","841,100,000","762,400,000","731,600,000","777,400,000","687,000,000","714,600,000","816,100,000","718,600,000","660,900,000","683,200,000","795,900,000","774,600,000","736,500,000","874,200,000","838,300,000","831,600,000","763,200,000","733,400,000","813,900,000","693,200,000","667,500,000","650,400,000","647,800,000","647,100,000","691,769,000","680,952,000","563,188,000","625,110,000","529,539,000","565,222,000","329,009,000","332,331,000","281,316,000","274,705,000","318,076,000","251,328,000","251,562,000","249,642,000","252,186,000","223,906,000","196,023,000","196,700,000","190,532,000","169,547,000","125,885,000","137,261,000","144,295,000","128,600,000","122,281,000","129,649,000","113,080,000","104,069,000","107,333,000","101,860,000","95,267,000"
	OperatingRevenue,"4,342,000,000","1,091,400,000","1,024,300,000","1,075,100,000","1,151,200,000","982,800,000","974,800,000","1,074,900,000","1,410,300,000","1,031,300,000","1,170,500,000","1,180,100,000","1,082,700,000","1,086,600,000","889,400,000","1,046,100,000","1,094,500,000","886,300,000","878,800,000","913,000,000","913,100,000","892,300,000","829,100,000","892,800,000","920,100,000","799,700,000","836,100,000","806,100,000","827,500,000","823,700,000","750,300,000","719,300,000","762,000,000","674,100,000","696,800,000","792,500,000","695,600,000","647,200,000","668,200,000","777,000,000","774,600,000","812,100,000","851,700,000","838,300,000","831,600,000","686,300,000","733,400,000","813,900,000","693,200,000","593,800,000","650,400,000","647,800,000","647,100,000","691,769,000","680,952,000","563,188,000","625,110,000","529,539,000","565,222,000","329,009,000","332,331,000","299,197,000","268,294,000","281,990,000","251,328,000","222,122,000","225,098,000","231,723,000","208,187,000","182,169,000","188,979,000","183,821,000","162,993,000","123,237,000","134,820,000","144,295,000","128,600,000","122,281,000","129,649,000","113,080,000","104,069,000","133,113,000","89,996,000","87,755,000"
CostOfRevenue,"837,000,000","201,700,000","198,600,000","211,700,000","225,000,000","215,600,000","216,400,000","217,000,000","207,500,000","217,600,000","223,500,000","227,300,000","230,300,000","205,500,000","151,400,000","156,700,000","158,600,000","145,400,000","147,500,000","145,300,000","148,600,000","153,700,000","137,500,000","138,000,000","138,600,000","141,000,000","143,500,000","148,100,000","148,900,000","152,500,000","139,900,000","148,000,000","143,700,000","135,200,000","143,200,000","137,500,000","138,300,000","-13,600,000","165,800,000","194,200,000","190,400,000","175,700,000","173,200,000","172,400,000","174,900,000","177,700,000","158,800,000","151,900,000","152,300,000","135,200,000","128,000,000","133,600,000","99,100,000","111,887,000","108,006,000","104,556,000","119,806,000","102,450,000","106,253,000","74,224,000","27,143,000","104,150,000","67,309,000","63,656,000",,"18,166,000","17,511,000","14,334,000",,,,"40,630,000","40,580,000",,,,"30,205,000","22,887,000","5,881,000","5,308,000","9,210,000",,,
GrossProfit,"3,852,700,000","945,600,000","911,300,000","967,500,000","1,028,300,000","882,900,000","864,300,000","965,300,000","1,314,600,000","920,800,000","1,053,800,000","1,045,400,000","949,300,000","1,031,100,000","752,800,000","902,900,000","950,400,000","754,600,000","743,300,000","779,300,000","780,700,000","759,200,000","704,200,000","768,400,000","795,600,000","672,800,000","706,800,000","671,900,000","693,800,000","688,600,000","622,500,000","583,600,000","633,700,000","551,800,000","571,400,000","678,600,000","580,300,000","674,500,000","517,400,000","601,700,000","584,200,000","560,800,000","701,000,000","665,900,000","656,700,000","585,500,000","574,600,000","662,000,000","540,900,000","532,300,000","522,400,000","514,200,000","548,000,000","579,882,000","572,946,000","458,632,000","505,304,000","427,089,000","458,969,000","254,785,000","305,188,000","177,166,000","207,396,000","254,420,000",,"233,396,000","232,131,000","237,852,000",,,,"149,902,000","128,967,000",,,,"98,395,000","99,394,000","123,768,000","107,772,000","94,859,000",,,
OperatingExpense,"1,207,500,000","313,900,000","297,600,000","292,800,000","303,200,000","367,900,000","339,300,000","327,800,000","354,700,000","347,800,000","368,600,000","346,800,000","318,300,000","381,200,000","202,900,000","236,000,000","209,500,000","217,300,000","175,400,000","173,700,000","179,500,000","219,000,000","178,900,000","205,100,000","221,700,000","202,900,000","190,400,000","176,800,000","186,500,000","217,100,000","192,100,000","171,600,000","179,200,000","228,600,000","170,900,000","170,800,000","174,800,000","298,900,000","121,400,000","132,500,000","133,000,000","30,000,000","128,900,000","131,400,000","132,600,000","127,200,000","131,700,000","147,100,000","126,500,000","129,700,000","120,400,000","114,000,000","158,400,000","159,253,000","152,126,000","114,936,000","104,863,000","92,916,000","109,442,000","55,809,000","98,234,000","18,911,000","50,434,000","45,357,000","112,875,000","88,988,000","88,509,000","88,583,000","96,048,000","42,491,000","92,510,000","50,097,000","48,380,000","35,921,000","82,129,000","83,021,000","52,057,000","49,721,000","83,023,000","66,125,000","63,292,000","46,496,000","65,387,000","71,175,000"
	SellingGeneralAndAdministration,"581,200,000","138,500,000","152,100,000","140,300,000","150,300,000","161,500,000","154,200,000","155,700,000","163,300,000","144,200,000","141,500,000","135,100,000","127,000,000","107,000,000","103,900,000","111,300,000","131,700,000","114,900,000","106,400,000","98,900,000","101,200,000","112,500,000","101,900,000","113,900,000","109,400,000","104,000,000","105,400,000","96,100,000","98,100,000","105,300,000","96,200,000","101,000,000","95,700,000","104,600,000","93,900,000","87,600,000","74,000,000","216,100,000","38,000,000","42,000,000","41,000,000","40,800,000","41,100,000","37,600,000","42,900,000","37,000,000","37,500,000","41,400,000","41,600,000","40,700,000","40,300,000","39,800,000","41,700,000","68,112,000","55,171,000","45,334,000","54,338,000","42,532,000","41,164,000","35,381,000","78,245,000","17,971,000","26,108,000","27,761,000","95,488,000","72,189,000","71,253,000","72,512,000","81,257,000","28,549,000","78,955,000","36,981,000","35,585,000","22,768,000","68,798,000","69,700,000","38,846,000","36,716,000","70,670,000","53,788,000","52,478,000","196,655,000","2,055,000","788,000"
		GeneralAndAdministrativeExpense,"581,200,000","138,500,000","152,100,000","140,300,000","150,300,000","161,500,000","154,200,000","155,700,000","163,300,000","144,200,000","141,500,000","135,100,000","127,000,000","107,000,000","103,900,000","111,300,000","131,700,000","114,900,000","106,400,000","98,900,000","101,200,000","112,500,000","101,900,000","113,900,000","109,400,000","104,000,000","105,400,000","96,100,000","98,100,000","105,300,000","96,200,000","101,000,000","95,700,000","104,600,000","93,900,000","87,600,000","74,000,000","80,200,000",,,,,,,,,"196,300,000","193,300,000","193,900,000",,,,,,,,,,,"28,265,000",,"12,824,000","21,598,000","23,774,000",,,,,,,,"34,514,000",,,,"68,166,000",,,,,,,,
			SalariesAndWages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"110,400,000","103,100,000","98,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28,132,000","25,147,000"
			RentAndLandingFees,,,,,,,,,,,,,,,"21,000,000","20,200,000","20,000,000","21,100,000","19,800,000","19,200,000","20,100,000","21,400,000","19,600,000","24,400,000","21,300,000","23,100,000","23,100,000","23,500,000","22,800,000","25,700,000","24,700,000","23,200,000","23,200,000","21,600,000","19,200,000","19,000,000","18,500,000","19,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"581,200,000","138,500,000","152,100,000","140,300,000","150,300,000","161,500,000","154,200,000","155,700,000","163,300,000","144,200,000","141,500,000","135,100,000","127,000,000","168,200,000","82,900,000","91,100,000","111,700,000","93,800,000","86,600,000","79,700,000","81,100,000","91,100,000","82,300,000","89,500,000","88,100,000","80,900,000","82,300,000","72,600,000","75,300,000","79,600,000","71,500,000","77,800,000","72,500,000","83,000,000","74,700,000","68,600,000","55,500,000","61,000,000",,,,,,,,,"85,900,000","90,200,000","95,100,000",,,,,,,,,,,"28,265,000",,"12,824,000","21,598,000","23,774,000",,,,,,,,"34,514,000",,,,"68,166,000",,,,,,,"-28,132,000","-25,147,000"
