name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993
				AmortizationOfIntangiblesIncomeStatement,"879,400,000","215,700,000","215,700,000","215,600,000","232,400,000","231,600,000","232,900,000","235,400,000","248,500,000","248,700,000","248,200,000","248,500,000","176,900,000","193,700,000","169,900,000","133,700,000","122,739,000","121,003,000","120,913,000","120,845,000","94,311,000","82,791,000","80,394,000","80,171,000","48,132,000","48,312,000","43,840,000","34,612,000","47,087,000","47,582,000","45,433,000","36,644,000","21,309,000","21,804,000","23,744,000","27,677,000","39,922,000","39,711,000","27,858,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,238,000",,"500,000",,,,,"26,763,000",,,,,,,,,,"0",,,"21,100,000","0","-747,000",,"1,612,000","0",,"41,500,000",,,,,,,,,,"0",,,,"23,437,000",,,"5,500,000","0","5,000,000",,,,,,,,,,,,,,,,,,
OperatingIncome,"1,621,300,000","514,700,000","426,500,000","379,300,000","300,800,000","249,900,000","230,500,000","218,600,000","177,900,000","149,000,000","187,200,000","179,700,000","261,400,000","193,400,000","120,900,000","172,400,000","244,245,000","245,442,000","245,271,000","218,842,000","200,173,000","139,018,000","72,303,000","-37,069,000","80,716,000","71,114,000","81,596,000","122,876,000","111,105,000","99,012,000","102,093,000","116,250,000","126,570,000","117,719,000","117,497,000","100,102,000","63,935,000","19,972,000","30,488,000","96,333,000","95,406,000","87,467,000","97,620,000","116,860,000","124,547,000","118,099,000","123,701,000","107,107,000","88,487,000","72,568,000","52,726,000","31,178,000","25,475,000","40,474,000","87,181,000","86,632,000","108,495,000","79,240,000","55,674,000","85,019,000","85,289,000","81,482,000","91,359,000","89,681,000","89,452,000","84,588,000","79,295,000","73,029,000","68,120,000","65,622,000","75,051,000","49,854,000","59,336,000","53,852,000","47,594,000","10,512,000","39,302,000","49,174,000","4,545,000","40,396,000","33,645,000","29,861,000","30,536,000","28,429,000","21,994,000","56,098,000","56,015,000","48,034,000","41,030,000","35,769,000","31,049,000","27,582,000","2,884,000","25,120,000","24,664,000","17,488,000","19,344,000","17,583,000","25,563,000","23,955,000","22,204,000","20,791,000","18,517,000","17,089,000","18,100,000","19,500,000","18,100,000","16,200,000","14,400,000","13,000,000","11,800,000","10,300,000","8,500,000","7,200,000","5,200,000","3,100,000"
NetNonOperatingInterestIncomeExpense,"-275,800,000","-62,000,000","-64,700,000","-72,000,000","-77,100,000","-86,300,000","-93,000,000","-98,800,000","-114,900,000","-119,100,000","-128,600,000","-131,900,000","-135,400,000","-136,900,000","-137,700,000","-84,700,000","-42,748,000","-43,438,000","-44,850,000","-45,964,000","-40,347,000","-34,642,000","-34,681,000","-33,597,000","-20,978,000","-20,830,000","-19,239,000","-18,524,000","-14,784,000","-9,299,000","-9,488,000","-8,936,000","-7,652,000","-8,304,000","-8,344,000","-7,931,000","-6,261,000","-7,264,000","-7,014,000","-4,816,000","-2,762,000","-4,620,000","-4,883,000","-4,009,000","-4,434,000","-3,717,000","-3,975,000","-3,393,000","-5,240,000","-2,817,000","-3,551,000","-4,217,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"1,400,000","100,000","100,000","300,000","900,000","200,000","300,000","300,000","500,000","600,000","1,000,000","700,000","800,000","700,000","900,000","5,700,000","7,559,000","6,306,000","4,609,000","3,526,000","1,314,000","501,000","445,000","819,000","5,837,000","6,677,000","6,405,000","5,528,000","5,330,000","4,924,000","4,531,000","4,742,000","4,309,000","4,241,000","4,010,000","3,925,000","3,671,000","3,813,000","3,744,000","4,332,000","5,584,000","4,374,000","4,028,000","4,006,000","3,631,000","3,955,000","4,070,000","4,346,000","2,598,000","4,946,000","4,479,000","3,302,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"303,100,000","46,800,000","64,800,000","72,300,000","78,000,000","86,500,000","93,300,000","99,100,000","115,400,000","119,700,000","129,600,000","132,600,000","136,200,000","137,600,000","138,600,000","90,400,000","50,307,000","49,744,000","49,459,000","49,490,000","41,661,000","35,143,000","35,126,000","34,416,000","26,815,000","27,507,000","25,644,000","24,052,000","20,114,000","14,223,000","14,019,000","13,678,000","11,961,000","12,545,000","12,354,000","11,856,000","9,932,000","11,077,000","10,758,000","9,148,000","8,346,000","8,994,000","8,911,000","8,015,000","8,065,000","7,672,000","8,045,000","7,739,000","7,838,000","7,763,000","8,030,000","7,519,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	TotalOtherFinanceCost,,"15,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-197,800,000","-11,200,000","-97,000,000","-10,300,000","-79,300,000","-146,800,000","-48,700,000","-30,300,000","-17,200,000","-19,300,000","-5,100,000","-7,300,000","25,200,000","-1,500,000","-22,600,000","-50,000,000","-13,288,000","-5,354,000","-14,185,000","-6,673,000","-88,024,000","-20,878,000","-12,388,000","-20,081,000","-2,125,000","-126,000","-8,400,000","15,213,000","-34,300,000","-3,522,000","-1,901,000","-323,000","-694,000","3,173,000","2,053,000","-1,835,000","-8,172,000","-3,016,000","-21,355,000","-653,000","-722,000","830,000","-2,467,000","975,000","-84,000","9,000","1,272,000","-1,028,000","750,000","128,000","2,107,000","5,694,000","5,674,000","-20,878,000","1,671,000","2,745,000","1,356,000","205,000","-26,711,000","822,000","-140,000","260,000","16,000","176,000","463,000","374,000","77,000","1,121,000","713,000","-342,000","421,000","-20,135,000","1,606,000","731,000","36,000","-1,275,000","711,000","-27,000","-41,297,000","-9,316,000","-73,000","86,000","20,000","343,000","-17,505,000","1,129,000","209,000","126,000","258,000","40,000","365,000","107,000","-23,358,000","38,000","229,000","-5,170,000","137,000","-5,089,000","156,000","13,000","7,000","186,000","134,000","-7,583,000","1,100,000","-10,800,000","400,000","500,000","1,000,000","300,000","200,000","400,000","500,000","400,000","100,000","300,000"
	EarningsFromEquityInterest,"0",,,,,,,,"0","0","0","0","0","-100,000","-100,000","-100,000","-33,000","-56,000","-56,000","-55,000","-55,000","-55,000","-56,000","-56,000","-56,000","-56,000","-56,000","-177,000","-188,000","-62,000","-35,000","-32,000","34,000","150,000","-101,000","-260,000","-235,000","-229,000","-32,000","-121,000","-135,000","14,000","-13,000","-61,000","-28,000","280,000","-43,000","-52,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,"-200,400,000","-15,800,000","-95,400,000","-10,800,000","-78,400,000","-146,400,000","-49,400,000","-27,100,000","-20,600,000","-17,800,000","-3,700,000","-10,000,000","15,000,000","1,100,000","-22,300,000","-40,100,000","-222,000","-2,336,000","-19,872,000","-11,070,000","-89,965,000","-20,944,000","-9,543,000","-22,035,000","-770,000","5,018,000","-6,648,000","-1,557,000","-51,389,000","-1,003,000","-775,000","-304,000","-533,000","-801,000","11,000","-1,701,000","-7,222,000","-2,559,000","-21,323,000","-532,000","-587,000","816,000","-2,454,000","1,036,000","-56,000","-271,000","1,315,000","-976,000","750,000","128,000","2,107,000","5,694,000","5,674,000","-20,878,000","1,671,000","2,745,000","1,356,000","205,000","-26,711,000","822,000","-140,000","260,000","16,000","176,000","463,000","374,000","77,000","1,121,000","713,000","-342,000","421,000","-20,135,000","1,606,000","731,000","36,000","-1,275,000","711,000","-27,000","-41,297,000","-9,316,000","-73,000","86,000","20,000","343,000","-17,505,000","1,129,000","209,000","126,000","258,000","40,000","365,000","107,000","-23,358,000","38,000","229,000","-5,170,000","137,000","-5,089,000","156,000","13,000","7,000","186,000","134,000","-7,583,000","1,100,000","-10,800,000","400,000","500,000","1,000,000","300,000","200,000","400,000","500,000","400,000","100,000","300,000"
