name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992
				AmortizationOfIntangiblesIncomeStatement,"30,591,000","7,738,000","7,707,000","7,701,000","7,445,000","7,689,000","8,243,000","8,220,000","8,272,000","8,556,000","18,480,000","23,437,000","22,794,000","15,840,000","12,867,000","11,611,000","11,673,000","11,317,000","11,783,000","11,769,000","11,378,000","11,690,000","11,741,000","12,629,000","4,558,000","4,429,000","2,307,000","2,110,000","2,203,000","2,262,000","2,094,000","2,408,000","2,459,000","2,454,000","2,412,000","2,471,000","2,533,000","2,501,000","2,636,000","2,919,000","3,592,000","3,691,000","3,771,000","2,870,000","2,673,000","2,573,000","2,030,000","2,074,000","1,992,000","2,130,000","1,845,000","1,756,000","1,677,000","1,694,000","1,933,000","2,066,000","1,987,000","1,917,000","1,821,000","1,783,000","1,730,000","1,702,000","1,681,000","1,666,000","1,570,000","1,545,000","1,545,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24,765,000",,,,,,,,,,,,,,,,,,"1,000,000",,,,,,,,,,,,,,"0",,,,,,,,,,,"100,000","103,667,000","1,000,000",,,,"-1,965,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"975,690,000","248,711,000","261,913,000","241,638,000","223,426,000","230,389,000","216,896,000","223,247,000","217,500,000","197,209,000","171,102,000","171,676,000","156,977,000","163,201,000","144,132,000","154,394,000","147,295,000","146,016,000","112,558,000","127,361,000","115,342,000","119,884,000","94,146,000","118,637,000","104,312,000","114,891,000","98,025,000","99,547,000","105,868,000","109,146,000","94,675,000","104,812,000","104,698,000","105,020,000","96,884,000","86,166,000","96,099,000","92,070,000","80,489,000","89,730,000","77,548,000","67,254,000","60,874,000","65,697,000","63,962,000","69,873,000","67,394,000","65,619,000","62,179,000","58,922,000","53,663,000","60,399,000","52,518,000","43,330,000","36,564,000","34,986,000","39,450,000","36,851,000","34,061,000","36,048,000","-21,892,000","40,692,000","35,316,000","37,767,000","36,745,000","32,444,000","25,469,000","29,672,000","28,606,000","26,567,000","22,928,000","24,523,000","22,491,000","19,393,000","18,954,000","18,551,000","17,106,000","16,072,000","15,511,000","-90,013,000","12,571,000","13,446,000","13,187,000","6,933,000","14,144,000","9,792,000","9,107,000","8,895,000","8,257,000","8,500,000","7,400,000","7,200,000","6,800,000","6,000,000","5,300,000","5,600,000","4,400,000","4,700,000","2,600,000","2,600,000","2,200,000","1,900,000","1,500,000","1,200,000","1,100,000","7,900,000","6,700,000","-14,000,000","5,600,000","5,600,000","5,600,000","-9,200,000","3,500,000","3,500,000","3,500,000","-5,000,000","1,900,000","1,900,000","1,900,000"
NetNonOperatingInterestIncomeExpense,"-22,418,000","-5,948,000","-5,360,000","-5,286,000","-5,823,000","-5,792,000","-6,725,000","-8,942,000","-9,852,000","-10,018,000","-10,543,000","-12,263,000","-11,998,000","-6,809,000","-2,786,000","-2,781,000","-3,491,000","-2,791,000","-2,915,000","-3,310,000","-2,911,000","-2,437,000","-2,493,000","-2,374,000","2,131,000","2,476,000","3,422,000","4,665,000","4,761,000","5,418,000","5,584,000","5,925,000","6,015,000","6,752,000","6,414,000","7,439,000","8,078,000","8,498,000","8,471,000","7,326,000","7,650,000","7,181,000","6,924,000","8,278,000","6,663,000","6,005,000","5,097,000","4,646,000","4,092,000","3,166,000","2,125,000","2,090,000","2,218,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,,,,"59,000","55,000","132,000","117,000","255,000","116,000","202,000","449,000","285,000","415,000","678,000","922,000","2,701,000","4,228,000","4,579,000","4,870,000",,,,,,,,,,,,,,,,,,,,,,"7,650,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,,,,"5,345,000","5,878,000","5,924,000","6,842,000","9,197,000","9,968,000","10,220,000","10,992,000","12,548,000","12,413,000","7,487,000","3,708,000","5,482,000","7,719,000","7,370,000","7,785,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	TotalOtherFinanceCost,"39,356,000","5,948,000","5,360,000","5,286,000","5,823,000","5,792,000","6,725,000","8,942,000","9,852,000","10,018,000","10,543,000","12,264,000","11,998,000","6,809,000","2,786,000","2,780,000","3,491,000","2,791,000","2,915,000","3,310,000","2,911,000","2,437,000","2,493,000","2,374,000","-2,131,000","-2,476,000","-3,422,000","-4,666,000","-4,761,000","-5,418,000","-5,584,000","-5,925,000","-6,015,000","-6,752,000","-6,414,000","-7,439,000","-8,078,000","-8,498,000","-8,471,000","-7,326,000","-7,650,000","-7,181,000","-6,924,000","-8,278,000","-6,663,000","-6,005,000","-5,097,000","-4,646,000","-4,092,000","-3,166,000","-2,125,000","-2,090,000","-2,218,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"18,000","-5,477,000","2,235,000","2,859,000","402,000","-14,005,000","5,683,000","-2,211,000","-15,993,000","-8,439,000","-9,972,000","-63,648,000","-7,050,000","-10,119,000","-2,465,000","-10,695,000","-13,661,000","-1,460,000","-1,158,000","-2,429,000","-4,441,000","-21,240,000","1,272,000","1,169,000","2,553,000","-3,672,000","-2,003,000","-96,000","3,729,000","947,000","1,671,000","-4,102,000","2,199,000","-2,311,000","-1,228,000","-5,778,000","3,815,000","-2,168,000","1,941,000","1,453,000","-1,191,000","8,496,000","-1,301,000","3,234,000","398,000","3,043,000","4,063,000","1,663,000","1,387,000","1,009,000","2,118,000","-108,000","-1,142,000","-15,000","-1,068,000","1,526,000","1,845,000","-358,000","-2,563,000","2,509,000","-669,000","67,000","-574,000","-1,457,000","153,000","857,000","-665,000","-6,204,000","-1,919,000","-279,000","-1,937,000","-952,000","211,000","1,883,000","-652,000","1,786,000","1,406,000","-127,000","-729,000","4,487,000","-567,000","-79,000","117,000","683,000","-17,779,000","570,000","883,000","328,000","533,000","-500,000","-100,000","-900,000","-100,000",,"-500,000","-1,100,000","400,000","-1,100,000","700,000","400,000","600,000","600,000","1,100,000","1,200,000","800,000",,,,,,,,,,,,,,
	GainOnSaleOfSecurity,"1,331,000",,"5,612,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	EarningsFromEquityInterest,"-13,145,000","-6,318,000","4,226,000","-1,310,000","-4,969,000","-2,640,000","-2,288,000","-5,976,000","-5,295,000","-6,924,000","-6,863,000","-6,462,000","-5,996,000","-3,375,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
