name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,12/31/2004,09/30/2004
			NetIncomeContinuousOperations,"1,260,000,000","859,000,000","-91,000,000","317,000,000","175,000,000","119,000,000","4,000,000","218,000,000","91,000,000","94,000,000","114,000,000","320,000,000","118,000,000","95,000,000","71,000,000","174,000,000","88,000,000","503,000,000","-68,000,000","24,000,000","-9,000,000","-288,000,000","0","83,000,000","47,000,000","36,000,000","97,400,000","364,800,000","235,900,000","251,100,000","140,600,000","324,700,000","720,400,000","341,400,000","243,900,000","518,100,000","429,400,000","355,300,000","458,100,000","678,300,000","431,700,000","502,200,000","382,400,000","543,800,000","332,600,000","226,700,000","71,200,000","136,600,000","6,200,000","57,300,000","60,000,000","248,200,000","83,000,000","190,100,000","47,100,000","288,600,000","158,800,000","135,400,000","86,500,000","93,600,000","57,200,000","8,000,000","7,300,000","42,600,000","-24,600,000","-9,962,000","-91,388,000","32,575,000","33,225,000","8,899,000"
		MinorityInterests,"-343,000,000","-154,000,000","-94,000,000","-71,000,000","-24,000,000","-32,000,000","-32,000,000","-28,000,000","-23,000,000","-39,000,000","-49,000,000","-37,000,000","-28,000,000","-46,000,000","-41,000,000","-26,000,000","-25,000,000","-38,000,000","-19,000,000","-21,000,000","-14,000,000","-32,000,000","-30,000,000","-36,000,000","-21,000,000","-9,500,000","-6,500,000","-12,900,000","-5,300,000","-12,800,000","-9,700,000","-12,100,000","-11,900,000","-15,600,000","-9,800,000","-19,900,000","-22,900,000","115,400,000","-54,800,000","-72,000,000","-63,300,000","-63,300,000","-51,500,000","-56,400,000","-50,600,000","-26,400,000","-23,000,000","-31,500,000","-10,600,000","-5,900,000","-21,500,000","-35,200,000","-20,300,000","-49,800,000","-29,500,000","-19,100,000","-18,500,000","-16,400,000","-11,600,000","-19,600,000","-7,000,000","-1,700,000","-4,800,000","-16,400,000","-5,900,000","878,000","-6,313,000","-6,183,000","-38,255,000","5,403,000"
DilutedNIAvailtoComStockholders,"917,000,000","705,000,000","-185,000,000","246,000,000","151,000,000","87,000,000","-28,000,000","190,000,000","68,000,000","55,000,000","65,000,000","283,000,000","90,000,000","49,000,000","30,000,000","148,000,000","63,000,000","465,000,000","-87,000,000","3,000,000","-23,000,000","-320,000,000","-30,000,000","47,000,000","26,000,000","26,500,000","90,900,000","351,900,000","230,600,000","238,300,000","130,900,000","312,600,000","708,500,000","325,800,000","234,100,000","498,200,000","406,500,000","470,700,000","403,300,000","606,300,000","368,400,000","438,900,000","330,900,000","487,400,000","282,000,000","200,300,000","48,200,000","105,100,000","-4,400,000","51,400,000","38,500,000","213,000,000","62,700,000","190,100,000","47,100,000","288,600,000","158,800,000","135,400,000","86,500,000","93,600,000","57,200,000","8,000,000","7,300,000","42,600,000","-24,600,000","-12,762,000","-91,388,000","32,575,000","18,115,000","14,302,000"
BasicEPS,,"3.29","-0.86","1.14","0.7","0.4","-0.13","0.89","0.31","0.26","0.29","1.28","0.4","0.21","0.13","0.63","0.27","1.99","-0.37","0.01","-0.1","-1.38","-0.13","0.2","0.11","0.11","0.39","1.5","0.962","0.966","0.526","1.224","2.588","1.146","0.818","1.686","1.306","1.496","1.286","1.884","1.124","1.342","0.954","1.362","0.79",,"0.136","0.312","-0.018",,"0.158","0.88","0.258",,"0.168","1.026","0.566",,"0.31","0.338","0.208",,"0.026","0.154","-0.09",,"-0.362","0.118",,"0.052"
DilutedEPS,,"3.27","-0.86","1.14","0.7","0.4","-0.13","0.89","0.31","0.25","0.29","1.28","0.4","0.21","0.13","0.63","0.27","1.98","-0.37","0.01","-0.1","-1.38","-0.13","0.2","0.11","0.11","0.39","1.49","0.958","0.964","0.524","1.22","2.58","1.142","0.814","1.676","1.294","1.48","1.27","1.862","1.108","1.332","0.946","1.35","0.782",,"0.134","0.308","-0.018",,"0.156","0.866","0.256",,"0.164","1.004","0.554",,"0.304","0.33","0.204",,"0.026","0.154","-0.09",,"-0.362","0.118",,"0.052"
BasicAverageShares,,"214,000,000","214,900,000","215,500,000","214,900,000","214,500,000","213,900,000","214,500,000","216,000,000","217,500,000","219,000,000","221,100,000","223,400,000","229,100,000","233,500,000","234,000,000","233,900,000","233,500,000","233,200,000","233,500,000","233,100,000","233,100,000","233,100,000","233,300,000","233,200,000","233,100,000","233,100,000","235,200,000","239,500,000","246,500,000","248,500,000","255,500,000","274,000,000","284,500,000","286,500,000","295,500,000","311,500,000","314,500,000","314,000,000","321,500,000","327,500,000","327,000,000","347,000,000","358,000,000","356,500,000",,"355,500,000","337,000,000","243,000,000",,"242,500,000","242,000,000","242,000,000",,"282,000,000","281,000,000","281,000,000",,"278,000,000","277,000,000","275,500,000",,"275,000,000","275,000,000","275,000,000",,"275,000,000","275,000,000",,"275,000,000"
DilutedAverageShares,,"215,500,000","214,900,000","216,600,000","216,000,000","214,900,000","213,900,000","214,600,000","216,600,000","219,000,000","220,700,000","222,300,000","224,600,000","230,600,000","235,200,000","234,900,000","234,800,000","234,100,000","233,200,000","233,700,000","233,100,000","233,100,000","233,100,000","233,500,000","233,500,000","233,800,000","234,000,000","236,100,000","240,500,000","247,500,000","249,500,000","256,000,000","274,500,000","285,500,000","287,500,000","297,500,000","314,000,000","318,000,000","317,500,000","326,000,000","332,500,000","329,500,000","349,500,000","361,000,000","360,500,000",,"359,500,000","341,000,000","243,000,000",,"246,500,000","246,000,000","245,500,000",,"287,500,000","287,500,000","287,000,000",,"284,500,000","283,000,000","281,000,000",,"275,000,000","275,000,000","275,000,000",,"275,000,000","275,000,000",,"275,000,000"
TotalOperatingIncomeAsReported,"1,729,000,000","1,129,000,000","-97,000,000","450,000,000","247,000,000","156,000,000","40,000,000","280,000,000","147,000,000","175,000,000","188,000,000","475,000,000","165,000,000","195,000,000","136,000,000","274,000,000","161,000,000","104,000,000","-39,000,000","107,000,000","57,000,000","-100,000,000","-101,000,000","238,000,000","97,000,000","137,100,000","58,500,000","630,300,000","367,200,000","418,800,000","246,600,000","531,300,000","1,169,800,000","564,800,000","385,400,000","833,700,000","627,800,000","655,600,000","656,900,000","991,200,000","671,200,000","869,800,000","567,300,000","844,700,000","534,400,000","435,000,000","136,800,000","350,400,000","-26,500,000","71,100,000","89,800,000","395,200,000","123,700,000","343,900,000","102,600,000","452,100,000","251,600,000","214,200,000","137,900,000","159,400,000","90,100,000","10,900,000","12,300,000","85,300,000","-37,200,000","-22,029,000","35,180,000","61,375,000","41,351,000","32,328,000"
TotalExpenses,"4,354,000,000","1,414,000,000","979,000,000","1,149,000,000","812,000,000","963,000,000","809,000,000","927,000,000","827,000,000","949,000,000","836,000,000","1,028,000,000","843,000,000","951,000,000","909,000,000","1,044,000,000","803,000,000","1,003,000,000","904,000,000","1,011,000,000","983,000,000","698,000,000","779,000,000","722,000,000","893,000,000","863,200,000","837,100,000","685,900,000","596,100,000","793,900,000","684,200,000","943,500,000","725,700,000","797,500,000","722,800,000","890,700,000","720,300,000","845,600,000","702,500,000","744,000,000","871,900,000","848,400,000","835,700,000","966,000,000","637,500,000","798,900,000","771,700,000","948,200,000","528,900,000","435,600,000","340,300,000","580,500,000","556,900,000","728,100,000","918,200,000","708,900,000","415,700,000","638,300,000","445,000,000","689,500,000","357,600,000","495,300,000","365,700,000","579,500,000","437,700,000","485,014,000","324,250,000","481,618,000","437,242,000","294,366,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"917,000,000","705,000,000","-185,000,000","246,000,000","151,000,000","87,000,000","-28,000,000","190,000,000","68,000,000","55,000,000","65,000,000","283,000,000","90,000,000","49,000,000","30,000,000","148,000,000","63,000,000","465,000,000","-87,000,000","3,000,000","-23,000,000","-320,000,000","-30,000,000","47,000,000","26,000,000","26,500,000","90,900,000","351,900,000","230,600,000","238,300,000","130,900,000","312,600,000","708,500,000","325,800,000","234,100,000","498,200,000","406,500,000","470,700,000","403,300,000","606,300,000","368,400,000","438,900,000","330,900,000","487,400,000","282,000,000","200,300,000","48,200,000","105,100,000","-4,400,000","51,400,000","38,500,000","213,000,000","62,700,000","190,100,000","47,100,000","288,600,000","158,800,000","135,400,000","86,500,000","93,600,000","57,200,000","8,000,000","7,300,000","42,600,000","-24,600,000","-9,962,000","-91,388,000","32,575,000","18,115,000","14,302,000"
NormalizedIncome,"1,342,657,000","710,541,935.484","148,756,000","246,000,000","156,442,000","87,000,000","-28,000,000","190,000,000","68,000,000","55,000,000","65,000,000","283,000,000","90,000,000","49,000,000","30,000,000","148,000,000","63,000,000","502,200,000","-87,000,000","3,000,000","-23,000,000","-60,370,149.254","-30,000,000","146,000,000","36,542,000","62,800,000","113,340,000","351,900,000","230,600,000","251,023,081.009","130,900,000","312,600,000","234,838,600","325,800,000","234,100,000","498,200,000","406,500,000","488,965,000","403,164,400","606,164,400","368,400,000","439,030,000","331,364,929.168","490,676,073.62","283,170,000","202,575,000","53,465,000","122,325,000","-22,795,000","51,400,000","38,500,000","222,560,980.541","62,700,000","188,798,957.282","50,290,789.474","287,069,612.508","157,060,885.609","135,985,348.162","84,151,583.71","93,341,614.907","56,871,264.368","21,376,000","7,167,272.727","42,539,402.56","-24,660,294.118","-8,625,800","-75,482,600","32,473,591.368","18,115,000","14,302,000"
InterestIncome,"1,000,000","1,000,000","0","0","0","14,000,000","0","17,000,000","5,000,000","8,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","2,000,000","3,000,000","4,000,000","5,000,000","2,000,000","1,000,000","1,000,000","2,000,000","1,000,000","1,000,000","400,000","600,000","200,000","400,000","200,000","200,000","300,000","200,000","600,000","1,000,000","1,400,000","2,100,000","2,300,000","1,600,000","0","400,000","200,000","300,000","900,000","300,000","500,000","300,000","400,000","300,000","400,000","2,100,000","700,000","1,300,000",,,,,,,,,,,,,,,,,
InterestExpense,"175,000,000","42,000,000","43,000,000","44,000,000","46,000,000","50,000,000","46,000,000","47,000,000","46,000,000","52,000,000","59,000,000","56,000,000","57,000,000","58,000,000","56,000,000","57,000,000","57,000,000","71,000,000","76,000,000","76,000,000","76,000,000","53,000,000","25,000,000","29,000,000","34,000,000","35,500,000","21,800,000","26,600,000","32,500,000","38,700,000","44,100,000","48,300,000","36,500,000","35,800,000","37,100,000","28,700,000","35,600,000","-1,700,000","28,700,000","45,300,000","30,900,000","32,200,000","32,100,000","30,800,000","52,100,000","50,700,000","58,300,000","111,900,000","400,000","400,000","400,000","300,000","400,000",,,,,,,,,,,,,,,,,
NetInterestIncome,"-183,000,000","-43,000,000","-46,000,000","-46,000,000","-48,000,000","-38,000,000","-48,000,000","-32,000,000","-43,000,000","-47,000,000","-59,000,000","-55,000,000","-56,000,000","-57,000,000","-55,000,000","-59,000,000","-57,000,000","-70,000,000","-76,000,000","-78,000,000","-79,000,000","-69,000,000","-29,000,000","-60,000,000","-37,000,000","-39,600,000","-29,700,000","-28,800,000","-33,500,000","-40,900,000","-46,200,000","-50,400,000","-39,800,000","-39,200,000","-40,000,000","-31,300,000","-37,000,000","-28,100,000","-27,100,000","-45,300,000","-30,500,000","-32,000,000","-31,800,000","-29,900,000","-51,800,000","-50,200,000","-58,000,000","-111,500,000","-100,000","0","1,700,000","400,000","900,000",,,,,,,,,,,,,,,,,
EBIT,"1,718,000,000","1,127,000,000","-94,000,000","446,000,000","239,000,000","167,000,000","37,000,000","298,000,000","150,000,000","159,000,000","192,000,000","478,000,000","167,000,000","199,000,000","139,000,000","275,000,000","162,000,000","54,000,000","-39,000,000","105,000,000","54,000,000","-282,000,000","-106,000,000","207,000,000","96,000,000","133,800,000","46,400,000","627,600,000","366,200,000","415,200,000","244,600,000","528,500,000","1,166,600,000","561,000,000","382,800,000","831,400,000","571,700,000","586,500,000","668,900,000","1,005,600,000","671,700,000","829,300,000","582,700,000","845,800,000","535,000,000","435,700,000","137,600,000","333,600,000","2,100,000","83,900,000","91,900,000","396,000,000","125,300,000","343,900,000","102,600,000","452,100,000","251,600,000","214,200,000","137,900,000","159,400,000","90,100,000","10,900,000","12,300,000","85,300,000","-37,200,000","-22,029,000","35,180,000","61,375,000","41,351,000","32,328,000"
EBITDA,"2,606,000,000"
ReconciledCostOfRevenue,"4,151,000,000","1,385,000,000","922,000,000","1,085,000,000","759,000,000","922,000,000","764,000,000","870,000,000","767,000,000","822,000,000","810,000,000","1,003,000,000","781,000,000","890,000,000","867,000,000","988,000,000","767,000,000","956,000,000","861,000,000","952,000,000","931,000,000","773,000,000","678,000,000","607,000,000","787,000,000","835,400,000","762,400,000","625,600,000","537,800,000","772,200,000","620,300,000","882,400,000","689,800,000","732,500,000","710,900,000","849,700,000","661,400,000","825,200,000","657,400,000","692,300,000","815,800,000","853,200,000","765,800,000","934,300,000","649,000,000","753,700,000","747,300,000","911,100,000","373,400,000","380,600,000","306,100,000","564,000,000","518,300,000","711,300,000","899,900,000","691,100,000","396,100,000","616,500,000","431,600,000","671,300,000","342,600,000","463,300,000","352,200,000","563,600,000","423,200,000","460,725,000","303,400,000","467,538,000","407,291,000","282,781,000"
ReconciledDepreciation,"888,000,000","238,000,000","203,000,000","243,000,000","204,000,000","230,000,000","212,000,000","239,000,000","211,000,000","212,000,000","223,000,000","252,000,000","188,000,000","221,000,000","233,000,000","241,000,000","193,000,000","235,000,000","226,000,000","217,000,000","205,000,000","203,000,000","148,000,000","181,000,000","146,000,000","131,600,000","128,700,000","103,900,000","115,400,000","94,000,000","95,400,000","97,800,000","105,300,000","96,800,000","100,100,000","106,600,000","107,100,000","101,100,000","99,700,000","115,900,000","103,100,000","101,300,000","101,600,000","94,800,000","118,500,000","106,300,000","110,400,000","149,800,000","28,300,000","27,700,000","27,000,000","24,400,000","21,900,000","25,100,000","24,300,000","25,600,000","25,800,000","23,400,000","20,600,000","20,400,000","20,100,000","24,300,000","22,900,000","24,900,000","22,500,000","21,069,000","23,224,000",,"27,580,000",
NetIncomeFromContinuingOperationNetMinorityInterest,"917,000,000","705,000,000","-185,000,000","246,000,000","151,000,000","87,000,000","-28,000,000","190,000,000","68,000,000","55,000,000","65,000,000","283,000,000","90,000,000","49,000,000","30,000,000","148,000,000","63,000,000","465,000,000","-87,000,000","3,000,000","-23,000,000","-320,000,000","-30,000,000","47,000,000","26,000,000","26,500,000","90,900,000","351,900,000","230,600,000","238,300,000","130,900,000","312,600,000","708,500,000","325,800,000","234,100,000","498,200,000","406,500,000","470,700,000","403,300,000","606,300,000","368,400,000","438,900,000","330,900,000","487,400,000","282,000,000","200,300,000","48,200,000","105,100,000","-4,400,000","51,400,000","38,500,000","213,000,000","62,700,000","190,100,000","47,100,000","288,600,000","158,800,000","135,400,000","86,500,000","93,600,000","57,200,000","8,000,000","7,300,000","42,600,000","-24,600,000","-9,962,000","-91,388,000","32,575,000","18,115,000","14,302,000"
TotalUnusualItemsExcludingGoodwill,"-521,000,000","-7,000,000","-508,000,000","0","-6,000,000","0",,,,"-21,000,000",,,,"0",,,,"-62,000,000","0","0","0","-302,000,000","0","-165,000,000","-14,000,000","-60,500,000","-37,400,000","0","0","-19,600,000","0","0","747,100,000",,,,,"-28,100,000","200,000","200,000","0","-200,000","-700,000","-5,000,000","-1,800,000","-3,500,000","-8,100,000","-26,500,000","28,300,000",,"0","-15,200,000",,"2,000,000","-5,000,000","2,400,000","2,700,000","-900,000","3,600,000","400,000","500,000","-20,900,000","200,000","100,000","100,000","-2,227,000","-26,509,000","168,000",,
TotalUnusualItems,"-521,000,000","-7,000,000","-508,000,000","0","-6,000,000","0",,,,"-21,000,000",,,,"0",,,,"-62,000,000","0","0","0","-302,000,000","0","-165,000,000","-14,000,000","-60,500,000","-37,400,000","0","0","-19,600,000","0","0","747,100,000",,,,,"-28,100,000","200,000","200,000","0","-200,000","-700,000","-5,000,000","-1,800,000","-3,500,000","-8,100,000","-26,500,000","28,300,000",,"0","-15,200,000",,"2,000,000","-5,000,000","2,400,000","2,700,000","-900,000","3,600,000","400,000","500,000","-20,900,000","200,000","100,000","100,000","-2,227,000","-26,509,000","168,000",,
NormalizedEBITDA,"3,127,000,000","1,372,000,000","617,000,000","689,000,000","449,000,000","397,000,000","249,000,000","537,000,000","361,000,000","371,000,000","415,000,000","730,000,000","355,000,000","420,000,000","372,000,000","516,000,000","355,000,000","351,000,000","187,000,000","322,000,000","259,000,000","223,000,000","42,000,000","553,000,000","256,000,000","325,900,000","212,500,000","731,500,000","481,600,000","528,800,000","340,000,000","626,300,000","524,800,000","657,800,000","482,900,000","938,000,000","678,800,000","715,700,000","768,400,000","1,121,300,000","774,800,000","930,800,000","685,000,000","945,600,000","655,300,000","545,500,000","256,100,000","509,900,000","2,100,000","111,600,000","118,900,000","435,600,000","147,200,000","367,000,000","131,900,000","475,300,000","274,700,000","238,500,000","154,900,000","179,400,000","109,700,000","56,100,000","35,000,000","110,100,000","-14,800,000","1,267,000","84,913,000","61,207,000","68,931,000","32,328,000"
TaxRateForCalcs,"0.183","0.208","0.343","0.212","0.093","0.27","0.27","0.134","0.123","0.121","0.143","0.242","0.27","0.326","0.145","0.202","0.158","0.4","0.4","0.177","0.4","0.14","0.4","0.4","0.247","0.4","0.4","0.334","0.338","0.351","0.352","0.327","0.366","0.356","0.315","0.352","0.2","0.35","0.322","0.322","0.323","0.35","0.336","0.345","0.35","0.35","0.35","0.35","0.35","0.31","0.351","0.371","0.33","0.349","0.362","0.362","0.356","0.35","0.348","0.354","0.343","0.36","0.336","0.394","0.397","0.4","0.4","0.396","0.38","0.38"
TaxEffectOfUnusualItems,"-95,343,000","-1,458,064.516","-174,244,000","0","-558,000","0","0","0","0","0","0","0","0","0","0","0","0","-24,800,000","0","0","0","-42,370,149.254","0","-66,000,000","-3,458,000","-24,200,000","-14,960,000","0","0","-6,876,918.991","0","0","273,438,600","0","0","0","0","-9,835,000","64,400","64,400","0","-70,000","-235,070.832","-1,723,926.38","-630,000","-1,225,000","-2,835,000","-9,275,000","9,905,000","0","0","-5,639,019.459","0","698,957.282","-1,809,210.526","869,612.508","960,885.609","-314,651.838","1,251,583.71","141,614.907","171,264.368","-7,524,000","67,272.727","39,402.56","39,705.882","-890,800","-10,603,600","66,591.368","0","0"
