name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,12/31/2004,09/30/2004
NetNonOperatingInterestIncomeExpense,"-183,000,000","-43,000,000","-46,000,000","-46,000,000","-48,000,000","-38,000,000","-48,000,000","-32,000,000","-43,000,000","-47,000,000","-59,000,000","-55,000,000","-56,000,000","-57,000,000","-55,000,000","-59,000,000","-57,000,000","-70,000,000","-76,000,000","-78,000,000","-79,000,000","-69,000,000","-29,000,000","-60,000,000","-37,000,000","-39,600,000","-29,700,000","-28,800,000","-33,500,000","-40,900,000","-46,200,000","-50,400,000","-39,800,000","-39,200,000","-40,000,000","-31,300,000","-37,000,000","-28,100,000","-27,100,000","-45,300,000","-30,500,000","-32,000,000","-31,800,000","-29,900,000","-51,800,000","-50,200,000","-58,000,000","-111,500,000","-100,000","0","1,700,000","400,000","900,000",,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"1,000,000","1,000,000","0","0","0","14,000,000","0","17,000,000","5,000,000","8,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","2,000,000","3,000,000","4,000,000","5,000,000","2,000,000","1,000,000","1,000,000","2,000,000","1,000,000","1,000,000","400,000","600,000","200,000","400,000","200,000","200,000","300,000","200,000","600,000","1,000,000","1,400,000","2,100,000","2,300,000","1,600,000","0","400,000","200,000","300,000","900,000","300,000","500,000","300,000","400,000","300,000","400,000","2,100,000","700,000","1,300,000",,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"175,000,000","42,000,000","43,000,000","44,000,000","46,000,000","50,000,000","46,000,000","47,000,000","46,000,000","52,000,000","59,000,000","56,000,000","57,000,000","58,000,000","56,000,000","57,000,000","57,000,000","71,000,000","76,000,000","76,000,000","76,000,000","53,000,000","25,000,000","29,000,000","34,000,000","35,500,000","21,800,000","26,600,000","32,500,000","38,700,000","44,100,000","48,300,000","36,500,000","35,800,000","37,100,000","28,700,000","35,600,000","-1,700,000","28,700,000","45,300,000","30,900,000","32,200,000","32,100,000","30,800,000","52,100,000","50,700,000","58,300,000","111,900,000","400,000","400,000","400,000","300,000","400,000",,,,,,,,,,,,,,,,,
	TotalOtherFinanceCost,"9,000,000","2,000,000","3,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","3,000,000","4,000,000","3,000,000","3,000,000","3,000,000","3,000,000","4,000,000","3,000,000","3,000,000","5,000,000","4,000,000","4,000,000","17,000,000","6,000,000","32,000,000","4,000,000","4,500,000","8,500,000","2,400,000","1,400,000","2,400,000","2,300,000","2,400,000","3,500,000","4,000,000","3,900,000","4,000,000","3,500,000",,,,,,,,,,,"-111,500,000",,,"1,700,000","400,000",,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-458,000,000","2,000,000","-474,000,000","9,000,000","5,000,000","16,000,000","1,000,000","6,000,000","3,000,000","54,000,000","-10,000,000","3,000,000","8,000,000","17,000,000","7,000,000","21,000,000","8,000,000","-43,000,000","-5,000,000","-6,000,000","3,000,000","-435,000,000","-3,000,000","-174,000,000","-12,000,000","-114,700,000","-36,000,000","4,200,000","9,700,000","-5,200,000","9,500,000","1,400,000","763,000,000","35,600,000","11,500,000","9,800,000","-43,100,000","-19,500,000","10,400,000","14,000,000","100,000","-40,900,000","14,300,000","9,200,000","-1,800,000","-3,500,000","-8,100,000","-26,500,000","28,300,000",,,"-15,200,000",,"-1,300,000","-6,400,000","9,600,000","4,400,000","0","3,600,000","400,000","500,000","-20,900,000","200,000","100,000","100,000","-2,243,000","-26,528,000","186,000",,
	GainOnSaleOfSecurity,"-7,000,000"
	EarningsFromEquityInterest,"47,000,000","10,000,000","15,000,000","11,000,000","11,000,000","3,000,000","2,000,000","3,000,000","3,000,000","1,000,000","-14,000,000","1,000,000","7,000,000","6,000,000","5,000,000","18,000,000","7,000,000","17,000,000","-5,000,000","-6,000,000","3,000,000","-134,000,000","-2,000,000","-9,000,000","0","-55,000,000","5,600,000","4,700,000","9,700,000","15,800,000","9,400,000","2,100,000","15,800,000","9,400,000","11,200,000","9,500,000","11,600,000","7,500,000","10,200,000","13,800,000",,,"15,000,000","14,200,000",,,,,,,,,,"-3,300,000","-1,400,000","7,200,000","1,700,000",,,,,,,,,,"-19,000","18,000",,
	SpecialIncomeCharges,"-514,000,000","0","-508,000,000","0","-6,000,000","0",,,,"-21,000,000",,,,"0",,,,"-56,000,000","0","0","0","-186,000,000","0","-165,000,000","-14,000,000","-46,400,000","-37,400,000","0","0","3,900,000","0","0","747,100,000",,,,,"-28,100,000","200,000","200,000","0","-200,000","-700,000","-5,000,000","-1,800,000","-3,500,000","-8,100,000","-26,500,000","28,300,000",,"0","-15,200,000",,"2,000,000","-5,000,000","2,400,000","2,700,000","-900,000","3,600,000","400,000","500,000","-20,900,000","200,000","100,000","100,000","-2,227,000","-26,509,000","168,000",,
		RestructuringAndMergernAcquisition,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","165,000,000","14,000,000","19,500,000","37,400,000",,,,,,,,,,,"0","0","0","0","200,000","800,000","1,300,000","2,100,000","3,700,000","8,600,000","9,300,000",,,,,,,,,,,,,,,,,,,,,,
		ImpairmentOfCapitalAssets,"521,000,000","26,000,000","495,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,"19,000,000","0","13,000,000",,"6,000,000",,,,,"21,000,000",,,,,,,,"53,000,000",,,,"167,000,000",,,,,,,,,,,,,,,,"9,300,000","-200,000","-200,000","-100,000","0","-100,000","3,700,000","-300,000","-200,000","-500,000","17,200,000",,,,,,,,,,,,,,,,,,,,,,
		GainOnSaleOfBusiness,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","3,000,000","0","0","747,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		GainOnSaleOfPPE,"26,000,000"
	OtherNonOperatingIncomeExpenses,"16,000,000","-1,000,000","19,000,000","-2,000,000",,"-1,000,000","-1,000,000","3,000,000",,"0","4,000,000","2,000,000","1,000,000","3,000,000","2,000,000","3,000,000","1,000,000","2,000,000",,,,"1,000,000","-1,000,000",,"2,000,000","800,000","-4,200,000","-500,000",,"-1,400,000","100,000","-700,000","100,000","-400,000","300,000","300,000","-54,700,000","200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"1,543,000,000","1,085,000,000","-137,000,000","402,000,000","193,000,000","117,000,000","-9,000,000","251,000,000","104,000,000","107,000,000","133,000,000","422,000,000","110,000,000","141,000,000","83,000,000","218,000,000","105,000,000","-17,000,000","-115,000,000","29,000,000","-22,000,000","-335,000,000","-131,000,000","178,000,000","62,000,000","98,300,000","24,600,000","601,000,000","333,700,000","376,500,000","200,500,000","480,200,000","1,130,100,000","525,200,000","345,700,000","802,700,000","536,100,000","588,200,000","640,200,000","960,300,000","640,800,000","797,100,000","550,600,000","815,000,000","482,900,000","385,000,000","79,300,000","221,700,000","1,700,000","83,500,000","91,500,000","395,700,000","124,900,000","297,300,000","76,000,000","441,300,000","243,900,000","206,800,000","132,600,000","144,900,000","87,000,000","12,500,000","11,000,000","70,300,000","-40,800,000","-18,675,000","3,303,000","53,936,000","29,387,000","23,080,000"
TaxProvision,"283,000,000","226,000,000","-46,000,000","85,000,000","18,000,000","-2,000,000","-13,000,000","33,000,000","13,000,000","13,000,000","19,000,000","102,000,000","-8,000,000","46,000,000","12,000,000","44,000,000","17,000,000","-520,000,000","-47,000,000","5,000,000","-13,000,000","-47,000,000","-131,000,000","95,000,000","15,000,000","62,300,000","20,100,000","200,700,000","112,700,000","132,100,000","70,500,000","157,200,000","413,200,000","187,200,000","109,000,000","282,900,000","107,400,000","242,200,000","206,000,000","309,200,000","206,800,000","-1,551,200,000","184,900,000","281,000,000","-158,800,000","378,100,000","-18,900,000","89,900,000","4,400,000","25,900,000","32,100,000","146,800,000","41,200,000","103,900,000","27,500,000","159,900,000","86,800,000","72,300,000","46,100,000","51,300,000","29,800,000","4,500,000","3,700,000","27,700,000","-16,200,000","-8,729,000","94,672,000","21,379,000","11,159,000","8,764,000"
EarningsFromEquityInterestNetOfTax,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","92,900,000","-35,500,000","14,900,000","6,700,000","10,600,000","1,700,000","3,500,000","3,400,000","7,200,000","-1,700,000","700,000","9,300,000","23,900,000","27,200,000","-2,300,000","6,900,000","16,700,000","9,800,000","8,500,000","11,000,000","10,800,000","4,800,000","100,000",,"600,000","-700,000","-700,000",,,,,,,,,,,,,,,,,
NetIncomeCommonStockholders,"917,000,000","705,000,000","-185,000,000","246,000,000","151,000,000","87,000,000","-28,000,000","190,000,000","68,000,000","55,000,000","65,000,000","283,000,000","90,000,000","49,000,000","30,000,000","148,000,000","63,000,000","465,000,000","-87,000,000","3,000,000","-23,000,000","-320,000,000","-30,000,000","47,000,000","26,000,000","26,500,000","90,900,000","351,900,000","230,600,000","238,300,000","130,900,000","312,600,000","708,500,000","325,800,000","234,100,000","498,200,000","406,500,000","470,700,000","403,300,000","606,300,000","368,400,000","438,900,000","330,900,000","487,400,000","282,000,000","200,300,000","48,200,000","105,100,000","-4,400,000","51,400,000","38,500,000","213,000,000","62,700,000","190,100,000","47,100,000","288,600,000","158,800,000","135,400,000","86,500,000","93,600,000","57,200,000","8,000,000","7,300,000","42,600,000","-24,600,000","-12,762,000","-91,388,000","32,575,000","18,115,000","14,302,000"
	NetIncome,"917,000,000","705,000,000","-185,000,000","246,000,000","151,000,000","87,000,000","-28,000,000","190,000,000","68,000,000","55,000,000","65,000,000","283,000,000","90,000,000","49,000,000","30,000,000","148,000,000","63,000,000","465,000,000","-87,000,000","3,000,000","-23,000,000","-320,000,000","-30,000,000","47,000,000","26,000,000","26,500,000","90,900,000","351,900,000","230,600,000","238,300,000","130,900,000","312,600,000","708,500,000","325,800,000","234,100,000","498,200,000","406,500,000","470,700,000","403,300,000","606,300,000","368,400,000","438,900,000","330,900,000","487,400,000","282,000,000","200,300,000","48,200,000","105,100,000","-4,400,000","51,400,000","38,500,000","213,000,000","62,700,000","190,100,000","47,100,000","288,600,000","158,800,000","135,400,000","86,500,000","93,600,000","57,200,000","8,000,000","7,300,000","42,600,000","-24,600,000","-12,762,000","-91,388,000","32,575,000","18,115,000","14,302,000"
		NetIncomeIncludingNoncontrollingInterests,"1,260,000,000","859,000,000","-91,000,000","317,000,000","175,000,000","119,000,000","4,000,000","218,000,000","91,000,000","94,000,000","114,000,000","320,000,000","118,000,000","95,000,000","71,000,000","174,000,000","88,000,000","503,000,000","-68,000,000","24,000,000","-9,000,000","-288,000,000","0","83,000,000","47,000,000","36,000,000","97,400,000","364,800,000","235,900,000","251,100,000","140,600,000","324,700,000","720,400,000","341,400,000","243,900,000","518,100,000","429,400,000","355,300,000","458,100,000","678,300,000","431,700,000","502,200,000","382,400,000","543,800,000","332,600,000","226,700,000","71,200,000","136,600,000","6,200,000","57,300,000","60,000,000","248,200,000","83,000,000","239,900,000","76,600,000","307,700,000","177,300,000","151,800,000","98,100,000","113,200,000","64,200,000","9,700,000","12,100,000","59,000,000","-18,700,000","-13,640,000","-85,075,000","38,758,000","56,370,000","8,899,000"
