name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012
	InterestIncomeNonOperating,"6,000,000","2,000,000","2,000,000","1,000,000","1,000,000","2,000,000","1,000,000","1,000,000","2,000,000","2,000,000","3,000,000","2,000,000","2,000,000","3,000,000","2,000,000","1,000,000","2,000,000","2,000,000","2,000,000","1,000,000","2,000,000","1,830,000","706,000","834,000","630,000","847,000","1,141,000","1,459,000","870,000","559,000","602,000","994,000","1,255,000","1,581,000","1,119,000","785,000","452,000","1,472,000","848,000","322,000","425,000"
	InterestExpenseNonOperating,"375,000,000","90,000,000","92,000,000","94,000,000","99,000,000","102,000,000","100,000,000","108,000,000","106,000,000","109,000,000","114,000,000","114,000,000","110,000,000","106,000,000","105,000,000","107,000,000","96,000,000","97,000,000","93,000,000","81,000,000","75,000,000","71,053,000","24,505,000","22,483,000","25,959,000","25,536,000","25,429,000","25,487,000","25,340,000","26,037,000","25,050,000","24,799,000","24,703,000","26,826,000","28,756,000","31,884,000","36,042,000","38,383,000","33,513,000","33,130,000","29,345,000"
OtherIncomeExpense,"84,000,000","-4,000,000","59,000,000","25,000,000","4,000,000",,"-6,000,000","4,000,000","-1,000,000","7,000,000","-43,000,000","-21,000,000","-5,000,000","-2,000,000","-50,000,000","7,000,000","-30,000,000","-44,000,000","-31,000,000","-52,000,000","-25,000,000","-137,213,000","-32,884,000","-22,311,000","-7,650,000","-4,192,000","-11,050,000","-25,673,000","-2,463,000","-5,825,000","5,983,000","-4,004,000","3,836,000","-3,899,000","-10,425,000","-19,916,000","523,000","-9,653,000","-3,416,000","-6,104,000","2,729,000"
	SpecialIncomeCharges,"-46,000,000","-6,000,000","-3,000,000","-4,000,000","-33,000,000","-3,000,000","-20,000,000","-28,000,000","-14,000,000","-30,000,000","-43,000,000","-14,000,000","-12,000,000","-2,000,000","-23,000,000","-19,000,000","-26,000,000","-23,000,000","-28,000,000","-49,000,000","-22,000,000","-148,583,000","-31,217,000","-25,114,000","-3,144,000","-9,694,000","-11,984,000","-14,014,000","-5,324,000","-5,239,000","-1,793,000","-948,000","-1,008,000","-5,462,000","-7,201,000","-19,380,000","-1,859,000","-8,497,000","434,000","-12,263,000","310,000"
		RestructuringAndMergernAcquisition,"20,000,000","5,000,000","2,000,000","4,000,000","9,000,000","2,000,000","20,000,000","16,000,000","14,000,000","30,000,000","19,000,000","14,000,000","12,000,000","2,000,000","23,000,000","17,000,000","26,000,000","25,000,000","10,000,000","9,000,000","19,000,000","117,520,000","3,280,000","25,114,000","3,144,000","7,210,000","11,984,000","6,234,000","5,324,000","5,239,000","1,793,000","948,000","1,008,000","2,174,000","7,201,000","2,837,000","1,859,000","7,222,000","-434,000","12,263,000","-310,000"
		ImpairmentOfCapitalAssets,,,,,,,,,,,,,,"0","0",,,"0","0","40,000,000",,"63,000","27,937,000",,,"2,484,000",,,,,,,,,,,,,,,
		OtherSpecialCharges,"26,000,000","1,000,000","1,000,000",,"24,000,000","1,000,000",,"12,000,000",,"0","24,000,000",,,"0",,"2,000,000",,"-2,000,000","18,000,000",,"3,000,000","31,000,000",,,,"0",,"7,780,000",,,,,,"3,288,000",,"16,543,000",,,,,
	OtherNonOperatingIncomeExpenses,"130,000,000","2,000,000","62,000,000","29,000,000","37,000,000","6,000,000","14,000,000","32,000,000","13,000,000","37,000,000",,"-7,000,000","7,000,000","0","-27,000,000","26,000,000","-4,000,000","-21,000,000","-3,000,000","-3,000,000","-3,000,000","11,370,000","-1,667,000","2,803,000","-4,506,000","5,502,000","934,000","-11,659,000","2,861,000","-586,000","7,776,000","-3,056,000","4,844,000","1,563,000","-3,224,000","-536,000","2,382,000","-1,156,000","-3,850,000","6,159,000","2,419,000"
PretaxIncome,"1,128,000,000","376,000,000","273,000,000","222,000,000","257,000,000","194,000,000","102,000,000","-25,000,000","102,000,000","96,000,000","69,000,000","78,000,000","109,000,000","104,000,000","51,000,000","88,000,000","85,000,000","89,000,000","85,000,000","68,000,000","89,000,000","55,838,000","142,304,000","131,897,000","148,961,000","158,796,000","143,669,000","114,922,000","121,608,000","132,868,000","132,470,000","114,139,000","122,712,000","100,042,000","94,398,000","46,719,000","81,957,000","55,085,000","72,621,000","74,236,000","65,486,000"
TaxProvision,"163,000,000","59,000,000","12,000,000","48,000,000","44,000,000","63,000,000","-3,000,000","-5,000,000","17,000,000","68,000,000","-1,000,000","8,000,000","41,000,000","30,000,000","-14,000,000","24,000,000","19,000,000","-992,000,000","0","-7,000,000","12,000,000","227,088,000","38,525,000","36,810,000","42,577,000","51,009,000","40,192,000","31,700,000","36,088,000","39,007,000","41,260,000","32,400,000","37,389,000","27,558,000","27,459,000","8,830,000","32,118,000","20,013,000","21,542,000","27,558,000","24,251,000"
EarningsFromEquityInterestNetOfTax,"6,000,000","1,000,000","0","1,000,000","4,000,000","-1,000,000","3,000,000","-1,000,000","6,000,000","-8,000,000","-1,000,000","1,000,000","-1,000,000","2,000,000","2,000,000","4,000,000","7,000,000","3,000,000","4,000,000","4,000,000","-1,000,000","-3,048,000","195,000","-3,789,000","2,642,000","300,000","5,362,000","1,725,000","911,000","-5,417,000","1,523,000","3,371,000","4,891,000","450,000","-355,000","464,000","-1,683,000","-236,000","896,000","334,000","1,573,000"
NetIncomeCommonStockholders,"966,000,000","318,000,000","261,000,000","175,000,000","212,000,000","119,000,000","101,000,000","-23,000,000","82,000,000","16,000,000","57,000,000","60,000,000","58,000,000","69,000,000","60,000,000","61,000,000","69,000,000","1,076,000,000","84,000,000","75,000,000","74,000,000","-177,594,000","99,167,000","86,759,000","106,668,000","104,570,000","111,286,000","84,951,000","86,398,000","88,426,000","92,654,000","85,120,000","90,183,000","72,996,000","66,769,000","38,517,000","48,309,000","34,974,000","52,098,000","47,201,000","43,273,000"
