name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009
	InterestIncomeNonOperating,,,,,"0","1,000,000","0","0","1,000,000","2,000,000","1,000,000","1,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","0","1,000,000","1,000,000","1,000,000","0","1,000,000","0","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","2,000,000","2,000,000","1,000,000","2,000,000","1,000,000","1,000,000","1,000,000","1,000,000","2,000,000","2,000,000","2,000,000"
	InterestExpenseNonOperating,"285,000,000","68,000,000","68,000,000","69,000,000","80,000,000","94,000,000","92,000,000","91,000,000","94,000,000","98,000,000","100,000,000","100,000,000","99,000,000","99,000,000","99,000,000","100,000,000","96,000,000","97,000,000","95,000,000","92,000,000","90,000,000","86,000,000","85,000,000","83,000,000","79,000,000","80,000,000","79,000,000","79,000,000","73,000,000","71,000,000","74,000,000","78,000,000","77,000,000","80,000,000","78,000,000","73,000,000","83,000,000","94,000,000","106,000,000","107,000,000","106,000,000","109,000,000","114,000,000","114,000,000","140,000,000","169,000,000","169,000,000","160,000,000","162,000,000","164,000,000","168,000,000","151,000,000","164,000,000"
OtherIncomeExpense,"-42,000,000","2,000,000","-8,000,000","-32,000,000","-4,000,000","-142,000,000","-61,000,000","-130,000,000","-18,000,000","-199,000,000","-1,018,000,000","-13,000,000","-33,000,000","-1,450,000,000","-26,000,000","-74,000,000","-23,000,000","-47,000,000","-8,000,000","-18,000,000","-34,000,000","-27,000,000","-27,000,000","-38,000,000","-11,000,000","194,000,000","-10,000,000","-20,000,000","-40,000,000","-85,000,000","-57,000,000","-64,000,000","-54,000,000","-67,000,000","-15,000,000","-12,000,000","-59,000,000","-154,000,000","-3,000,000","-10,000,000","-52,000,000","-19,000,000","-13,000,000","-24,000,000","-247,000,000","-133,000,000","-21,000,000","46,000,000","75,000,000","-80,000,000","-566,000,000","-71,000,000","49,000,000"
	GainOnSaleOfSecurity,"-5,000,000","0","-1,000,000",,"-4,000,000","-3,000,000","-3,000,000","3,000,000","-6,000,000","0","-6,000,000","-1,000,000","-3,000,000","-4,000,000","-8,000,000","-4,000,000",,"-1,000,000",,"-7,000,000","-2,000,000","-3,000,000","2,000,000","-4,000,000","-1,000,000","-4,000,000","5,000,000","-6,000,000","-26,000,000","-39,000,000","1,000,000","-6,000,000","-27,000,000","-2,000,000","-7,000,000","-4,000,000","-12,000,000","-5,000,000","1,000,000","-4,000,000","-9,000,000","-2,000,000","-4,000,000","-10,000,000",,,"-5,000,000","67,000,000",,,,,
	SpecialIncomeCharges,"-13,000,000","-1,000,000","-6,000,000","-6,000,000","0","-130,000,000","-58,000,000","-129,000,000","-11,000,000","-28,000,000","-1,009,000,000","-12,000,000","-35,000,000","-1,444,000,000","-19,000,000","-65,000,000","-24,000,000","-32,000,000","-7,000,000","-9,000,000","-32,000,000","-32,000,000","-29,000,000","-34,000,000","-10,000,000","-8,000,000","-15,000,000","-14,000,000","-14,000,000","-46,000,000","-6,000,000","-13,000,000","-24,000,000","-56,000,000","-20,000,000","-8,000,000","-35,000,000","-31,000,000","-4,000,000","-6,000,000","-43,000,000","-17,000,000","-9,000,000","-14,000,000","-247,000,000","-133,000,000","-16,000,000","-21,000,000","75,000,000","-80,000,000","-566,000,000","-71,000,000","49,000,000"
		RestructuringAndMergernAcquisition,"13,000,000","1,000,000","6,000,000","6,000,000","0","-1,000,000","50,000,000","84,000,000","11,000,000","28,000,000","5,000,000","12,000,000","35,000,000","31,000,000","19,000,000","65,000,000","24,000,000","32,000,000","7,000,000","9,000,000","32,000,000","32,000,000","29,000,000","34,000,000","10,000,000","8,000,000","15,000,000","14,000,000","14,000,000","46,000,000","6,000,000","13,000,000","24,000,000","56,000,000","20,000,000","8,000,000","35,000,000","28,000,000","3,000,000","16,000,000","37,000,000","29,000,000","9,000,000","23,000,000","23,000,000","28,000,000","11,000,000","19,000,000","3,000,000","56,000,000","-3,000,000","4,000,000","5,000,000"
		ImpairmentOfCapitalAssets,"0","0","0","0",,"131,000,000","8,000,000","45,000,000",,"0","1,004,000,000",,,"1,413,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,"0",,,
		OtherSpecialCharges,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,"9,000,000",,,,,"1,000,000","-10,000,000","6,000,000","-12,000,000",,"-9,000,000","224,000,000","105,000,000","5,000,000","2,000,000","-78,000,000","24,000,000","42,000,000","67,000,000","-54,000,000"
	OtherNonOperatingIncomeExpenses,"-24,000,000","3,000,000","-1,000,000","-26,000,000",,"-9,000,000",,"-4,000,000","-1,000,000","-171,000,000","-3,000,000",,"5,000,000","-2,000,000","1,000,000","-5,000,000","1,000,000","-14,000,000","-1,000,000","-2,000,000",,"8,000,000",,,,"206,000,000",,,,"0","-52,000,000","-45,000,000","-3,000,000","-9,000,000","12,000,000",,"-12,000,000","-121,000,000",,,,,,,,,,,,,,,
PretaxIncome,"558,000,000","113,000,000","152,000,000","124,000,000","169,000,000","61,000,000","79,000,000","-64,000,000","-2,000,000","-43,000,000","-848,000,000","149,000,000","79,000,000","-1,274,000,000","157,000,000","121,000,000","114,000,000","246,000,000","242,000,000","224,000,000","116,000,000","261,000,000","214,000,000","196,000,000","145,000,000","433,000,000","225,000,000","202,000,000","101,000,000","198,000,000","187,000,000","149,000,000","87,000,000","147,000,000","171,000,000","161,000,000","65,000,000","61,000,000","176,000,000","137,000,000","34,000,000","162,000,000","149,000,000","105,000,000","-312,000,000","-57,000,000","23,000,000","88,000,000","49,000,000","-29,000,000","-534,000,000","-44,000,000","4,000,000"
TaxProvision,"-2,000,000","-131,000,000","33,000,000","36,000,000","60,000,000","25,000,000","69,000,000","-38,000,000","11,000,000","65,000,000","-380,000,000","23,000,000","32,000,000","-324,000,000","59,000,000","44,000,000","39,000,000","162,000,000","92,000,000","91,000,000","43,000,000","101,000,000","82,000,000","82,000,000","44,000,000","177,000,000","82,000,000","86,000,000","38,000,000","34,000,000","95,000,000","74,000,000","33,000,000","-13,000,000","40,000,000","46,000,000","27,000,000","26,000,000","69,000,000","38,000,000","7,000,000","73,000,000","44,000,000","39,000,000","-134,000,000","-60,000,000","2,000,000","13,000,000","-1,000,000","-73,000,000","-99,000,000","-25,000,000","0"
EarningsFromEquityInterestNetOfTax,"-1,000,000","-2,000,000","1,000,000",,,,,,,"0","0","0",,"1,000,000","0","-1,000,000",,,,,,"0","0",,,"-2,000,000","-1,000,000","0","0","-6,000,000","0","1,000,000","1,000,000","-1,000,000","0","4,000,000","-1,000,000","4,000,000","-1,000,000","4,000,000","-2,000,000","4,000,000","-2,000,000","3,000,000","-2,000,000","4,000,000","1,000,000","2,000,000","-2,000,000","3,000,000","-33,000,000","5,000,000","3,000,000"
NetIncomeCommonStockholders,"963,000,000","214,000,000","100,000,000","76,000,000","573,000,000","35,000,000","7,000,000","-30,000,000","-18,000,000","-109,000,000","-472,000,000","123,000,000","43,000,000","-952,000,000","96,000,000","72,000,000","72,000,000","81,000,000","146,000,000","131,000,000","71,000,000","159,000,000","130,000,000","113,000,000","100,000,000","251,000,000","142,000,000","114,000,000","63,000,000","161,000,000","91,000,000","74,000,000","58,000,000","145,000,000","134,000,000","426,000,000","35,000,000","39,000,000","105,000,000","104,000,000","25,000,000","95,000,000","102,000,000","69,000,000","-182,000,000","3,000,000","11,000,000","74,000,000","42,000,000","44,000,000","-527,000,000","-10,000,000","2,000,000"
	NetIncome,"963,000,000","214,000,000","100,000,000","76,000,000","573,000,000","35,000,000","7,000,000","-30,000,000","-18,000,000","-109,000,000","-472,000,000","123,000,000","43,000,000","-952,000,000","96,000,000","72,000,000","72,000,000","81,000,000","146,000,000","131,000,000","71,000,000","159,000,000","130,000,000","113,000,000","100,000,000","251,000,000","142,000,000","114,000,000","63,000,000","161,000,000","91,000,000","74,000,000","58,000,000","145,000,000","134,000,000","426,000,000","35,000,000","39,000,000","105,000,000","104,000,000","25,000,000","95,000,000","102,000,000","69,000,000","-182,000,000","3,000,000","11,000,000","74,000,000","42,000,000","44,000,000","-527,000,000","-10,000,000","2,000,000"
		NetIncomeIncludingNoncontrollingInterests,"971,000,000","214,000,000","103,000,000","78,000,000","576,000,000","36,000,000","10,000,000","-26,000,000","-13,000,000","-108,000,000","-468,000,000","126,000,000","47,000,000","-949,000,000","98,000,000","76,000,000","75,000,000","84,000,000","150,000,000","133,000,000","73,000,000","160,000,000","132,000,000","114,000,000","101,000,000","254,000,000","142,000,000","116,000,000","63,000,000","158,000,000","92,000,000","76,000,000","55,000,000","145,000,000","131,000,000","426,000,000","34,000,000","39,000,000","106,000,000","103,000,000","25,000,000","95,000,000","103,000,000","69,000,000","-181,000,000","4,000,000","11,000,000","74,000,000","43,000,000","44,000,000","-526,000,000","-10,000,000","3,000,000"
			NetIncomeContinuousOperations,"559,000,000","242,000,000","120,000,000","88,000,000","109,000,000","36,000,000","10,000,000","-26,000,000","-13,000,000","-108,000,000","-468,000,000","126,000,000","47,000,000","-949,000,000","98,000,000","76,000,000","75,000,000","84,000,000","150,000,000","133,000,000","73,000,000","160,000,000","132,000,000","114,000,000","101,000,000","254,000,000","142,000,000","116,000,000","63,000,000","158,000,000","92,000,000","76,000,000","55,000,000","159,000,000","131,000,000","119,000,000","37,000,000","39,000,000","106,000,000","103,000,000","25,000,000","93,000,000","103,000,000","69,000,000","-180,000,000","7,000,000","22,000,000","77,000,000","48,000,000","47,000,000","-468,000,000","-14,000,000","7,000,000"
			NetIncomeDiscontinuousOperations,"412,000,000","-28,000,000","-17,000,000","-10,000,000","467,000,000",,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","-14,000,000","0","307,000,000","-3,000,000","0","0","0","0","2,000,000","0","0","-1,000,000","-3,000,000","-11,000,000","-3,000,000","-5,000,000","-3,000,000","-58,000,000","4,000,000","-4,000,000"
		MinorityInterests,"-8,000,000","0","-3,000,000","-2,000,000","-3,000,000","-1,000,000","-3,000,000","-4,000,000","-5,000,000","-1,000,000","-4,000,000","-3,000,000","-4,000,000","-3,000,000","-2,000,000","-4,000,000","-3,000,000","-3,000,000","-4,000,000","-2,000,000","-2,000,000","-1,000,000","-2,000,000","-1,000,000","-1,000,000","-3,000,000","0","-2,000,000","0","3,000,000","-1,000,000","-2,000,000","3,000,000","0","3,000,000","0","1,000,000","0","-1,000,000","1,000,000","0","0","-1,000,000","0","-1,000,000","-1,000,000","0","0","-1,000,000","0","-1,000,000","0","-1,000,000"
DilutedNIAvailtoComStockholders,"963,000,000","214,000,000","100,000,000","76,000,000","573,000,000","35,000,000","7,000,000","-30,000,000","-18,000,000","-109,000,000","-472,000,000","123,000,000","43,000,000","-952,000,000","96,000,000","72,000,000","72,000,000","81,000,000","146,000,000","131,000,000","71,000,000","159,000,000","130,000,000","113,000,000","100,000,000","251,000,000","142,000,000","114,000,000","63,000,000","161,000,000","91,000,000","74,000,000","58,000,000","145,000,000","134,000,000","426,000,000","35,000,000","39,000,000","105,000,000","104,000,000","25,000,000","95,000,000","102,000,000","69,000,000","-182,000,000","3,000,000","11,000,000","74,000,000","42,000,000","44,000,000","-527,000,000","-10,000,000","2,000,000"
BasicEPS,,"0.6","0.28","0.21","1.6","0.1","0.02","-0.08","-0.05","-0.31","-1.33","0.35","0.12","-2.68","0.27","0.2","0.2","0.23","0.41","0.37","0.2","0.44","0.36","0.31","0.28","0.69","0.39","0.31","0.17","0.43","0.24","0.19","0.15","0.38","0.35","1.14","0.09","0.11","0.29","0.28","0.07",,"0.28","0.19","-0.55",,"0.04","0.27","0.152",,,,"0.007"
DilutedEPS,,"0.59","0.28","0.21","1.59","0.1","0.02","-0.08","-0.05","-0.31","-1.33","0.34","0.12","-2.68","0.27","0.2","0.2","0.23","0.41","0.37","0.2","0.44","0.36","0.31","0.27","0.68","0.38","0.31","0.17","0.42","0.24","0.19","0.15","0.38","0.35","1.12","0.09","0.11","0.29","0.28","0.068",,"0.28","0.189","-0.55",,"0.04","0.265","0.15",,,,"0.007"
BasicAverageShares,,"359,119,857","358,879,518","358,620,131","357,944,731","357,449,688","356,913,312","356,672,845","356,389,022","356,058,045","355,779,274","355,630,327","355,444,756","355,199,432","354,993,315","355,773,490","356,460,561","356,219,487","356,426,891","356,829,766","357,399,749","357,421,305","357,088,498","359,264,465","361,580,670","363,059,789","365,498,696","368,364,597","371,169,651","377,676,631","380,884,561","379,755,766","379,012,826","378,331,799","377,590,584","376,580,064","370,583,217","362,712,063","362,016,373","361,528,675","360,881,693",,"359,381,233","358,792,103","331,248,626",,"276,651,344","276,748,497","276,545,786",,,,"276,545,786"
