name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018
		MinorityInterests,"-10,000,000","-2,000,000","-2,000,000","-3,000,000","-3,000,000","-2,000,000","-2,000,000","-6,000,000","-10,000,000","-3,000,000","11,000,000","-14,000,000",,"0","-5,000,000","-4,000,000","-5,000,000"
DilutedNIAvailtoComStockholders,"1,759,000,000","159,000,000","30,000,000","970,000,000","600,000,000","41,000,000","-392,000,000","760,000,000","272,000,000","-21,000,000","-494,000,000","-608,000,000","89,000,000","-457,000,000","-5,121,000,000","694,000,000","-221,000,000"
BasicEPS,,"0.22","0.04","1.31","0.81","0.05","-0.52","1.01","0.36","-0.03","-0.66","-0.81","0.119",,"-6.833","0.926","-0.295"
DilutedEPS,,"0.22","0.04","1.31","0.8","0.05","-0.52","1.01","0.36","-0.03","-0.66","-0.81","0.119",,"-6.833","0.926","-0.295"
BasicAverageShares,,"729,200,000","733,800,000","737,300,000","743,400,000","746,300,000","753,846,154","749,200,000","749,900,000","749,600,000","749,500,000","749,400,000","750,000,000",,"749,400,000","749,400,000","749,400,000"
DilutedAverageShares,,"735,100,000","739,500,000","743,300,000","749,600,000","749,700,000","753,846,154","751,600,000","752,500,000","749,600,000","749,500,000","749,400,000","750,000,000",,"749,400,000","749,400,000","749,400,000"
TotalExpenses,"14,338,000,000","3,533,000,000","2,707,000,000","4,481,000,000","3,617,000,000","3,322,000,000","2,340,000,000","4,243,000,000","3,469,000,000","3,166,000,000","2,384,000,000","4,366,000,000","5,723,000,000","1,432,000,000","2,531,000,000","5,113,000,000","6,456,000,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"1,759,000,000","159,000,000","30,000,000","970,000,000","600,000,000","41,000,000","-392,000,000","760,000,000","272,000,000","-21,000,000","-494,000,000","-608,000,000","89,000,000","-457,000,000","-5,121,000,000","694,000,000","-221,000,000"
NormalizedIncome,"2,062,194,000","163,122,448.98","50,790,000","1,130,736,000","714,620,733.249","252,490,000","-354,319,000","907,096,000","392,904,411.765","-470,000","-343,155,000","746,553,000","424,800,000","704,310,000","-588,064,000","603,870,000","35,960,000"
InterestIncome,"77,000,000","19,000,000","19,000,000","18,000,000","21,000,000",,,"9,000,000","18,000,000","13,000,000","13,000,000","17,000,000",,,"12,000,000","24,000,000",
InterestExpense,"30,000,000","8,000,000","8,000,000","7,000,000","7,000,000","10,000,000","11,000,000","14,000,000","10,000,000","24,000,000","19,000,000","34,000,000","56,000,000","-175,000,000","82,000,000","88,000,000","80,000,000"
NetInterestIncome,"47,000,000","11,000,000","11,000,000","11,000,000","14,000,000","46,000,000","-11,000,000","-5,000,000","8,000,000","-11,000,000","-6,000,000","-17,000,000","-56,000,000","112,000,000","-70,000,000","-64,000,000","-80,000,000"
EBIT,"2,376,000,000","253,000,000","16,000,000","1,309,000,000","798,000,000","-60,000,000","-496,000,000","858,000,000","418,000,000","-163,000,000","-612,000,000","787,000,000","105,000,000","1,163,000,000","-5,568,000,000","396,000,000","-109,000,000"
EBITDA,"3,619,000,000"
ReconciledCostOfRevenue,"8,699,000,000","2,094,000,000","1,429,000,000","2,877,000,000","2,299,000,000","1,984,000,000","1,174,000,000","2,705,000,000","2,149,000,000","1,840,000,000","1,223,000,000","2,754,000,000","3,877,000,000","6,000,000","891,000,000","3,031,000,000","4,515,000,000"
ReconciledDepreciation,"1,243,000,000","317,000,000","309,000,000","313,000,000","304,000,000","309,000,000","285,000,000","300,000,000","283,000,000","289,000,000","226,000,000","406,000,000","678,000,000","698,000,000","682,000,000","763,000,000","647,000,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"1,812,000,000","153,000,000","34,000,000","1,015,000,000","610,000,000","97,000,000","-392,000,000","760,000,000","271,000,000","-45,000,000","-516,000,000","469,000,000","89,000,000","743,000,000","-5,647,000,000","371,000,000","-221,000,000"
TotalUnusualItemsExcludingGoodwill,"-322,000,000","-16,000,000","-23,000,000","-148,000,000","-135,000,000","-213,000,000","-49,000,000","-162,000,000","-177,000,000","-61,000,000","-207,000,000","-433,000,000","-460,000,000","53,000,000","-5,064,000,000","-319,000,000","-352,000,000"
TotalUnusualItems,"-322,000,000","-16,000,000","-23,000,000","-148,000,000","-135,000,000","-213,000,000","-49,000,000","-162,000,000","-177,000,000","-61,000,000","-207,000,000","-433,000,000","-460,000,000","53,000,000","-5,064,000,000","-319,000,000","-352,000,000"
NormalizedEBITDA,"3,941,000,000","586,000,000","348,000,000","1,770,000,000","1,237,000,000","462,000,000","-162,000,000","1,320,000,000","878,000,000","187,000,000","-179,000,000","1,626,000,000","1,243,000,000","1,808,000,000","178,000,000","1,478,000,000","890,000,000"
TaxRateForCalcs,"0.223","0.367","0.27","0.218","0.225","0.27","0.231","0.092","0.311","0.27","0.165","0.359","0.27","0.27","0.001","0.27","0.27"
TaxEffectOfUnusualItems,"-71,806,000","-5,877,551.02","-6,210,000","-32,264,000","-30,379,266.751","-57,510,000","-11,319,000","-14,904,000","-55,095,588.235","-16,470,000","-34,155,000","-155,447,000","-124,200,000","14,310,000","-5,064,000","-86,130,000","-95,040,000"
