name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011
TotalExpenses,"71,176,000,000","21,086,000,000","18,587,000,000","16,710,000,000","14,793,000,000","15,297,000,000","13,430,000,000","12,724,000,000","11,844,000,000","12,224,000,000","10,467,000,000","12,260,000,000","11,760,000,000","9,094,000,000","7,946,000,000","7,368,000,000","6,517,000,000","5,620,000,000","5,206,000,000","4,920,000,000","4,705,000,000","4,258,000,000","3,889,000,000","3,690,000,000","3,373,000,000","3,281,000,000","3,042,000,000","2,769,000,000","2,610,000,000","2,718,000,000","1,806,000,000","1,520,000,000","1,427,000,000","1,454,000,000","1,280,000,000","1,251,000,000","1,085,000,000","1,062,000,000","885,000,000","1,927,000,000","677,000,000","584,000,000","540,000,000","488,000,000","343,000,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"39,370,000,000","10,285,000,000","9,194,000,000","10,394,000,000","9,497,000,000","11,219,000,000","7,846,000,000","5,178,000,000","4,902,000,000","7,349,000,000","6,091,000,000","2,616,000,000","2,429,000,000","6,882,000,000","5,137,000,000","5,106,000,000","4,988,000,000","4,269,000,000","4,707,000,000","3,894,000,000","3,064,000,000","4,273,000,000","2,379,000,000","2,055,000,000","1,510,000,000","1,561,000,000","896,000,000","719,000,000","512,000,000","701,000,000","806,000,000","791,000,000","642,000,000","523,000,000","425,000,000","333,000,000","219,000,000","64,000,000","-59,000,000","-157,000,000","205,000,000","302,000,000","227,000,000","240,000,000","233,000,000"
NormalizedIncome,"39,486,620,000","10,284,190,348.737","9,235,760,000","10,394,000,000","9,574,190,000","11,219,000,000","7,846,000,000","5,178,000,000","4,902,000,000","7,349,000,000","6,091,000,000","2,616,000,000","2,429,000,000","6,882,000,000","5,137,000,000","5,106,000,000","4,988,000,000","4,269,000,000","4,707,000,000","3,894,000,000","3,064,000,000","4,273,000,000","2,379,000,000","2,055,000,000","1,510,000,000","1,561,000,000","896,000,000","719,000,000","512,000,000","701,000,000","806,000,000","791,000,000","642,000,000","523,000,000","425,000,000","333,000,000","219,000,000","75,700,000","-62,900,000","-149,200,000","195,900,000","309,800,000","242,000,000","239,398,496.241","221,950,000"
InterestIncome,"461,000,000","102,000,000","120,000,000","121,000,000","118,000,000","136,000,000","146,000,000","162,000,000","228,000,000","249,000,000","258,000,000","219,000,000","198,000,000","196,000,000","176,000,000","143,000,000","145,000,000","132,000,000","108,000,000","91,000,000","67,000,000","66,000,000","50,000,000","32,000,000","27,000,000","37,000,000","7,000,000","5,000,000","2,000,000","23,000,000","4,000,000","0","0",,,,,,,,,,,,
InterestExpense,,,,,,,,,,,,"219,000,000",,,,,,,,,,,,,,,,,,,,,,"6,000,000","21,000,000","14,000,000","15,000,000","16,000,000","11,000,000","10,000,000","13,000,000","16,000,000","10,000,000","9,000,000","7,000,000"
NetInterestIncome,"461,000,000","102,000,000","120,000,000","121,000,000","118,000,000","136,000,000","146,000,000","162,000,000","228,000,000","229,000,000","258,000,000","219,000,000","198,000,000","187,000,000","176,000,000","143,000,000","145,000,000","126,000,000","108,000,000","91,000,000","67,000,000","56,000,000","50,000,000","32,000,000","27,000,000","14,000,000","7,000,000","5,000,000","2,000,000","0","4,000,000","0","0","13,000,000","-21,000,000","-14,000,000","-15,000,000","-2,000,000","-11,000,000","-10,000,000","-13,000,000","-16,000,000","-10,000,000","-9,000,000","-7,000,000"
EBIT,"46,753,000,000","12,585,000,000","10,423,000,000","12,367,000,000","11,378,000,000","12,775,000,000","8,040,000,000","5,963,000,000","5,893,000,000","9,704,000,000","7,185,000,000","4,626,000,000","3,317,000,000","8,277,000,000","5,781,000,000","5,863,000,000","5,449,000,000","7,749,000,000","5,122,000,000","4,401,000,000","3,327,000,000","4,652,000,000","3,122,000,000","2,746,000,000","2,009,000,000","2,552,000,000","1,459,000,000","1,273,000,000","933,000,000","1,072,000,000","1,397,000,000","1,390,000,000","1,075,000,000","1,136,000,000","747,000,000","559,000,000","368,000,000","521,000,000","383,000,000","-755,000,000","395,000,000","535,000,000","389,000,000","408,000,000","405,000,000"
EBITDA,"54,720,000,000"
ReconciledCostOfRevenue,"22,649,000,000","6,348,000,000","5,771,000,000","5,399,000,000","5,131,000,000","5,210,000,000","4,194,000,000","3,829,000,000","3,459,000,000","3,491,000,000","3,155,000,000","3,307,000,000","2,816,000,000","2,796,000,000","2,418,000,000","2,214,000,000","1,927,000,000","1,611,000,000","1,448,000,000","1,237,000,000","1,159,000,000","1,048,000,000","987,000,000","916,000,000","838,000,000","824,000,000","720,000,000","668,000,000","654,000,000","652,000,000","565,000,000","473,000,000","462,000,000","491,000,000","507,000,000","465,000,000","413,000,000","397,000,000","322,000,000","367,000,000","277,000,000","247,000,000","236,000,000","210,000,000","167,000,000"
ReconciledDepreciation,"7,967,000,000","2,014,000,000","1,995,000,000","1,986,000,000","1,972,000,000","1,863,000,000","1,698,000,000","1,704,000,000","1,597,000,000","1,468,000,000","1,416,000,000","1,502,000,000","1,355,000,000","1,225,000,000","1,107,000,000","1,034,000,000","949,000,000","853,000,000","772,000,000","729,000,000","671,000,000","614,000,000","591,000,000","585,000,000","552,000,000","543,000,000","486,000,000","459,000,000","457,000,000","433,000,000","289,000,000","257,000,000","264,000,000","274,000,000","274,000,000","222,000,000","241,000,000","224,000,000","176,000,000","139,000,000","110,000,000","103,000,000","97,000,000","72,000,000","51,000,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"39,370,000,000","10,285,000,000","9,194,000,000","10,394,000,000","9,497,000,000","11,219,000,000","7,846,000,000","5,178,000,000","4,902,000,000","7,349,000,000","6,091,000,000","2,616,000,000","2,429,000,000","6,882,000,000","5,137,000,000","5,106,000,000","4,988,000,000","4,269,000,000","4,707,000,000","3,894,000,000","3,064,000,000","4,273,000,000","2,379,000,000","2,055,000,000","1,510,000,000","1,561,000,000","896,000,000","719,000,000","512,000,000","701,000,000","806,000,000","791,000,000","642,000,000","523,000,000","425,000,000","333,000,000","219,000,000","64,000,000","-59,000,000","-157,000,000","205,000,000","302,000,000","227,000,000","240,000,000","233,000,000"
TotalUnusualItemsExcludingGoodwill,"-140,000,000","1,000,000","-48,000,000",,"-93,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-18,000,000","6,000,000","-12,000,000","14,000,000","-12,000,000","-25,000,000","1,000,000","17,000,000"
TotalUnusualItems,"-140,000,000","1,000,000","-48,000,000",,"-93,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-18,000,000","6,000,000","-12,000,000","14,000,000","-12,000,000","-25,000,000","1,000,000","17,000,000"
NormalizedEBITDA,"54,860,000,000","14,598,000,000","12,466,000,000","14,353,000,000","13,443,000,000","14,638,000,000","9,738,000,000","7,667,000,000","7,490,000,000","11,172,000,000","8,601,000,000","6,128,000,000","4,672,000,000","9,502,000,000","6,888,000,000","6,897,000,000","6,398,000,000","8,602,000,000","5,894,000,000","5,130,000,000","3,998,000,000","5,266,000,000","3,713,000,000","3,331,000,000","2,561,000,000","3,095,000,000","1,945,000,000","1,732,000,000","1,390,000,000","1,505,000,000","1,686,000,000","1,647,000,000","1,339,000,000","1,410,000,000","1,021,000,000","781,000,000","609,000,000","763,000,000","553,000,000","-604,000,000","491,000,000","650,000,000","511,000,000","479,000,000","439,000,000"
TaxRateForCalcs,"0.167","0.19","0.13","0.17","0.17","0.141","0.04","0.16","0.16","0.198","0.17","0.27","0.3","0.137","0.13","0.13","0.11","0.4","0.1","0.13","0.1","0.054","0.25","0.26","0.27","0.39","0.37","0.4","0.4","0.371","0.4","0.35","0.4","0.35","0.35","0.39","0.38","0.35","0.35","0.35","0.35","0.35","0.4","0.398","0.35"
TaxEffectOfUnusualItems,"-23,380,000","190,348.737","-6,240,000","0","-15,810,000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-6,300,000","2,100,000","-4,200,000","4,900,000","-4,200,000","-10,000,000","398,496.241","5,950,000"
