name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010
NetNonOperatingInterestIncomeExpense,"-1,727,000","-4,356,000","-5,325,000","2,580,000","5,374,000","-2,053,000","1,672,000","1,817,000","2,386,000","1,950,000","2,509,000","1,190,000","3,076,000","1,080,000","1,941,000","1,052,000","-551,000","1,799,000","1,416,000","802,000","584,000","1,432,000","1,067,000","1,138,000","1,211,000","1,409,000","865,000","1,299,000","1,158,000","1,368,000","1,261,000","1,164,000","976,000","832,000","846,000","769,000","630,000","519,000","486,000","460,000","476,000","329,000","385,000","428,000","187,000","68,000","171,000","188,000","59,000"
	InterestIncomeNonOperating,,,,"2,580,000","5,374,000",,"1,672,000","1,817,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"486,000",,,"329,000","385,000",,"189,000","80,000","175,000","199,000","108,000"
	InterestExpenseNonOperating,"1,727,000","4,356,000","5,325,000",,,"2,053,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,"2,000","12,000","4,000","11,000","49,000"
	TotalOtherFinanceCost,"1,727,000","4,356,000",,,,,,,"-2,386,000","-1,950,000","-2,509,000","-1,190,000","-3,076,000","-1,080,000","-1,941,000","-1,052,000","551,000","-1,799,000","-1,416,000","-802,000","-584,000","-1,432,000","-1,067,000","-1,138,000","-1,211,000","-1,409,000","-865,000","-1,299,000","-1,158,000","-1,368,000","-1,261,000","-1,164,000","-976,000","-832,000","-846,000","-769,000","-630,000","-519,000","-486,000","-460,000","-476,000",,,"-428,000",,,,,
OtherIncomeExpense,"-7,197,000","-1,362,000","-3,441,000","-4,693,000","2,299,000","-7,920,000","5,896,000","-9,167,000","6,524,000","-1,898,000","-3,105,000","-3,562,000","-3,484,000","-582,000","-514,000","1,830,000","-247,000","-1,772,000","-77,000","1,562,000","-2,955,000","-6,765,000","-1,728,000","-2,295,000","-1,290,000","1,559,000","32,000","-465,000","-5,754,000","-3,042,000","-718,000","-1,239,000","-1,241,000","-712,000","-720,000","-869,000","-499,000","-135,000","-635,000","-1,394,000","80,000","-407,000","-2,301,000","-2,400,000","-134,000","-752,000","121,000","-968,000","-582,000"
	GainOnSaleOfSecurity,"-7,197,000","-1,362,000","-3,441,000","-4,693,000","2,299,000","-7,920,000","5,896,000","-9,167,000","6,524,000","-1,898,000","-3,105,000","-3,562,000","-3,484,000","-582,000","-514,000","1,830,000","-247,000","-1,772,000","-77,000","1,562,000","-2,955,000","-6,765,000","-1,728,000","-2,295,000","-1,290,000","1,559,000","32,000","-465,000","-5,754,000","1,123,000","-718,000","-1,239,000","-1,241,000","-712,000","-720,000","-869,000","-499,000","-135,000","-635,000","-1,394,000","80,000","-500,000","-2,301,000","-703,000",,"-752,000",,,
	SpecialIncomeCharges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-4,165,000",,,,,,,,"0","0","0",,"93,000","0","-1,697,000","-134,000",,"1,550,000","-968,000","-582,000"
		RestructuringAndMergernAcquisition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,924,000",,,,,,,,,,,,,,,,,,,
		ImpairmentOfCapitalAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,241,000",,,,,,,,"0","0","0",,"0","0","1,697,000",,,"0",,
		OtherSpecialCharges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-93,000",,,,,,,
