name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986
	EarningsFromEquityInterest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"891,000","2,076,000","2,073,000","1,603,000","1,270,000",,,,,,,,,,,,,,,,"16,622,000","10,705,000","5,321,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,"8,000,000","0","0",,,"-2,642,000,000","0","0","0","0","0","0","-6,506,000,000","-2,692,000,000","-33,000,000",,,,,,,,,,,,,,,"0","0",,,"18,000,000","-1,100,000,000","0","0","-12,000,000","12,000,000","-199,000,000","20,000,000",,"7,000,000","-14,000,000","6,480,000","4,900,000","6,911,000","7,308,000","10,500,000","-63,354,000","9,362,000","7,635,000","-1,818,000","15,517,000","4,113,000","12,907,000","8,417,000","10,639,000","14,761,000","8,080,000","5,290,000","-4,266,000","1,927,000","121,383,000","2,524,000","-283,000","-4,214,000","1,944,000","2,848,000","-6,382,000","1,107,000","-1,685,000","4,363,000","4,453,000","660,000","2,564,000","637,000","-63,458,000","-573,000","64,397,000","-2,268,000","24,295,000","44,248,000","161,006,000","43,276,000","11,752,000","17,984,000","11,859,000","12,680,000","14,900,000","13,100,000","52,300,000","42,200,000","88,400,000","10,300,000","35,300,000","31,800,000","107,200,000","9,500,000","79,000,000","6,800,000","6,700,000","11,300,000","7,900,000","5,800,000","5,700,000","9,100,000","5,500,000","11,500,000","23,100,000","5,500,000","3,400,000","2,800,000","2,700,000","3,700,000","2,200,000","3,100,000","4,600,000","2,400,000","1,600,000","1,500,000","1,500,000","900,000","1,300,000","1,200,000","1,600,000","2,000,000","5,600,000","2,700,000","700,000","1,200,000","1,600,000",,,,,,,,,,,,,
		ImpairmentOfCapitalAssets,"0","0",,,,"2,642,000,000","0","0","0","0","0","0","6,506,000,000","2,726,000,000",,,,,,,,,,,,,,,,"0","0",,,"-8,000,000","1,100,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,"-8,000,000","0",,,,,,,,,,,,,"33,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"-180,000,000","-244,000,000","-22,000,000","52,000,000","34,000,000","-3,000,000","1,000,000","24,000,000","-98,000,000","-14,000,000","-44,000,000","44,000,000","-5,000,000","-19,000,000","25,000,000","16,000,000","21,000,000","11,000,000","14,000,000","-7,000,000","-6,000,000","2,000,000","-19,000,000","7,000,000","17,000,000","7,000,000","2,000,000","12,000,000","2,000,000","4,000,000","5,000,000","-7,000,000","9,000,000","7,000,000","9,000,000","4,000,000","39,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"2,701,000,000","679,000,000","716,000,000","674,000,000","632,000,000","-2,208,000,000","480,000,000","513,000,000","433,000,000","349,000,000","410,000,000","502,000,000","-6,027,000,000","-2,365,000,000","329,000,000","237,000,000","236,000,000","54,000,000","139,000,000","40,000,000","307,000,000","74,000,000","249,000,000","317,000,000","380,000,000","430,000,000","329,000,000","234,000,000","323,000,000","157,000,000","299,000,000","323,000,000","331,000,000","330,000,000","-1,005,000,000","394,000,000","505,000,000","374,000,000","422,000,000","123,000,000","331,000,000","189,000,000","234,000,000","165,000,000","339,233,000","358,861,000","372,672,000","387,047,000","413,505,000","343,961,000","247,923,000","112,141,000","110,487,000","138,513,000","135,357,000","144,431,000","141,788,000","126,511,000","183,770,000","182,249,000","126,412,000","116,216,000","124,161,000","238,069,000","112,703,000","322,747,000","148,394,000","138,179,000","127,083,000","137,056,000","139,802,000","135,137,000","135,377,000","130,072,000","137,081,000","134,988,000","129,818,000","68,633,000","97,122,000","61,568,000","66,133,000","81,237,000","147,424,000","246,295,000","78,100,000","88,554,000","113,250,000","98,613,000","85,768,000","93,500,000","104,700,000","126,700,000","104,500,000","87,300,000","93,000,000","110,700,000","96,500,000","160,400,000","66,300,000","128,800,000","52,800,000","46,300,000","58,000,000","52,200,000","47,200,000","44,700,000","50,800,000","42,000,000","45,700,000","57,300,000","39,800,000","34,300,000","30,100,000","26,400,000","29,400,000","26,100,000","24,300,000","28,900,000","24,500,000","20,900,000","18,400,000","18,700,000","15,200,000","13,000,000","10,700,000","12,100,000","11,900,000","13,900,000","10,800,000","8,100,000","9,000,000","8,100,000",,,,,,,,,,,,,
TaxProvision,"668,000,000","171,000,000","172,000,000","168,000,000","157,000,000","81,000,000","114,000,000","136,000,000","119,000,000","126,000,000","108,000,000","131,000,000","138,000,000","47,000,000","57,000,000","-55,000,000","121,000,000","-1,063,000,000","47,000,000","23,000,000","144,000,000","32,000,000","97,000,000","121,000,000","144,000,000","92,000,000","124,000,000","91,000,000","131,000,000","-31,000,000","111,000,000","130,000,000","128,000,000","91,000,000","40,000,000","125,000,000","207,000,000","141,000,000","152,000,000","49,000,000","131,000,000","82,000,000","94,000,000","63,000,000","127,742,000","133,399,000","141,083,000","147,921,000","160,548,000","116,085,000","99,876,000","42,813,000","43,107,000","38,441,000","50,624,000","52,264,000","53,028,000","11,478,000","70,568,000","69,984,000","48,542,000","44,465,000","47,678,000","85,701,000","43,278,000","45,780,000","56,983,000","53,061,000","47,467,000","52,567,000","53,610,000","51,853,000","52,098,000","47,630,000","46,102,000","47,621,000","45,899,000","25,398,000","33,503,000","21,360,000","23,276,000","31,474,000","55,119,000","92,054,000","31,378,000","31,433,000","46,026,000","40,768,000","36,484,000","32,800,000","40,200,000","73,200,000","43,400,000","35,100,000","38,300,000","46,500,000","38,800,000","62,100,000","24,900,000","45,600,000","19,700,000","16,200,000","21,600,000","19,300,000","17,500,000","14,900,000","18,900,000","15,800,000","18,700,000","22,400,000","15,200,000","12,800,000","10,900,000","7,300,000","11,800,000","9,600,000","8,600,000","8,700,000","9,100,000","8,000,000","6,900,000","6,500,000","5,200,000","4,600,000","3,800,000","3,900,000","4,400,000","5,200,000","4,000,000","2,000,000","3,300,000","2,800,000",,,,,,,,,,,,,
NetIncomeCommonStockholders,"2,033,000,000","508,000,000","544,000,000","506,000,000","475,000,000","-2,289,000,000","366,000,000","377,000,000","314,000,000","223,000,000","302,000,000","371,000,000","-6,165,000,000","-2,412,000,000","272,000,000","292,000,000","115,000,000","1,117,000,000","92,000,000","17,000,000","163,000,000","42,000,000","152,000,000","196,000,000","236,000,000","338,000,000","205,000,000","143,000,000","192,000,000","188,000,000","188,000,000","193,000,000","203,000,000","239,000,000","-1,045,000,000","269,000,000","298,000,000","232,000,000","270,000,000","74,000,000","200,000,000","107,000,000","140,000,000","102,000,000","211,095,000","225,166,000","231,167,000","238,771,000","252,601,000","230,179,000","280,848,000","69,030,000","67,154,000","100,072,000","84,733,000","92,167,000","88,760,000","114,665,000","113,202,000","112,265,000","77,870,000","71,371,000","76,483,000","152,368,000","69,425,000","78,137,000","91,311,000","85,018,000","79,516,000","84,389,000","86,092,000","83,185,000","83,179,000","82,342,000","90,879,000","87,268,000","83,819,000","44,345,000","607,749,000","78,763,000","70,767,000","49,763,000","92,305,000","154,241,000","46,722,000","57,121,000","67,224,000","57,845,000","49,284,000","60,700,000","64,500,000","53,500,000","61,100,000","51,800,000","54,700,000","64,200,000","57,700,000","98,200,000","41,300,000","83,100,000","33,000,000","30,000,000","36,200,000","32,800,000","29,700,000","29,800,000","31,900,000","26,200,000","27,000,000","34,900,000","24,600,000","21,500,000","19,200,000","19,600,000","17,600,000","16,500,000","15,200,000","5,000,000","15,400,000","12,900,000","11,500,000","12,100,000","10,000,000","8,400,000","6,900,000","8,100,000","7,500,000","8,700,000","6,800,000","6,100,000","5,700,000","5,300,000",,,,,,,,,,,,,
	NetIncome,"2,033,000,000","508,000,000","544,000,000","506,000,000","475,000,000","-2,289,000,000","366,000,000","377,000,000","314,000,000","223,000,000","302,000,000","371,000,000","-6,165,000,000","-2,412,000,000","272,000,000","292,000,000","115,000,000","1,117,000,000","92,000,000","17,000,000","163,000,000","42,000,000","152,000,000","196,000,000","236,000,000","338,000,000","205,000,000","143,000,000","192,000,000","188,000,000","188,000,000","193,000,000","203,000,000","239,000,000","-1,045,000,000","269,000,000","298,000,000","233,000,000","270,000,000","74,000,000","200,000,000","107,000,000","140,000,000","102,000,000","211,095,000","225,166,000","231,167,000","238,771,000","252,601,000","230,179,000","280,848,000","69,030,000","67,154,000","100,072,000","84,733,000","92,167,000","88,760,000","115,033,000","113,202,000","112,265,000","77,870,000","71,751,000","76,483,000","152,368,000","69,425,000","78,334,000","91,411,000","85,118,000","79,616,000","84,489,000","86,192,000","83,284,000","83,279,000","82,442,000","90,979,000","87,367,000","83,919,000","44,345,000","607,749,000","78,763,000","70,767,000","49,763,000","92,305,000","154,241,000","46,722,000","57,121,000","67,224,000","57,845,000","49,284,000","60,700,000","64,500,000","53,500,000","61,100,000","52,200,000","54,700,000","64,200,000","57,700,000","98,300,000","41,400,000","83,200,000","33,100,000","30,100,000","36,400,000","32,900,000","29,700,000","29,800,000","31,900,000","26,200,000","27,000,000","34,900,000","24,600,000","21,500,000","19,200,000","19,100,000","17,600,000","16,500,000","15,700,000","4,500,000","15,400,000","12,900,000","11,500,000","12,200,000","10,000,000","8,400,000","6,900,000","8,200,000","7,500,000","8,700,000","6,800,000","6,100,000","5,700,000","5,300,000",,,,,,,,,,,,,
		NetIncomeIncludingNoncontrollingInterests,"2,033,000,000","508,000,000","544,000,000","506,000,000","475,000,000","-2,289,000,000","366,000,000","377,000,000","314,000,000","223,000,000","302,000,000","371,000,000","-6,165,000,000","-2,412,000,000","272,000,000","292,000,000","115,000,000","1,117,000,000","92,000,000","17,000,000","163,000,000","42,000,000","152,000,000","196,000,000","236,000,000","338,000,000","205,000,000","143,000,000","192,000,000","188,000,000","188,000,000","193,000,000","203,000,000","239,000,000","-1,045,000,000","269,000,000","298,000,000","233,000,000","270,000,000","74,000,000","200,000,000","107,000,000","140,000,000","102,000,000","211,491,000","226,595,000","231,167,000","239,126,000","252,957,000","94,663,000","281,260,000","69,328,000","67,380,000","100,072,000","84,733,000","92,167,000","88,760,000","115,033,000","113,202,000","112,265,000","77,870,000","71,751,000","76,483,000","152,368,000","69,425,000","78,334,000","91,411,000","85,118,000","79,616,000","84,489,000","86,192,000","83,284,000","83,279,000","82,442,000","90,979,000","87,367,000","83,919,000","44,345,000","607,749,000","78,763,000","70,767,000","52,844,000","95,124,000","157,504,000","49,371,000","59,270,000","70,113,000","60,716,000","51,576,000","63,000,000","68,000,000","72,300,000","64,400,000","54,700,000","58,300,000","68,200,000","60,300,000","100,100,000","43,200,000","84,700,000","33,500,000","30,900,000","37,800,000","34,900,000","32,300,000","31,600,000","34,300,000","28,100,000","29,000,000","34,900,000","24,600,000","21,500,000","19,200,000","19,100,000","17,600,000","16,500,000","15,700,000","4,500,000","15,400,000","12,900,000","11,500,000","12,200,000","10,000,000","8,400,000","6,900,000","8,200,000","7,500,000","8,700,000","6,800,000","6,100,000","5,700,000","5,300,000","5,100,000","8,000,000","5,100,000","5,100,000","5,200,000","6,700,000","7,400,000","4,700,000","4,500,000","5,000,000","4,200,000","4,000,000","4,000,000"
