name,ttm,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989
	DepreciationAmortizationDepletionIncomeStatement,"34,529,000","9,000,000","8,646,000","8,570,000","8,313,000","8,390,000","9,284,000","9,931,000","10,250,000","9,364,000","10,080,000","10,111,000","10,316,000","10,784,000","10,704,000","10,651,000","10,736,000","9,539,000","7,808,000","7,906,000","7,864,000","8,036,000","6,493,000","7,055,000","7,024,000","6,935,000","6,938,000","6,188,000","6,436,000","6,442,000","6,517,000","6,537,000","6,376,000","5,378,000","5,693,000","5,744,000","5,875,000","5,887,000","5,343,000","4,835,000","4,905,000","3,521,000","3,544,000","3,553,000","3,756,000","3,748,000","3,243,000","2,561,000","2,985,000","2,793,000","3,129,000","2,956,000","2,941,000","3,786,000","3,035,000","4,548,000","6,591,000","6,591,000","6,671,000","6,650,000","6,644,000","6,644,000","6,691,000","6,775,000","7,131,000","15,999,000","16,948,000","24,451,000","36,928,000","36,951,000","34,536,000","34,092,000","34,351,000","34,484,000","32,836,000","33,077,000","9,169,000","28,783,000","31,999,000","22,186,000","4,356,000","4,044,000","4,498,000","4,163,000","4,179,000","4,172,000","17,187,000","17,179,000","15,104,000","14,300,000","14,600,000","13,700,000","12,200,000","11,500,000","11,500,000","10,800,000","10,500,000","11,400,000","8,300,000","7,500,000","8,300,000","6,300,000","5,700,000","5,300,000","4,200,000","3,500,000","4,100,000","2,700,000","4,500,000","4,100,000","3,500,000","2,900,000","2,800,000","2,000,000","1,800,000","2,000,000","1,700,000","1,500,000","1,500,000","1,200,000","1,500,000","1,400,000",,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,"34,529,000","9,000,000","8,646,000","8,570,000","8,313,000","8,390,000","9,284,000","9,931,000","10,250,000","9,364,000","10,080,000","10,111,000","10,316,000","10,784,000","10,704,000","10,651,000","10,736,000","9,539,000","7,808,000","7,906,000","7,864,000","8,036,000","6,493,000","7,055,000","7,024,000","6,935,000","6,938,000","6,188,000","6,436,000","6,442,000","6,517,000","6,537,000","6,376,000","5,378,000","5,693,000","5,744,000","5,875,000","5,887,000","5,343,000","4,835,000","4,905,000","3,521,000","3,544,000","3,553,000","3,756,000","3,748,000","3,243,000","2,561,000","2,985,000","2,793,000","3,129,000","2,956,000","2,941,000","3,786,000","3,035,000","4,548,000","6,591,000","6,591,000","6,671,000","6,650,000","6,644,000","6,644,000","6,691,000","6,775,000","7,131,000","15,999,000","16,948,000","24,451,000","36,928,000","36,951,000","34,536,000","34,092,000","34,351,000","34,484,000","32,836,000","33,077,000","9,169,000","28,783,000","31,999,000","22,186,000","4,356,000","4,044,000","4,498,000","4,163,000","4,179,000","4,172,000","17,187,000","17,179,000","15,104,000","14,300,000","14,600,000","13,700,000","12,200,000","11,500,000","11,500,000","10,800,000","10,500,000","11,400,000","8,300,000","7,500,000","8,300,000","6,300,000","5,700,000","5,300,000","4,200,000","3,500,000","4,100,000","2,700,000","4,500,000","4,100,000","3,500,000","2,900,000","2,800,000","2,000,000","1,800,000","2,000,000","1,700,000","1,500,000","1,500,000","1,200,000","1,500,000","1,400,000",,,,,,,,
			Amortization,"34,529,000","9,000,000","8,646,000","8,570,000","8,313,000","8,390,000","9,284,000","9,931,000","10,250,000","9,364,000","10,080,000","10,111,000","10,316,000","10,784,000","10,704,000","10,651,000","10,736,000","9,539,000","7,808,000","7,906,000","7,864,000","8,036,000","6,493,000","7,055,000","7,024,000","6,935,000","6,938,000","6,188,000","6,436,000","6,442,000","6,517,000","6,537,000","6,376,000","5,378,000","5,693,000","5,744,000","5,875,000","5,887,000","5,343,000","4,835,000","4,905,000","3,521,000","3,544,000","3,553,000","3,756,000","3,748,000","3,243,000","2,561,000","2,985,000","2,793,000","3,129,000","2,956,000","2,941,000","3,786,000","3,035,000","4,548,000","6,591,000","6,591,000","6,671,000","6,650,000","6,644,000","6,644,000","6,691,000","6,775,000","7,131,000","15,999,000","16,948,000","24,451,000","36,928,000","36,951,000","34,536,000","34,092,000","34,351,000","34,484,000","32,836,000","33,077,000","9,169,000","28,783,000","31,999,000","22,186,000","4,356,000","4,044,000","4,498,000","4,163,000","4,179,000","4,172,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AmortizationOfIntangiblesIncomeStatement,"34,529,000","9,000,000","8,646,000","8,570,000","8,313,000","8,390,000","9,284,000","9,931,000","10,250,000","9,364,000","10,080,000","10,111,000","10,316,000","10,784,000","10,704,000","10,651,000","10,736,000","9,539,000","7,808,000","7,906,000","7,864,000","8,036,000","6,493,000","7,055,000","7,024,000","6,935,000","6,938,000","6,188,000","6,436,000","6,442,000","6,517,000","6,537,000","6,376,000","5,378,000","5,693,000","5,744,000","5,875,000","5,887,000","5,343,000","4,835,000","4,905,000","3,521,000","3,544,000","3,553,000","3,756,000","3,748,000","3,243,000","2,561,000","2,985,000","2,793,000","3,129,000","2,956,000","2,941,000","3,786,000","3,035,000","4,548,000","6,591,000","6,591,000","6,671,000","6,650,000","6,644,000","6,644,000","6,691,000","6,775,000","7,131,000","15,999,000","16,948,000","24,451,000","36,928,000","36,951,000","34,536,000","34,092,000","34,351,000","34,484,000","32,836,000","33,077,000","9,169,000","28,783,000","31,999,000","22,186,000","4,356,000","4,044,000","4,498,000","4,163,000","4,179,000","4,172,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-8,659,000","-9,303,000","-16,285,000","-28,099,000","-28,099,000","-26,055,000","-25,562,000","-25,715,000","-25,240,000","-23,897,000","-23,856,000",,,"-137,836,000","103,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"978,629,000","358,782,000","208,542,000","217,074,000","194,231,000","148,348,000","195,745,000","208,621,000","155,567,000","96,267,000","143,161,000","146,932,000","129,945,000","147,379,000","72,553,000","63,991,000","129,190,000","107,436,000","97,261,000","111,396,000","66,513,000","108,979,000","89,403,000","76,722,000","87,700,000","73,203,000","57,558,000","61,234,000","75,927,000","86,835,000","57,500,000","67,227,000","63,834,000","60,156,000","51,014,000","54,995,000","79,503,000","60,981,000","39,490,000","63,395,000","17,136,000","70,003,000","56,317,000","58,179,000","51,685,000","46,662,000","33,257,000","50,793,000","44,968,000","55,092,000","24,922,000","61,089,000","54,668,000","67,572,000","65,304,000","54,832,000","49,937,000","53,839,000","38,976,000","25,098,000","37,348,000","19,822,000","11,434,000","13,153,000","8,111,000","10,690,000","7,311,000","9,974,000","7,771,000","9,446,000","-7,017,000","67,335,000","63,290,000","69,918,000","84,936,000","88,175,000","49,661,000","39,736,000","89,640,000","-76,922,000","19,503,000","9,098,000","13,114,000","1,751,000","-3,553,000","-11,563,000","-47,977,000","53,065,000","40,847,000","61,000,000","68,500,000","60,600,000","55,400,000","51,000,000","57,200,000","48,900,000","44,100,000","-9,200,000","41,700,000","26,400,000","15,600,000","20,400,000","19,100,000","17,600,000","16,300,000","15,900,000","14,700,000","13,500,000","12,400,000","11,300,000","17,800,000","5,000,000","8,600,000","6,800,000","6,600,000","5,600,000","4,400,000","3,500,000","3,200,000","2,800,000","2,400,000","2,000,000","-23,700,000","11,100,000","9,600,000","8,100,000","-11,400,000","5,500,000","5,500,000","5,500,000"
NetNonOperatingInterestIncomeExpense,"-136,000","358,000","-35,000","-100,000","-360,000","-429,000","-326,000","-161,000","-967,000","-125,000","528,000","-425,000","-1,914,000","-2,989,000","-2,662,000","-3,462,000","-2,953,000","-1,207,000","678,000","-305,000","-361,000","-75,000","174,000","-177,000","41,000","-93,000","-212,000","-59,000","-252,000","495,000","86,000","-421,000","-268,000","10,000","-43,000","-103,000","472,000","-129,000","431,000","-650,000","-485,000","478,000","431,000","521,000","552,000",,,"1,315,000","1,502,000","1,728,000",,"2,364,000","2,782,000","3,643,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"2,990,000","858,000","1,029,000","657,000","447,000","310,000","424,000","780,000","879,000","1,478,000","1,579,000","1,789,000","1,927,000","1,565,000","1,664,000","1,096,000","927,000","1,636,000","2,494,000","2,015,000","1,499,000","1,233,000","1,216,000","1,031,000","889,000","580,000","545,000","540,000","552,000","1,148,000","327,000","294,000","314,000","367,000","328,000","301,000","928,000","335,000",,,,"478,000","431,000","521,000","552,000",,,"1,315,000","1,502,000","1,728,000",,"2,364,000","2,782,000","3,643,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"3,126,000","500,000","1,064,000","757,000","807,000","739,000","750,000","941,000","1,846,000","1,603,000","1,051,000","2,214,000","3,841,000","4,554,000","4,326,000","4,558,000","3,880,000","2,843,000","1,816,000","2,320,000","1,860,000","1,308,000","1,042,000","1,208,000","848,000","673,000","757,000","599,000","804,000","653,000","241,000","715,000","582,000","357,000","371,000","404,000","456,000","464,000",,"0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	TotalOtherFinanceCost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"650,000","485,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-22,840,000","-31,897,000","-9,429,000","-3,637,000","22,124,000","29,185,000","-3,853,000","28,394,000","-44,434,000","3,431,000","-12,066,000","-13,596,000","5,886,000","2,665,000","-17,643,000","11,364,000","-6,938,000","13,874,000","1,987,000","1,700,000","-4,132,000","-543,000","-6,825,000","8,686,000","9,482,000","-8,768,000","-1,428,000","4,018,000","8,209,000","-10,715,000","4,542,000","3,965,000","4,493,000","11,018,000","8,086,000","3,280,000","6,732,000","10,878,000","2,811,000","-1,660,000","6,838,000","3,348,000","-3,193,000","-2,733,000","4,893,000","5,670,000","10,984,000","-4,361,000","7,403,000","522,000","15,679,000","3,020,000","7,663,000","-1,544,000","-30,795,000","-1,853,000","-4,952,000","-520,000","870,000","2,021,000","13,771,000","3,025,000","14,573,000","-1,266,000","-2,314,000","995,000","2,779,000","35,895,000","1,322,000","-501,000","-495,000","1,277,000","925,000","-1,069,000","2,052,000","3,707,000","-10,735,000","9,210,000","-130,259,000","-188,358,000","11,213,000","11,081,000","16,883,000","19,499,000","21,921,000","25,481,000","13,372,000","8,797,000","9,694,000","7,100,000","9,400,000","4,500,000","-6,600,000","8,500,000","-25,200,000","3,600,000","-5,500,000","4,900,000","-5,200,000","4,100,000","4,000,000","3,700,000","3,200,000","1,700,000","-38,000,000","1,900,000","3,000,000","-7,700,000","1,200,000","600,000","-5,800,000","600,000","-8,400,000","300,000","200,000","200,000","200,000","200,000","700,000","300,000","100,000","200,000",,,,,,,,
