name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008
	InterestExpenseNonOperating,"14,900,000","4,500,000","4,600,000","4,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	TotalOtherFinanceCost,,,,,"200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-7,000,000","-2,900,000","-5,200,000","2,000,000","-900,000","1,500,000","100,000","2,000,000","28,800,000","-600,000","-6,000,000","-400,000","-500,000","-2,300,000","900,000","-5,000,000","-200,000","-1,181,000","344,000","1,333,000","-128,000","-4,483,000","-3,070,000","-1,903,000","-1,640,000","-2,724,000","-6,536,000","-830,000","-677,000","-1,200,000","-1,005,000","-574,000","-389,000","-419,000","-1,151,000","-100,000","215,000","-170,000","-317,000","73,000","-71,000","-112,000","60,000","-207,000","-95,000","-250,000","-402,000","87,000","-250,000","50,000","-64,000","-282,000","494,000","1,539,000","875,000"
	SpecialIncomeCharges,,,,"1,200,000","1,100,000","1,200,000","1,100,000","1,100,000","36,800,000",,,,,"0","0",,"0","0","0","90,000","-430,000","-833,000","-2,283,000","-553,000","-328,000","-1,717,000","-5,883,000",,,,,,,,,,,,"-317,000","73,000","-71,000","-112,000","60,000","-207,000","-95,000","-250,000","-402,000","87,000","-250,000","50,000","-64,000","-282,000","494,000","1,539,000","875,000"
		RestructuringAndMergernAcquisition,,,,,,,,,,,,,,"0","0",,"0","0","0","-90,000","430,000","833,000","2,283,000","553,000","328,000","1,717,000","5,883,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,,,,"-1,200,000","-1,100,000","-1,200,000","-1,100,000","-1,100,000","-36,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		GainOnSaleOfPPE,,,,,,,,,"36,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"-7,000,000","-2,900,000","-5,200,000","2,000,000","-900,000","1,500,000","100,000","2,000,000","28,800,000","-600,000","-6,000,000","-400,000","-500,000","-2,300,000","900,000","-5,000,000","-200,000","-1,181,000","344,000","1,243,000","302,000","-3,650,000","-787,000","-1,350,000","-1,312,000","-1,007,000","-653,000","-830,000","-677,000","-1,200,000","-1,005,000","-574,000","-389,000","-419,000","-1,151,000","-100,000","215,000","-170,000",,,,,,,,,,,,,,,,,
PretaxIncome,"628,400,000","207,300,000","156,700,000","145,000,000","119,400,000","171,700,000","128,400,000","121,600,000","117,100,000","127,700,000","105,400,000","85,800,000","60,300,000","92,100,000","70,600,000","51,500,000","36,700,000","45,078,000","37,906,000","32,906,000","8,104,000","43,507,000","6,589,000","-3,690,000","-5,238,000","13,036,000","-1,160,000","3,486,000","1,643,000","20,118,000","15,785,000","11,887,000","13,759,000","25,542,000","18,410,000","15,014,000","16,975,000","36,270,000","26,771,000","22,226,000","19,729,000","27,371,000","27,124,000","19,435,000","18,143,000","21,082,000","18,271,000","10,266,000","6,722,000","7,808,000","10,040,000","5,228,000","4,437,000","8,554,000","4,690,000"
TaxProvision,"14,100,000","3,700,000","-9,300,000","7,500,000","12,200,000","25,000,000","5,000,000","9,500,000","13,100,000","12,500,000","25,600,000","13,100,000","1,500,000","-90,500,000","11,900,000","2,200,000","-4,900,000","74,039,000","11,296,000","9,873,000","-2,613,000","18,341,000","298,000","-2,302,000","-1,809,000","15,570,000","-9,329,000","2,694,000","83,000","13,305,000","11,729,000","5,806,000","5,366,000","13,526,000","7,381,000","6,035,000","4,726,000","14,763,000","9,565,000","8,276,000","5,556,000","10,877,000","9,207,000","4,941,000","4,556,000","4,941,000","4,254,000","3,397,000","2,504,000","-36,132,000","2,151,000","652,000","663,000","611,000","183,000"
