name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010
TotalRevenue,"1,382,049,000","412,719,000","351,519,000","316,057,000","301,754,000","264,839,000","178,503,000","125,538,000","205,545,000","210,032,000","180,057,000","134,094,000","100,150,000","92,289,000","78,002,000","75,896,000","69,972,000","79,674,000","77,038,000","74,704,000","54,751,000","90,601,000","88,684,000","79,185,000","64,121,000","65,629,000","102,874,000","102,093,000","86,653,000","105,207,000","99,113,000","82,004,000","57,580,000","67,056,000","62,046,000","58,167,000","45,577,000","57,568,000","60,813,000","55,697,000","42,600,000","57,134,000","44,728,000","29,592,000","18,069,000","20,615,000","18,690,000","10,769,000","11,587,000"
	OperatingRevenue,"1,382,049,000","412,719,000","351,519,000","316,057,000","301,754,000","264,839,000","178,503,000","125,538,000","205,545,000","210,032,000","180,057,000","134,094,000","100,150,000","92,289,000","78,002,000","75,896,000","69,972,000","79,674,000","77,038,000","74,704,000","54,751,000","90,601,000","88,684,000","79,185,000","64,121,000","65,629,000","102,874,000","102,093,000","86,653,000","105,207,000","99,113,000","82,004,000","57,580,000","67,056,000","62,046,000","58,167,000","45,577,000","57,568,000","60,813,000","55,697,000","42,600,000","57,134,000","44,728,000","29,592,000","18,069,000","20,615,000","18,690,000","10,769,000","11,587,000"
CostOfRevenue,"827,627,000","249,405,000","211,161,000","188,256,000","178,805,000","142,901,000","83,522,000","77,151,000","124,870,000","132,151,000","115,351,000","88,775,000","66,811,000","64,125,000","52,738,000","53,195,000","51,657,000","60,685,000","60,577,000","61,157,000","47,703,000","74,368,000","72,805,000","65,049,000","52,361,000","49,929,000","71,408,000","69,066,000","58,629,000","70,172,000","66,592,000","55,172,000","38,925,000","45,560,000","44,611,000","41,883,000","33,376,000","41,512,000","44,489,000","42,096,000","33,293,000","44,063,000","36,185,000","24,785,000","15,421,000","18,414,000","16,650,000","9,464,000","10,631,000"
GrossProfit,"554,422,000","163,314,000","140,358,000","127,801,000","122,949,000","121,938,000","94,981,000","48,387,000","80,675,000","77,881,000","64,706,000","45,319,000","33,339,000","28,164,000","25,264,000","22,701,000","18,315,000","18,989,000","16,461,000","13,547,000","7,048,000","16,233,000","15,879,000","14,136,000","11,760,000","15,700,000","31,466,000","33,027,000","28,024,000","35,035,000","32,521,000","26,832,000","18,655,000","21,496,000","17,435,000","16,284,000","12,201,000","16,056,000","16,324,000","13,601,000","9,307,000","13,071,000","8,543,000","4,807,000","2,648,000","2,201,000","2,040,000","1,305,000","956,000"
OperatingExpense,"338,590,000","105,619,000","103,007,000","68,401,000","61,563,000","42,824,000","43,222,000","37,533,000","35,963,000","32,308,000","30,531,000","27,241,000","25,837,000","21,620,000","23,050,000","23,259,000","20,790,000","19,131,000","18,291,000","19,185,000","21,896,000","25,266,000","30,893,000","29,924,000","30,848,000","30,871,000","29,687,000","33,396,000","33,572,000","33,084,000","30,628,000","29,320,000","24,440,000","23,107,000","22,780,000","21,775,000","21,912,000","22,235,000","24,521,000","21,106,000","18,587,000","16,901,000","14,978,000","14,297,000","11,605,000","8,881,000","7,822,000","5,827,000","4,689,000"
	SellingGeneralAndAdministration,"233,064,000","74,030,000","73,596,000","45,693,000","39,745,000","27,023,000","28,170,000","24,341,000","24,087,000","21,140,000","19,446,000","17,637,000","17,313,000","14,280,000","14,885,000","13,797,000","13,170,000","10,923,000","10,894,000","11,238,000","12,291,000","13,889,000","17,724,000","16,833,000","17,782,000","18,327,000","17,628,000","20,610,000","20,142,000","20,044,000","18,516,000","18,172,000","15,354,000","14,386,000","14,487,000","13,291,000","12,886,000","13,702,000","13,950,000","12,451,000","10,745,000","9,721,000","8,547,000","8,154,000","6,260,000","4,448,000","3,855,000","2,666,000","1,954,000"
		GeneralAndAdministrativeExpense,"104,090,000","29,560,000","34,300,000","20,107,000","20,123,000","12,884,000","13,525,000","11,970,000","12,315,000","10,450,000","9,895,000","8,583,000","9,880,000","7,663,000","7,510,000","6,969,000","6,943,000","5,983,000","5,441,000","4,964,000","5,833,000","6,297,000","6,708,000","6,846,000","7,567,000","7,405,000","7,118,000","8,102,000","8,205,000","8,246,000","8,632,000","7,679,000","6,526,000","6,071,000","5,937,000","5,926,000","6,036,000","6,177,000","6,911,000","6,091,000","5,696,000","4,109,000","3,980,000","3,889,000","3,250,000","1,979,000","1,900,000","1,387,000","1,099,000"
			OtherGandA,"104,090,000","29,560,000","34,300,000","20,107,000","20,123,000","12,884,000","13,525,000","11,970,000","12,315,000","10,450,000","9,895,000","8,583,000","9,880,000","7,663,000","7,510,000","6,969,000","6,943,000","5,983,000","5,441,000","4,964,000","5,833,000","6,297,000","6,708,000","6,846,000","7,567,000","7,405,000","7,118,000","8,102,000","8,205,000","8,246,000","8,632,000","7,679,000","6,526,000","6,071,000","5,937,000","5,926,000","6,036,000","6,177,000","6,911,000","6,091,000","5,696,000","4,109,000","3,980,000","3,889,000","3,250,000","1,979,000","1,900,000","1,387,000","1,099,000"
		SellingAndMarketingExpense,"128,974,000","44,470,000","39,296,000","25,586,000","19,622,000","14,139,000","14,645,000","12,371,000","11,772,000","10,690,000","9,551,000","9,054,000","7,433,000","6,617,000","7,375,000","6,828,000","6,227,000","4,940,000","5,453,000","6,274,000","6,458,000","7,592,000","11,016,000","9,987,000","10,215,000","10,922,000","10,510,000","12,508,000","11,937,000","11,798,000","9,884,000","10,493,000","8,828,000","8,315,000","8,550,000","7,365,000","6,850,000","7,525,000","7,039,000","6,360,000","5,049,000","5,612,000","4,567,000","4,265,000","3,010,000","2,469,000","1,955,000","1,279,000","855,000"
	ResearchAndDevelopment,"105,526,000","31,589,000","29,411,000","22,708,000","21,818,000","15,801,000","15,052,000","13,192,000","11,876,000","11,168,000","11,085,000","9,604,000","8,524,000","7,340,000","8,165,000","9,462,000","7,620,000","8,208,000","7,397,000","7,947,000","9,605,000","11,377,000","13,169,000","13,091,000","13,066,000","12,544,000","12,059,000","12,786,000","13,430,000","13,040,000","12,112,000","11,148,000","9,086,000","8,721,000","8,293,000","8,484,000","9,026,000","8,533,000","10,571,000","8,655,000","7,842,000","7,180,000","6,431,000","6,143,000","5,345,000","4,433,000","3,967,000","3,161,000","2,735,000"
OperatingIncome,"215,832,000","57,695,000","37,351,000","59,400,000","61,386,000","79,114,000","51,759,000","10,854,000","44,712,000","45,573,000","34,175,000","18,078,000","7,502,000","6,544,000","2,214,000","-558,000","-2,475,000","-142,000","-1,830,000","-5,638,000","-14,848,000","-9,033,000","-15,014,000","-15,788,000","-19,088,000","-15,171,000","1,779,000","-369,000","-5,548,000","1,951,000","1,893,000","-2,488,000","-5,785,000","-1,611,000","-5,345,000","-5,491,000","-9,711,000","-6,179,000","-8,197,000","-7,505,000","-9,280,000","-3,830,000","-6,435,000","-9,490,000","-8,957,000","-6,680,000","-5,782,000","-4,522,000","-3,733,000"
NetNonOperatingInterestIncomeExpense,"-44,457,000","-12,275,000","-12,518,000","-12,408,000","-7,256,000","-5,228,000","-5,883,000","-5,670,000","-2,064,000","-1,488,000","-1,392,000","-758,000","-3,540,000","-2,604,000","-2,469,000","-2,269,000","-2,292,000","-1,957,000","-1,760,000","-2,080,000","-2,139,000","-1,175,000","-1,234,000","-212,000","-152,000","-196,000","-140,000","-87,000","-78,000","-572,000","-356,000","-486,000","-449,000","-670,000","-437,000","-484,000","-464,000","-1,025,000","-524,000","-3,391,000","-1,479,000","-1,380,000","-886,000","-460,000","-276,000","-272,000","-271,000","-267,000","-65,000"
	InterestIncomeNonOperating,"695,000","414,000","110,000","98,000","73,000","673,000","110,000","282,000","1,091,000","815,000","894,000","593,000",,,,,,,,,,,,,,,,,,,,,,,,,,"0","3,000","14,000","0","0","0","0","4,000","5,000","9,000","15,000","10,000"
	InterestExpenseNonOperating,"45,152,000","12,689,000","12,628,000","12,506,000","7,329,000","5,901,000","5,993,000","5,952,000","3,155,000","2,303,000","2,286,000","1,351,000","3,540,000","2,604,000","2,469,000","2,269,000","2,292,000","1,957,000","1,760,000","2,080,000","2,139,000","1,175,000","1,234,000","212,000","152,000","196,000","140,000","87,000","78,000","572,000","356,000","486,000","449,000","670,000","437,000","484,000","464,000","1,025,000","527,000","3,405,000","1,479,000","1,380,000","886,000","460,000","280,000","277,000","280,000","282,000","75,000"
OtherIncomeExpense,"-50,447,000","5,121,000","874,000","-646,000","-55,796,000","-2,534,000","-1,031,000","-59,039,000","14,420,000","336,000","-1,412,000","-6,111,000","-849,000","-2,654,000","-2,967,000","-572,000","-126,000","-1,788,000","-3,448,000","-3,521,000","-6,187,000","-2,229,000","-2,364,000","-379,000","681,000","259,000","-704,000","79,000","-527,000","-562,000","-597,000","58,000","107,000","-113,000","-378,000","-297,000","-49,000","-233,000","-56,000","-338,000","640,000","-327,000","145,000","-338,000","-56,000","-71,000","-51,000","-62,000","-1,000"
	GainOnSaleOfSecurity,"6,050,000","5,236,000",,,"573,000","-3,836,000",,"-59,039,000","14,420,000","1,467,000","-943,000",,,"-1,113,000",,,,,,"88,000",,,,,,"259,000",,,,"-562,000","-597,000",,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,"-56,497,000","-115,000","0","-13,000","-56,369,000","0","0","0","0","-1,131,000","-469,000","-631,000","-368,000","-1,541,000","-2,588,000",,"0","-1,990,000","-4,071,000","-3,609,000","-7,247,000","-1,060,000","-2,717,000",,,,,,,,,,,,,,,,"-56,000","-338,000","640,000","-327,000","145,000","-338,000","-56,000","-71,000","-51,000","-62,000","-1,000"
		RestructuringAndMergernAcquisition,"0",,,,,"0","0","0","0","1,131,000","469,000","631,000","368,000","1,541,000","2,588,000",,"0","1,990,000","4,071,000","3,609,000","7,247,000","1,060,000","2,717,000",,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,"56,497,000","115,000",,"13,000","56,369,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"6,050,000","5,236,000","874,000","-633,000",,"-2,534,000","-1,031,000",,"-924,000","1,467,000","-943,000","-5,480,000","-481,000","-1,113,000","-379,000","-572,000","-126,000","202,000","623,000","88,000","1,060,000","-1,169,000","353,000","-379,000","681,000","259,000","-704,000","79,000","-527,000","-562,000","-597,000","58,000","107,000","-113,000","-378,000","-297,000","-49,000","-233,000",,,,,,,,,,,
