name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,10/31/1991,07/31/1991
	DepreciationAmortizationDepletionIncomeStatement,"395,320,000","133,633,000","114,238,000","72,573,000","74,876,000","74,295,000","71,704,000","73,559,000","69,397,000","68,439,000","68,874,000","69,005,000","71,561,000","74,266,000","74,972,000","79,760,000","81,382,000","85,024,000","88,443,000","95,270,000","92,074,000","90,884,000","96,827,000","82,753,000","84,856,000","86,095,000","103,708,000","80,155,000","74,569,000","66,651,000","69,188,000","65,963,000","61,231,000","61,192,000","63,158,000","63,409,000","62,738,000","61,654,000","65,631,000","63,124,000","64,098,000","60,538,000","60,372,000","61,521,000","66,243,000","62,291,000","60,923,000","60,232,000","61,577,000","59,723,000","55,596,000","55,226,000","56,140,000","51,636,000","52,939,000","50,902,000","48,681,000","53,385,000","48,131,000","46,910,000","42,218,000","39,356,000","36,842,000","35,673,000","29,683,000","26,578,000","26,627,000","27,254,000","26,031,000","24,812,000","24,304,000","26,182,000","26,858,000","25,156,000","21,593,000","20,573,000","19,867,000","17,852,000","18,971,000","19,138,000","18,846,000","18,580,000","18,490,000","18,930,000","18,210,000","18,277,000","18,098,000","17,679,000","17,074,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,"395,320,000","133,633,000","114,238,000","72,573,000","74,876,000","74,295,000","71,704,000","73,559,000","69,397,000","68,439,000","68,874,000","69,005,000","71,561,000","74,266,000","74,972,000","79,760,000","81,382,000","85,024,000","88,443,000","95,270,000","92,074,000","90,884,000","96,827,000","82,753,000","84,856,000","86,095,000","103,708,000","80,155,000","74,569,000","66,651,000","69,188,000","65,963,000","61,231,000","61,192,000","63,158,000","63,409,000","62,738,000","61,654,000","65,631,000","63,124,000","64,098,000","60,538,000","60,372,000","61,521,000","66,243,000","62,291,000","60,923,000","60,232,000","61,577,000","59,723,000","55,596,000","55,226,000","56,140,000","51,636,000","52,939,000","50,902,000","48,681,000","53,385,000","48,131,000","46,910,000",,"39,356,000","36,842,000","35,673,000","29,683,000","26,578,000","26,627,000","27,254,000","26,031,000","24,812,000","24,304,000","26,182,000","26,858,000","25,156,000","21,593,000","20,573,000","19,867,000","17,852,000","18,971,000","19,138,000","18,846,000","18,580,000","18,490,000","18,930,000","18,210,000","18,277,000","18,098,000","17,679,000","17,074,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ProvisionForDoubtfulAccounts,,,,,,,,,,"0","0","0","0","1,682,000","1,389,000","1,051,000","2,131,000","1,429,000","701,000","2,096,000","1,404,000","-189,000","1,092,000","1,185,000","3,475,000","751,000","1,920,000","1,107,000","2,297,000","270,000","992,000","1,901,000","1,717,000","1,066,000","2,118,000","3,266,000","1,960,000","80,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherTaxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-49,900,000","-49,800,000","-53,900,000","-50,600,000","-47,000,000","-33,000,000","-30,600,000",,"-24,400,000","-21,200,000","-21,400,000",,"-18,900,000","-20,500,000","-20,900,000","-18,300,000","-18,100,000","-18,200,000","-17,500,000","-37,900,000","-17,100,000","-17,400,000","-16,600,000","-19,700,000","-17,500,000","-17,300,000","-16,800,000","-16,300,000","-15,400,000","-15,800,000","-16,100,000","-18,900,000","-19,400,000"
	OtherOperatingExpenses,"222,882,000","77,402,000","52,063,000","46,897,000","46,520,000","49,846,000","42,844,000","38,940,000","42,408,000","48,110,000","39,758,000","43,217,000","40,896,000","40,373,000","39,265,000","41,325,000","43,331,000","39,925,000","33,197,000","35,435,000","34,230,000","40,544,000","32,590,000","33,223,000","34,553,000","40,054,000","34,915,000","36,109,000","33,902,000","29,507,000","32,143,000","31,394,000","29,672,000","30,588,000","27,547,000","31,445,000","28,849,000","37,943,000",,,,,,,,,,,"3,374,000",,,"-14,046,000",,"30,362,000","-17,642,000","-27,380,000",,"52,020,000","45,807,000","-1,282,000","-22,333,000","-19,555,000","-18,003,000","-11,572,000","-8,105,000","-9,371,000","-7,365,000","-6,842,000","-1,066,000","-5,237,000","-3,944,000","-2,984,000","-541,000","-4,367,000","-1,714,000","2,356,000","6,287,000","-53,487,000","22,312,000","24,514,000","24,406,000","21,401,000","20,937,000","21,673,000","25,416,000","21,467,000","20,804,000","21,983,000","22,022,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"447,233,000","128,435,000","122,130,000","102,205,000","94,463,000","82,630,000","73,279,000","62,408,000","114,435,000","112,288,000","110,052,000","110,089,000","114,683,000","107,425,000","105,542,000","107,222,000","111,584,000","112,137,000","102,789,000","95,630,000","94,254,000","96,957,000","86,153,000","105,880,000","105,099,000","99,882,000","81,045,000","107,671,000","100,357,000","83,669,000","95,937,000","96,145,000","82,427,000","73,711,000","83,494,000","84,350,000","80,332,000","69,874,000","75,625,000","79,778,000","71,556,000","79,636,000","71,124,000","75,286,000","59,509,000","110,985,000","59,474,000","77,392,000","81,885,000","76,288,000","64,021,000","66,585,000","70,994,000","19,278,000","70,058,000","84,468,000","100,351,000","47,481,000","50,222,000","100,347,000","115,694,000","106,241,000","112,326,000","110,834,000","104,394,000","99,195,000","97,095,000","94,975,000","95,074,000","92,222,000","91,880,000","97,433,000","103,379,000","91,310,000","89,146,000","86,506,000","89,293,000","137,054,000","61,885,000","64,166,000","65,207,000","67,374,000","67,812,000","70,628,000","70,184,000","70,090,000","70,419,000","68,765,000","67,039,000","-224,850,000","158,700,000","156,200,000","164,600,000","-144,636,713","144,200,000","102,100,000","94,500,000","-94,436,824","75,600,000","67,400,000","66,900,000","-89,214,981","61,600,000","63,600,000","62,200,000","54,200,000","54,400,000","53,500,000","51,200,000","69,800,000","47,600,000","47,500,000","45,900,000","47,100,000","41,500,000","42,800,000","38,700,000","36,000,000","34,300,000","34,300,000","34,600,000","33,800,000","39,200,000"
NetNonOperatingInterestIncomeExpense,"-204,133,000","-57,479,000","-52,126,000","-46,812,000","-47,716,000","-45,887,000","-46,942,000","-48,015,000","-46,060,000","-45,757,000","-43,146,000","-44,097,000","-44,395,000","-42,881,000","-44,081,000","-46,434,000","-49,943,000","-49,317,000","-47,258,000","-46,090,000","-46,482,000","-42,014,000","-45,667,000","-49,421,000","-52,041,000","-54,659,000","-47,894,000","-23,112,000","-51,225,000","-47,922,000","-50,892,000","-51,982,000","-48,887,000","-43,003,000","-52,585,000","-47,493,000","-49,975,000","-53,482,000","-54,426,000","-55,053,000","-55,348,000","-54,886,000","-56,099,000","-46,872,000","-50,696,000","-49,358,000","-53,243,000","-54,443,000","-52,641,000","-47,128,000","-45,315,000","-45,743,000","-38,595,000","-52,255,000","-52,775,000","-53,637,000","-53,998,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,,,,,,,,,,,,,,,,,,,,,,"651,000","477,000","644,000",,"1,050,000","5,692,000","32,102,000","217,000","254,000","269,000","411,000","50,000","7,351,000","481,000","6,500,000","2,663,000","1,060,000","598,000","349,000","164,000","2,393,000","375,000","8,932,000","4,861,000","5,423,000","4,552,000","5,181,000","6,096,000","10,728,000","9,236,000","5,213,000","7,921,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"204,133,000","57,479,000","52,126,000","46,812,000","47,716,000","45,887,000","46,942,000","48,015,000","46,060,000","45,757,000","43,146,000","44,097,000","44,395,000","42,881,000","44,081,000","46,434,000","49,943,000","52,126,000","47,258,000","46,090,000","46,482,000","43,067,000","46,552,000","50,479,000","52,451,000","56,152,000","54,031,000","56,130,000","52,578,000","48,761,000","51,578,000","52,821,000","50,636,000","51,317,000","53,991,000","55,423,000","53,624,000","55,963,000","57,116,000","57,387,000","57,519,000","57,279,000","56,474,000","55,804,000","55,557,000","54,781,000","57,795,000","59,624,000","58,737,000","57,856,000","54,551,000","50,956,000","46,516,000","52,255,000","52,775,000","53,637,000","53,998,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	TotalOtherFinanceCost,,,,,,,,,,,,,,,,,,,,,,"-402,000","-408,000","-414,000","-410,000","-443,000","-445,000","-916,000","-1,136,000","-585,000","-417,000","-428,000","-1,699,000","-963,000","-925,000","-1,430,000","-986,000","-1,421,000","-2,092,000","-1,985,000","-2,007,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
