name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991
			DepreciationIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"124,390,000","123,045,000","122,345,000","121,718,000","115,958,000","108,132,000","109,331,000","102,023,000","102,159,000","101,312,000","101,020,000","99,975,000","99,762,000","100,608,000","99,288,000","97,661,000","96,579,000","94,644,000","90,667,000","88,715,000","88,669,000","85,587,000","85,538,000","85,148,000","82,827,000","81,763,000","76,819,000","74,927,000","67,665,000","62,323,000","57,506,000","54,663,000","56,556,000","52,009,000","50,300,000","48,500,000","47,200,000","47,614,000","52,000,000","47,400,000","47,600,000","43,300,000","47,100,000","27,600,000","25,900,000","23,300,000","23,200,000","23,600,000","21,100,000","21,300,000","21,500,000","19,200,000","18,200,000","19,600,000","19,600,000","19,200,000","19,500,000","22,000,000","21,700,000","21,400,000","21,500,000",,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"263,903,000",,,,,,,,,,,,,,,,"428,166,000","500,879,000","654,399,000",,"651,355,000","580,466,000","552,569,000",,"601,640,000","498,865,000","502,638,000",,"529,156,000","504,003,000","456,339,000",,"444,888,000","390,599,000","403,179,000",,"393,200,000","370,200,000","366,600,000",,"415,100,000","402,600,000","396,400,000","350,600,000","363,000,000","251,400,000","254,300,000","210,400,000","219,200,000","222,000,000","202,900,000","191,700,000","204,600,000","176,500,000","169,700,000","182,400,000","187,500,000","181,200,000","177,700,000",,,,,,,,,,,,
OperatingIncome,"-3,788,333,000","-989,678,000","-1,006,062,000","-982,913,000","-809,680,000","-804,683,000","-906,215,000","-1,125,990,000","-198,289,000","299,425,000","890,792,000","573,653,000","318,831,000","364,027,000","799,733,000","456,895,000","274,146,000","307,349,000","737,488,000","419,697,000","279,522,000","298,667,000","736,860,000","286,698,000","163,432,000","249,918,000","669,272,000","261,297,000","105,682,000","121,704,000","529,770,000","195,501,000","99,202,000","117,993,000","456,453,000","113,338,000","165,632,000","104,137,000","452,137,000","96,905,000","135,375,000","106,162,000","507,742,000","168,190,000","149,534,000","121,695,000","445,502,000","143,684,000","91,752,000","82,355,000","306,841,000","55,062,000","44,253,000","63,559,000","461,907,000","168,950,000","137,568,000","137,970,000","482,834,000","200,883,000","79,643,000","113,542,000","419,609,000","184,244,000","141,051,000","55,796,000","400,456,000","213,389,000","199,403,000","170,143,000","289,452,000","-99,741,000","-493,931,000","1,829,269,000","-402,194,000","-463,263,000","-437,627,000","1,669,589,000","-360,043,000","-368,345,000","-390,226,000","1,508,487,000","-317,899,000","-368,728,000","-366,255,000","1,301,208,000","-208,722,000","-259,403,000","-263,543,000","1,195,374,000","-195,000,000","-262,100,000","-258,200,000","1,278,335,000","-231,500,000","-281,100,000","-276,900,000","-292,000,000","-246,200,000","-184,000,000","-193,500,000","-174,800,000","-145,800,000","-163,200,000","-153,700,000","-160,800,000","-138,600,000","-131,800,000","-127,400,000","-151,100,000","-127,100,000","-132,900,000","-132,100,000","29,700,000","52,300,000","40,500,000","38,900,000","-619,100,000","286,800,000","255,400,000","215,200,000","-481,800,000","198,200,000","172,400,000","175,400,000"
NetNonOperatingInterestIncomeExpense,"-1,274,980,000","-280,311,000","-426,875,000","-300,141,000","-267,653,000","-267,810,000","-254,332,000","-213,683,000","-87,377,000","-89,562,000","-96,413,000","-104,962,000","-90,631,000","-91,282,000","-80,679,000","-68,766,000","-60,145,000","-56,455,000","-68,540,000","-70,821,000","-74,065,000","-74,586,000","-76,138,000","-73,064,000","-62,726,000","-60,346,000","-65,084,000","-73,848,000","-66,422,000","-62,047,000","-57,983,000","-62,630,000","-65,295,000","-72,262,000","-76,355,000","-83,472,000","-86,435,000","-83,767,000","-80,233,000","-84,134,000","-86,320,000","-82,636,000","-91,128,000","-86,490,000","-83,702,000","-84,433,000","-87,267,000","-82,483,000","-82,555,000","-76,409,000","-71,687,000","-67,168,000","-77,732,000","-84,745,000","-74,940,000","-78,071,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"16,773,000","3,456,000","3,786,000","4,670,000","4,861,000","5,279,000","5,017,000","5,206,000","5,534,000","5,194,000","5,625,000","6,342,000","9,784,000","6,138,000","5,831,000","13,098,000","7,733,000","13,345,000","4,693,000","5,811,000","6,252,000","5,981,000","6,472,000","5,683,000","2,720,000","3,781,000","1,735,000","2,772,000","3,737,000","2,321,000","2,117,000","2,630,000","3,276,000","3,447,000","3,299,000","3,405,000","3,747,000","5,269,000","4,744,000","4,972,000","6,346,000","7,989,000","7,070,000","6,478,000","3,781,000","4,696,000","1,815,000","1,363,000","1,369,000","1,902,000","2,225,000","1,159,000","1,730,000","2,973,000","5,620,000","3,015,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"1,291,753,000","283,767,000","430,661,000","304,811,000","272,514,000","273,089,000","259,349,000","218,889,000","92,911,000","94,756,000","102,038,000","111,304,000","100,415,000","97,420,000","86,510,000","81,864,000","67,878,000","69,800,000","73,233,000","76,632,000","80,317,000","80,567,000","82,610,000","78,747,000","65,446,000","64,127,000","66,819,000","76,620,000","70,159,000","64,368,000","60,100,000","65,260,000","68,571,000","75,709,000","79,654,000","86,877,000","90,182,000","89,036,000","84,977,000","89,106,000","92,666,000","90,625,000","98,198,000","92,968,000","87,483,000","89,129,000","89,082,000","83,846,000","83,924,000","78,311,000","73,912,000","68,327,000","79,462,000","87,718,000","80,560,000","81,086,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-197,186,000","-86,979,000","8,383,000","-64,180,000","-54,389,000","-294,442,000","-178,765,000","-292,175,000","-1,151,369,000","70,611,000","95,986,000","11,264,000","28,606,000","47,708,000","91,337,000","78,166,000","4,652,000","37,145,000","83,894,000","20,650,000","9,269,000","37,005,000","32,535,000","16,271,000","-1,566,000","17,227,000","-375,401,000","-2,482,000","5,970,000","50,111,000","18,461,000","4,802,000","-7,450,000","-38,713,000","-14,397,000","-5,119,000","-2,971,000","-413,173,000","-4,125,000","-16,424,000","-2,091,000","13,036,000","-17,656,000","11,791,000","25,720,000","5,445,000","-8,056,000","-655,000","78,250,000","-2,593,000","-4,762,000","-22,980,000","-2,759,000","22,665,000","24,920,000","-6,130,000","13,479,000","12,008,000","-8,268,000","6,927,000","5,162,000","1,357,000","-6,885,000","-909,000","34,535,000","-865,000","36,155,000","-60,293,000","8,782,000","8,895,000","-79,000","3,386,000","9,669,000","3,367,000","8,570,000","4,410,000","2,011,000","33,637,000","15,956,000","703,000","4,442,000","4,665,000","3,207,000","4,772,000","14,871,000","15,999,000","3,833,000","5,900,000","-3,503,000","22,000",,"10,000,000","16,100,000","-4,708,000","3,100,000","-2,400,000","-1,900,000","3,700,000","600,000","-800,000","-500,000","10,700,000","-500,000",,"-2,100,000","700,000","-500,000",,"18,700,000","-100,000","-200,000","-500,000","-200,000","0","-600,000","200,000",,,,,,,,,
	GainOnSaleOfSecurity,"-135,469,000","1,575,000","-29,085,000","-48,088,000","-59,871,000","-73,028,000","-78,013,000","-51,853,000","-10,392,000","60,587,000","103,654,000","33,045,000","33,694,000","42,524,000","95,169,000","44,311,000","28,752,000","35,888,000","85,120,000","23,359,000","11,880,000","33,518,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	EarningsFromEquityInterest,,,,,"-59,871,000","-73,028,000","-78,013,000","-51,853,000","-10,392,000","60,587,000","103,654,000","33,045,000","33,694,000","42,524,000","95,169,000","44,311,000","28,752,000","35,888,000","85,120,000","23,359,000","11,880,000","33,518,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,"-82,001,000","-42,067,000","238,000","-40,600,000","449,000","-211,866,000","-89,899,000","-156,497,000","-1,108,118,000",,,,,,,,"-23,343,000",,,,,"-1,825,000","-1,897,000","-4,425,000","-305,000","0","-411,267,000","0","0","-2,360,000","-308,000","86,000","-1,736,000","-43,024,000","-16,450,000",,,"-385,460,000","-7,485,000","-16,424,000","-2,091,000","13,036,000","-17,656,000","11,791,000","25,720,000","5,445,000","-8,056,000","-655,000","78,250,000","-2,593,000","-4,762,000","-22,980,000","-2,759,000","22,665,000","24,920,000","-6,130,000","13,479,000","12,008,000","-8,268,000","6,927,000","5,162,000","1,357,000","-6,885,000","-909,000","34,535,000","-865,000","36,155,000","-60,293,000","8,782,000","8,895,000","-79,000","3,386,000","9,669,000","3,367,000","8,570,000","4,410,000","2,011,000","33,637,000","15,956,000","703,000","4,442,000","4,665,000","3,207,000","4,772,000","14,871,000","15,999,000","3,833,000","5,900,000","-3,503,000","22,000",,"10,000,000","16,100,000","-4,708,000","3,100,000","-2,400,000","-1,900,000","3,700,000","600,000","-800,000","-500,000","10,700,000","-500,000",,"-2,100,000","700,000","-500,000",,"18,700,000","-100,000","-200,000","-500,000","-200,000","0","-600,000","200,000",,,,,,,,,
		RestructuringAndMergernAcquisition,,,,,,,,,,,,,,,,,,,,,,"1,825,000","1,897,000","4,425,000","305,000","0","0","0","0","2,360,000","308,000","-86,000","1,736,000","43,024,000","12,244,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		ImpairmentOfCapitalAssets,,,,"40,600,000",,,,,,,,,,,,,"23,343,000",,,,,"0","0",,,"0","411,267,000",,,,,,,"0",,,,"385,444,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
