name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013
		NetIncomeIncludingNoncontrollingInterests,"-1,016,000,000","-433,000,000","-231,000,000","72,000,000","-424,000,000","-557,000,000","-925,000,000","-99,996,000","-175,638,000","-13,219,000","37,055,000","18,936,000","38,229,000","-120,000","37,704,000","36,796,000","20,855,000","89,694,000","29,554,000","-46,328,000","1,021,000","960,000","9,682,000","10,791,000","3,370,000","110,153,000","5,399,000","4,795,000","-6,164,000","-10,834,000","-4,064,000","2,909,000","-2,333,000","7,078,000","3,184,000"
			NetIncomeContinuousOperations,"-986,000,000","-441,000,000","-227,000,000","102,000,000","-431,000,000","-558,000,000","-924,000,000","-99,996,000","-175,638,000","-13,219,000","37,055,000","18,936,000","38,229,000","-120,000","37,704,000","36,796,000","20,855,000","92,087,000","28,116,000","-47,283,000","1,021,000","960,000","9,682,000","10,791,000","3,370,000","110,153,000","5,399,000","4,795,000","-6,164,000","-10,834,000","-4,064,000","2,909,000","-2,333,000","7,078,000","3,184,000"
			NetIncomeDiscontinuousOperations,"-30,000,000","8,000,000","-4,000,000","-30,000,000","7,000,000","1,000,000","-1,000,000",,,,,,,,,,,,"1,438,000","955,000",,,,,,,,,,,,,,,
		MinorityInterests,"-3,000,000","-1,000,000","-2,000,000","-1,000,000","1,000,000","2,000,000","-1,000,000",,,,,,,,,,,,,"955,000",,,,,,,,,,"-103,000",,"0",,,
DilutedNIAvailtoComStockholders,"-1,019,000,000","-434,000,000","-233,000,000","72,000,000","-423,000,000","-555,000,000","-926,000,000","-99,996,000","-175,638,000","-13,219,000","37,055,000","18,936,000","38,229,000","-120,000","37,704,000","36,796,000","20,855,000","89,694,000","29,554,000","-46,328,000","1,021,000","960,000","9,682,000","10,791,000","3,370,000","110,153,000","5,399,000","4,795,000","-6,164,000","-10,937,000","-4,064,000","2,909,000","-2,333,000","7,078,000","3,184,000"
BasicEPS,,"-2.03","-1.1","0.34","-2.03","-1.91","-6.09","-1.25","-2.25","-0.17","0.48","0.24","0.49","-0.002","0.49","0.48","0.27","1.17","0.38","-0.69","0.02","0.02","0.21","0.23","0.07","2.36","0.07","0.1","-0.13","-0.24","-0.087","0.063","-0.05",,"0.069"
DilutedEPS,,"-2.03","-1.1","0.34","-2.03","-1.91","-6.09","-1.25","-2.25","-0.17","0.47","0.24","0.49","-0.002","0.48","0.47","0.27","1.15","0.38","-0.69","0.02","0.02","0.2","0.23","0.07","2.33","0.07","0.1","-0.13","-0.24","-0.087","0.063","-0.05",,"0.069"
BasicAverageShares,,"214,000,000","214,000,000","209,000,000","208,000,000","26,000,000","152,000,000","80,053,676","77,954,038","77,735,826","77,721,353","77,682,759","77,567,147","77,503,732","77,522,664","77,458,584","77,353,730","76,961,015","76,902,070","67,453,095","47,120,751","47,105,744","47,193,120","47,071,608","46,933,094","46,670,735","46,516,614","46,516,614","46,494,638","46,441,249","46,447,432","46,447,432","46,447,432",,"46,447,432"
DilutedAverageShares,,"214,000,000","214,000,000","211,000,000","208,000,000","26,000,000","152,000,000","80,053,676","77,954,038","77,735,826","78,449,747","78,725,289","78,589,110","77,503,732","78,283,588","78,258,629","78,080,049","77,998,742","77,959,689","68,469,191","48,081,281","47,849,554","47,834,644","47,721,075","47,534,761","47,227,127","46,763,589","46,657,618","46,494,638","46,441,249","46,447,432","46,447,432","46,447,432",,"46,447,432"
TotalOperatingIncomeAsReported,"1,460,000,000","122,000,000","532,000,000","590,000,000","186,000,000","-83,000,000","-152,000,000","-78,327,000","-123,180,000","58,912,000","124,907,000","102,550,000","123,604,000","86,726,000","91,769,000","77,414,000","54,194,000","33,914,000","78,924,000","-32,116,000","14,149,000","13,092,000","28,109,000","29,655,000","18,263,000","13,281,000","24,092,000","23,059,000","12,084,000","6,450,000","2,778,000","6,775,000","1,552,000","-1,035,000","7,092,000"
