name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,11/30/1995,08/31/1995,05/31/1995,02/28/1995,11/30/1994,08/31/1994
	InterestExpenseNonOperating,"285,254,000","72,087,000","72,829,000","73,324,000","67,014,000","60,469,000","73,658,000","81,381,000","88,603,000","92,050,000","88,589,000","131,666,000","131,519,000","128,300,000","125,927,000","119,692,000","113,516,000","108,997,000","109,623,000","107,962,000","104,429,000","103,932,000","104,581,000","102,894,000","102,884,000","103,259,000","103,481,000","104,248,000","97,392,000","97,949,000","99,878,000","106,132,000","106,335,000","107,609,000","108,421,000","108,096,000","105,817,000","95,970,000","70,494,000","60,709,000","61,381,000","61,750,000","60,848,000","59,897,000","58,595,000","53,879,000","39,490,000","43,655,000","44,583,000","44,831,000","45,535,000","47,088,000","48,301,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	TotalOtherFinanceCost,,,,,,,"86,074,000",,"2,948,000","0","21,242,000","12,160,000",,,,,,,,,,,,,,"0",,"48,072,000",,"0",,"97,548,000",,,,,,"8,901,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"33,315,000","764,000","1,114,000","22,211,000","9,226,000","5,404,000","-75,183,000","-2,365,000","13,493,000","13,006,000","-95,881,000","-2,003,000","-31,389,000","17,048,000","-7,416,000","31,395,000","4,737,000","-279,265,000","-584,393,000","-52,250,000","501,912,000","-35,029,000","380,487,000","-143,499,000","-72,637,000","-198,002,000","5,267,000","7,344,000","2,375,000","4,771,000","3,979,000","7,788,000","9,070,000","11,769,000","11,336,000","63,252,000","9,965,000","17,416,000","819,000","840,000","3,671,000","787,000","798,000","-23,444,000","841,000","-69,164,000","759,000","739,000","831,000","682,000","999,000","1,273,000","754,000","2,080,000","2,481,000","2,987,000","4,863,000","5,329,000","6,278,000","62,933,000","3,195,000","-273,791,000","41,239,000","2,973,000","3,874,000","1,864,000","356,000","-55,000","3,147,000","1,053,000","1,010,000","667,000","1,443,000","-8,926,000","-16,190,000","890,000","785,000","-1,192,000","1,124,000","5,673,000","-4,690,000","320,000","1,856,000","1,120,000","1,348,000","1,828,000","1,418,000","-16,398,000","1,395,000","-121,600,000","-3,300,000","-16,600,000","1,300,000","15,900,000","1,000,000","1,000,000","-91,200,000","700,000","700,000","500,000","400,000","-100,000","400,000","1,200,000","400,000",,,,,,
	EarningsFromEquityInterest,"26,937,000","3,152,000","8,704,000","7,023,000","8,058,000","-765,000","5,496,000","4,342,000","17,843,000","1,521,000","3,936,000","4,514,000","2,708,000","-10,610,000","-3,824,000","9,795,000","155,000","-3,184,000","-4,852,000","3,614,000","3,935,000","8,223,000","4,237,000","-505,000","1,387,000","7,601,000","2,783,000","5,033,000","2,908,000","4,542,000","5,225,000","6,095,000","7,372,000","8,319,000","9,223,000","7,649,000","9,367,000","8,063,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,"0","0","0","0",,"0","-86,074,000","-16,252,000","0","0","-105,097,000","-12,160,000","-41,037,000","28,152,000","-7,599,000","19,606,000","0","-281,566,000","-583,911,000","-61,117,000","493,734,000","-43,408,000","374,374,000","-146,209,000","-77,000,000","-206,169,000",,"0",,"0","0","0",,"0","0","56,977,000",,,"819,000","840,000","3,671,000","787,000","798,000","-23,444,000","841,000","-69,164,000","759,000","739,000","831,000","682,000","999,000","1,273,000","754,000","2,080,000","2,481,000","2,987,000","4,863,000","5,329,000","6,278,000","62,933,000","3,195,000","-273,791,000","41,239,000","2,973,000","3,874,000","1,864,000","356,000","-55,000","3,147,000","1,053,000","1,010,000","667,000","1,443,000","-8,926,000","-16,190,000","890,000","785,000","-1,192,000","1,124,000","5,673,000","-4,690,000","320,000","1,856,000","1,120,000","1,348,000","1,828,000","1,418,000","-16,398,000","1,395,000","-121,600,000","-3,300,000","-16,600,000","1,300,000","15,900,000","1,000,000","1,000,000","-91,200,000","700,000","700,000","500,000","400,000","-100,000","400,000","1,200,000","400,000",,,,,,
		RestructuringAndMergernAcquisition,,,,,,,"0","0","0","0","0","0","41,037,000","-28,152,000","1,506,000","-33,957,000","0","0",,,,"0","0","176,000,000","77,000,000",,,,,"0","0","0",,"0","0","-56,977,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		ImpairmentOfCapitalAssets,"0",,,,,"0","0","0","0","0","83,855,000","0","41,037,000","0","0","3,106,000","0","1,500,000","601,040,000","61,117,000","39,366,000","43,408,000","0","176,000,000","77,000,000","206,169,000",,,,,,,,,,,,,"0","0",,"0","0","24,000,000",,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		WriteOff,,,,,,,,,,"0","0","0",,"0","6,093,000","11,245,000","0","280,066,000",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,,,,,,"0","86,074,000","16,252,000",,"0","21,242,000","12,160,000",,,,,,,,,"-526,827,000",,,,,,,,,,,,,,,,,,"-819,000","-840,000",,"-787,000","-798,000","-556,000",,,"-759,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		GainOnSaleOfBusiness,"0","0","0","0",,"0","0","-16,252,000",,,,,,,,,,,"17,129,000","0","6,273,000","0","374,374,000","29,791,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
