name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997
NetNonOperatingInterestIncomeExpense,"-424,000,000","-93,000,000","-132,000,000","-100,000,000","-99,000,000","-125,000,000","-278,000,000","-130,000,000","-136,000,000","-170,000,000","-147,000,000","-180,000,000","-151,000,000","-142,000,000","-118,000,000","-112,000,000","-109,000,000","-126,000,000","-131,000,000","-113,000,000","-94,000,000","-162,000,000","-110,000,000","-132,000,000","-107,000,000","-107,000,000","-107,000,000","-232,000,000","-121,000,000","-119,000,000","-124,000,000","-187,000,000","-125,000,000","-118,000,000","-121,000,000","-119,000,000","-120,000,000","-197,000,000","-128,000,000","-122,000,000","-69,000,000","-60,000,000","-58,000,000","-59,000,000","-58,000,000","-87,000,000","-57,000,000","-56,000,000","-63,000,000","-70,000,000","-64,000,000","-32,000,000","-52,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"424,000,000","93,000,000","132,000,000","100,000,000","99,000,000","125,000,000","278,000,000","130,000,000","136,000,000","170,000,000","147,000,000","180,000,000","151,000,000","142,000,000","118,000,000","112,000,000","109,000,000","126,000,000","131,000,000","113,000,000","94,000,000","162,000,000","110,000,000","132,000,000","107,000,000","107,000,000","107,000,000","232,000,000","121,000,000","119,000,000","124,000,000","187,000,000","125,000,000","118,000,000","121,000,000","119,000,000","120,000,000","197,000,000","128,000,000","122,000,000",,,"58,000,000","59,000,000","58,000,000",,,,"63,000,000","70,000,000","64,000,000","52,000,000","52,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	TotalOtherFinanceCost,,,,,,,,,,"170,000,000","147,000,000","180,000,000","151,000,000","142,000,000","118,000,000","112,000,000","109,000,000","126,000,000","131,000,000","113,000,000","94,000,000","162,000,000","110,000,000","132,000,000","107,000,000","107,000,000","107,000,000","232,000,000","121,000,000","119,000,000","124,000,000","187,000,000","125,000,000","118,000,000","121,000,000","119,000,000","120,000,000","197,000,000",,,"69,000,000","60,000,000","58,000,000","59,000,000","58,000,000","87,000,000","57,000,000","56,000,000",,,,"32,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-12,000,000","-9,000,000","3,000,000","-7,000,000","1,000,000","-4,000,000","-4,000,000","-3,000,000","2,000,000","2,000,000","-1,000,000","-4,000,000","-6,000,000","-34,000,000","-20,000,000","-5,000,000","-2,000,000","-40,000,000","-20,000,000","-31,000,000","-4,000,000","-4,000,000","-3,000,000",,"-2,000,000","-3,000,000","1,000,000","5,000,000","29,000,000","5,000,000","3,000,000","-3,000,000","-1,000,000","1,000,000","1,000,000","-7,000,000","-11,000,000","-19,000,000","-48,000,000","-121,000,000","-9,000,000","-32,000,000","-4,000,000","1,000,000",,"-15,000,000","-5,000,000","-6,000,000","-5,000,000","-7,000,000",,"-22,000,000","-4,000,000","-1,133,000,000","1,000,000","-1,000,000",,"108,000,000","4,000,000","3,000,000",,,,"1,000,000",,"1,000,000","7,000,000","-1,000,000","2,000,000","-66,728,000","-140,809,000","-12,561,000","-160,902,000","-431,755,000","223,000","1,502,000","106,000","-278,824,000","221,000","3,048,000","280,000","76,000","438,000","-36,527,000","670,000","1,040,000","484,000","108,000","204,000","-19,000,000","400,000","-9,400,000","200,000","-12,500,000","-41,900,000","100,000","400,000","300,000"
	SpecialIncomeCharges,"-5,000,000","-1,000,000","0","-3,000,000","-1,000,000","-6,000,000","-6,000,000","-3,000,000","-2,000,000","-2,000,000","-2,000,000","-6,000,000","-9,000,000","-38,000,000","-20,000,000","-6,000,000","-3,000,000","-40,000,000","-25,000,000","-33,000,000","-2,000,000","-6,000,000","-4,000,000","-2,000,000","-2,000,000","-5,000,000","0","-1,000,000","26,000,000","1,000,000","-2,000,000","-7,000,000","-2,000,000","-1,000,000","-1,000,000","-7,000,000","-12,000,000","-32,000,000","-48,000,000","-121,000,000","-9,000,000","-32,000,000","-4,000,000","1,000,000","0","-15,000,000","-5,000,000","-6,000,000","-5,000,000","-7,000,000","0","-22,000,000","-4,000,000","-1,133,000,000","1,000,000","-1,000,000",,"108,000,000","4,000,000","3,000,000",,,,"1,000,000",,"1,000,000","7,000,000","-1,000,000","2,000,000","-66,728,000","-140,809,000","-12,561,000","-160,902,000","-431,755,000","223,000","1,502,000","106,000","-278,824,000","221,000","3,048,000","280,000","76,000","438,000","-36,527,000","670,000","1,040,000","484,000","108,000","204,000","-19,000,000","400,000","-9,400,000","200,000","-12,500,000","-41,900,000","100,000","400,000","300,000"
		RestructuringAndMergernAcquisition,"5,000,000","1,000,000","0","3,000,000","1,000,000","6,000,000","6,000,000","3,000,000","2,000,000","2,000,000","2,000,000","6,000,000","9,000,000","38,000,000","20,000,000","6,000,000","3,000,000","40,000,000","25,000,000","33,000,000","2,000,000","6,000,000","4,000,000","2,000,000","2,000,000","5,000,000","0","1,000,000","-26,000,000","-1,000,000","2,000,000","7,000,000","2,000,000","1,000,000","1,000,000","7,000,000","12,000,000","19,000,000","48,000,000","133,000,000","10,000,000","33,000,000","2,000,000","2,000,000","1,000,000","15,000,000","7,000,000","6,000,000","6,000,000","6,000,000","1,000,000","20,000,000","4,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"28,922,000",,,,,,,,,,,,,,
		OtherSpecialCharges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-12,000,000","-1,000,000","-1,000,000","2,000,000","-3,000,000","-1,000,000","0","-2,000,000",,"-1,000,000",,"-1,000,000","2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-76,000",,"7,605,000",,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"-7,000,000","-8,000,000","3,000,000","-4,000,000","2,000,000","2,000,000","2,000,000",,"4,000,000","4,000,000","1,000,000","2,000,000","3,000,000","4,000,000",,"1,000,000","1,000,000","0","5,000,000","2,000,000","-2,000,000","2,000,000","1,000,000","2,000,000",,"2,000,000","1,000,000","6,000,000","3,000,000","4,000,000","5,000,000","4,000,000","1,000,000","2,000,000","2,000,000",,"1,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"1,846,000,000","644,000,000","550,000,000","377,000,000","275,000,000","387,000,000","275,000,000","251,000,000","226,000,000","433,000,000","510,000,000","351,000,000","220,000,000","425,000,000","460,000,000","359,000,000","232,000,000","336,000,000","322,000,000","229,000,000","161,000,000","242,000,000","303,000,000","217,000,000","147,000,000","292,000,000","340,000,000","149,000,000","182,000,000","311,000,000","303,000,000","142,000,000","94,000,000","226,000,000","218,000,000","131,000,000","30,000,000","39,000,000","94,000,000","-64,000,000","19,000,000","56,000,000","96,000,000","39,000,000","-27,000,000","-40,000,000","38,000,000","3,000,000","-64,000,000","-49,000,000","4,000,000","-29,000,000","-33,000,000","-1,065,000,000","117,000,000","76,000,000","59,000,000","240,000,000","172,000,000","116,000,000","50,000,000","122,000,000","154,000,000","96,000,000","33,000,000","83,000,000","126,000,000","82,000,000","19,000,000","79,543,000","-46,538,000","56,479,000","-177,584,000","-383,558,000","56,582,000","38,054,000","-14,300,000","-264,398,000","66,788,000","83,794,000","12,432,000","54,997,000","106,072,000","47,649,000","5,832,000","62,178,000","128,874,000","80,682,000","29,762,000","75,200,000","95,300,000","43,900,000","27,500,000","36,600,000","-1,800,000","9,500,000","4,400,000",
TaxProvision,"460,000,000","163,000,000","141,000,000","84,000,000","72,000,000","90,000,000","67,000,000","39,000,000","53,000,000","95,000,000","119,000,000","81,000,000","45,000,000","115,000,000","127,000,000","89,000,000","49,000,000","-561,000,000","123,000,000","88,000,000","52,000,000","89,000,000","116,000,000","83,000,000","55,000,000","123,000,000","125,000,000","63,000,000","67,000,000","117,000,000","111,000,000","48,000,000","34,000,000","86,000,000","75,000,000","48,000,000","9,000,000","-2,000,000","21,000,000","-12,000,000","6,000,000","28,000,000","31,000,000","11,000,000","-7,000,000","-23,000,000","15,000,000","-9,000,000","-24,000,000","-25,000,000","4,000,000","-12,000,000","-14,000,000","-212,000,000","43,000,000","39,000,000","21,000,000","87,000,000","61,000,000","49,000,000","18,000,000","44,000,000","59,000,000","40,000,000","13,000,000","34,000,000","50,000,000","32,000,000","7,000,000","27,521,000","17,843,000","21,617,000","-70,981,000","-92,696,000","24,698,000","14,663,000","-5,577,000","-55,447,000","26,021,000","32,680,000","4,848,000","22,823,000","44,020,000","22,714,000","2,420,000","25,804,000","53,483,000","33,483,000","12,351,000","30,800,000","39,100,000","18,000,000","11,300,000","18,300,000","8,400,000","3,900,000","1,800,000",
