name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996
TotalOperatingIncomeAsReported,"236,620,000","-24,855,000","84,465,000","84,677,000","92,333,000","135,285,000","128,305,000","143,671,000","201,547,000","185,361,000","110,831,000","117,082,000","122,844,000","202,471,000","164,779,000","145,147,000","165,563,000","189,699,000","136,713,000","121,941,000","122,644,000","231,290,000","153,827,000","153,087,000","110,954,000","112,406,000","63,798,000","122,149,000","51,732,000","117,408,000","58,597,000","54,419,000","71,887,000","160,854,000","87,367,000","75,888,000","56,608,000","145,421,000","82,415,000","82,192,000","80,750,000","135,814,000","104,679,000","95,590,000","80,883,000","113,346,000","81,477,000","73,818,000","52,075,000","77,848,000","56,100,000","39,726,000","5,003,000","63,121,000","47,699,000","28,890,000","30,291,000","49,458,000","59,984,000","54,734,000","38,231,000","51,542,000","47,897,000","51,176,000","52,729,000","66,993,000","44,793,000","49,063,000","43,642,000","58,879,000","46,323,000","37,092,000","16,697,000","42,247,000","38,716,000","35,498,000","37,928,000","45,274,000","17,368,000","10,276,000","30,942,000","34,179,000","32,384,000","31,192,000","35,596,000","29,882,000","25,911,000","15,902,000","49,611,000","50,100,000","45,400,000","41,100,000","37,100,000","92,500,000","22,100,000","-9,500,000","-1,400,000","16,500,000","17,200,000","10,700,000","10,200,000","6,800,000","4,800,000","3,800,000","2,500,000"
TotalExpenses,"2,877,227,000","772,380,000","693,980,000","727,434,000","683,433,000","674,371,000","638,865,000","645,730,000","656,945,000","618,237,000","613,191,000","627,304,000","593,467,000","595,812,000","568,183,000","589,781,000","525,442,000","531,923,000","545,660,000","569,146,000","531,749,000","657,652,000","657,783,000","671,954,000","653,972,000","754,197,000","735,706,000","660,076,000","675,119,000","730,936,000","697,273,000","722,630,000","669,282,000","641,566,000","625,364,000","654,496,000","616,291,000","594,575,000","559,007,000","533,018,000","508,745,000","483,552,000","460,669,000","435,200,000","409,981,000","416,329,000","390,669,000","384,280,000","361,697,000","369,666,000","344,881,000","351,066,000","343,325,000","351,436,000","351,194,000","362,840,000","336,150,000","341,501,000","289,947,000","279,630,000","268,657,000","269,460,000","228,954,000","224,292,000","207,269,000","196,385,000","170,677,000","158,473,000","154,930,000","154,688,000","141,255,000","141,210,000","125,913,000","115,497,000","105,625,000","107,551,000","105,563,000","103,510,000","101,530,000","107,180,000","111,368,000","123,869,000","121,111,000","113,502,000","97,216,000","93,472,000","87,580,000","90,184,000","77,904,000","68,000,000","60,400,000","53,300,000","47,900,000","-17,000,000","45,500,000","65,700,000","50,700,000","26,400,000","17,700,000","13,800,000","11,400,000","8,700,000","6,900,000","5,700,000","5,300,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"307,499,000","102,898,000","51,787,000","62,766,000","90,048,000","112,091,000","98,227,000","112,906,000","181,222,000","207,113,000","270,857,000","93,495,000","110,348,000","165,718,000","158,857,000","106,833,000","144,259,000","-283,889,000","126,720,000","108,829,000","27,621,000","199,850,000","131,901,000","120,898,000","83,463,000","131,274,000","55,925,000","103,275,000","28,887,000","95,228,000","47,532,000","53,024,000","55,939,000","138,644,000","76,730,000","64,461,000","59,688,000","114,029,000","78,245,000","92,006,000","68,267,000","108,699,000","92,176,000","81,944,000","73,503,000","94,380,000","87,779,000","47,557,000","47,349,000","88,148,000","53,423,000","42,519,000","6,927,000","60,100,000","49,149,000","34,649,000","34,378,000","62,765,000","60,695,000","53,390,000","37,633,000","45,250,000","46,618,000","46,450,000","44,679,000","58,941,000","40,953,000","27,886,000","38,560,000","52,298,000","38,448,000","31,475,000","9,325,000","36,275,000","30,995,000","29,344,000","30,329,000","39,567,000","16,815,000","10,849,000","26,689,000","25,641,000","27,790,000","22,894,000","28,935,000","19,377,000","21,617,000","14,973,000","38,545,000","34,000,000","29,300,000","27,800,000","25,800,000","49,000,000","15,700,000","-4,400,000","800,000","12,500,000","13,100,000","8,300,000","7,500,000","6,900,000","5,300,000","3,600,000","2,900,000"
NormalizedIncome,"382,924,790","102,898,000","51,787,000","62,766,000","90,048,000","112,091,000","98,227,000","121,243,000","183,554,803","211,657,250","277,338,670","97,254,192","112,993,088","168,886,200.582","158,372,944","112,879,281","150,173,772","-250,148,000","134,818,744","110,866,280","75,295,400","217,392,242.307","158,459,336","135,769,431","132,915,128","154,170,000","64,184,600","116,835,222","56,421,261","98,003,468.12","50,612,264","55,956,150","63,794,100","138,644,000","76,730,000","64,461,000","59,688,000","119,890,296.597","72,715,220.687","91,664,750","67,684,045.843","108,962,615.435","96,610,072.789","80,843,498.52","70,510,412.549","95,037,428.956","86,495,250","49,602,078.977","47,405,641.605","90,505,550","52,046,854.678","43,777,626.945","21,325,800","58,661,482.746","53,005,187.264","35,851,461.604","35,966,437.078","68,875,650","60,659,464.77","53,306,630.231","38,402,073.998","44,942,561.613","47,685,237.703","46,366,185.22","45,213,472.113","59,226,057.829","46,736,168.914","28,108,000","38,192,837.267","51,923,721.27","37,884,798.388","31,324,897.091","29,022,522.026","35,290,712.325","30,778,939.024","28,056,108.632","30,062,577.892","40,454,628.383","17,529,846.469","11,859,400","26,589,461.343","-2,041,012.836","24,661,511.856","26,624,344.834","28,935,000","19,377,000","21,617,000","14,973,000","38,545,000","34,000,000","30,771,397.38","23,700,460.829","23,559,305.211","59,234,986.945","14,162,040.816","-6,057,971.014","-1,000,000","10,650,510.204","11,119,024.39","6,831,538.462","6,474,358.974","5,653,012.048","3,953,968.254","2,895,652.174","2,338,709.677"
InterestIncome,"1,232,000","320,000","319,000","272,000","321,000","423,000","491,000","589,000","1,605,000","2,087,000","2,649,000","3,870,000","9,674,000","11,001,000","10,896,000","9,402,000","8,731,000","8,763,000","7,873,000","5,560,000","5,612,000","4,578,000","4,193,000","4,164,000","3,751,000","2,996,000","3,004,000","2,841,000","2,834,000","2,716,000","2,411,000","2,141,000","2,153,000","2,132,000","2,079,000","2,021,000","1,962,000","2,187,000","2,059,000","2,828,000","3,078,000","3,068,000","3,085,000","3,727,000","3,939,000","3,546,000","3,638,000","3,837,000","3,556,000","3,516,000","4,059,000","4,393,000","2,715,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InterestExpense,"91,793,000","21,719,000","22,809,000","22,905,000","24,360,000","16,361,000","16,639,000","17,076,000","14,611,000","8,830,000","8,822,000","10,289,000","18,033,000","19,322,000","19,962,000","20,542,000","20,336,000","16,323,000","11,726,000","12,007,000","11,553,000","11,344,000","11,254,000","11,196,000","11,155,000","10,957,000","11,075,000","11,001,000","11,120,000","10,731,000","10,551,000","6,984,000",,,,,,,,,,,,,,"186,000",,"85,000","56,000","183,000","85,000","34,000","124,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetInterestIncome,"-90,561,000","-21,399,000","-22,490,000","-22,633,000","-24,039,000","-15,938,000","-16,148,000","-16,487,000","-13,006,000","-6,743,000","-6,173,000","-6,419,000","-8,359,000","-8,321,000","-9,066,000","-11,140,000","-11,605,000","-7,560,000","-3,853,000","-6,447,000","-5,941,000","-6,766,000","-7,061,000","-7,032,000","-7,404,000","-7,961,000","-8,071,000","-8,160,000","-8,286,000","-8,015,000","-8,140,000","-4,843,000","2,153,000","2,132,000","2,079,000","2,021,000","1,962,000","2,187,000","2,059,000","2,828,000","3,078,000","3,068,000","3,085,000","3,727,000","3,939,000","3,360,000","3,638,000","3,752,000","3,500,000","3,333,000","3,974,000","4,359,000","2,591,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBIT,"258,940,000","-20,928,000","82,734,000","91,584,000","105,550,000","135,509,000","132,637,000","146,171,000","205,250,000","184,789,000","116,936,000","117,532,000","136,217,000","206,946,000","179,377,000","152,012,000","171,282,000","198,446,000","145,567,000","126,360,000","131,582,000","232,518,000","158,514,000","156,979,000","113,702,000","123,152,000","64,433,000","121,728,000","46,717,000","118,432,000","58,773,000","58,012,000","81,537,000","160,854,000","87,367,000","75,888,000","56,608,000","145,421,000","82,415,000","82,192,000","80,750,000","135,814,000","104,679,000","95,590,000","80,907,000","116,128,000","81,564,000","74,778,000","56,064,000","81,383,000","61,810,000","44,829,000","6,296,000","90,487,000","47,699,000","28,890,000","40,884,000","58,058,000","59,984,000","54,734,000","39,431,000","51,542,000","48,897,000","51,176,000","52,729,000","72,271,000","56,270,000","52,756,000","46,960,000","59,279,000","46,323,000","37,092,000","35,397,000","42,247,000","38,716,000","35,498,000","37,928,000","45,274,000","17,368,000","10,276,000","30,942,000","34,179,000","32,384,000","33,772,000","35,596,000","29,882,000","25,911,000","15,902,000","49,611,000","50,100,000","45,400,000","41,100,000","37,100,000","92,500,000","22,100,000","-9,500,000","-1,400,000","16,500,000","17,200,000","10,700,000","10,200,000","6,800,000","4,800,000","3,800,000","2,500,000"
EBITDA,"529,320,000"
ReconciledCostOfRevenue,"420,960,000","170,240,000","77,322,000","92,603,000","80,795,000","143,018,000","75,297,000","70,042,000","62,578,000","122,367,000","62,101,000","57,467,000","48,530,000","136,643,000","52,664,000","58,378,000","60,076,000","105,318,000","57,260,000","64,901,000","56,804,000","115,375,000","75,226,000","73,550,000","75,525,000","117,045,000","78,342,000","57,962,000","76,868,000","94,241,000","77,920,000","86,937,000","76,749,000","78,196,000","66,163,000","71,808,000","60,796,000","65,600,000","57,196,000","53,754,000","47,263,000","40,013,000","38,276,000","35,977,000","25,066,000","30,848,000","26,661,000","23,171,000","18,861,000","22,065,000","16,443,000","15,081,000","16,116,000","18,645,000","17,088,000","19,978,000","18,439,000","19,987,000","19,454,000","15,635,000","14,721,000","15,513,000","12,635,000","13,101,000","10,800,000","7,204,000","4,633,000","2,236,000","894,000","64,000","5,396,000","4,925,000","4,236,000","4,919,000","183,000","5,036,000","4,731,000","5,145,000","4,375,000","4,758,000","4,752,000","7,741,000","411,000","4,353,000","7,312,000","609,000","3,414,000","4,014,000","1,165,000","500,000","900,000","1,200,000","2,900,000","4,600,000","-100,000","3,400,000","3,800,000","3,700,000","3,000,000","2,000,000","1,900,000","1,400,000","1,200,000","1,100,000","900,000"
ReconciledDepreciation,"270,380,000","22,891,000","89,145,000","88,138,000","70,206,000","-8,873,000","52,690,000","52,892,000","53,701,000","1,029,000","69,754,000","56,217,000","62,472,000","-19,686,000","55,316,000","54,390,000","51,876,000","20,202,000","52,410,000","48,103,000","49,300,000","29,883,000","70,136,000","78,058,000","70,961,000","97,069,000","144,850,000","85,781,000","65,179,000","93,454,000","68,021,000","98,764,000","70,031,000","68,858,000","68,156,000","65,950,000","64,536,000","60,818,000","58,710,000","45,798,000","49,547,000","43,661,000","42,889,000","36,856,000","35,849,000","35,532,000","34,471,000","34,160,000","33,995,000","36,254,000","34,086,000","34,143,000","34,094,000","33,760,000","30,668,000","31,586,000","27,692,000","25,985,000","20,492,000","19,880,000","18,840,000","17,255,000","15,903,000","15,171,000","15,254,000","18,362,000","14,430,000","11,343,000","10,484,000","3,502,000","10,703,000","10,718,000","8,655,000","7,728,000","8,035,000","8,421,000","10,152,000","9,213,000","9,734,000","10,495,000","11,996,000","25,329,000","22,057,000","15,098,000","17,104,000","13,903,000","13,330,000","12,232,000","10,783,000","8,900,000","7,600,000","5,700,000","5,400,000","8,900,000","4,000,000","1,300,000","1,000,000","700,000","400,000","300,000","300,000","200,000","0","100,000","100,000"
